Stateavg,original_index,unique_index,count
al_scip-card-2,0,0,39
al_scip-inf-1,1,1,38
al_scip-inf-2,2,2,34
al_scip-inf-3,3,3,37
al_scip-inf-4,4,4,36
al_scip-inf-6,5,5,36
al_scip-vte-1,6,6,35
al_scip-vte-2,7,7,36
al_ami-1,8,8,35
al_ami-2,9,9,39
al_ami-3,10,10,40
al_ami-4,11,11,40
al_ami-5,12,12,39
al_ami-7a,13,13,37
al_ami-8a,14,14,38
al_hf-1,15,15,39
al_hf-2,16,16,39
al_hf-3,17,17,40
al_hf-4,18,18,39
al_ami-1,19,8,35
al_ami-2,20,9,39
al_ami-3,21,10,40
al_ami-4,22,11,40
al_ami-5,23,12,39
al_ami-7a,24,13,37
al_ami-8a,25,14,38
al_hf-1,26,15,39
al_hf-2,27,16,39
al_hf-3,28,17,40
al_hf-4,29,18,39
al_pn-2,30,19,38
al_pn-3b,31,20,38
al_pn-4,32,21,39
al_pn-5c,33,22,38
al_pn-6,34,23,37
al_pn-7,35,24,38
al_scip-card-2,36,0,39
al_scip-inf-1,37,1,38
al_scip-inf-2,38,2,34
al_scip-inf-3,39,3,37
al_scip-inf-4,40,4,36
al_scip-inf-6,41,5,36
al_scip-vte-1,42,6,35
al_scip-vte-2,43,7,36
al_ami-1,44,8,35
al_ami-2,45,9,39
al_ami-3,46,10,40
al_ami-4,47,11,40
al_ami-5,48,12,39
al_ami-7a,49,13,37
al_ami-8a,50,14,38
al_hf-1,51,15,39
al_hf-2,52,16,39
al_hf-3,53,17,40
al_hf-4,54,18,39
al_pn-2,55,19,38
al_pn-xb,56,25,1
al_pn-4,57,21,39
al_pn-5c,58,22,38
al_pn-6,59,23,37
al_pn-7,60,24,38
al_scip-card-2,61,0,39
al_scip-inf-1,62,1,38
al_scip-inf-2,63,2,34
al_scip-inf-3,64,3,37
al_scip-inf-4,65,4,36
al_scip-inf-6,66,5,36
al_scip-vte-1,67,6,35
al_scip-vte-2,68,7,36
al_amx-1,69,26,1
al_ami-2,70,9,39
al_ami-3,71,10,40
al_ami-4,72,11,40
al_ami-5,73,12,39
al_ami-7a,74,13,37
al_ami-8a,75,14,38
al_hf-1,76,15,39
al_hf-2,77,16,39
al_hf-3,78,17,40
al_hf-4,79,18,39
al_pn-2,80,19,38
al_pn-3b,81,20,38
al_pn-4,82,21,39
al_pn-5c,83,22,38
al_pn-6,84,23,37
al_pn-7,85,24,38
al_scip-card-2,86,0,39
al_scip-inf-1,87,1,38
al_scip-inf-2,88,2,34
al_scip-inf-3,89,3,37
al_scip-inf-4,90,4,36
al_scip-inf-6,91,5,36
al_scip-vte-1,92,6,35
al_scip-vte-2,93,7,36
al_ami-1,94,8,35
al_ami-2,95,9,39
al_ami-3,96,10,40
al_ami-4,97,11,40
al_ami-5,98,12,39
al_ami-7a,99,13,37
al_ami-8a,100,14,38
al_hf-1,101,15,39
al_hf-2,102,16,39
al_hf-3,103,17,40
al_hf-4,104,18,39
al_pn-2,105,19,38
al_pn-3b,106,20,38
al_pn-4,107,21,39
al_pn-5c,108,22,38
al_pn-6,109,23,37
al_pn-7,110,24,38
al_scip-card-2,111,0,39
al_scip-inf-1,112,1,38
al_scip-inf-2,113,2,34
al_scip-inf-3,114,3,37
al_scip-inf-4,115,4,36
al_scip-inf-6,116,5,36
al_scip-vte-1,117,6,35
al_scip-vte-2,118,7,36
al_ami-1,119,8,35
al_ami-2,120,9,39
al_ami-3,121,10,40
al_ami-4,122,11,40
al_ami-5,123,12,39
al_ami-7a,124,13,37
al_ami-8a,125,14,38
al_hf-1,126,15,39
al_hf-2,127,16,39
al_hf-3,128,17,40
al_hf-4,129,18,39
al_pn-2,130,19,38
al_pn-3b,131,20,38
al_pn-4,132,21,39
al_pn-5c,133,22,38
al_pn-6,134,23,37
al_pn-7,135,24,38
al_scip-card-2,136,0,39
al_scip-inf-1,137,1,38
al_scip-inf-2,138,2,34
al_scip-inf-3,139,3,37
al_scip-inf-4,140,4,36
al_scip-inf-6,141,5,36
al_scip-vte-1,142,6,35
al_scip-vte-2,143,7,36
al_ami-1,144,8,35
al_ami-2,145,9,39
al_ami-3,146,10,40
al_ami-4,147,11,40
al_ami-5,148,12,39
al_ami-7a,149,13,37
al_ami-8a,150,14,38
al_hf-1,151,15,39
al_hf-2,152,16,39
al_hf-3,153,17,40
al_hf-4,154,18,39
al_pn-2,155,19,38
al_pn-3b,156,20,38
al_pn-4,157,21,39
al_pn-5c,158,22,38
al_pn-6,159,23,37
al_pn-7,160,24,38
al_scip-card-2,161,0,39
al_scip-inf-1,162,1,38
al_scip-inf-2,163,2,34
al_scip-inf-3,164,3,37
al_scip-inf-4,165,4,36
al_scip-inf-6,166,5,36
al_scip-vte-1,167,6,35
al_scip-vte-2,168,7,36
al_ami-1,169,8,35
al_ami-2,170,9,39
al_ami-3,171,10,40
al_ami-4,172,11,40
al_ami-5,173,12,39
al_ami-7a,174,13,37
al_ami-8a,175,14,38
al_hf-1,176,15,39
al_hf-2,177,16,39
al_hf-3,178,17,40
al_hf-4,179,18,39
al_pn-2,180,19,38
al_pn-3b,181,20,38
al_pn-4,182,21,39
al_pn-5c,183,22,38
al_pn-6,184,23,37
al_pn-7,185,24,38
al_scip-card-2,186,0,39
al_scip-inf-1,187,1,38
al_scip-inf-2,188,2,34
al_scip-inf-3,189,3,37
al_scip-inf-4,190,4,36
al_scip-inf-6,191,5,36
al_scip-vte-1,192,6,35
al_scix-vte-2,193,27,1
al_ami-1,194,8,35
al_ami-2,195,9,39
al_ami-3,196,10,40
al_ami-4,197,11,40
al_ami-5,198,12,39
al_ami-7a,199,13,37
al_ami-8a,200,14,38
al_hf-1,201,15,39
al_hf-2,202,16,39
