completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
0,0,0,00:00.000,0,index
1393,2617,4010,00:06.452,1,ProviderNumber
3273,3103,6376,00:15.408,1,HospitalName
2458,2731,5189,00:11.464,1,Address1
29,990,1019,00:00.774,1,Address2
29,990,1019,00:00.782,1,Address3
2075,2406,4481,00:08.534,1,City
80,1043,1123,00:01.084,1,State
964,2375,3339,00:04.646,1,ZipCode
2252,2252,4504,00:09.874,1,CountyName
1958,2551,4509,00:09.657,1,PhoneNumber
564,1279,1843,00:03.951,1,HospitalType
1044,1692,2736,00:05.059,1,HospitalOwner
262,1081,1343,00:01.942,1,EmergencyService
1024,1620,2644,00:05.256,1,Condition
2691,2190,4881,00:11.639,1,MeasureCode
2754,3621,6375,00:13.076,1,MeasureName
1512,2225,3737,00:06.632,1,Score
10166,20875,31041,00:46.016,6,Sample
4597,3022,7619,00:19.593,1,Stateavg
