Address1,City,original_index,unique_index,count
1720 university blvd,birmingham,0,0,22
1720 university blvd,birmingham,1,0,22
1720 university blvd,birmingham,2,0,22
1720 university blvd,birminghxm,3,1,1
1720 university blvd,birmingham,4,0,22
1720 university blvd,birmingham,5,0,22
1720 university blvd,birmingham,6,0,22
1720 university blvd,birmingxam,7,2,1
1300 south montgomery avenue,sheffield,8,3,24
1300 south montgomery avenue,sheffield,9,3,24
1300 south montgomery avenue,sheffxeld,10,4,1
1300 south montgomery avenue,sheffield,11,3,24
1300 south montgomery avenue,sheffield,12,3,24
1300 south montgomery avenue,sheffield,13,3,24
1300 south montgomery avenue,sheffield,14,3,24
1300 south montgomery avenue,sheffield,15,3,24
1300 south montgomery avenue,sheffield,16,3,24
1300 south montgomery avenue,sheffield,17,3,24
1300 south montgomery avenue,sheffield,18,3,24
1108 ross clark circle,dothan,19,5,25
1108 ross clark circle,dothan,20,5,25
1108 ross clark circle,dothan,21,5,25
1108 ross clark circle,dothan,22,5,25
1108 ross clark circle,dothan,23,5,25
1108 ross clark circle,dothan,24,5,25
1108 ross clark circle,dothan,25,5,25
1108 ross clark circle,dothan,26,5,25
1108 ross clark circle,dothan,27,5,25
1108 ross clark circle,dothan,28,5,25
1108 ross clark circle,dothan,29,5,25
1108 ross clark circle,dothan,30,5,25
1108 ross clark circle,dothan,31,5,25
1108 ross clark circle,dothan,32,5,25
1108 ross clark circle,dothan,33,5,25
1108 ross clark circle,dothan,34,5,25
1108 ross clark circle,dothan,35,5,25
1108 ross clark circle,dothan,36,5,25
1108 ross clark circle,dothan,37,5,25
1108 ross clark circle,dothan,38,5,25
1108 ross clark circle,dothan,39,5,25
1108 ross clark circle,dothan,40,5,25
1108 ross clark circle,dothan,41,5,25
1108 ross clark circle,dothan,42,5,25
1108 ross clark circle,dothan,43,5,25
2505 u s highway 431 north,boaz,44,6,23
2505 u s highway 431 north,boaz,45,6,23
2505 u s highway 431 north,boaz,46,6,23
2505 u s highway 431 north,boaz,47,6,23
2505 u s highway 431 north,boaz,48,6,23
2505 u s highway 431 north,boaz,49,6,23
2505 u s highway 431 north,boaz,50,6,23
2505 u s highway 431 north,boaz,51,6,23
2505 u s highway 431 north,boaz,52,6,23
2505 u s highway 431 north,boaz,53,6,23
2505 u s highway 431 north,boaz,54,6,23
2505 u s highway 431 north,boaz,55,6,23
2505 u s highway 431 north,boxz,56,7,1
2505xuxsxhighwayx431xnorth,boaz,57,8,1
2505 u s highway 431 north,boaz,58,6,23
2505 u s highway 431 north,boaz,59,6,23
2505 u s highway 431 north,boaz,60,6,23
2505 u s highway 431 north,boaz,61,6,23
2505 u s highway 431 north,boaz,62,6,23
2505 u s highway 431 north,boaz,63,6,23
2505 u s highway 431 north,boaz,64,6,23
2505 u s highway 431 north,boaz,65,6,23
2505 u s highway 431 north,boaz,66,6,23
2505 u s highway 431 north,boaz,67,6,23
2505 u s highway 431 north,boaz,68,6,23
205 marengo street,florence,69,9,22
205 marengo street,florence,70,9,22
205 marengo street,florence,71,9,22
205 marengo street,florence,72,9,22
205 marengo street,florence,73,9,22
205 marengo street,florence,74,9,22
205 marengo street,florence,75,9,22
205 marengo street,florence,76,9,22
205 marengo street,florence,77,9,22
205 marengo street,florence,78,9,22
205 marengo street,fxorence,79,10,1
205 marengo street,florence,80,9,22
205 marengo street,florence,81,9,22
205 marengo street,florence,82,9,22
205 marengo street,florence,83,9,22
205 marengo street,florence,84,9,22
205 marengo street,florence,85,9,22
205 marengo street,florence,86,9,22
205 marengo street,florence,87,9,22
205 marengo street,florxncx,88,11,1
205 marengo street,florence,89,9,22
205 marengo street,florence,90,9,22
205 marengo street,florence,91,9,22
205 marengo street,florence,92,9,22
205 marengo street,flxrence,93,12,1
702xnxmainxst,opp,94,13,1
702 n main st,opp,95,14,23
702 n main st,opp,96,14,23
702 n main st,opp,97,14,23
702 n main st,opp,98,14,23
702 n main st,opp,99,14,23
702 n main st,opp,100,14,23
702 n main st,opp,101,14,23
702 n main st,opp,102,14,23
702 n main st,opp,103,14,23
702 n main st,opp,104,14,23
702 n main st,opp,105,14,23
702 x maix st,opp,106,15,1
702 n main st,opp,107,14,23
702 n main st,opp,108,14,23
702 n main st,opp,109,14,23
702 n main st,opp,110,14,23
702 n main st,opp,111,14,23
702 n main st,opp,112,14,23
702 n main st,opp,113,14,23
702 n main st,opp,114,14,23
702 n main st,opp,115,14,23
702 n main st,opp,116,14,23
702 n main st,opp,117,14,23
702 n main st,opp,118,14,23
101 hospital circle,luverne,119,16,25
101 hospital circle,luverne,120,16,25
101 hospital circle,luverne,121,16,25
101 hospital circle,luverne,122,16,25
101 hospital circle,luverne,123,16,25
101 hospital circle,luverne,124,16,25
101 hospital circle,luverne,125,16,25
101 hospital circle,luverne,126,16,25
101 hospital circle,luverne,127,16,25
101 hospital circle,luverne,128,16,25
101 hospital circle,luverne,129,16,25
101 hospital circle,luverne,130,16,25
101 hospital circle,luverne,131,16,25
101 hospital circle,luverne,132,16,25
101 hospital circle,luverne,133,16,25
101 hospital circle,luverne,134,16,25
101 hospital circle,luverne,135,16,25
101 hospital circle,luverne,136,16,25
101 hospital circle,luverne,137,16,25
101 hospital circle,luverne,138,16,25
101 hospital circle,luverne,139,16,25
101 hospital circle,luverne,140,16,25
101 hospital circle,luverne,141,16,25
101 hospital circle,luverne,142,16,25
101 hospital circle,luverne,143,16,25
201 pine street northwest,hartselle,144,17,24
201 pine street northwest,hartselle,145,17,24
201 pine street northwest,hartselle,146,17,24
201 pine street northwest,hartselle,147,17,24
201 pine street northwest,hartselle,148,17,24
201 pine street northwest,hartselle,149,17,24
201 pine street northwest,hartselle,150,17,24
201 pine street northwest,hartselle,151,17,24
201 pine street northwest,hartselle,152,17,24
201 pine street northwest,hartselle,153,17,24
201 pine street northwest,hartselle,154,17,24
201 pine street northwest,hartselle,155,17,24
201 pine street northwest,hartselle,156,17,24
201 pine street northwest,hartselle,157,17,24
201 pine street northwest,hartselle,158,17,24
201 pine street northwest,hartselle,159,17,24
201 pine street northwest,hartselle,160,17,24
