Address1,State,original_index,unique_index,count
1720 university blvd,al,0,0,24
1720 university blvd,al,1,0,24
1720 university blvd,al,2,0,24
1720 university blvd,al,3,0,24
1720 university blvd,al,4,0,24
1720 university blvd,al,5,0,24
1720 university blvd,al,6,0,24
1720 university blvd,al,7,0,24
1300 south montgomery avenue,al,8,1,25
1300 south montgomery avenue,al,9,1,25
1300 south montgomery avenue,al,10,1,25
1300 south montgomery avenue,al,11,1,25
1300 south montgomery avenue,al,12,1,25
1300 south montgomery avenue,al,13,1,25
1300 south montgomery avenue,al,14,1,25
1300 south montgomery avenue,al,15,1,25
1300 south montgomery avenue,al,16,1,25
1300 south montgomery avenue,al,17,1,25
1300 south montgomery avenue,al,18,1,25
1108 ross clark circle,al,19,2,24
1108 ross clark circle,al,20,2,24
1108 ross clark circle,al,21,2,24
1108 ross clark circle,al,22,2,24
1108 ross clark circle,al,23,2,24
1108 ross clark circle,al,24,2,24
1108 ross clark circle,al,25,2,24
1108 ross clark circle,al,26,2,24
1108 ross clark circle,al,27,2,24
1108 ross clark circle,al,28,2,24
1108 ross clark circle,al,29,2,24
1108 ross clark circle,al,30,2,24
1108 ross clark circle,al,31,2,24
1108 ross clark circle,al,32,2,24
1108 ross clark circle,al,33,2,24
1108 ross clark circle,al,34,2,24
1108 ross clark circle,al,35,2,24
1108 ross clark circle,al,36,2,24
1108 ross clark circle,al,37,2,24
1108 ross clark circle,al,38,2,24
1108 ross clark circle,al,39,2,24
1108 ross clark circle,al,40,2,24
1108 ross clark circle,al,41,2,24
1108 ross clark circle,xl,42,3,1
1108 ross clark circle,al,43,2,24
2505 u s highway 431 north,al,44,4,22
2505 u s highway 431 north,al,45,4,22
2505 u s highway 431 north,xl,46,5,2
2505 u s highway 431 north,al,47,4,22
2505 u s highway 431 north,al,48,4,22
2505 u s highway 431 north,al,49,4,22
2505 u s highway 431 north,xl,50,5,2
2505 u s highway 431 north,al,51,4,22
2505 u s highway 431 north,al,52,4,22
2505 u s highway 431 north,al,53,4,22
2505 u s highway 431 north,al,54,4,22
2505 u s highway 431 north,al,55,4,22
2505 u s highway 431 north,al,56,4,22
2505xuxsxhighwayx431xnorth,al,57,6,1
2505 u s highway 431 north,al,58,4,22
2505 u s highway 431 north,al,59,4,22
2505 u s highway 431 north,al,60,4,22
2505 u s highway 431 north,al,61,4,22
2505 u s highway 431 north,al,62,4,22
2505 u s highway 431 north,al,63,4,22
2505 u s highway 431 north,al,64,4,22
