Address1,ZipCode,original_index,unique_index,count
1720 university blvd,35233,0,0,24
1720 university blvd,35233,1,0,24
1720 university blvd,35233,2,0,24
1720 university blvd,35233,3,0,24
1720 university blvd,35233,4,0,24
1720 university blvd,35233,5,0,24
1720 university blvd,35233,6,0,24
1720 university blvd,35233,7,0,24
1300 south montgomery avenue,35660,8,1,25
1300 south montgomery avenue,35660,9,1,25
1300 south montgomery avenue,35660,10,1,25
1300 south montgomery avenue,35660,11,1,25
1300 south montgomery avenue,35660,12,1,25
1300 south montgomery avenue,35660,13,1,25
1300 south montgomery avenue,35660,14,1,25
1300 south montgomery avenue,35660,15,1,25
1300 south montgomery avenue,35660,16,1,25
1300 south montgomery avenue,35660,17,1,25
1300 south montgomery avenue,35660,18,1,25
1108 ross clark circle,36302,19,2,25
1108 ross clark circle,36302,20,2,25
1108 ross clark circle,36302,21,2,25
1108 ross clark circle,36302,22,2,25
1108 ross clark circle,36302,23,2,25
1108 ross clark circle,36302,24,2,25
1108 ross clark circle,36302,25,2,25
1108 ross clark circle,36302,26,2,25
1108 ross clark circle,36302,27,2,25
1108 ross clark circle,36302,28,2,25
1108 ross clark circle,36302,29,2,25
1108 ross clark circle,36302,30,2,25
1108 ross clark circle,36302,31,2,25
1108 ross clark circle,36302,32,2,25
1108 ross clark circle,36302,33,2,25
1108 ross clark circle,36302,34,2,25
1108 ross clark circle,36302,35,2,25
1108 ross clark circle,36302,36,2,25
1108 ross clark circle,36302,37,2,25
1108 ross clark circle,36302,38,2,25
1108 ross clark circle,36302,39,2,25
1108 ross clark circle,36302,40,2,25
1108 ross clark circle,36302,41,2,25
1108 ross clark circle,36302,42,2,25
1108 ross clark circle,36302,43,2,25
2505 u s highway 431 north,x5957,44,3,1
2505 u s highway 431 north,35957,45,4,22
2505 u s highway 431 north,35957,46,4,22
2505 u s highway 431 north,35957,47,4,22
2505 u s highway 431 north,35957,48,4,22
2505 u s highway 431 north,35957,49,4,22
2505 u s highway 431 north,35957,50,4,22
2505 u s highway 431 north,35957,51,4,22
2505 u s highway 431 north,35957,52,4,22
2505 u s highway 431 north,35957,53,4,22
2505 u s highway 431 north,35957,54,4,22
2505 u s highway 431 north,35957,55,4,22
2505 u s highway 431 north,35957,56,4,22
2505xuxsxhighwayx431xnorth,35957,57,5,1
2505 u s highway 431 north,35957,58,4,22
2505 u s highway 431 north,35957,59,4,22
2505 u s highway 431 north,35957,60,4,22
2505 u s highway 431 north,35957,61,4,22
2505 u s highway 431 north,35957,62,4,22
2505 u s highway 431 north,3595x,63,6,1
2505 u s highway 431 north,35957,64,4,22
2505 u s highway 431 north,35957,65,4,22
2505 u s highway 431 north,35957,66,4,22
2505 u s highway 431 north,35957,67,4,22
2505 u s highway 431 north,35957,68,4,22
205 marengo street,35631,69,7,23
205 marengo street,3563x,70,8,2
205 marengo street,35631,71,7,23
205 marengo street,35631,72,7,23
205 marengo street,35631,73,7,23
205 marengo street,35631,74,7,23
205 marengo street,35631,75,7,23
205 marengo street,35631,76,7,23
205 marengo street,35631,77,7,23
205 marengo street,35631,78,7,23
205 marengo street,35631,79,7,23
205 marengo street,35631,80,7,23
205 marengo street,35631,81,7,23
205 marengo street,35631,82,7,23
205 marengo street,35631,83,7,23
205 marengo street,35631,84,7,23
205 marengo street,35631,85,7,23
205 marengo street,35631,86,7,23
205 marengo street,35631,87,7,23
205 marengo street,35631,88,7,23
205 marengo street,35631,89,7,23
205 marengo street,35631,90,7,23
205 marengo street,35631,91,7,23
205 marengo street,35631,92,7,23
205 marengo street,3563x,93,8,2
702xnxmainxst,36467,94,9,1
702 n main st,36467,95,10,23
702 n main st,36467,96,10,23
702 n main st,36467,97,10,23
702 n main st,36467,98,10,23
702 n main st,36467,99,10,23
702 n main st,36467,100,10,23
702 n main st,36467,101,10,23
702 n main st,36467,102,10,23
702 n main st,36467,103,10,23
702 n main st,36467,104,10,23
702 n main st,36467,105,10,23
702 x maix st,36467,106,11,1
702 n main st,36467,107,10,23
702 n main st,36467,108,10,23
702 n main st,36467,109,10,23
702 n main st,36467,110,10,23
702 n main st,36467,111,10,23
702 n main st,36467,112,10,23
702 n main st,36467,113,10,23
702 n main st,36467,114,10,23
702 n main st,36467,115,10,23
702 n main st,36467,116,10,23
702 n main st,36467,117,10,23
702 n main st,36467,118,10,23
101 hospital circle,36049,119,12,23
101 hospital circle,36049,120,12,23
101 hospital circle,36049,121,12,23
101 hospital circle,36049,122,12,23
101 hospital circle,36049,123,12,23
101 hospital circle,36049,124,12,23
101 hospital circle,36049,125,12,23
101 hospital circle,36049,126,12,23
101 hospital circle,36049,127,12,23
101 hospital circle,36049,128,12,23
101 hospital circle,36049,129,12,23
101 hospital circle,36049,130,12,23
101 hospital circle,36049,131,12,23
101 hospital circle,36049,132,12,23
101 hospital circle,36049,133,12,23
101 hospital circle,36049,134,12,23
101 hospital circle,36049,135,12,23
101 hospital circle,36049,136,12,23
101 hospital circle,36x49,137,13,1
101 hospital circle,36049,138,12,23
101 hospital circle,360x9,139,14,1
101 hospital circle,36049,140,12,23
101 hospital circle,36049,141,12,23
101 hospital circle,36049,142,12,23
101 hospital circle,36049,143,12,23
201 pine street northwest,35640,144,15,22
201 pine street northwest,35640,145,15,22
201 pine street northwest,35640,146,15,22
201 pine street northwest,35640,147,15,22
201 pine street northwest,35640,148,15,22
201 pine street northwest,3x640,149,16,2
201 pine street northwest,35640,150,15,22
201 pine street northwest,35640,151,15,22
201 pine street northwest,35640,152,15,22
201 pine street northwest,35640,153,15,22
201 pine street northwest,35640,154,15,22
201 pine street northwest,35640,155,15,22
201 pine street northwest,35640,156,15,22
201 pine street northwest,3x640,157,16,2
201 pine street northwest,35640,158,15,22
201 pine street northwest,35640,159,15,22
201 pine street northwest,35640,160,15,22
201 pine sxreex norxhwesx,35640,161,17,1
201 pine street northwest,35640,162,15,22
201 pine street northwest,35640,163,15,22
201 pine street northwest,35640,164,15,22
201 pine street northwest,35640,165,15,22
201 pine street northwest,35640,166,15,22
201 pine street northwest,35640,167,15,22
201 pine street northwest,35640,168,15,22
8000 alabama highway 69,35976,169,18,24
8000 alabama highway 69,35976,170,18,24
8000 alabama highway 69,35976,171,18,24
8000 alabama highway 69,35976,172,18,24
8000 alabama highway 69,35976,173,18,24
8000 alabama highway 69,35976,174,18,24
8000 alabama xigxway 69,35976,175,19,1
8000 alabama highway 69,35976,176,18,24
8000 alabama highway 69,35976,177,18,24
8000 alabama highway 69,35976,178,18,24
8000 alabama highway 69,35976,179,18,24
8000 alabama highway 69,35976,180,18,24
8000 alabama highway 69,35976,181,18,24
8000 alabama highway 69,35976,182,18,24
8000 alabama highway 69,35976,183,18,24
8000 alabama highway 69,35976,184,18,24
8000 alabama highway 69,35976,185,18,24
8000 alabama highway 69,35976,186,18,24
8000 alabama highway 69,35976,187,18,24
8000 alabama highway 69,35976,188,18,24
8000 alabama highway 69,35976,189,18,24
8000 alabama highway 69,35976,190,18,24
8000 alabama highway 69,35976,191,18,24
8000 alabama highway 69,35976,192,18,24
8000 alabama highway 69,35976,193,18,24
50 medical park east drive,35235,194,20,24
50 medical park east drive,35235,195,20,24
50 medical park east drive,3x23x,196,21,1
50 medical park east drive,35235,197,20,24
50 medical park east drive,35235,198,20,24
50 medical park east drive,35235,199,20,24
50 medical park east drive,35235,200,20,24
50 medical park east drive,35235,201,20,24
50 medical park east drive,35235,202,20,24
50 medical park east drive,35235,203,20,24
50 medical park east drive,35235,204,20,24
50 medical park east drive,35235,205,20,24
50 medical park east drive,35235,206,20,24
50 medical park east drive,35235,207,20,24
50 medical park east drive,35235,208,20,24
50 medical park east drive,35235,209,20,24
50 medical park east drive,35235,210,20,24
50 medical park east drive,35235,211,20,24
50 medical park east drive,35235,212,20,24
50 medical park east drive,35235,213,20,24
50 medical park east drive,35235,214,20,24
50 medical park east drive,35235,215,20,24
50 medical park east drive,35235,216,20,24
50 medical park east drive,35235,217,20,24
50 medical park east drive,35235,218,20,24
200 med center drive,35968,219,22,24
200 med center drive,35968,220,22,24
200 med center drive,35968,221,22,24
200 med center drive,35968,222,22,24
200 med center drive,35968,223,22,24
200 med center drive,35968,224,22,24
200 med center drive,35968,225,22,24
200 med center drive,35968,226,22,24
200 med center drive,35968,227,22,24
200 med center drive,35968,228,22,24
200 med center drive,35968,229,22,24
200 med center drive,35968,230,22,24
200 med center drive,35968,231,22,24
200 med center drive,359x8,232,23,1
200 med center drive,35968,233,22,24
200 med center drive,35968,234,22,24
200 med center drive,35968,235,22,24
200 med center drive,35968,236,22,24
200 med center drive,35968,237,22,24
200 med center drive,35968,238,22,24
200 med center drive,35968,239,22,24
200 med center drive,35968,240,22,24
200 med center drive,35968,241,22,24
200 med center drive,35968,242,22,24
200 med center drive,35968,243,22,24
33700 highway 43,36784,244,24,22
33700 highway 43,36784,245,24,22
33700 highway 43,36784,246,24,22
33700 highway 43,36784,247,24,22
33700 highway 43,36784,248,24,22
33700 highway 43,36784,249,24,22
33700 highway 43,36784,250,24,22
33700 highway 43,36784,251,24,22
33700 highway 43,36784,252,24,22
33700 highway 43,36784,253,24,22
33700 highway 43,36784,254,24,22
33700 highway 43,36784,255,24,22
33700 highway 43,36784,256,24,22
33700 highway 43,36784,257,24,22
33700 highway 43,36784,258,24,22
33700 highway 43,36784,259,24,22
33700 hxghway 43,36784,260,25,1
