Address3,HospitalOwner,original_index,unique_index,count
empty,voluntary non-profit - private,0,0,258
empty,voluntary non-profit - private,1,0,258
empty,voluntary non-profit - private,2,0,258
empty,voluntary non-profit - private,3,0,258
empty,voluntary non-profit - private,4,0,258
empty,voluntary non-profit - private,5,0,258
empty,voluntary non-profit - private,6,0,258
empty,voluntary non-profit - private,7,0,258
empty,government - hospital district or authority,8,1,198
empty,government - hospital district or authority,9,1,198
empty,government - hospital district or authority,10,1,198
empty,government - hospital district or authority,11,1,198
empty,government - hospital district or authority,12,1,198
empty,government - hospital district or authority,13,1,198
empty,government - hospital district or authority,14,1,198
empty,government - hospital district or authority,15,1,198
empty,government - hospital district or authority,16,1,198
empty,government - hospital district or authority,17,1,198
empty,government - hospital district or authority,18,1,198
empty,government - hospital district or authority,19,1,198
empty,government - hospital district or authority,20,1,198
empty,government - hospital district or authority,21,1,198
empty,government - hospxtal dxstrxct or authorxty,22,2,1
empty,government - hospital district or authority,23,1,198
empty,government - hospital district or authority,24,1,198
empty,government - hospital district or authority,25,1,198
empty,government - hospital district or authority,26,1,198
empty,government - hospital xistrict or authority,27,3,1
empty,government - hospital district or authority,28,1,198
empty,government - hospital district or authority,29,1,198
empty,government - hospital district or authority,30,1,198
empty,governmenx - hospixal disxricx or auxhorixy,31,4,1
empty,government - hospital district or authority,32,1,198
empty,government - hospital district or authority,33,1,198
empty,government - hospital district or authority,34,1,198
empty,government - hospital district or authority,35,1,198
empty,government - hospital district or authority,36,1,198
empty,government - hospital district or authority,37,1,198
empty,government - hospital district or authority,38,1,198
empty,government - hospital district or authority,39,1,198
empty,government - hospital district or authority,40,1,198
empty,government - hospital district or authority,41,1,198
empty,gxvernment - hxspital district xr authxrity,42,5,2
empty,government - hospital district or authority,43,1,198
empty,government - hospital district or authority,44,1,198
empty,government - hospital district or authority,45,1,198
empty,government - hospital district or authority,46,1,198
empty,government - hospital district or authority,47,1,198
empty,government - hospital district or authority,48,1,198
empty,government - hospital district or authority,49,1,198
empty,government - hospital district or authority,50,1,198
empty,government - hospital district or authority,51,1,198
empty,government - hospital district or authority,52,1,198
empty,government - hospital district or authority,53,1,198
empty,government - hospital district or authority,54,1,198
empty,government - hospital district or authority,55,1,198
empty,government - hospital district or authority,56,1,198
empty,government - hospital district or authority,57,1,198
empty,government - hospital district or authority,58,1,198
empty,government - hospital district or authority,59,1,198
empty,government - hospital district or authority,60,1,198
empty,government - hospital district or authority,61,1,198
empty,government - hospital district or authority,62,1,198
empty,government - hospital district or authority,63,1,198
empty,government - hospital district or authority,64,1,198
empty,government - hospital district or authority,65,1,198
empty,government - hospital district or authority,66,1,198
empty,government - hospital district or authority,67,1,198
empty,government - hospital district or authority,68,1,198
empty,voluntary non-profit - other,69,6,122
empty,voluntary non-profit - other,70,6,122
empty,voluntary non-profit - other,71,6,122
empty,voluntary non-profit - other,72,6,122
empty,voluntary non-profit - other,73,6,122
empty,voluntary non-profit - other,74,6,122
empty,voluntary non-profit - other,75,6,122
empty,voluntary non-profit - other,76,6,122
empty,voluntary non-profit - other,77,6,122
empty,voluntary non-profit - other,78,6,122
empty,voluntary non-profit - other,79,6,122
empty,voluntary non-profit - other,80,6,122
empty,voluntary non-profit - other,81,6,122
empty,voluntary non-profit - other,82,6,122
empty,voluntary non-profit - other,83,6,122
empty,voluntary non-profit - other,84,6,122
empty,voluntary non-profit - other,85,6,122
empty,voluntary non-profit - other,86,6,122
empty,voluntary non-profit - other,87,6,122
empty,voluntary non-profit - other,88,6,122
empty,voluntary non-profit - other,89,6,122
empty,voluntary non-profit - other,90,6,122
empty,voluntary non-profit - other,91,6,122
empty,voluntary non-profit - other,92,6,122
empty,voluntary non-profit - other,93,6,122
empty,voluntary non-profit - private,94,0,258
empty,voluntary non-profit - private,95,0,258
empty,voluntary non-profit - private,96,0,258
empty,voluntary non-profit - private,97,0,258
empty,voluntary non-profit - private,98,0,258
empty,voluntary non-profit - private,99,0,258
empty,voluntary non-profit - private,100,0,258
empty,voluntary non-profit - private,101,0,258
empty,voluntary non-profit - private,102,0,258
empty,voluntary non-profit - private,103,0,258
empty,voluntary non-profit - private,104,0,258
empty,voluntary non-profit - private,105,0,258
empty,voluntary non-profit - private,106,0,258
empty,voluntary non-profit - private,107,0,258
empty,voluntary non-profit - private,108,0,258
empty,voluntary non-profit - private,109,0,258
empty,voluntary non-profit - private,110,0,258
empty,voluntary non-profit - private,111,0,258
empty,voluntary non-profit - private,112,0,258
empty,volunxary non-profix - privaxe,113,7,2
empty,voluntary non-profit - private,114,0,258
empty,voluntary non-profit - private,115,0,258
empty,voluntary non-profit - private,116,0,258
empty,voluntary non-profit - private,117,0,258
empty,voluntary non-profit - private,118,0,258
empty,government - federal,119,8,51
empty,government - federal,120,8,51
empty,government - federal,121,8,51
empty,government - federal,122,8,51
empty,government - federal,123,8,51
empty,government - federal,124,8,51
empty,government - federal,125,8,51
empty,government - federal,126,8,51
empty,government - federal,127,8,51
empty,government - federal,128,8,51
empty,government - federal,129,8,51
empty,government - federal,130,8,51
empty,government - federal,131,8,51
empty,government - federal,132,8,51
empty,government - federal,133,8,51
empty,government - federal,134,8,51
empty,government - federal,135,8,51
empty,government - federal,136,8,51
empty,government - federal,137,8,51
empty,government - federal,138,8,51
empty,government - federal,139,8,51
empty,government - federal,140,8,51
empty,government - federal,141,8,51
empty,government - federal,142,8,51
empty,government - federal,143,8,51
empty,proprietary,144,9,209
empty,proprietary,145,9,209
empty,proprietary,146,9,209
empty,proprietary,147,9,209
empty,proprietary,148,9,209
empty,proprietary,149,9,209
