City,PhoneNumber,original_index,unique_index,count
birmingham,2053258100,0,0,23
birmingham,2053258100,1,0,23
birmingham,2053258100,2,0,23
birminghxm,2053258100,3,1,1
birmingham,2053258100,4,0,23
birmingham,2053258100,5,0,23
birmingham,2053258100,6,0,23
birmingxam,2053258100,7,2,1
sheffield,2563864556,8,3,24
sheffield,2563864556,9,3,24
sheffxeld,2563864556,10,4,1
sheffield,2563864556,11,3,24
sheffield,2563864556,12,3,24
sheffield,2563864556,13,3,24
sheffield,2563864556,14,3,24
sheffield,2563864556,15,3,24
sheffield,2563864556,16,3,24
sheffield,2563864556,17,3,24
sheffield,2563864556,18,3,24
dothan,3347938701,19,5,23
dothan,3347938701,20,5,23
dothan,3347938701,21,5,23
dothan,3347938701,22,5,23
dothan,3347938701,23,5,23
dothan,334793870x,24,6,1
dothan,3347938701,25,5,23
dothan,3347938701,26,5,23
dothan,3347938701,27,5,23
dothan,3347938701,28,5,23
dothan,3347938701,29,5,23
dothan,3347938701,30,5,23
dothan,3347938701,31,5,23
dothan,3347938701,32,5,23
dothan,3347938701,33,5,23
dothan,3347938701,34,5,23
dothan,3347938701,35,5,23
dothan,xx479x8701,36,7,1
dothan,3347938701,37,5,23
dothan,3347938701,38,5,23
dothan,3347938701,39,5,23
dothan,3347938701,40,5,23
dothan,3347938701,41,5,23
dothan,3347938701,42,5,23
dothan,3347938701,43,5,23
boaz,2565938310,44,8,21
boaz,2565938310,45,8,21
boaz,2565938310,46,8,21
boaz,2565938310,47,8,21
boaz,2565938310,48,8,21
boaz,2565938310,49,8,21
boaz,2565938310,50,8,21
boaz,2565938310,51,8,21
boaz,2565938310,52,8,21
boaz,2565938310,53,8,21
boaz,2565938310,54,8,21
boaz,2565938310,55,8,21
boxz,2565938310,56,9,1
boaz,2x6x938310,57,10,2
boaz,2565938310,58,8,21
boaz,2565938310,59,8,21
boaz,2x6x938310,60,10,2
boaz,2565938310,61,8,21
boaz,2565938310,62,8,21
boaz,2565938310,63,8,21
boaz,2565938310,64,8,21
boaz,2565x38310,65,11,1
boaz,2565938310,66,8,21
boaz,2565938310,67,8,21
boaz,2565938310,68,8,21
florence,2567688400,69,12,22
florence,2567688400,70,12,22
florence,2567688400,71,12,22
florence,2567688400,72,12,22
florence,2567688400,73,12,22
florence,2567688400,74,12,22
florence,2567688400,75,12,22
florence,2567688400,76,12,22
florence,2567688400,77,12,22
florence,2567688400,78,12,22
fxorence,2567688400,79,13,1
florence,2567688400,80,12,22
florence,2567688400,81,12,22
florence,2567688400,82,12,22
florence,2567688400,83,12,22
florence,2567688400,84,12,22
florence,2567688400,85,12,22
florence,2567688400,86,12,22
florence,2567688400,87,12,22
florxncx,2567688400,88,14,1
florence,2567688400,89,12,22
florence,2567688400,90,12,22
florence,2567688400,91,12,22
florence,2567688400,92,12,22
flxrence,2567688400,93,15,1
opp,3344933541,94,16,24
opp,3344933541,95,16,24
opp,3344933541,96,16,24
opp,3344933541,97,16,24
opp,3344933541,98,16,24
opp,3344933541,99,16,24
opp,3344933541,100,16,24
opp,3344x33541,101,17,1
opp,3344933541,102,16,24
opp,3344933541,103,16,24
opp,3344933541,104,16,24
opp,3344933541,105,16,24
opp,3344933541,106,16,24
opp,3344933541,107,16,24
opp,3344933541,108,16,24
opp,3344933541,109,16,24
opp,3344933541,110,16,24
opp,3344933541,111,16,24
opp,3344933541,112,16,24
opp,3344933541,113,16,24
opp,3344933541,114,16,24
opp,3344933541,115,16,24
opp,3344933541,116,16,24
opp,3344933541,117,16,24
opp,3344933541,118,16,24
luverne,3343353374,119,18,25
luverne,3343353374,120,18,25
luverne,3343353374,121,18,25
luverne,3343353374,122,18,25
luverne,3343353374,123,18,25
luverne,3343353374,124,18,25
luverne,3343353374,125,18,25
luverne,3343353374,126,18,25
luverne,3343353374,127,18,25
luverne,3343353374,128,18,25
luverne,3343353374,129,18,25
luverne,3343353374,130,18,25
luverne,3343353374,131,18,25
luverne,3343353374,132,18,25
luverne,3343353374,133,18,25
luverne,3343353374,134,18,25
luverne,3343353374,135,18,25
luverne,3343353374,136,18,25
luverne,3343353374,137,18,25
luverne,3343353374,138,18,25
luverne,3343353374,139,18,25
luverne,3343353374,140,18,25
luverne,3343353374,141,18,25
luverne,3343353374,142,18,25
luverne,3343353374,143,18,25
hartselle,2567736511,144,19,25
hartselle,2567736511,145,19,25
hartselle,2567736511,146,19,25
hartselle,2567736511,147,19,25
hartselle,2567736511,148,19,25
hartselle,2567736511,149,19,25
hartselle,2567736511,150,19,25
hartselle,2567736511,151,19,25
hartselle,2567736511,152,19,25
hartselle,2567736511,153,19,25
hartselle,2567736511,154,19,25
hartselle,2567736511,155,19,25
hartselle,2567736511,156,19,25
hartselle,2567736511,157,19,25
hartselle,2567736511,158,19,25
hartselle,2567736511,159,19,25
hartselle,2567736511,160,19,25
hartselle,2567736511,161,19,25
hartselle,2567736511,162,19,25
hartselle,2567736511,163,19,25
hartselle,2567736511,164,19,25
hartselle,2567736511,165,19,25
hartselle,2567736511,166,19,25
hartselle,2567736511,167,19,25
hartselle,2567736511,168,19,25
guntersville,2565718000,169,20,24
guntersville,2565718000,170,20,24
guntersville,2565718000,171,20,24
guntersville,2565718000,172,20,24
guntersville,2565718000,173,20,24
guntersville,2565718000,174,20,24
guntersville,2565718000,175,20,24
guntersville,2565718000,176,20,24
guntersville,2565718000,177,20,24
guntersville,2565718000,178,20,24
guntersville,2565718000,179,20,24
guntxrsvillx,2565718000,180,21,1
guntersville,2565718000,181,20,24
guntersville,2565718000,182,20,24
guntersville,2565718000,183,20,24
guntersville,2565718000,184,20,24
guntersville,2565718000,185,20,24
guntersville,2565718000,186,20,24
guntersville,2565718000,187,20,24
guntersville,2565718000,188,20,24
guntersville,2565718000,189,20,24
guntersville,2565718000,190,20,24
guntersville,2565718000,191,20,24
guntersville,2565718000,192,20,24
guntersville,2565718000,193,20,24
birmingham,2058383122,194,22,22
birmingham,2058383122,195,22,22
birmingham,2058383122,196,22,22
birmingham,2058383122,197,22,22
birmingham,2058383122,198,22,22
birmingham,2058383122,199,22,22
birmingham,2058383122,200,22,22
birmingham,2058383122,201,22,22
birmingham,2058383122,202,22,22
birmingham,2058383122,203,22,22
birmingham,2058383122,204,22,22
birmingham,2058383122,205,22,22
birmingham,2058383122,206,22,22
birmixgham,2058383122,207,23,1
birmingham,2058383122,208,22,22
birmingham,2058383122,209,22,22
birmingham,2058383122,210,22,22
birmingham,2058383122,211,22,22
bxrmxngham,2058383122,212,24,1
birmingham,2058383122,213,22,22
birmingham,2058383122,214,22,22
birmingham,2058383122,215,22,22
birmingham,2058383122,216,22,22
birmingham,2058x8x122,217,25,1
birmingham,2058383122,218,22,22
fort payne,2568453150,219,26,24
fort payne,2568453150,220,26,24
fort payne,2568453150,221,26,24
fort payne,2568453150,222,26,24
fort payne,2568453150,223,26,24
fort payne,2568453150,224,26,24
fort payne,2568453150,225,26,24
fort payne,2568453150,226,26,24
fort payne,2568453150,227,26,24
fort payxe,2568453x50,228,27,1
fort payne,2568453150,229,26,24
fort payne,2568453150,230,26,24
fort payne,2568453150,231,26,24
