HospitalName,Address3,original_index,unique_index,count
callahan eye foundation hospital,empty,0,0,25
callahan eye foundation hospital,empty,1,0,25
callahan eye foundation hospital,empty,2,0,25
callahan eye foundation hospital,empty,3,0,25
callahan eye foundation hospital,empty,4,0,25
callahan eye foundation hospital,empty,5,0,25
callahan eye foundation hospital,empty,6,0,25
callahan eye foundation hospital,empty,7,0,25
helen keller memorial hospital,empty,8,1,25
helen keller memorial hospital,empty,9,1,25
helen keller memorial hospital,empty,10,1,25
helen keller memorial hospital,empty,11,1,25
helen keller memorial hospital,empty,12,1,25
helen keller memorial hospital,empty,13,1,25
helen keller memorial hospital,empty,14,1,25
helen keller memorial hospital,empty,15,1,25
helen keller memorial hospital,empty,16,1,25
helen keller memorial hospital,empty,17,1,25
helen keller memorial hospital,empty,18,1,25
southeast alabama medical center,empty,19,2,24
southeast alabama medical center,empty,20,2,24
southeast alabama medical center,empty,21,2,24
southeast alabama medical center,empty,22,2,24
southeast alabama medical center,empty,23,2,24
southeast alabama medical center,empty,24,2,24
southeast alabama medical center,empty,25,2,24
southeast alabama medxcal center,empty,26,3,1
southeast alabama medical center,empty,27,2,24
southeast alabama medical center,empty,28,2,24
southeast alabama medical center,empty,29,2,24
southeast alabama medical center,empty,30,2,24
southeast alabama medical center,empty,31,2,24
southeast alabama medical center,empty,32,2,24
southeast alabama medical center,empty,33,2,24
southeast alabama medical center,empty,34,2,24
southeast alabama medical center,empty,35,2,24
southeast alabama medical center,empty,36,2,24
southeast alabama medical center,empty,37,2,24
southeast alabama medical center,empty,38,2,24
southeast alabama medical center,empty,39,2,24
southeast alabama medical center,empty,40,2,24
southeast alabama medical center,empty,41,2,24
southeast alabama medical center,empty,42,2,24
southeast alabama medical center,empty,43,2,24
marshall medical center south,empty,44,4,25
marshall medical center south,empty,45,4,25
marshall medical center south,empty,46,4,25
marshall medical center south,empty,47,4,25
marshall medical center south,empty,48,4,25
marshall medical center south,empty,49,4,25
marshall medical center south,empty,50,4,25
marshall medical center south,empty,51,4,25
marshall medical center south,empty,52,4,25
marshall medical center south,empty,53,4,25
marshall medical center south,empty,54,4,25
marshall medical center south,empty,55,4,25
marshall medical center south,empty,56,4,25
marshall medical center south,empty,57,4,25
marshall medical center south,empty,58,4,25
marshall medical center south,empty,59,4,25
marshall medical center south,empty,60,4,25
marshall medical center south,empty,61,4,25
marshall medical center south,empty,62,4,25
marshall medical center south,empty,63,4,25
marshall medical center south,empty,64,4,25
marshall medical center south,empty,65,4,25
marshall medical center south,empty,66,4,25
marshall medical center south,empty,67,4,25
marshall medical center south,empty,68,4,25
eliza coffee memorial hospital,empty,69,5,25
eliza coffee memorial hospital,empty,70,5,25
eliza coffee memorial hospital,empty,71,5,25
eliza coffee memorial hospital,empty,72,5,25
eliza coffee memorial hospital,empty,73,5,25
