HospitalName,ZipCode,original_index,unique_index,count
callahan eye foundation hospital,35233,0,0,25
callahan eye foundation hospital,35233,1,0,25
callahan eye foundation hospital,35233,2,0,25
callahan eye foundation hospital,35233,3,0,25
callahan eye foundation hospital,35233,4,0,25
callahan eye foundation hospital,35233,5,0,25
callahan eye foundation hospital,35233,6,0,25
callahan eye foundation hospital,35233,7,0,25
helen keller memorial hospital,35660,8,1,25
helen keller memorial hospital,35660,9,1,25
helen keller memorial hospital,35660,10,1,25
helen keller memorial hospital,35660,11,1,25
helen keller memorial hospital,35660,12,1,25
helen keller memorial hospital,35660,13,1,25
helen keller memorial hospital,35660,14,1,25
helen keller memorial hospital,35660,15,1,25
helen keller memorial hospital,35660,16,1,25
helen keller memorial hospital,35660,17,1,25
helen keller memorial hospital,35660,18,1,25
southeast alabama medical center,36302,19,2,24
southeast alabama medical center,36302,20,2,24
southeast alabama medical center,36302,21,2,24
southeast alabama medical center,36302,22,2,24
southeast alabama medical center,36302,23,2,24
southeast alabama medical center,36302,24,2,24
southeast alabama medical center,36302,25,2,24
southeast alabama medxcal center,36302,26,3,1
southeast alabama medical center,36302,27,2,24
southeast alabama medical center,36302,28,2,24
southeast alabama medical center,36302,29,2,24
southeast alabama medical center,36302,30,2,24
southeast alabama medical center,36302,31,2,24
southeast alabama medical center,36302,32,2,24
southeast alabama medical center,36302,33,2,24
southeast alabama medical center,36302,34,2,24
southeast alabama medical center,36302,35,2,24
southeast alabama medical center,36302,36,2,24
southeast alabama medical center,36302,37,2,24
southeast alabama medical center,36302,38,2,24
southeast alabama medical center,36302,39,2,24
southeast alabama medical center,36302,40,2,24
southeast alabama medical center,36302,41,2,24
southeast alabama medical center,36302,42,2,24
southeast alabama medical center,36302,43,2,24
marshall medical center south,x5957,44,4,1
marshall medical center south,35957,45,5,23
marshall medical center south,35957,46,5,23
marshall medical center south,35957,47,5,23
marshall medical center south,35957,48,5,23
marshall medical center south,35957,49,5,23
marshall medical center south,35957,50,5,23
marshall medical center south,35957,51,5,23
marshall medical center south,35957,52,5,23
marshall medical center south,35957,53,5,23
marshall medical center south,35957,54,5,23
marshall medical center south,35957,55,5,23
marshall medical center south,35957,56,5,23
marshall medical center south,35957,57,5,23
marshall medical center south,35957,58,5,23
marshall medical center south,35957,59,5,23
marshall medical center south,35957,60,5,23
marshall medical center south,35957,61,5,23
marshall medical center south,35957,62,5,23
marshall medical center south,3595x,63,6,1
marshall medical center south,35957,64,5,23
marshall medical center south,35957,65,5,23
marshall medical center south,35957,66,5,23
marshall medical center south,35957,67,5,23
marshall medical center south,35957,68,5,23
eliza coffee memorial hospital,35631,69,7,23
eliza coffee memorial hospital,3563x,70,8,2
eliza coffee memorial hospital,35631,71,7,23
eliza coffee memorial hospital,35631,72,7,23
eliza coffee memorial hospital,35631,73,7,23
eliza coffee memorial hospital,35631,74,7,23
eliza coffee memorial hospital,35631,75,7,23
eliza coffee memorial hospital,35631,76,7,23
eliza coffee memorial hospital,35631,77,7,23
eliza coffee memorial hospital,35631,78,7,23
eliza coffee memorial hospital,35631,79,7,23
eliza coffee memorial hospital,35631,80,7,23
eliza coffee memorial hospital,35631,81,7,23
eliza coffee memorial hospital,35631,82,7,23
eliza coffee memorial hospital,35631,83,7,23
eliza coffee memorial hospital,35631,84,7,23
eliza coffee memorial hospital,35631,85,7,23
eliza coffee memorial hospital,35631,86,7,23
eliza coffee memorial hospital,35631,87,7,23
eliza coffee memorial hospital,35631,88,7,23
eliza coffee memorial hospital,35631,89,7,23
eliza coffee memorial hospital,35631,90,7,23
eliza coffee memorial hospital,35631,91,7,23
eliza coffee memorial hospital,35631,92,7,23
eliza coffee memorial hospital,3563x,93,8,2
mizell memorial hospital,36467,94,9,25
mizell memorial hospital,36467,95,9,25
mizell memorial hospital,36467,96,9,25
mizell memorial hospital,36467,97,9,25
mizell memorial hospital,36467,98,9,25
mizell memorial hospital,36467,99,9,25
mizell memorial hospital,36467,100,9,25
mizell memorial hospital,36467,101,9,25
mizell memorial hospital,36467,102,9,25
mizell memorial hospital,36467,103,9,25
mizell memorial hospital,36467,104,9,25
mizell memorial hospital,36467,105,9,25
mizell memorial hospital,36467,106,9,25
mizell memorial hospital,36467,107,9,25
mizell memorial hospital,36467,108,9,25
mizell memorial hospital,36467,109,9,25
mizell memorial hospital,36467,110,9,25
mizell memorial hospital,36467,111,9,25
mizell memorial hospital,36467,112,9,25
mizell memorial hospital,36467,113,9,25
mizell memorial hospital,36467,114,9,25
mizell memorial hospital,36467,115,9,25
mizell memorial hospital,36467,116,9,25
mizell memorial hospital,36467,117,9,25
mizell memorial hospital,36467,118,9,25
crenshaw community hospital,36049,119,10,22
crenshaw community hospital,36049,120,10,22
crenshaw community hospital,36049,121,10,22
crenshaw community hospital,36049,122,10,22
crenshaw community hospital,36049,123,10,22
crenshaw community hospital,36049,124,10,22
crenshaw community hospital,36049,125,10,22
crenshaw community hospital,36049,126,10,22
crenshaw community hospital,36049,127,10,22
crenshaw community hospital,36049,128,10,22
crenshaw community hospital,36049,129,10,22
crenshaw community hospital,36049,130,10,22
crenshaw cxmmunity hxspital,36049,131,11,1
crenshaw community hospital,36049,132,10,22
crenshaw community hospital,36049,133,10,22
crenshaw community hospital,36049,134,10,22
crenshaw community hospital,36049,135,10,22
crenshaw community hospital,36049,136,10,22
crenshaw community hospital,36x49,137,12,1
crenshaw community hospital,36049,138,10,22
crenshaw community hospital,360x9,139,13,1
crenshaw community hospital,36049,140,10,22
crenshaw community hospital,36049,141,10,22
crenshaw community hospital,36049,142,10,22
crenshaw community hospital,36049,143,10,22
hartselle medical center,35640,144,14,23
hartselle medical center,35640,145,14,23
hartselle medical center,35640,146,14,23
hartselle medical center,35640,147,14,23
hartselle medical center,35640,148,14,23
hartselle medical center,3x640,149,15,2
hartselle medical center,35640,150,14,23
hartselle medical center,35640,151,14,23
hartselle medical center,35640,152,14,23
hartselle medical center,35640,153,14,23
hartselle medical center,35640,154,14,23
hartselle medical center,35640,155,14,23
hartselle medical center,35640,156,14,23
hartselle medical center,3x640,157,15,2
hartselle medical center,35640,158,14,23
hartselle medical center,35640,159,14,23
hartselle medical center,35640,160,14,23
hartselle medical center,35640,161,14,23
hartselle medical center,35640,162,14,23
hartselle medical center,35640,163,14,23
hartselle medical center,35640,164,14,23
hartselle medical center,35640,165,14,23
hartselle medical center,35640,166,14,23
hartselle medical center,35640,167,14,23
