HospitalType,EmergencyService,original_index,unique_index,count
acute care hospitals,yes,0,0,802
acute care hospitals,yes,1,0,802
acute care hospitals,yes,2,0,802
acute care hospitals,yes,3,0,802
acute care hospitals,yes,4,0,802
acute care hospitals,yes,5,0,802
acute care hospitals,yes,6,0,802
acute care hospitals,yes,7,0,802
acute care hospitals,yes,8,0,802
acute care hospitals,yes,9,0,802
acute care hospitals,yes,10,0,802
acute care hospitals,yes,11,0,802
acute care hospitals,yes,12,0,802
acute care hospitals,yes,13,0,802
acute care hospitals,yes,14,0,802
acute care hospitals,yes,15,0,802
acuxe care hospixals,yes,16,1,8
acute care hospitals,yes,17,0,802
acute care hospitals,yes,18,0,802
acute care hospitals,yes,19,0,802
acute care hospitals,yes,20,0,802
acute care hospitals,yes,21,0,802
acute care hospitals,yes,22,0,802
acute care hospitals,yes,23,0,802
acute care hospitals,yxs,24,2,11
acute care hospitals,yes,25,0,802
acute care hospitals,yes,26,0,802
acute care hospitals,yes,27,0,802
acute care hospitals,yes,28,0,802
acute care hospitals,yes,29,0,802
acute care hospitals,yes,30,0,802
acute care hospitals,yes,31,0,802
acute care hospitals,yes,32,0,802
acute care hospitals,yes,33,0,802
acute care hospitals,yes,34,0,802
acute care hospitals,yes,35,0,802
acute care hospitals,yes,36,0,802
acute care hospitals,yes,37,0,802
acute care hospitals,yes,38,0,802
acxte care hospitals,yes,39,3,1
acute care hospitals,yes,40,0,802
acute care hospitals,yes,41,0,802
acute care hospitals,yes,42,0,802
acute care hospitals,yex,43,4,9
acute care hospitals,yes,44,0,802
acute care hospitals,yes,45,0,802
acute care hospitals,yes,46,0,802
acute care hospitals,yes,47,0,802
acute care hospitals,yes,48,0,802
acute care hospitals,yes,49,0,802
acute care hospitals,yes,50,0,802
acute care hospitals,yxs,51,2,11
acute care hospitals,yes,52,0,802
acute care hospitals,yes,53,0,802
acute care hospitals,yes,54,0,802
acute care hospitals,yes,55,0,802
acute care hospitals,yes,56,0,802
acute care hospitals,yes,57,0,802
acute care hospitals,yes,58,0,802
acute care hospitals,yes,59,0,802
acute care hospitals,yes,60,0,802
acute care hospitals,yes,61,0,802
acute care hospitals,yes,62,0,802
acute care hospitals,yes,63,0,802
acute care hospitals,yes,64,0,802
acute care hospitals,yes,65,0,802
acute care hospitals,yes,66,0,802
acute care hospitals,yes,67,0,802
acute care hospitals,yes,68,0,802
acute care hospitals,yes,69,0,802
acute care hospitals,yes,70,0,802
acute care hospitals,yes,71,0,802
acute care hospitals,yes,72,0,802
acute care hospitals,yes,73,0,802
acute care hospitals,yes,74,0,802
acute care hospitals,yes,75,0,802
acute care hospitals,yes,76,0,802
acute care hospitals,yes,77,0,802
acute care hospitals,yes,78,0,802
acute care hospitals,yes,79,0,802
acute care hospitals,yes,80,0,802
acute care hospitals,yes,81,0,802
acute care hospitals,yes,82,0,802
acute care hospitals,yes,83,0,802
acute care hospitals,yes,84,0,802
acute care hospitals,yes,85,0,802
acute care hospitals,yes,86,0,802
acute care hospitals,yes,87,0,802
acute care hospitals,yes,88,0,802
acute care hospitals,yes,89,0,802
acute care hospitals,yes,90,0,802
acute care hospitals,yes,91,0,802
acute care hospitals,yes,92,0,802
acute care hospitals,yes,93,0,802
acute care hospitals,no,94,5,139
acute care hospitals,no,95,5,139
acute care hospitals,no,96,5,139
acute care hospitals,no,97,5,139
acute care hosxitals,no,98,6,2
acute care hospitals,no,99,5,139
acute care hospitals,no,100,5,139
acute care hospitals,no,101,5,139
acute care hospitals,no,102,5,139
acute care hospitals,no,103,5,139
acute care hospitals,no,104,5,139
acute care hospitals,no,105,5,139
acute care hospitals,no,106,5,139
acute care hospitals,no,107,5,139
acute care hospitals,no,108,5,139
acute care hospitals,no,109,5,139
acute care hospitals,no,110,5,139
acute care hospitals,no,111,5,139
acute care hospitals,no,112,5,139
acute care hospitals,no,113,5,139
acute care hospitals,no,114,5,139
acute care hospitals,no,115,5,139
acute care hospitals,no,116,5,139
acute care hospitals,no,117,5,139
acute care hospitals,no,118,5,139
acute care hospitals,yes,119,0,802
acute care hospitals,yes,120,0,802
acute care hospitals,yes,121,0,802
acute care hospitals,yes,122,0,802
acute care hospitals,yes,123,0,802
acute care hospitals,yes,124,0,802
acute care hospitals,yes,125,0,802
acute care hospitals,yes,126,0,802
acute care hospitals,yes,127,0,802
acute care hospitals,yes,128,0,802
acute care hospitals,yes,129,0,802
acute care hospitals,yes,130,0,802
acute care hospitals,yes,131,0,802
acute care hospitals,yes,132,0,802
acute care hospitals,yes,133,0,802
acute care hospitals,yes,134,0,802
acute care hospitals,yes,135,0,802
acute care hospitals,yes,136,0,802
acute care hospitals,yes,137,0,802
acute care hospitals,yes,138,0,802
acute care hospitals,yes,139,0,802
acute care hospitals,yes,140,0,802
acute care hospitals,yes,141,0,802
acute care hospitals,yes,142,0,802
acute care hospitals,yes,143,0,802
acute care hospitals,yes,144,0,802
acute care hospitals,yes,145,0,802
acute care hospitals,yes,146,0,802
acute care hospitals,yes,147,0,802
acute care hospitals,yes,148,0,802
acute care hospitals,yes,149,0,802
acute care hospitals,yes,150,0,802
acute care hospitals,yes,151,0,802
acute care hospitals,yes,152,0,802
acute care hospitals,yes,153,0,802
acute care hospitals,yes,154,0,802
acute care hospitals,yes,155,0,802
acute care hospitals,yes,156,0,802
acute care hospitals,yxs,157,2,11
acute care hospitals,yes,158,0,802
acute care hospitals,yes,159,0,802
acute care hospitals,yes,160,0,802
acute care hospitals,yes,161,0,802
