HospitalType,HospitalOwner,original_index,unique_index,count
acute care hospitals,voluntary non-profit - private,0,0,248
acute care hospitals,voluntary non-profit - private,1,0,248
acute care hospitals,voluntary non-profit - private,2,0,248
acute care hospitals,voluntary non-profit - private,3,0,248
acute care hospitals,voluntary non-profit - private,4,0,248
acute care hospitals,voluntary non-profit - private,5,0,248
acute care hospitals,voluntary non-profit - private,6,0,248
acute care hospitals,voluntary non-profit - private,7,0,248
acute care hospitals,government - hospital district or authority,8,1,190
acute care hospitals,government - hospital district or authority,9,1,190
acute care hospitals,government - hospital district or authority,10,1,190
acute care hospitals,government - hospital district or authority,11,1,190
acute care hospitals,government - hospital district or authority,12,1,190
acute care hospitals,government - hospital district or authority,13,1,190
acute care hospitals,government - hospital district or authority,14,1,190
acute care hospitals,government - hospital district or authority,15,1,190
acuxe care hospixals,government - hospital district or authority,16,2,2
acute care hospitals,government - hospital district or authority,17,1,190
acute care hospitals,government - hospital district or authority,18,1,190
acute care hospitals,government - hospital district or authority,19,1,190
acute care hospitals,government - hospital district or authority,20,1,190
acute care hospitals,government - hospital district or authority,21,1,190
acute care hospitals,government - hospxtal dxstrxct or authorxty,22,3,1
acute care hospitals,government - hospital district or authority,23,1,190
acute care hospitals,government - hospital district or authority,24,1,190
acute care hospitals,government - hospital district or authority,25,1,190
acute care hospitals,government - hospital district or authority,26,1,190
acute care hospitals,government - hospital xistrict or authority,27,4,1
acute care hospitals,government - hospital district or authority,28,1,190
acute care hospitals,government - hospital district or authority,29,1,190
acute care hospitals,government - hospital district or authority,30,1,190
acute care hospitals,governmenx - hospixal disxricx or auxhorixy,31,5,1
acute care hospitals,government - hospital district or authority,32,1,190
acute care hospitals,government - hospital district or authority,33,1,190
acute care hospitals,government - hospital district or authority,34,1,190
acute care hospitals,government - hospital district or authority,35,1,190
acute care hospitals,government - hospital district or authority,36,1,190
acute care hospitals,government - hospital district or authority,37,1,190
acute care hospitals,government - hospital district or authority,38,1,190
acxte care hospitals,government - hospital district or authority,39,6,1
acute care hospitals,government - hospital district or authority,40,1,190
acute care hospitals,government - hospital district or authority,41,1,190
acute care hospitals,gxvernment - hxspital district xr authxrity,42,7,2
acute care hospitals,government - hospital district or authority,43,1,190
acute care hospitals,government - hospital district or authority,44,1,190
acute care hospitals,government - hospital district or authority,45,1,190
acute care hospitals,government - hospital district or authority,46,1,190
acute care hospitals,government - hospital district or authority,47,1,190
acute care hospitals,government - hospital district or authority,48,1,190
acute care hospitals,government - hospital district or authority,49,1,190
acute care hospitals,government - hospital district or authority,50,1,190
acute care hospitals,government - hospital district or authority,51,1,190
acute care hospitals,government - hospital district or authority,52,1,190
acute care hospitals,government - hospital district or authority,53,1,190
acute care hospitals,government - hospital district or authority,54,1,190
acute care hospitals,government - hospital district or authority,55,1,190
acute care hospitals,government - hospital district or authority,56,1,190
acute care hospitals,government - hospital district or authority,57,1,190
acute care hospitals,government - hospital district or authority,58,1,190
acute care hospitals,government - hospital district or authority,59,1,190
acute care hospitals,government - hospital district or authority,60,1,190
acute care hospitals,government - hospital district or authority,61,1,190
acute care hospitals,government - hospital district or authority,62,1,190
acute care hospitals,government - hospital district or authority,63,1,190
acute care hospitals,government - hospital district or authority,64,1,190
acute care hospitals,government - hospital district or authority,65,1,190
acute care hospitals,government - hospital district or authority,66,1,190
acute care hospitals,government - hospital district or authority,67,1,190
acute care hospitals,government - hospital district or authority,68,1,190
acute care hospitals,voluntary non-profit - other,69,8,120
acute care hospitals,voluntary non-profit - other,70,8,120
acute care hospitals,voluntary non-profit - other,71,8,120
acute care hospitals,voluntary non-profit - other,72,8,120
acute care hospitals,voluntary non-profit - other,73,8,120
acute care hospitals,voluntary non-profit - other,74,8,120
acute care hospitals,voluntary non-profit - other,75,8,120
acute care hospitals,voluntary non-profit - other,76,8,120
acute care hospitals,voluntary non-profit - other,77,8,120
acute care hospitals,voluntary non-profit - other,78,8,120
acute care hospitals,voluntary non-profit - other,79,8,120
acute care hospitals,voluntary non-profit - other,80,8,120
acute care hospitals,voluntary non-profit - other,81,8,120
acute care hospitals,voluntary non-profit - other,82,8,120
acute care hospitals,voluntary non-profit - other,83,8,120
acute care hospitals,voluntary non-profit - other,84,8,120
acute care hospitals,voluntary non-profit - other,85,8,120
acute care hospitals,voluntary non-profit - other,86,8,120
acute care hospitals,voluntary non-profit - other,87,8,120
acute care hospitals,voluntary non-profit - other,88,8,120
acute care hospitals,voluntary non-profit - other,89,8,120
acute care hospitals,voluntary non-profit - other,90,8,120
acute care hospitals,voluntary non-profit - other,91,8,120
acute care hospitals,voluntary non-profit - other,92,8,120
acute care hospitals,voluntary non-profit - other,93,8,120
acute care hospitals,voluntary non-profit - private,94,0,248
acute care hospitals,voluntary non-profit - private,95,0,248
acute care hospitals,voluntary non-profit - private,96,0,248
acute care hospitals,voluntary non-profit - private,97,0,248
acute care hosxitals,voluntary non-profit - private,98,9,4
acute care hospitals,voluntary non-profit - private,99,0,248
acute care hospitals,voluntary non-profit - private,100,0,248
acute care hospitals,voluntary non-profit - private,101,0,248
acute care hospitals,voluntary non-profit - private,102,0,248
acute care hospitals,voluntary non-profit - private,103,0,248
acute care hospitals,voluntary non-profit - private,104,0,248
acute care hospitals,voluntary non-profit - private,105,0,248
acute care hospitals,voluntary non-profit - private,106,0,248
acute care hospitals,voluntary non-profit - private,107,0,248
acute care hospitals,voluntary non-profit - private,108,0,248
acute care hospitals,voluntary non-profit - private,109,0,248
acute care hospitals,voluntary non-profit - private,110,0,248
acute care hospitals,voluntary non-profit - private,111,0,248
acute care hospitals,voluntary non-profit - private,112,0,248
acute care hospitals,volunxary non-profix - privaxe,113,10,2
acute care hospitals,voluntary non-profit - private,114,0,248
acute care hospitals,voluntary non-profit - private,115,0,248
acute care hospitals,voluntary non-profit - private,116,0,248
acute care hospitals,voluntary non-profit - private,117,0,248
acute care hospitals,voluntary non-profit - private,118,0,248
acute care hospitals,government - federal,119,11,50
acute care hospitals,government - federal,120,11,50
acute care hospitals,government - federal,121,11,50
acute care hospitals,government - federal,122,11,50
acute care hospitals,government - federal,123,11,50
acute care hospitals,government - federal,124,11,50
acute care hospitals,government - federal,125,11,50
acute care hospitals,government - federal,126,11,50
acute care hospitals,government - federal,127,11,50
acute care hospitals,government - federal,128,11,50
acute care hospitals,government - federal,129,11,50
acute care hospitals,government - federal,130,11,50
acute care hospitals,government - federal,131,11,50
acute care hospitals,government - federal,132,11,50
acute care hospitals,government - federal,133,11,50
acute care hospitals,government - federal,134,11,50
acute care hospitals,government - federal,135,11,50
acute care hospitals,government - federal,136,11,50
acute care hospitals,government - federal,137,11,50
acute care hospitals,government - federal,138,11,50
acute care hospitals,government - federal,139,11,50
acute care hospitals,government - federal,140,11,50
acute care hospitals,government - federal,141,11,50
acute care hospitals,government - federal,142,11,50
acute care hospitals,government - federal,143,11,50
acute care hospitals,proprietary,144,12,202
acute care hospitals,proprietary,145,12,202
acute care hospitals,proprietary,146,12,202
acute care hospitals,proprietary,147,12,202
acute care hospitals,proprietary,148,12,202
acute care hospitals,proprietary,149,12,202
acute care hospitals,proprietary,150,12,202
acute care hospitals,proprietary,151,12,202
acute care hospitals,proprietary,152,12,202
acute care hospitals,proprietary,153,12,202
acute care hospitals,proprietary,154,12,202
acute care hospitals,proprietary,155,12,202
acute care hospitals,proprietary,156,12,202
acute care hospitals,pxopxietaxy,157,13,2
acute care hospitals,proprietary,158,12,202
acute care hospitals,proxrietary,159,14,3
acute care hospitals,proprietary,160,12,202
acute care hospitals,proprietary,161,12,202
acute care hospitals,xroprietary,162,15,1
acute care hospitals,proprietary,163,12,202
acute care hospitals,pxopxietaxy,164,13,2
acute care hospitals,proprietary,165,12,202
acute care hospitals,proprietary,166,12,202
acute care hospitals,proprietary,167,12,202
acute care hospitals,proprietary,168,12,202
acute care hospitals,government - hospital district or authority,169,1,190
acute care hospitals,government - hospital district or authority,170,1,190
acute care hospitals,government - hospital district or authority,171,1,190
acute care hospitals,government - hospital district or authority,172,1,190
acute care hospitals,government - hospital district or authority,173,1,190
acute care hospitals,government - hospital district or authority,174,1,190
acute care hospitals,government - hospital district or authority,175,1,190
acute care hospitals,government - hospital district or authority,176,1,190
acute care hospitals,government - hospital district or authority,177,1,190
acute care hospitals,government - hospital district or authority,178,1,190
acute care hospitals,government - hospital district or authority,179,1,190
acute care hospitals,government - hospital district or authority,180,1,190
acute care hospitals,government - hospital district or authority,181,1,190
acute care hospitals,government - hospital district or authority,182,1,190
acute care hospitals,government - hospital district or authority,183,1,190
acute care hospitals,government - hospital district or authority,184,1,190
acute care hospitals,government - hospital district or authority,185,1,190
acute care hospitals,government - hospital district or authority,186,1,190
acute care hospitals,government - hospital district or authority,187,1,190
acute care hospitals,government - hospital district or authority,188,1,190
acute care hospitals,government - hospital district or authority,189,1,190
acute care hospitals,government - hospital district or authority,190,1,190
acute care hospitals,government - hospital district or authority,191,1,190
acute care hospitals,government - hospital district or authority,192,1,190
acute care hospitals,government - hospital district or authority,193,1,190
acute care hospitals,voluntary non-profit - private,194,0,248
acute care hospitals,voluntary non-profit - private,195,0,248
acute care hospitals,voluntary non-profit - private,196,0,248
acute care hospitals,voluntary non-profit - private,197,0,248
acute care hospitals,voluntary non-profit - private,198,0,248
acute care hosxitals,voluntary non-profit - private,199,9,4
acute care hospitals,voluntary non-profit - private,200,0,248
acute care hospitals,voluntary non-profit - private,201,0,248
acute care hospitals,voluntary non-profit - private,202,0,248
acute care hospitals,voluntary non-profit - private,203,0,248
acute care hospitals,voluntary non-profit - private,204,0,248
acute care hospitals,voluntary non-profit - private,205,0,248
acute care hospitals,voluntary non-profit - private,206,0,248
acute care hospitals,voluntary non-profit - private,207,0,248
acute care hospitals,voluntary non-profit - private,208,0,248
acute care hospitals,voluntary non-profit - private,209,0,248
acute care hospitals,voluntary non-profit - private,210,0,248
acute care hospitals,voluntary non-profit - private,211,0,248
acute care hospitals,voluntary non-profit - private,212,0,248
acutx carx hospitals,voluntary non-profit - private,213,16,2
acute care hospitals,voluntary non-profit - private,214,0,248
acute care hospitals,voluntary non-profit - private,215,0,248
acute care hospitals,volunxary non-profix - privaxe,216,10,2
acute care hospitals,voluntary non-profit - private,217,0,248
acute care hospitals,voluntary nonxprofit x private,218,17,1
acute care hospitals,voluntary non-profit - church,219,18,69
acute care hospitals,voluntary non-profit - church,220,18,69
acute care hospitals,voluntaryxnon-profitx-xchurch,221,19,1
acute care hospitals,voluntary non-profit - church,222,18,69
acute care hospitals,voluntary non-profit - church,223,18,69
acute care hospitals,voluntary non-profit - church,224,18,69
acute care hospitals,voluntary non-profit - church,225,18,69
acute care hospitals,voluntary non-profit - church,226,18,69
acute care hospitals,voluntary non-profit - church,227,18,69
acute care hospitals,voluntary non-profit - church,228,18,69
acute care hospitals,voluntary non-profit - church,229,18,69
acute care hospitals,voluntary non-profit - church,230,18,69
acute care hospitals,voluntary non-profit - church,231,18,69
acute care hospitals,voluntary non-profit - church,232,18,69
acute care hospitals,voluntary non-profit - church,233,18,69
acute care hospitals,voluntary non-profit - church,234,18,69
acute care hospitals,voluntary non-profit - church,235,18,69
acute care hospitals,voluntary non-profit - church,236,18,69
acute care hospitals,voluntary non-profit - church,237,18,69
acute care hospitals,voxuntary non-profit - church,238,20,1
acute care hospitals,voluntary non-profit - church,239,18,69
acute care hospitals,voluntary non-profit - church,240,18,69
acute care hospitals,voluntary non-profit - church,241,18,69
acute care hospitals,voluntary non-profit - church,242,18,69
acute care hospitals,voluntary non-profit - church,243,18,69
acute care hospitals,government - federal,244,11,50
acute care hospitals,government - federal,245,11,50
acute care hospitals,government - federal,246,11,50
acute care hospitals,governxent - federal,247,21,1
