MeasureCode,Sample,original_index,unique_index,count
scip-card-2,empty,0,0,6
scip-inf-1,empty,1,1,4
scip-inf-2,empty,2,2,4
scip-inf-3,empty,3,3,4
scip-inf-4,empty,4,4,4
scip-inf-6,empty,5,5,4
scip-vte-1,empty,6,6,4
scip-vte-2,empty,7,7,4
ami-1,33 patients,8,8,1
ami-2,13 patients,9,9,1
ami-3,4 patients,10,10,1
ami-4,4 patients,11,11,2
ami-5,14 patients,12,12,1
ami-7a,0 patients,13,13,28
ami-8a,0 patients,14,14,23
hf-1,114 patients,15,15,1
hf-2,149 patients,16,16,1
hf-3,3x patients,17,17,1
hf-4,41 patients,18,18,2
ami-1,270 patients,19,19,1
ami-2,516 patients,20,20,1
ami-3,71 patients,21,21,1
ami-4,244 patients,22,22,1
ami-5,441 patients,23,23,1
ami-7a,0 patients,24,13,28
ami-8a,40 patients,25,24,1
hf-1,455 patients,26,25,1
hf-2,514 patients,27,26,1
hf-3,165 patients,28,27,1
hf-4,110 patients,29,28,1
pn-2,191 patients,30,29,1
pn-3b,125 patients,31,30,1
pn-4,107 patients,32,31,1
pn-5c,196 patients,33,32,1
pn-6,147 patients,34,33,1
pn-7,160 patients,35,34,1
scip-card-2,79 patients,36,35,1
scip-inf-1,399 patients,37,36,1
scip-inf-2,405 patients,38,37,1
scip-inf-3,385 patients,39,38,1
scip-inf-4,136 patients,40,39,1
scip-inf-6,537 patients,41,40,1
scip-vte-1,185 patients,42,41,1
scip-vte-2,184 patients,43,42,1
ami-1,20 patients,44,43,1
ami-2,5 patients,45,44,3
ami-3,2 patients,46,45,4
ami-4,0 patients,47,46,12
ami-5,5 patients,48,47,2
ami-7a,0 patients,49,13,28
ami-8a,0 patients,50,14,23
hf-1,110 patients,51,48,1
hf-2,160 patients,52,49,1
hf-3,69 patients,53,50,2
hf-4,34 patients,54,51,1
pn-2,172 patients,55,52,1
pn-3b,120 patients,56,53,1
pn-4,98 patients,57,54,1
pn-5c,211 patients,58,55,1
pn-6,175 patients,59,56,1
pn-7,118 patients,60,57,1
scip-card-2,14 patients,61,58,2
scip-inf-1,168 patients,62,59,1
scip-inf-2,167 patients,63,60,1
scip-inf-3,158 patients,64,61,1
scip-inf-4,0 patients,65,62,17
scip-inf-6,237 patients,66,63,1
scip-vte-1,76 patients,67,64,1
scip-vte-2,76 patients,68,65,2
ami-1,159 patients,69,66,1
ami-2,247 patients,70,67,1
ami-3,43 patients,71,68,1
ami-4,103 patients,72,69,1
ami-5,227 patients,73,70,1
ami-7a,0 patients,74,13,28
ami-8a,61 patients,75,71,1
hf-1,217 patients,76,72,1
hf-2,259 patients,77,73,2
hf-3,84 patients,78,74,2
hf-4,53 patients,79,75,1
pn-2,174 patients,80,76,1
pn-3b,137 patients,81,77,1
pn-4,65 patients,82,78,2
pn-5c,200 patients,83,79,1
pn-6,138 patients,84,80,1
pn-7,85 patients,85,81,2
scip-card-2,107 patients,86,82,2
scip-inf-1,457 patients,87,83,1
scip-inf-2,462 patients,88,84,1
scip-inf-3,439 patients,89,85,1
scip-inf-4,130 patients,90,86,1
scip-inf-6,619 paxienxs,91,87,1
scip-vte-1,242 patients,92,88,1
scip-vte-2,242 patients,93,89,1
ami-1,5 patients,94,90,1
ami-2,2 patients,95,91,2
ami-3,0 patients,96,92,7
axi-4,0 patients,97,93,1
ami-5,2 patients,98,94,2
ami-7a,0 patients,99,13,28
ami-8a,0 patients,100,14,23
hfx1,59 patients,101,95,1
hf-2,76 patients,102,96,1
hf-3,14 patients,103,97,1
hf-4,8 patients,104,98,2
pn-2,85 patients,105,99,1
pn-3b,64 patients,106,100,1
pn-4,28 patients,107,101,1
pnx5c,87 patients,108,102,1
pn-6,57 patients,109,103,2
pn-7,63 patients,110,104,1
scip-card-2,11 patients,111,105,1
scip-inf-1,101 patients,112,106,1
scip-inf-2,101 patients,113,107,1
scip-inf-3,100 patients,114,108,1
scip-inf-4,0 patixnts,115,109,1
scip-inf-6,123 patients,116,110,1
scip-vte-1,77 patients,117,111,1
scip-vte-2,76 patients,118,65,2
ami-1,1 patients,119,112,2
axi-2,1 patients,120,113,1
ami-3,0 patients,121,92,7
ami-4,0 patients,122,46,12
ami-5,1 patients,123,114,2
ami-7a,0 patients,124,13,28
ami-8a,0 patients,125,14,23
hf-1,26 patients,126,115,1
hf-2,39 patients,127,116,2
hf-3,8 patients,128,117,1
hf-4,5 patients,129,118,1
pn-2,16 patients,130,119,1
pn-3b,15 patients,131,120,1
pn-4,9 patients,132,121,1
pn-5c,21 pxtients,133,122,1
pn-6,21 patients,134,123,1
pn-7,15 patients,135,124,1
scip-card-2,1 patients,136,125,2
scip-inf-1,2 patients,137,126,2
scip-inf-2,2 patients,138,127,2
scip-inf-3,2 patients,139,128,1
scip-inf-4,0 patients,140,62,17
scip-inf-6,4 patients,141,129,1
scip-vte-1,4 patients,142,130,2
scip-vte-2,4 patients,143,131,2
ami-1,6 patients,144,132,1
ami-2,1 patients,145,133,4
ami-3,1 patients,146,134,8
ami-4,2 patients,147,135,2
ami-5,3 patients,148,136,4
ami-7a,0 patients,149,13,28
ami-8a,0 patients,150,14,23
hf-1,35 patients,151,137,2
hf-2,42 patients,152,138,1
hf-3,10 patients,153,139,2
hf-4,12 patients,154,140,2
pn-2,44 patients,155,141,1
pn-3b,30 patients,156,142,1
pn-4,25 patients,157,143,1
pn-5c,51 patients,158,144,1
pn-6,45 patients,159,145,1
pn-7,30 patients,160,146,1
scip-card-2,3 patients,161,147,3
scip-inf-1,6 patients,162,148,1
scip-inf-2,7 patients,163,149,1
scip-inf-3,5 patients,164,150,1
scip-inf-4,0 patients,165,62,17
scip-inf-6,xx patients,166,151,1
scip-vte-1,9 patients,167,152,1
scip-vte-2,9 patients,168,153,1
ami-1,8 patients,169,154,2
ami-2,6xpatients,170,155,1
ami-3,2 patients,171,45,4
ami-4,2 patients,172,135,2
ami-5,6 patients,173,156,3
ami-7a,0 patients,174,13,28
ami-8a,0 patients,175,14,23
hf-1,55 patients,176,157,1
hf-x,80 patients,177,158,1
hf-3,27 patients,178,159,1
hf-4,10 patients,179,160,2
pn-2,128 patients,180,161,1
pn-3b,115 patients,181,162,1
pn-4,65 patients,182,78,2
pn-5c,158 patients,183,163,1
pn-6,133 patients,184,164,1
pn-7,101 patients,185,165,1
scip-card-2,14 patients,186,58,2
scip-inf-1,66 patients,187,166,1
scip-inf-2,64 patients,188,167,1
scip-inf-3,63 patients,189,168,1
scip-inx-4,0 patients,190,169,1
scip-inf-6,155 patients,191,170,1
scip-vte-1,56 patients,192,171,1
scip-vte-2,56 patients,193,172,1
ami-1,240 patients,194,173,1
ami-2,295 patients,195,174,1
ami-3,70 patients,196,175,1
ami-4,131 patients,197,176,1
ami-5,288 patients,198,177,1
ami-7a,0 patients,199,13,28
ami-8a,48 patients,200,178,1
hf-1,316 patients,201,179,1
hf-2,372 patients,202,180,1
