MeasureCode,Score,original_index,unique_index,count
scip-card-2,empty,0,0,7
scip-inf-1,empty,1,1,5
scip-inf-2,empty,2,2,5
scip-inf-3,empty,3,3,5
scip-inf-4,empty,4,4,23
scip-inf-6,empty,5,5,4
scip-vte-1,empty,6,6,5
scip-vte-2,empty,7,7,5
ami-1,97%,8,8,3
ami-2,92%,9,9,2
ami-3,75%,10,10,1
ami-4,100%,11,11,21
ami-5,86%,12,12,1
ami-7a,empty,13,13,32
ami-8a,empty,14,14,25
hf-1,80%,15,15,1
hf-2,99%,16,16,6
hf-3,92%,17,17,2
hf-4,100%,18,18,28
ami-1,98%,19,19,5
ami-2,99%,20,20,2
ami-3,96%,21,21,1
ami-4,100%,22,11,21
ami-5,99%,23,22,2
ami-7a,empty,24,13,32
ami-8a,72%,25,23,1
hf-1,78%,26,24,2
hf-2,99%,27,16,6
hf-3,91%,28,25,1
hf-4,100%,29,18,28
pn-2,93%,30,26,3
pn-3b,89%,31,27,2
pn-4,99%,32,28,1
pn-5c,92%,33,29,2
pn-6,80%,34,30,1
pn-7,84%,35,31,1
scip-card-2,72%,36,32,1
scip-inf-1,94%,37,33,2
scip-inf-2,98%,38,34,4
scip-inf-3,88%,39,35,2
scip-inf-4,96%,40,36,1
scip-inf-6,90%,41,37,1
scip-vte-1,86%,42,38,2
scip-vte-2,83%,43,39,2
ami-1,80%,44,40,1
ami-2,60%,45,41,2
ami-3,100%,46,42,15
ami-4,empty,47,43,14
ami-5,100%,48,44,14
ami-7a,empty,49,13,32
ami-8a,empty,50,14,25
hf-1,78%,51,24,2
hf-2,99%,52,16,6
hf-3,90%,53,45,3
hf-4,94%,54,46,2
pn-2,97%,55,47,5
pn-3b,97%,56,48,3
pn-4,97%,57,49,3
pn-5c,96%,58,50,5
pn-6,92%,59,51,3
pn-7,81%,60,52,3
scip-card-2,36%,61,53,1
scip-inf-1,96%,62,54,2
scip-inf-2,93%,63,55,4
scip-inf-3,95%,64,56,1
scip-inf-4,empty,65,4,23
scip-inf-6,100%,66,57,26
scip-vte-1,78%,67,58,2
scip-vte-2,74%,68,59,1
ami-1,97%,69,8,3
ami-2,96%,70,60,3
ami-3,93%,71,61,3
ami-4,100%,72,11,21
ami-5,96%,73,62,3
ami-7a,empty,74,13,32
ami-8a,98%,75,63,2
hf-1,79%,76,64,1
hf-2,97%,77,65,1
hf-3,82%,78,66,1
hf-4,100%,79,18,28
pn-2,90%,80,67,2
pn-3b,95%,81,68,5
pn-4,100%,82,69,19
pn-5c,96%,83,50,5
pn-6,91%,84,70,2
pn-7,88%,85,71,3
scip-card-2,96%,86,72,1
scip-inf-1,99%,87,73,5
scip-inf-2,99%,88,74,5
scip-inf-3,94%,89,75,3
scip-inf-4,89%,90,76,1
scip-inf-6,100%,91,57,26
scip-vte-1,95%,92,77,4
scip-vte-2,92%,93,78,1
ami-1,60%,94,79,1
ami-2,50%,95,80,2
ami-3,empty,96,81,9
axi-4,empty,97,82,1
ami-5,100%,98,44,14
ami-7a,empty,99,13,32
ami-8a,empty,100,14,25
hfx1,98%,101,83,1
hf-2,87%,102,84,1
hf-3,64%,103,85,1
hf-4,100%,104,18,28
pn-2,87%,105,86,4
pn-3b,78%,106,87,1
pn-4,100%,107,69,19
pnx5c,95%,108,88,1
pn-6,88%,109,89,2
pn-7,90%,110,90,4
scip-card-2,91%,111,91,2
scip-inf-1,88%,112,92,2
scip-inf-2,91%,113,93,3
scip-inf-3,93%,114,94,2
scip-inf-4,empty,115,4,23
scip-inf-6,100%,116,57,26
scip-vte-1,87%,117,95,1
scip-vte-2,88%,118,96,2
ami-1,0%,119,97,1
axi-2,x00%,120,98,1
ami-3,empty,121,81,9
ami-4,empty,122,43,14
ami-5,0%,123,99,1
ami-7a,empty,124,13,32
ami-8a,empty,125,14,25
hf-1,4%,126,100,1
hf-2,72%,127,101,1
hf-3,75%,128,102,2
hf-4,0%,129,103,1
pn-2,25%,130,104,2
pn-3b,93%,131,105,2
pn-4,33%,132,106,1
pn-5c,95%,133,107,3
pn-6,62%,134,108,1
pn-7,47%,135,109,1
scip-card-2,100%,136,110,7
scip-inf-1,100%,137,111,6
scip-inf-2,100%,138,112,6
scip-inf-3,100%,139,113,4
scip-inf-4,empty,140,4,23
scip-inf-6,100%,141,57,26
scip-vte-1,100%,142,114,6
scip-vte-2,100%,143,115,6
ami-1,100%,144,116,13
ami-2,100%,145,117,16
ami-3,100%,146,42,15
ami-4,100%,147,11,21
ami-5,100%,148,44,14
ami-7a,empty,149,13,32
ami-8a,empty,150,14,25
hf-1,97%,151,118,1
hf-2,98%,152,119,4
hf-3,100%,153,120,8
hf-4,100%,154,18,28
pn-2,98%,155,121,1
pn-3b,100%,156,122,9
pn-4,100%,157,69,19
pn-5c,9x%,158,123,1
pn-6,100%,159,124,3
pn-7,97%,160,125,1
scip-card-2,67%,161,126,3
scip-inf-1,100%,162,111,6
scip-inf-2,x7%,163,127,1
scip-inf-3,80%,164,128,1
scip-inf-4,empty,165,4,23
scip-inf-6,100%,166,57,26
scip-vte-1,78%,167,58,2
scip-vte-2,78%,168,129,1
ami-1,100%,169,116,13
ami-2,100%,170,117,16
ami-3,50%,171,130,1
ami-4,100%,172,11,21
ami-5,83%,173,131,2
ami-7a,empty,174,13,32
ami-8a,empty,175,14,25
hf-1,93%,176,132,1
hf-x,84%,177,133,1
hf-3,78%,178,134,2
hf-4,100%,179,18,28
pn-2,87%,180,86,4
pn-3b,94%,181,135,2
pn-4,94%,182,136,3
pn-5c,97%,183,137,8
pn-6,93%,184,138,3
pn-7,90%,185,90,4
scip-card-2,86%,186,139,1
scip-inf-1,95x,187,140,1
scip-inf-2,91%,188,93,3
scip-inf-3,100%,189,113,4
scip-inx-4,empty,190,141,1
scip-inf-6,100%,191,57,26
scip-vte-1,86%,192,38,2
scip-vte-2,84%,193,142,2
ami-1,99%,194,143,3
ami-2,96%,195,60,3
ami-3,91%,196,144,3
ami-4,100%,197,11,21
ami-5,99%,198,22,2
ami-7a,empty,199,13,32
ami-8a,85%,200,145,2
hf-1,94%,201,146,1
hf-2,98%,202,119,4
hf-3,98%,203,147,2
hf-4,100%,204,18,28
pn-2,87%,205,86,4
pn-3b,96%,206,148,3
pn-4,100%,207,69,19
pn-5c,x5%,208,149,1
pn-6,91%,209,70,2
pn-7,85%,210,150,1
scip-card-2,83%,211,151,2
scip-inf-1,97%,212,152,3
scip-inf-2,98%,213,34,4
scip-inf-3,81%,214,153,1
scip-inf-4,60%,215,154,1
scip-inf-6,100%,216,57,26
scip-vte-1,89%,217,155,1
scip-vte-2,83%,218,39,2
ami-1,100%,219,116,13
ami-2,95%,220,156,1
ami-3,91%,221,144,3
ami-4,100%,222,11,21
ami-5,95%,223,157,3
ami-7a,100%,224,158,1
ami-8a,40%,225,159,2
hf-1,89%,226,160,1
hf-2,100%,227,161,12
hf-3,94%,228,162,4
hf-4,100%,229,18,28
pn-2,97%,230,47,5
pn-3b,93%,231,105,2
pn-4,100%,232,69,19
pn-5c,99%,233,163,4
pn-6,88%,234,89,2
pn-7,98%,235,164,2
scip-card-2,100%,236,110,7
scip-inf-1,9x%,237,165,1
scip-inf-2,xx%,238,166,1
scip-inf-3,98%,239,167,2
scip-inf-4,empty,240,4,23
scip-inf-6,100%,241,57,26
scip-vte-1,97%,242,168,2
scip-vte-2,97%,243,169,1
ami-1,empty,244,170,5
ami-2,empty,245,171,4
ami-3,empty,246,81,9
ami-4,empty,247,43,14
ami-5,empty,248,172,3
ami-7a,empty,249,13,32
ami-8a,empty,250,14,25
hf-1,100%,251,173,5
hf-2,89x,252,174,1
hf-3,88%,253,175,1
hf-4,88%,254,176,1
pn-2,92%,255,177,2
pn-3b,x6%,256,178,1
pn-4,100%,257,69,19
pn-5c,96%,258,50,5
pn-6,100%,259,124,3
pn-7,92%,260,179,4
scip-card-2,empty,261,0,7
scip-inf-1,86%,262,180,1
scip-inf-2,93%,263,55,4
scxp-xnf-3,86%,264,181,1
scip-inf-4,empty,265,4,23
scip-inf-6,100%,266,57,26
scip-vte-1,90%,267,182,2
scip-vte-2,90%,268,183,3
ami-1,99%,269,143,3
ami-2,97%,270,184,3
ami-3,100%,271,42,15
ami-4,100%,272,11,21
ami-5,97%,273,185,2
ami-7a,empty,274,13,32
ami-8a,83%,275,186,2
hf-1,86%,276,187,1
hf-2,100%,277,161,12
hf-3,97%,278,188,2
hf-4,100%,279,18,28
pn-2,97%,280,47,5
pn-3b,100%,281,122,9
pn-4,100%,282,69,19
pn-5c,96%,283,50,5
pn-6,93%,284,138,3
pn-7,92%,285,179,4
scip-card-2,89%,286,189,3
scip-inf-1,98%,287,190,3
scip-inf-2,99%,288,74,5
scip-inf-3,91%,289,191,1
scip-inf-4,93%,290,192,1
scip-inf-6,100%,291,57,26
scip-vte-1,97%,292,168,2
scip-vte-2,94%,293,193,3
ami-1,empty,294,170,5
ami-2,empty,295,171,4
ami-3,empty,296,81,9
ami-4,empty,297,43,14
ami-5,empty,298,172,3
ami-7a,empty,299,13,32
ami-8a,empty,300,14,25
hf-1,empty,301,194,1
hf-2,empty,302,195,1
hf-3,empty,303,196,2
hf-4,empty,304,197,2
pn-2,empty,305,198,1
pn-3b,empty,306,199,1
pn-4,empty,307,200,1
pn-5c,empty,308,201,1
pn-6,empty,309,202,1
pn-7,empty,310,203,1
cac-2,100%,311,204,2
cac-3,33%,312,205,1
ami-1,98%,313,19,5
ami-2,96%,314,60,3
ami-3,93%,315,61,3
ami-4,100%,316,11,21
ami-5,93%,317,206,1
ami-7a,0%,318,207,4
ami-8a,87%,319,208,1
hf-1,87%,320,209,2
hf-2,100%,321,161,12
hf-3,90%,322,45,3
hf-4,100%,323,18,28
pn-2,97%,324,47,5
pn-3b,100%,325,122,9
pn-4,100%,326,69,19
pn-5c,97%,327,137,8
pn-6,92%,328,51,3
pn-7,91%,329,210,2
scip-card-2,83%,330,151,2
hf-2,100%,331,161,12
hf-3,100%,332,120,8
hf-4,100%,333,18,28
pn-2,100%,334,211,5
pn-3b,100%,335,122,9
pn-4,x00%,336,212,1
pn-5c,99%,337,163,4
pn-6,99%,338,213,2
pn-7,99%,339,214,3
scip-card-2,100%,340,110,7
scip-inf-1,100%,341,111,6
scip-inf-2,100%,342,112,6
scip-inf-3,99%,343,215,2
scip-inf-4,98%,344,216,2
scip-inf-6,100%,345,57,26
scip-vte-1,100%,346,114,6
