MeasureName,Score,original_index,unique_index,count
surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,empty,0,0,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,1,1,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,2,2,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,3,3,5
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,4,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,5,5,4
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,6,6,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,7,7,5
heart attack patients given aspirin at arrival,97%,8,8,3
heart attack patients given aspirin at discharge,92%,9,9,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,10,10,1
heart attack patients given smoking cessation advice/counseling,100%,11,11,21
heart attack patients given beta blocker at discharge,86%,12,12,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,13,13,32
heart attack patients given pci within 90 minutes of arrival,empty,14,14,25
heart failure patients given discharge instructions,80%,15,15,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,16,16,6
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,17,17,2
heart failure patients given smoking cessation advice/counseling,100%,18,18,26
heart attack patients given aspirin at arrival,98%,19,19,5
heart attack patients given aspirin at discharge,99%,20,20,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,21,21,1
heart attack patients given smoking cessation advice/counseling,100%,22,11,21
heart attack patients given beta blocker at discharge,99%,23,22,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,24,13,32
heart attack patients given pci within 90 minutes of arrival,72%,25,23,1
heart failure patients given discharge instructions,78%,26,24,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,27,16,6
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,28,25,1
heart failure patients given smoking cessation advice/counseling,100%,29,18,26
pneumonia patients assessed and given pneumococcal vaccination,93%,30,26,3
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,31,27,3
pneumonia patients given smoking cessation advice/counseling,99%,32,28,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,33,29,2
pneumonia patients given the most appropriate initial antibiotic(s),80%,34,30,1
pneumonia patients assessed and given influenza vaccination,84%,35,31,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,72%,36,32,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,37,33,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,38,34,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88%,39,35,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96%,40,36,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),90%,41,37,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,42,38,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,43,39,2
heart attack patients given aspirin at arrival,80%,44,40,1
heart attack patients given aspirin at discharge,60%,45,41,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,46,42,15
heart attack patients given smoking cessation advice/counseling,empty,47,43,16
heart attack patients given beta blocker at discharge,100%,48,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,49,13,32
heart attack patients given pci within 90 minutes of arrival,empty,50,14,25
heart failure patients given discharge instructions,78%,51,24,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,52,16,6
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),90%,53,45,3
heart failure patients given smoking cessation advice/counseling,94%,54,46,2
pneumonia patients assessed and given pneumococcal vaccination,97%,55,47,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,97%,56,48,3
pneumonia patients given smoking cessation advice/counseling,97%,57,49,3
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,58,50,5
pneumonia patients given the most appropriate initial antibiotic(s),92%,59,51,3
pneumonia patients assessed and given influenza vaccination,81%,60,52,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,36%,61,53,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,96%,62,54,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,93%,63,55,4
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),95%,64,56,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,65,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,66,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,78%,67,58,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,74%,68,59,1
heart attack patients given aspirin at arrival,97%,69,8,3
heart attack patients given aspirin at discharge,96%,70,60,3
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,71,61,3
heart attack patients given smoking cessation advice/counseling,100%,72,11,21
heart attack patients given beta blocker at discharge,96%,73,62,3
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,74,13,32
heart attack patients given pci within 90 minutes of arrival,98%,75,63,1
heart failure patients given discharge instructions,79%,76,64,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,97%,77,65,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),82%,78,66,1
heart failure patients given smoking cessation advice/counseling,100%,79,18,26
pneumonia patients assessed and given pneumococcal vaccination,90%,80,67,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95%,81,68,5
pneumonia patients given smoking cessation advice/counseling,100%,82,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,83,50,5
pneumonia patients given the most appropriate initial antibiotic(s),91%,84,70,2
pneumonia patients assessed and given influenza vaccination,88%,85,71,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,96%,86,72,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,87,73,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,88,74,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),94%,89,75,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,89%,90,76,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,91,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,95%,92,77,4
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,92%,93,78,1
xeart attack patients given aspirin at arrival,60%,94,79,1
heart attack patients given aspirin at discharge,50%,95,80,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,96,81,8
heart attack patients given smoking cessation advice/counseling,empty,97,43,16
heart attack patients given beta blocker at discharge,100%,98,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,99,13,32
heart attack patients given pci within 90 minutes of arrival,empty,100,14,25
heart failure patients given discharge instructions,98%,101,82,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,87%,102,83,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),64%,103,84,1
heart failure patients given smoking cessation advice/counseling,100%,104,18,26
pneumonia patients assessed and given pneumococcal vaccination,87%,105,85,4
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,106,86,1
pneumonia patients given smoking cessation advice/counseling,100%,107,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,108,87,4
pneumonia patients given the most appropriate initial antibiotic(s),88%,109,88,2
pneumonia patients assessed and given influenza vaccination,90%,110,89,4
surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,91%,111,90,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,112,91,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,113,92,3
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93%,114,93,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,115,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,116,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,87%,117,94,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,88%,118,95,2
heart attack patients given aspirin at arrivax,0%,119,96,1
heart attack patients given aspirin at discharge,x00%,120,97,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,121,81,8
heart attack patients given smoking cessation advice/counseling,empty,122,43,16
heart attack patients given beta blocker at discharge,0%,123,98,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,124,13,32
heart attack patients given pci within 90 minutes of arrival,empty,125,14,25
heart failure patients given discharge instructions,4%,126,99,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,72%,127,100,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,128,101,2
heart failure patients given smoking cessation advice/counseling,0%,129,102,1
pneumonia patients assessed and given pneumococcal vaccination,25%,130,103,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,131,104,2
pneumonia patients given smoking cessation advice/counseling,33%,132,105,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,133,87,4
pneumonia patients given the most appropriate initial antibiotic(s),62%,134,106,1
pneumonia patients assessed and given influenza vaccination,47%,135,107,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,136,108,7
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,137,109,6
surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,138,110,6
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,139,111,4
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,140,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,141,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,142,112,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,100%,143,113,6
heart attack patients given aspirin at arrival,100%,144,114,12
heart attaxk patients given aspirin at disxharge,100%,145,115,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,146,42,15
heart attack patients given smoking cessation advice/counseling,100%,147,11,21
heart attack patients given beta blocker at discharge,100%,148,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,149,13,32
heart attack patients given pci within 90 minutes of arrival,empty,150,14,25
heart failure patients given discharge instructions,97%,151,116,1
