ProviderNumber,Address2,original_index,unique_index,count
10018,empty,0,0,25
10018,empty,1,0,25
10018,empty,2,0,25
10018,empty,3,0,25
10018,empty,4,0,25
10018,empty,5,0,25
10018,empty,6,0,25
10018,empty,7,0,25
10019,empty,8,1,24
10019,empty,9,1,24
10019,empty,10,1,24
10019,empty,11,1,24
10019,empty,12,1,24
1xx19,empty,13,2,1
10019,empty,14,1,24
10019,empty,15,1,24
10019,empty,16,1,24
10019,empty,17,1,24
10019,empty,18,1,24
10001,empty,19,3,25
10001,empty,20,3,25
10001,empty,21,3,25
10001,empty,22,3,25
10001,empty,23,3,25
10001,empty,24,3,25
10001,empty,25,3,25
10001,empty,26,3,25
10001,empty,27,3,25
10001,empty,28,3,25
10001,empty,29,3,25
10001,empty,30,3,25
10001,empty,31,3,25
10001,empty,32,3,25
10001,empty,33,3,25
10001,empty,34,3,25
10001,empty,35,3,25
10001,empty,36,3,25
10001,empty,37,3,25
10001,empty,38,3,25
10001,empty,39,3,25
10001,empty,40,3,25
10001,empty,41,3,25
10001,empty,42,3,25
10001,empty,43,3,25
10005,empty,44,4,24
x0005,empty,45,5,1
10005,empty,46,4,24
10005,empty,47,4,24
10005,empty,48,4,24
10005,empty,49,4,24
10005,empty,50,4,24
10005,empty,51,4,24
10005,empty,52,4,24
10005,empty,53,4,24
10005,empty,54,4,24
10005,empty,55,4,24
10005,empty,56,4,24
10005,empty,57,4,24
10005,empty,58,4,24
10005,empty,59,4,24
10005,empty,60,4,24
10005,empty,61,4,24
10005,empty,62,4,24
10005,empty,63,4,24
10005,empty,64,4,24
10005,empty,65,4,24
10005,empty,66,4,24
10005,empty,67,4,24
10005,empty,68,4,24
10006,empty,69,6,24
10006,empty,70,6,24
10006,empty,71,6,24
10006,empty,72,6,24
10006,empty,73,6,24
10006,empty,74,6,24
10006,empty,75,6,24
10006,empty,76,6,24
10006,empty,77,6,24
10006,empty,78,6,24
10006,empty,79,6,24
10006,empty,80,6,24
1000x,empty,81,7,1
10006,empty,82,6,24
10006,empty,83,6,24
10006,empty,84,6,24
10006,empty,85,6,24
10006,empty,86,6,24
10006,empty,87,6,24
10006,empty,88,6,24
10006,empty,89,6,24
10006,empty,90,6,24
10006,empty,91,6,24
10006,empty,92,6,24
10006,empty,93,6,24
10007,empty,94,8,25
10007,empty,95,8,25
10007,empty,96,8,25
10007,empty,97,8,25
10007,empty,98,8,25
10007,empty,99,8,25
10007,empty,100,8,25
10007,empty,101,8,25
10007,empty,102,8,25
10007,empty,103,8,25
10007,empty,104,8,25
10007,empty,105,8,25
10007,empty,106,8,25
10007,empty,107,8,25
10007,empty,108,8,25
10007,empty,109,8,25
10007,empty,110,8,25
10007,empty,111,8,25
10007,empty,112,8,25
10007,empty,113,8,25
10007,empty,114,8,25
10007,empty,115,8,25
10007,empty,116,8,25
10007,empty,117,8,25
10007,empty,118,8,25
10008,empty,119,9,25
10008,empty,120,9,25
10008,empty,121,9,25
10008,empty,122,9,25
10008,empty,123,9,25
10008,empty,124,9,25
10008,empty,125,9,25
10008,empty,126,9,25
10008,empty,127,9,25
10008,empty,128,9,25
10008,empty,129,9,25
10008,empty,130,9,25
10008,empty,131,9,25
10008,empty,132,9,25
10008,empty,133,9,25
10008,empty,134,9,25
10008,empty,135,9,25
10008,empty,136,9,25
10008,empty,137,9,25
10008,empty,138,9,25
10008,empty,139,9,25
10008,empty,140,9,25
10008,empty,141,9,25
10008,empty,142,9,25
10008,empty,143,9,25
10009,empty,144,10,25
10009,empty,145,10,25
10009,empty,146,10,25
10009,empty,147,10,25
10009,empty,148,10,25
10009,empty,149,10,25
10009,empty,150,10,25
10009,empty,151,10,25
10009,empty,152,10,25
10009,empty,153,10,25
10009,empty,154,10,25
10009,empty,155,10,25
10009,empty,156,10,25
10009,empty,157,10,25
10009,empty,158,10,25
10009,empty,159,10,25
10009,empty,160,10,25
10009,empty,161,10,25
10009,empty,162,10,25
10009,empty,163,10,25
10009,empty,164,10,25
10009,empty,165,10,25
10009,empty,166,10,25
10009,empty,167,10,25
10009,empty,168,10,25
10010,empty,169,11,25
10010,empty,170,11,25
10010,empty,171,11,25
10010,empty,172,11,25
10010,empty,173,11,25
