ProviderNumber,CountyName,original_index,unique_index,count
10018,jefferson,0,0,25
10018,jefferson,1,0,25
10018,jefferson,2,0,25
10018,jefferson,3,0,25
10018,jefferson,4,0,25
10018,jefferson,5,0,25
10018,jefferson,6,0,25
10018,jefferson,7,0,25
10019,jefferson,8,1,21
10019,jefferson,9,1,21
10019,jefferson,10,1,21
10019,jefferson,11,1,21
10019,jefferson,12,1,21
1xx19,jefferson,13,2,1
10019,jefferson,14,1,21
10019,jefferson,15,1,21
10019,jefferson,16,1,21
10019,jefferson,17,1,21
10019,jefferson,18,1,21
10001,houston,19,3,25
10001,houston,20,3,25
10001,houston,21,3,25
10001,houston,22,3,25
10001,houston,23,3,25
10001,houston,24,3,25
10001,houston,25,3,25
10001,houston,26,3,25
10001,houston,27,3,25
10001,houston,28,3,25
10001,houston,29,3,25
10001,houston,30,3,25
10001,houston,31,3,25
10001,houston,32,3,25
10001,houston,33,3,25
10001,houston,34,3,25
10001,houston,35,3,25
10001,houston,36,3,25
10001,houston,37,3,25
10001,houston,38,3,25
10001,houston,39,3,25
10001,houston,40,3,25
10001,houston,41,3,25
10001,houston,42,3,25
10001,houston,43,3,25
10005,marshall,44,4,23
x0005,marshall,45,5,1
10005,marshall,46,4,23
10005,marshall,47,4,23
10005,marshall,48,4,23
10005,marshall,49,4,23
10005,marshall,50,4,23
10005,marshall,51,4,23
10005,marshall,52,4,23
10005,marshall,53,4,23
10005,marshall,54,4,23
10005,marshall,55,4,23
10005,marshall,56,4,23
10005,marshall,57,4,23
10005,marshall,58,4,23
10005,marshall,59,4,23
10005,marshall,60,4,23
10005,marshall,61,4,23
10005,marshall,62,4,23
10005,marshall,63,4,23
10005,marshall,64,4,23
10005,marshall,65,4,23
10005,marshall,66,4,23
10005,mxrshxll,67,6,1
10005,marshall,68,4,23
10006,lauderdale,69,7,22
10006,lauderdale,70,7,22
10006,lauderdale,71,7,22
10006,laudxrdalx,72,8,1
10006,lauderdale,73,7,22
10006,lauderdale,74,7,22
10006,lauderdale,75,7,22
10006,lauderdale,76,7,22
10006,laudexdale,77,9,1
10006,lauderdale,78,7,22
10006,lauderdale,79,7,22
10006,lauderdale,80,7,22
1000x,lauderdale,81,10,1
10006,lauderdale,82,7,22
10006,lauderdale,83,7,22
10006,lauderdale,84,7,22
10006,lauderdale,85,7,22
10006,lauderdale,86,7,22
10006,lauderdale,87,7,22
10006,lauderdale,88,7,22
10006,lauderdale,89,7,22
10006,lauderdale,90,7,22
10006,lauderdale,91,7,22
10006,lauderdale,92,7,22
10006,lauderdale,93,7,22
10007,covington,94,11,25
10007,covington,95,11,25
10007,covington,96,11,25
10007,covington,97,11,25
10007,covington,98,11,25
10007,covington,99,11,25
10007,covington,100,11,25
10007,covington,101,11,25
10007,covington,102,11,25
