ProviderNumber,PhoneNumber,original_index,unique_index,count
10018,2053258100,0,0,25
10018,2053258100,1,0,25
10018,2053258100,2,0,25
10018,2053258100,3,0,25
10018,2053258100,4,0,25
10018,2053258100,5,0,25
10018,2053258100,6,0,25
10018,2053258100,7,0,25
10019,2563864556,8,1,24
10019,2563864556,9,1,24
10019,2563864556,10,1,24
10019,2563864556,11,1,24
10019,2563864556,12,1,24
1xx19,2563864556,13,2,1
10019,2563864556,14,1,24
10019,2563864556,15,1,24
10019,2563864556,16,1,24
10019,2563864556,17,1,24
10019,2563864556,18,1,24
10001,3347938701,19,3,23
10001,3347938701,20,3,23
10001,3347938701,21,3,23
10001,3347938701,22,3,23
10001,3347938701,23,3,23
10001,334793870x,24,4,1
10001,3347938701,25,3,23
10001,3347938701,26,3,23
10001,3347938701,27,3,23
10001,3347938701,28,3,23
10001,3347938701,29,3,23
10001,3347938701,30,3,23
10001,3347938701,31,3,23
10001,3347938701,32,3,23
10001,3347938701,33,3,23
10001,3347938701,34,3,23
10001,3347938701,35,3,23
10001,xx479x8701,36,5,1
10001,3347938701,37,3,23
10001,3347938701,38,3,23
10001,3347938701,39,3,23
10001,3347938701,40,3,23
10001,3347938701,41,3,23
10001,3347938701,42,3,23
10001,3347938701,43,3,23
10005,2565938310,44,6,21
x0005,2565938310,45,7,1
10005,2565938310,46,6,21
10005,2565938310,47,6,21
10005,2565938310,48,6,21
10005,2565938310,49,6,21
10005,2565938310,50,6,21
10005,2565938310,51,6,21
10005,2565938310,52,6,21
10005,2565938310,53,6,21
10005,2565938310,54,6,21
10005,2565938310,55,6,21
10005,2565938310,56,6,21
10005,2x6x938310,57,8,2
10005,2565938310,58,6,21
10005,2565938310,59,6,21
10005,2x6x938310,60,8,2
10005,2565938310,61,6,21
10005,2565938310,62,6,21
10005,2565938310,63,6,21
10005,2565938310,64,6,21
10005,2565x38310,65,9,1
10005,2565938310,66,6,21
10005,2565938310,67,6,21
10005,2565938310,68,6,21
10006,2567688400,69,10,24
10006,2567688400,70,10,24
10006,2567688400,71,10,24
10006,2567688400,72,10,24
10006,2567688400,73,10,24
10006,2567688400,74,10,24
10006,2567688400,75,10,24
10006,2567688400,76,10,24
10006,2567688400,77,10,24
10006,2567688400,78,10,24
10006,2567688400,79,10,24
10006,2567688400,80,10,24
1000x,2567688400,81,11,1
10006,2567688400,82,10,24
10006,2567688400,83,10,24
10006,2567688400,84,10,24
10006,2567688400,85,10,24
10006,2567688400,86,10,24
10006,2567688400,87,10,24
10006,2567688400,88,10,24
10006,2567688400,89,10,24
10006,2567688400,90,10,24
10006,2567688400,91,10,24
10006,2567688400,92,10,24
10006,2567688400,93,10,24
10007,3344933541,94,12,24
10007,3344933541,95,12,24
10007,3344933541,96,12,24
10007,3344933541,97,12,24
10007,3344933541,98,12,24
10007,3344933541,99,12,24
10007,3344933541,100,12,24
10007,3344x33541,101,13,1
10007,3344933541,102,12,24
10007,3344933541,103,12,24
10007,3344933541,104,12,24
10007,3344933541,105,12,24
10007,3344933541,106,12,24
10007,3344933541,107,12,24
10007,3344933541,108,12,24
10007,3344933541,109,12,24
10007,3344933541,110,12,24
10007,3344933541,111,12,24
10007,3344933541,112,12,24
10007,3344933541,113,12,24
10007,3344933541,114,12,24
10007,3344933541,115,12,24
10007,3344933541,116,12,24
10007,3344933541,117,12,24
10007,3344933541,118,12,24
10008,3343353374,119,14,25
10008,3343353374,120,14,25
10008,3343353374,121,14,25
10008,3343353374,122,14,25
10008,3343353374,123,14,25
10008,3343353374,124,14,25
10008,3343353374,125,14,25
10008,3343353374,126,14,25
