ZipCode,HospitalType,original_index,unique_index,count
35233,acute care hospitals,0,0,48
35233,acute care hospitals,1,0,48
35233,acute care hospitals,2,0,48
35233,acute care hospitals,3,0,48
35233,acute care hospitals,4,0,48
35233,acute care hospitals,5,0,48
35233,acute care hospitals,6,0,48
35233,acute care hospitals,7,0,48
35660,acute care hospitals,8,1,23
35660,acute care hospitals,9,1,23
35660,acute care hospitals,10,1,23
35660,acute care hospitals,11,1,23
35660,acute care hospitals,12,1,23
35660,acute care hospitals,13,1,23
35660,acute care hospitals,14,1,23
35660,acute care hospitals,15,1,23
35660,acuxe care hospixals,16,2,1
35660,acute care hospitals,17,1,23
35660,acute care hospitals,18,1,23
36302,acute care hospitals,19,3,24
36302,acute care hospitals,20,3,24
36302,acute care hospitals,21,3,24
36302,acute care hospitals,22,3,24
36302,acute care hospitals,23,3,24
36302,acute care hospitals,24,3,24
36302,acute care hospitals,25,3,24
36302,acute care hospitals,26,3,24
36302,acute care hospitals,27,3,24
36302,acute care hospitals,28,3,24
36302,acute care hospitals,29,3,24
36302,acute care hospitals,30,3,24
36302,acute care hospitals,31,3,24
36302,acute care hospitals,32,3,24
36302,acute care hospitals,33,3,24
36302,acute care hospitals,34,3,24
36302,acute care hospitals,35,3,24
36302,acute care hospitals,36,3,24
36302,acute care hospitals,37,3,24
36302,acute care hospitals,38,3,24
36302,acxte care hospitals,39,4,1
36302,acute care hospitals,40,3,24
36302,acute care hospitals,41,3,24
36302,acute care hospitals,42,3,24
36302,acute care hospitals,43,3,24
x5957,acute care hospitals,44,5,1
35957,acute care hospitals,45,6,23
35957,acute care hospitals,46,6,23
35957,acute care hospitals,47,6,23
35957,acute care hospitals,48,6,23
35957,acute care hospitals,49,6,23
35957,acute care hospitals,50,6,23
35957,acute care hospitals,51,6,23
35957,acute care hospitals,52,6,23
35957,acute care hospitals,53,6,23
35957,acute care hospitals,54,6,23
35957,acute care hospitals,55,6,23
35957,acute care hospitals,56,6,23
35957,acute care hospitals,57,6,23
35957,acute care hospitals,58,6,23
35957,acute care hospitals,59,6,23
35957,acute care hospitals,60,6,23
35957,acute care hospitals,61,6,23
35957,acute care hospitals,62,6,23
3595x,acute care hospitals,63,7,1
35957,acute care hospitals,64,6,23
35957,acute care hospitals,65,6,23
35957,acute care hospitals,66,6,23
35957,acute care hospitals,67,6,23
35957,acute care hospitals,68,6,23
35631,acute care hospitals,69,8,23
3563x,acute care hospitals,70,9,2
35631,acute care hospitals,71,8,23
35631,acute care hospitals,72,8,23
35631,acute care hospitals,73,8,23
35631,acute care hospitals,74,8,23
35631,acute care hospitals,75,8,23
35631,acute care hospitals,76,8,23
35631,acute care hospitals,77,8,23
35631,acute care hospitals,78,8,23
35631,acute care hospitals,79,8,23
35631,acute care hospitals,80,8,23
35631,acute care hospitals,81,8,23
35631,acute care hospitals,82,8,23
35631,acute care hospitals,83,8,23
35631,acute care hospitals,84,8,23
35631,acute care hospitals,85,8,23
35631,acute care hospitals,86,8,23
35631,acute care hospitals,87,8,23
35631,acute care hospitals,88,8,23
35631,acute care hospitals,89,8,23
35631,acute care hospitals,90,8,23
35631,acute care hospitals,91,8,23
35631,acute care hospitals,92,8,23
3563x,acute care hospitals,93,9,2
36467,acute care hospitals,94,10,24
36467,acute care hospitals,95,10,24
36467,acute care hospitals,96,10,24
36467,acute care hospitals,97,10,24
36467,acute care hosxitals,98,11,1
36467,acute care hospitals,99,10,24
36467,acute care hospitals,100,10,24
36467,acute care hospitals,101,10,24
36467,acute care hospitals,102,10,24
36467,acute care hospitals,103,10,24
36467,acute care hospitals,104,10,24
36467,acute care hospitals,105,10,24
36467,acute care hospitals,106,10,24
36467,acute care hospitals,107,10,24
36467,acute care hospitals,108,10,24
36467,acute care hospitals,109,10,24
36467,acute care hospitals,110,10,24
36467,acute care hospitals,111,10,24
36467,acute care hospitals,112,10,24
36467,acute care hospitals,113,10,24
36467,acute care hospitals,114,10,24
36467,acute care hospitals,115,10,24
36467,acute care hospitals,116,10,24
36467,acute care hospitals,117,10,24
36467,acute care hospitals,118,10,24
36049,acute care hospitals,119,12,23
36049,acute care hospitals,120,12,23
36049,acute care hospitals,121,12,23
36049,acute care hospitals,122,12,23
36049,acute care hospitals,123,12,23
36049,acute care hospitals,124,12,23
36049,acute care hospitals,125,12,23
36049,acute care hospitals,126,12,23
36049,acute care hospitals,127,12,23
36049,acute care hospitals,128,12,23
36049,acute care hospitals,129,12,23
36049,acute care hospitals,130,12,23
36049,acute care hospitals,131,12,23
36049,acute care hospitals,132,12,23
36049,acute care hospitals,133,12,23
36049,acute care hospitals,134,12,23
36049,acute care hospitals,135,12,23
36049,acute care hospitals,136,12,23
36x49,acute care hospitals,137,13,1
36049,acute care hospitals,138,12,23
360x9,acute care hospitals,139,14,1
36049,acute care hospitals,140,12,23
36049,acute care hospitals,141,12,23
36049,acute care hospitals,142,12,23
36049,acute care hospitals,143,12,23
35640,acute care hospitals,144,15,23
35640,acute care hospitals,145,15,23
35640,acute care hospitals,146,15,23
35640,acute care hospitals,147,15,23
35640,acute care hospitals,148,15,23
3x640,acute care hospitals,149,16,2
35640,acute care hospitals,150,15,23
35640,acute care hospitals,151,15,23
35640,acute care hospitals,152,15,23
35640,acute care hospitals,153,15,23
35640,acute care hospitals,154,15,23
35640,acute care hospitals,155,15,23
35640,acute care hospitals,156,15,23
3x640,acute care hospitals,157,16,2
