completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
2140,3093,5233,00:09.179,1,"ProviderNumber, HospitalName"
2483,3265,5748,00:10.740,1,"ProviderNumber, Address1"
1128,2195,3323,00:05.203,1,"ProviderNumber, Address2"
1241,2195,3436,00:08.006,1,"ProviderNumber, Address3"
2151,3011,5162,00:08.516,1,"ProviderNumber, City"
1173,2594,3767,00:05.629,1,"ProviderNumber, State"
2179,2842,5021,00:09.600,1,"ProviderNumber, ZipCode"
2331,3023,5354,00:09.504,1,"ProviderNumber, CountyName"
1915,3075,4990,00:09.706,1,"ProviderNumber, PhoneNumber"
2407,3045,5452,00:11.237,1,"ProviderNumber, HospitalType"
2175,3154,5329,00:09.709,1,"ProviderNumber, HospitalOwner"
1845,3482,5327,00:08.421,1,"HospitalName, Address1"
1212,2375,3587,00:05.464,1,"HospitalName, Address2"
984,2375,3359,00:04.892,1,"HospitalName, Address3"
2080,3246,5326,00:10.412,1,"HospitalName, City"
1887,2835,4722,00:08.439,1,"HospitalName, State"
2043,3074,5117,00:09.126,1,"HospitalName, ZipCode"
2346,3303,5649,00:10.332,1,"HospitalName, CountyName"
2056,3336,5392,00:08.762,1,"HospitalName, PhoneNumber"
2399,3282,5681,00:09.928,1,"HospitalName, HospitalType"
1800,3381,5181,00:08.542,1,"HospitalName, HospitalOwner"
1435,2536,3971,00:07.180,1,"Address1, Address2"
1411,2536,3947,00:05.840,1,"Address1, Address3"
2409,3434,5843,00:11.212,1,"Address1, City"
1485,3014,4499,00:07.438,1,"Address1, State"
2405,3267,5672,00:11.553,1,"Address1, ZipCode"
2237,3451,5688,00:09.529,1,"Address1, CountyName"
2620,3493,6113,00:11.926,1,"Address1, PhoneNumber"
2258,3453,5711,00:10.736,1,"Address1, HospitalType"
2175,3582,5757,00:10.216,1,"Address1, HospitalOwner"
88,816,904,00:01.104,1,"Address2, Address3"
1340,2233,3573,00:07.045,1,"Address2, City"
201,870,1071,00:01.817,1,"Address2, State"
1146,2182,3328,00:05.274,1,"Address2, ZipCode"
1282,2079,3361,00:05.557,1,"Address2, CountyName"
1318,2378,3696,00:07.963,1,"Address2, PhoneNumber"
564,1084,1648,00:03.761,1,"Address2, HospitalType"
875,1447,2322,00:03.972,1,"Address2, HospitalOwner"
1128,2233,3361,00:05.484,1,"Address3, City"
185,870,1055,00:01.634,1,"Address3, State"
1119,2182,3301,00:05.196,1,"Address3, ZipCode"
1213,2079,3292,00:06.944,1,"Address3, CountyName"
1110,2378,3488,00:05.302,1,"Address3, PhoneNumber"
462,1084,1546,00:03.037,1,"Address3, HospitalType"
995,1447,2442,00:04.522,1,"Address3, HospitalOwner"
2636,2639,5275,00:10.185,1,"City, State"
2726,3000,5726,00:11.649,1,"City, ZipCode"
2316,2996,5312,00:11.147,1,"City, CountyName"
2135,3212,5347,00:09.180,1,"City, PhoneNumber"
2946,3093,6039,00:11.974,1,"City, HospitalType"
2468,3295,5763,00:10.426,1,"City, HospitalOwner"
1590,2600,4190,00:22.403,1,"State, ZipCode"
1626,2461,4087,00:07.553,1,"State, CountyName"
2131,2801,4932,00:09.403,1,"State, PhoneNumber"
649,1166,1815,00:03.529,1,"State, HospitalType"
2052,1797,3849,00:09.570,1,"State, HospitalOwner"
2568,3019,5587,00:11.711,1,"ZipCode, CountyName"
2353,3081,5434,00:09.602,1,"ZipCode, PhoneNumber"
2475,3030,5505,00:10.013,1,"ZipCode, HospitalType"
2679,3145,5824,00:10.943,1,"ZipCode, HospitalOwner"
1713,3278,4991,00:07.339,1,"CountyName, PhoneNumber"
3043,2944,5987,00:13.185,1,"CountyName, HospitalType"
2305,3249,5554,00:09.499,1,"CountyName, HospitalOwner"
2223,3315,5538,00:11.136,1,"PhoneNumber, HospitalType"
2955,3341,6296,00:13.079,1,"PhoneNumber, HospitalOwner"
2114,2064,4178,00:08.069,1,"HospitalType, HospitalOwner"
734,1213,1947,00:03.871,1,"HospitalType, EmergencyService"
881,1968,2849,00:04.579,1,"HospitalOwner, EmergencyService"
454,2756,3210,00:02.675,1,"Condition, MeasureCode"
2552,4385,6937,00:10.180,1,"Condition, MeasureName"
3795,3382,7177,00:15.267,1,"Condition, Stateavg"
4054,4256,8310,00:19.418,1,"MeasureCode, MeasureName"
1749,13007,14756,00:11.730,5,"MeasureCode, Score"
2079,23517,25596,00:15.452,8,"MeasureCode, Sample"
2842,3295,6137,00:12.779,1,"MeasureCode, Stateavg"
1909,18895,20804,00:15.492,5,"MeasureName, Score"
3414,33788,37202,00:22.666,8,"MeasureName, Sample"
1598,5121,6719,00:07.402,1,"MeasureName, Stateavg"
2066,17974,20040,00:13.499,7,"Score, Sample"
