abv,ibu,original_index,unique_index
0.05,,0,0
0.066,,1,1
0.071,,2,2
0.09%,,3,3
0.075,,4,4
0.077,,5,5
0.045%,,6,6
0.065,,7,7
0.055,,8,8
0.086,,9,9
0.072,,10,10
0.073,,11,11
0.069%,,12,12
0.085,,13,13
0.061%,60.0,14,14
0.06,,15,15
0.06,,16,15
0.06,,17,15
0.06,,18,15
0.082,,19,16
0.082,,20,16
0.099,92.0,21,17
0.079,45.0,22,18
0.079,,23,19
0.044,42.0,24,20
0.049,17.0,25,21
0.049%,17.0,26,22
0.049,17.0,27,21
0.07,70.0,28,23
0.07%,70.0,29,24
0.07%,70.0,30,24
0.085,52.0,31,25
0.097,94.0,32,26
0.044,42.0,33,20
0.079%,45.0,34,27
0.068%,65.0,35,28
0.083,35.0,36,29
0.07,65.0,37,30
0.049,17.0,38,21
0.07,82.0,39,31
0.05,,40,0
0.059,,41,32
0.035,11.0,42,33
0.045%,18.0,43,34
0.055%,,44,35
0.06,,45,15
0.055%,,46,35
0.065,,47,7
0.065,,48,7
0.05,28.0,49,36
0.065,,50,7
0.05,45.0,51,37
0.09,,52,38
0.069,65.0,53,39
0.09%,50.0,54,40
0.046%,15.0,55,41
0.052000000000000005%,18.0,56,42
0.059,75.0,57,43
0.054,30.0,58,44
0.054,30.0,59,44
0.084,82.0,60,45
0.038,,61,46
0.055,26.0,62,47
0.055,26.0,63,47
0.065,52.0,64,48
0.042,13.0,65,49
0.045,17.0,66,50
0.082,68.0,67,51
0.05,20.0,68,52
0.08,68.0,69,53
0.125%,80.0,70,54
0.077,25.0,71,55
0.042,42.0,72,56
0.05,25.0,73,57
0.066,21.0,74,58
0.04,13.0,75,59
0.055,17.0,76,60
0.076,68.0,77,61
0.051%,38.0,78,62
0.065%,,79,63
0.06,65.0,80,64
0.05,20.0,81,52
0.053,35.0,82,65
0.05,35.0,83,66
0.052,33.0,84,67
0.04,20.0,85,68
0.053,36.0,86,69
0.082,103.0,87,70
0.053,40.0,88,71
0.053,18.0,89,72
0.057,,90,73
0.043,,91,74
0.065,,92,7
0.054,,93,75
0.062,,94,76
0.062,43.0,95,77
0.059000000000000004%,,96,78
0.065%,,97,63
0.045%,,98,6
0.049,,99,79
0.055999999999999994%,,100,80
0.042,,101,81
0.042,,102,81
0.048%,,103,82
0.06,,104,15
0.057,13.0,105,83
0.056,4.0,106,84
0.07,80.0,107,85
0.057999999999999996%,15.0,108,86
0.057,13.0,109,83
0.055,25.0,110,87
0.057999999999999996%,15.0,111,86
0.056,4.0,112,84
0.057%,13.0,113,88
0.069%,6.0,114,89
0.07,80.0,115,85
0.058,15.0,116,90
0.056,4.0,117,84
0.055,28.0,118,91
0.06,,119,15
0.054000000000000006%,,120,92
0.047%,,121,93
0.05,,122,0
0.05%,,123,94
0.05,,124,0
0.068,,125,95
0.06,,126,15
0.085%,,127,96
0.071,75.0,128,97
0.047,19.0,129,98
0.06,23.0,130,99
0.06%,55.0,131,100
0.062,17.0,132,101
0.052,,133,102
0.092,50.0,134,103
0.051%,20.0,135,104
0.052,10.0,136,105
0.07,45.0,137,106
0.032,27.0,138,107
0.053,26.0,139,108
0.06,69.0,140,109
0.048,,141,110
0.077,,142,5
0.077,,143,5
0.056,27.0,144,111
0.07%,67.0,145,112
0.057,40.0,146,113
0.08199999999999999%,138.0,147,114
0.062,35.0,148,115
0.06,35.0,149,116
0.075,115.0,150,117
0.055%,12.0,151,118
0.052,,152,102
0.045,8.0,153,119
0.05%,62.0,154,120
0.05,12.0,155,121
0.07,,156,122
0.062%,,157,123
0.051,,158,124
0.053,,159,125
0.052,,160,102
0.08%,,161,126
0.064,,162,127
0.047,42.0,163,128
0.056,10.0,164,129
0.063,69.0,165,130
0.055,17.0,166,60
0.062,17.0,167,101
0.072,22.0,168,131
0.048%,23.0,169,132
0.067,,170,133
0.092,5.0,171,134
0.061,41.0,172,135
0.086,,173,9
0.06,,174,15
0.049%,,175,136
0.07,,176,122
0.05,,177,0
0.06%,,178,137
0.06%,43.0,179,138
0.068,70.0,180,139
0.044000000000000004%,38.0,181,140
0.07%,,182,141
0.038%,40.0,183,142
0.052000000000000005%,23.0,184,143
0.07,75.0,185,144
0.046,,186,145
0.07,70.0,187,23
0.045,,188,146
0.045%,20.0,189,147
0.035,45.0,190,148
0.07,46.0,191,149
0.06,60.0,192,150
0.045,,193,146
0.049%,22.0,194,151
0.067,60.0,195,152
0.068,62.0,196,153
0.05,20.0,197,52
0.051,45.0,198,154
0.054,55.0,199,155
0.067%,70.0,200,156
0.05,28.0,201,36
0.054,48.0,202,157
0.053,,203,125
0.07%,42.0,204,158
0.047,,205,159
0.068,,206,95
0.066,,207,1
0.047,,208,159
0.055,35.0,209,160
0.049%,28.0,210,161
0.069,69.0,211,162
0.088,108.0,212,163
0.05,10.0,213,164
0.057999999999999996%,45.0,214,165
0.068%,85.0,215,166
0.048,16.0,216,167
0.057999999999999996%,,217,168
0.06%,,218,137
0.05,,219,0
0.058,,220,169
0.07,,221,122
0.058,,222,169
0.044,44.0,223,170
0.083,,224,171
0.057%,27.0,225,172
0.06,,226,15
0.072,87.0,227,173
0.056,32.0,228,174
0.062,68.0,229,175
0.06%,34.0,230,176
0.05,38.0,231,177
0.055,40.0,232,178
0.053,20.0,233,179
0.078%,,234,180
0.047%,,235,93
0.064,,236,127
0.055999999999999994%,,237,80
0.06,,238,15
0.081,17.0,239,181
0.095%,104.0,240,182
0.041,,241,183
0.067,85.0,242,184
0.07%,,243,141
0.065,,244,7
0.06,,245,15
0.08,54.0,246,185
0.062,,247,76
0.06,,248,15
0.075,60.0,249,186
0.05,32.0,250,187
0.06,55.0,251,188
0.062,65.0,252,189
0.05%,40.0,253,190
0.05,35.0,254,66
0.051,26.0,255,191
0.072,60.0,256,192
0.051,26.0,257,191
0.05,35.0,258,66
0.062,65.0,259,189
0.047,,260,159
0.05,40.0,261,193
0.05,35.0,262,66
0.051%,26.0,263,194
0.069,81.0,264,195
0.057999999999999996%,38.0,265,196
0.053,43.0,266,197
0.099%,85.0,267,198
0.098,76.0,268,199
0.055,35.0,269,160
0.066,50.0,270,200
0.055,45.0,271,201
0.052,,272,102
0.063,,273,202
0.054,,274,75
0.072,75.0,275,203
0.045%,16.0,276,204
0.075,35.0,277,205
0.05,8.0,278,206
0.058,44.0,279,207
0.071,83.0,280,208
0.071,45.0,281,209
0.078,34.0,282,210
0.066,44.0,283,211
0.048%,16.0,284,212
0.046,20.0,285,213
0.073%,,286,214
0.048,47.0,287,215
0.06,30.0,288,216
0.052,,289,102
0.068,,290,95
0.07,51.0,291,217
0.055,,292,8
0.05%,,293,94
,,294,218
0.055%,,295,35
0.08,,296,219
0.096,,297,220
0.052,,298,102
,,299,218
0.05,,300,0
0.064,,301,127
0.045,,302,146
0.056,37.0,303,221
0.055999999999999994%,37.0,304,222
0.055999999999999994%,37.0,305,222
0.046,35.0,306,223
0.059,,307,32
0.059000000000000004%,,308,78
0.08%,80.0,309,224
0.059,60.0,310,225
0.065,30.0,311,226
0.053,22.0,312,227
0.059,60.0,313,225
0.049,16.0,314,228
,,315,218
,,316,218
,,317,218
,,318,218
0.07,,319,122
0.06%,40.0,320,229
0.044,16.0,321,230
0.055,28.0,322,91
0.06,,323,15
0.053,,324,125
0.04,,325,231
0.05%,,326,94
0.05,,327,0
0.065,,328,7
0.055,,329,8
0.06%,,330,137
0.042%,30.0,331,232
0.04,34.0,332,233
0.051,,333,124
0.045,27.0,334,234
0.066,72.0,335,235
0.075,22.0,336,236
0.048,30.0,337,237
0.056,26.0,338,238
0.07,94.0,339,239
0.047,,340,159
0.068,,341,95
0.047,,342,159
0.047,,343,159
0.048,38.0,344,240
0.049%,,345,136
0.053,45.0,346,241
0.064%,,347,242
0.061,,348,243
0.058,,349,169
0.057999999999999996%,,350,168
0.048,,351,110
0.048,,352,110
0.066,72.0,353,235
0.071,16.0,354,244
0.045,8.0,355,119
0.065,45.0,356,245
0.055,,357,8
0.055999999999999994%,,358,80
0.049,30.0,359,246
0.049,30.0,360,246
0.053,15.0,361,247
0.053,7.0,362,248
0.049,30.0,363,246
0.049,35.0,364,249
0.057,35.0,365,250
0.049,35.0,366,249
0.062,80.0,367,251
0.065,,368,7
0.058,,369,169
0.047%,,370,93
0.06%,52.0,371,252
0.057,52.0,372,253
0.07,80.0,373,85
0.06,25.0,374,254
0.055%,,375,35
0.052,40.0,376,255
0.05,,377,0
0.042,9.0,378,256
0.045,15.0,379,257
0.062%,68.0,380,258
0.054,19.0,381,259
0.05,,382,0
0.072,60.0,383,192
0.05%,21.0,384,260
0.055,28.0,385,91
0.057999999999999996%,,386,168
0.053,,387,125
0.067,,388,133
0.06,,389,15
0.098,,390,261
0.06,,391,15
0.07,,392,122
0.077,,393,5
0.065,,394,7
0.065,,395,7
0.065%,,396,63
0.065,,397,7
0.05,,398,0
0.09,,399,38
0.055,,400,8
0.059,,401,32
0.066%,,402,262
0.040999999999999995%,,403,263
0.08199999999999999%,,404,264
0.065,,405,7
0.062%,,406,123
,,407,218
,,408,218
0.061,,409,243
0.063,,410,202
0.055999999999999994%,,411,80
0.099,,412,265
0.051,,413,124
0.062,,414,76
0.062,,415,76
0.053,,416,125
0.063,,417,202
0.064,,418,127
0.07%,,419,141
0.067%,,420,266
0.067,,421,133
0.05,,422,0
0.06,,423,15
0.065,,424,7
0.045%,,425,6
0.063,,426,202
0.093,,427,267
0.073,,428,11
0.055999999999999994%,,429,80
0.093,,430,267
0.065,,431,7
0.05%,,432,94
0.09%,,433,3
0.082,,434,16
0.098,,435,261
0.06%,,436,137
0.099%,,437,268
0.095,,438,269
0.092%,,439,270
0.065,,440,7
0.099,,441,265
0.062,,442,76
0.09,,443,38
0.092,,444,271
0.097,,445,272
0.085,,446,13
0.055%,,447,35
0.06%,,448,137
0.065,,449,7
,,450,218
,,451,218
0.061,,452,243
0.05,15.0,453,273
0.052,17.0,454,274
0.048%,,455,82
0.061,64.0,456,275
0.068%,47.0,457,276
0.045,,458,146
0.068,47.0,459,277
0.045,,460,146
0.052,,461,102
0.052000000000000005%,,462,278
0.08%,,463,126
,,464,218
0.073,85.0,465,279
0.099,,466,265
0.062%,42.0,467,280
0.057999999999999996%,35.0,468,281
0.052,40.0,469,255
0.053%,,470,282
0.045%,,471,6
0.06,40.0,472,283
0.06,20.0,473,284
0.09,118.0,474,285
0.065%,,475,63
0.068,,476,95
0.078,,477,286
0.055,40.0,478,178
0.099,115.0,479,287
0.06,,480,15
0.065,,481,7
0.068%,16.0,482,288
0.072,86.0,483,289
0.068,,484,95
0.055,40.0,485,178
0.05,14.0,486,290
0.056,36.0,487,291
0.049%,,488,136
0.068,,489,95
0.049,,490,79
0.043%,,491,292
0.093,,492,267
0.062,,493,76
0.06,,494,15
0.048,,495,110
0.077,,496,5
0.097,,497,272
0.052,,498,102
0.053,25.0,499,293
0.063,35.0,500,294
0.068%,100.0,501,295
0.063,35.0,502,294
0.053,25.0,503,293
0.068%,100.0,504,295
0.06,,505,15
0.055999999999999994%,55.0,506,296
0.039,16.0,507,297
0.054,24.0,508,298
0.061,94.0,509,299
0.061%,94.0,510,300
0.055999999999999994%,55.0,511,296
0.056,55.0,512,301
0.056,55.0,513,301
0.056,55.0,514,301
0.056,55.0,515,301
0.054,24.0,516,298
0.061,94.0,517,299
0.05,,518,0
0.065%,,519,63
,,520,218
,,521,218
,,522,218
,,523,218
0.099,43.0,524,302
0.09,130.0,525,303
0.055%,64.0,526,304
0.054,35.0,527,305
0.055%,30.0,528,306
0.055,35.0,529,160
0.049%,10.0,530,307
0.065,80.0,531,308
0.052,28.0,532,309
0.046%,18.0,533,310
0.056,55.0,534,301
0.046,18.0,535,311
0.062,70.0,536,312
0.052000000000000005%,,537,278
0.042%,,538,313
0.052,,539,102
0.05,,540,0
,,541,218
0.04,,542,231
0.05%,,543,94
0.035,,544,314
0.059,22.0,545,315
0.057%,,546,316
0.051,,547,124
0.099,100.0,548,317
0.039,9.0,549,318
0.078,80.0,550,319
0.042,35.0,551,320
0.069,,552,321
0.069,,553,321
0.056,,554,322
0.052,,555,102
0.047,,556,159
0.07,,557,122
0.047,,558,159
0.052,,559,102
0.056,,560,322
0.048,16.0,561,167
0.078,16.0,562,323
0.057999999999999996%,,563,168
0.054,,564,75
0.085,90.0,565,324
,,566,218
0.068%,70.0,567,325
0.051%,35.0,568,326
0.051%,36.0,569,327
0.05,18.0,570,328
0.05%,,571,94
0.05,,572,0
0.05,40.0,573,193
0.045,24.0,574,329
0.05,40.0,575,193
0.052,42.0,576,330
0.051,15.0,577,331
0.072,85.0,578,332
0.095,99.0,579,333
0.075,77.0,580,334
0.07,,581,122
0.06,45.0,582,335
0.05,22.0,583,336
0.07%,65.0,584,337
0.045,,585,146
0.065,8.0,586,338
0.055,30.0,587,339
0.045%,,588,6
0.08%,69.0,589,340
0.055,40.0,590,178
0.057%,58.0,591,341
0.057%,10.0,592,342
0.052,,593,102
0.089,126.0,594,343
0.049,29.0,595,344
0.05,,596,0
0.05%,,597,94
0.055,25.0,598,87
0.062,65.0,599,189
0.082,65.0,600,345
0.055,,601,8
0.055,,602,8
0.06,,603,15
0.045,,604,146
0.07,60.0,605,346
0.07,60.0,606,346
0.063,,607,202
0.07%,60.0,608,347
0.07,60.0,609,346
0.07,60.0,610,346
0.055,,611,8
0.052,,612,102
0.075,70.0,613,348
0.075,70.0,614,348
0.08,65.0,615,349
0.05%,,616,94
0.055,25.0,617,87
0.055%,25.0,618,350
0.05%,,619,94
0.07200000000000001%,75.0,620,351
0.075,70.0,621,348
0.05%,18.0,622,352
0.048,,623,110
0.06,,624,15
0.045,,625,146
0.062%,,626,123
0.065,,627,7
0.038%,,628,353
0.055999999999999994%,,629,80
0.067,60.0,630,152
0.06%,75.0,631,354
0.044,13.0,632,355
0.047,17.0,633,356
0.062,55.0,634,357
0.046,11.0,635,358
0.065,75.0,636,359
0.052,24.0,637,360
0.052,24.0,638,360
0.058,,639,169
0.068,75.0,640,361
0.048,22.0,641,362
0.056,21.0,642,363
0.05,,643,0
0.052,,644,102
0.057,,645,73
0.061,,646,243
0.038,,647,46
0.05%,,648,94
0.048%,,649,82
0.075%,29.0,650,364
0.077,71.0,651,365
0.06,46.0,652,366
