beer-name,abv,original_index,unique_index
Pub Beer,0.05,0,0
Devil's Cup,0.066,1,1
Rise of the Phoenix,0.071,2,2
Sinister,0.09%,3,3
Sex and Candy,0.075,4,4
Black Exodus,0.077,5,5
Lake Street Express,0.045%,6,6
Foreman,0.065,7,7
Jade,0.055,8,8
Cone Crusher,0.086,9,9
Sophomoric Saison,0.072,10,10
Regional Ring Of Fire,0.073,11,11
Garce Selé,0.069%,12,12
Troll Destroyer,0.085,13,13
Bitter Bitch,0.061%,14,14
Ginja Ninja,0.06,15,15
Cherried Away,0.06,16,16
Rhubarbarian,0.06,17,17
BrightCider,0.06,18,18
He Said Baltic-Style Porter,0.082,19,19
He Said Belgian-Style Tripel,0.082,20,20
Lower De Boom,0.099,21,21
Fireside Chat,0.079,22,22
Marooned On Hog Island,0.079,23,23
Bitter American,0.044,24,24
Hell or High Watermelon Wheat (2009),0.049,25,25
Hell or High Watermelon Wheat (2009),0.049%,26,26
21st Amendment Watermelon Wheat Beer (2006),0.049,27,27
21st Amendment IPA (2006),0.07,28,28
Brew Free! or Die IPA (2008),0.07%,29,29
Brew Free! or Die IPA (2009),0.07%,30,30
Special Edition: Allies Win The War!,0.085,31,31
Hop Crisis,0.097,32,32
Bitter American (2011),0.044,33,33
Fireside Chat (2010),0.079%,34,34
Back in Black,0.068%,35,35
Monk's Blood,0.083,36,36
Brew Free! or Die IPA,0.07,37,37
Hell or High Watermelon Wheat,0.049,38,38
Bimini Twist,0.07,39,39
Beach Blonde,0.05,40,40
Rod Bender Red,0.059,41,41
Passion Fruit Prussia,0.035,42,42
Send Help,0.045%,43,43
Cast Iron Oatmeal Brown,0.055%,44,44
Reprise Centennial Red,0.06,45,45
Alter Ego,0.055%,46,46
Divided Sky,0.065,47,47
Resurrected,0.065,48,48
Contact High,0.05,49,49
Galaxyfest,0.065,50,50
Citrafest,0.05,51,51
Barn Yeti,0.09,52,52
Scarecrow,0.069,53,53
Ironman,0.09%,54,54
Honey Kolsch,0.046%,55,55
Copperhead Amber,0.052000000000000005%,56,56
Rude Parrot IPA,0.059,57,57
British Pale Ale (2010),0.054,58,58
British Pale Ale,0.054,59,59
Ballz Deep Double IPA,0.084,60,60
Wolfman's Berliner,0.038,61,61
Colorado Native,0.055,62,62
Colorado Native (2011),0.055,63,63
Jockamo IPA,0.065,64,64
Purple Haze,0.042,65,65
Abita Amber,0.045,66,66
Citra Ass Down,0.082,67,67
The Brown Note,0.05,68,68
Citra Ass Down,0.08,69,69
London Balling,0.125%,70,70
35 K,0.077,71,71
A Beer,0.042,72,72
Rules are Rules,0.05,73,73
Flesh Gourd'n,0.066,74,74
Sho'nuff,0.04,75,75
Bloody Show,0.055,76,76
Rico Sauvin,0.076,77,77
Coq de la Marche,0.051%,78,78
Kamen Knuddeln,0.065%,79,79
Pile of Face,0.06,80,80
The Brown Note,0.05,81,68
Maylani's Coconut Stout,0.053,82,81
Oatmeal PSA,0.05,83,82
Pre Flight Pilsner,0.052,84,83
P-Town Pilsner,0.04,85,84
Klickitat Pale Ale,0.053,86,85
Yellow Wolf Imperial IPA,0.082,87,86
Freeride APA,0.053,88,87
Alaskan Amber,0.053,89,88
Hopalicious,0.057,90,89
Kentucky Kölsch,0.043,91,90
Kentucky IPA,0.065,92,91
Dusty Trail Pale Ale,0.054,93,92
Damnesia,0.062,94,93
Desolation IPA,0.062,95,94
Liberty Ale,0.059000000000000004%,96,95
IPA,0.065%,97,96
Summer Wheat,0.045%,98,97
California Lager,0.049,99,98
Brotherhood Steam,0.055999999999999994%,100,99
Blood Orange Gose,0.042,101,100
Keebarlin' Pale Ale,0.042,102,101
"the Kimmie, the Yink and the Holy Gose",0.048%,103,102
Fall Hornin',0.06,104,103
Barney Flats Oatmeal Stout,0.057,105,104
Summer Solstice,0.056,106,105
Hop Ottin' IPA,0.07,107,106
Boont Amber Ale,0.057999999999999996%,108,107
Barney Flats Oatmeal Stout,0.057,109,104
El Steinber Dark Lager,0.055,110,108
Boont Amber Ale (2010),0.057999999999999996%,111,109
