beer-name,style,original_index,unique_index
Pub Beer,American Pale Lager,0,0
Devil's Cup,American Pale Ale (APA),1,1
Rise of the Phoenix,American IPA,2,2
Sinister,American Double / Imperial IPA,3,3
Sex and Candy,American IPA,4,4
Black Exodus,Oatmeal Stout,5,5
Lake Street Express,American Pale Ale (APA),6,6
Foreman,American Porter,7,7
Jade,American Pale Ale (APA),8,8
Cone Crusher,American Double / Imperial IPA,9,9
Sophomoric Saison,Saison / Farmhouse Ale,10,10
Regional Ring Of Fire,Saison / Farmhouse Ale,11,11
Garce Selé,Saison / Farmhouse Ale,12,12
Troll Destroyer,Belgian IPA,13,13
Bitter Bitch,American Pale Ale (APA),14,14
Ginja Ninja,Cider,15,15
Cherried Away,Cider,16,16
Rhubarbarian,Cider,17,17
BrightCider,Cider,18,18
He Said Baltic-Style Porter,Baltic Porter,19,19
He Said Belgian-Style Tripel,Tripel,20,20
Lower De Boom,American Barleywine,21,21
Fireside Chat,Winter Warmer,22,22
Marooned On Hog Island,American Stout,23,23
Bitter American,American Pale Ale (APA),24,24
Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,25,25
Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,26,25
21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,27,26
21st Amendment IPA (2006),American IPA,28,27
Brew Free! or Die IPA (2008),American IPA,29,28
Brew Free! or Die IPA (2009),American IPA,30,29
Special Edition: Allies Win The War!,English Strong Ale,31,30
Hop Crisis,American Double / Imperial IPA,32,31
Bitter American (2011),American Pale Ale (APA),33,32
Fireside Chat (2010),Winter Warmer,34,33
Back in Black,American Black Ale,35,34
Monk's Blood,Belgian Dark Ale,36,35
Brew Free! or Die IPA,American IPA,37,36
Hell or High Watermelon Wheat,Fruit / Vegetable Beer,38,37
Bimini Twist,American IPA,39,38
Beach Blonde,American Blonde Ale,40,39
Rod Bender Red,American Amber / Red Ale,41,40
Passion Fruit Prussia,Berliner Weissbier,42,41
Send Help,American Blonde Ale,43,42
Cast Iron Oatmeal Brown,American Brown Ale,44,43
Reprise Centennial Red,American Amber / Red Ale,45,44
Alter Ego,American Black Ale,46,45
Divided Sky,American IPA,47,46
Resurrected,American IPA,48,47
Contact High,American Pale Wheat Ale,49,48
Galaxyfest,American IPA,50,49
Citrafest,American IPA,51,50
Barn Yeti,Belgian Strong Dark Ale,52,51
Scarecrow,American IPA,53,52
Ironman,English Strong Ale,54,53
Honey Kolsch,Kölsch,55,54
Copperhead Amber,Belgian Dark Ale,56,55
Rude Parrot IPA,American IPA,57,56
