brewery-id,state,original_index,unique_index
408,OR,0,0
177,IN,1,1
177,IN,2,1
177,IN,3,1
177,IN,4,1
177,IN,5,1
177,IN,6,1
177,IN,7,1
177,IN,8,1
177,IN,9,1
177,IN,10,1
177,IN,11,1
177,IN,12,1
177,IN,13,1
177,IN,14,1
154,OR,15,2
154,OR,16,2
154,OR,17,2
154,OR,18,2
368,CA,19,3
368,,20,4
368,CA,21,3
368,CA,22,3
368,CA,23,3
368,CA,24,3
368,CA,25,3
368,CA,26,3
368,CA,27,3
368,CA,28,3
368,CA,29,3
368,CA,30,3
368,CA,31,3
368,CA,32,3
368,CA,33,3
368,CA,34,3
368,CA,35,3
368,CA,36,3
368,CA,37,3
368,CA,38,3
67,FL,39,5
67,FL,40,5
67,FL,41,5
60,MO,42,6
60,MO,43,6
60,MO,44,6
60,MO,45,6
60,MO,46,6
60,,47,7
60,MO,48,6
60,MO,49,6
27,IN,50,8
27,IN,51,8
27,IN,52,8
27,IN,53,8
27,IN,54,8
27,IN,55,8
27,IN,56,8
481,WA,57,9
481,WA,58,9
481,WA,59,9
481,WA,60,9
373,FL,61,10
462,CO,62,11
462,CO,63,11
533,LA,64,12
533,LA,65,12
533,LA,66,12
62,KY,67,13
62,KY,68,13
1,KY,69,14
1,KY,70,14
1,KY,71,14
1,KY,72,14
1,KY,73,14
1,KY,74,14
1,KY,75,14
1,KY,76,14
1,KY,77,14
1,KY,78,14
1,KY,79,14
1,KY,80,14
1,KY,81,14
367,WA,82,15
367,WA,83,15
367,WA,84,15
117,OR,85,16
117,OR,86,16
117,OR,87,16
270,AK,88,17
270,AK,89,17
73,,90,18
388,KY,91,19
388,KY,92,19
401,WA,93,20
401,WA,94,20
401,WA,95,20
35,CA,96,21
35,CA,97,21
35,CA,98,21
35,CA,99,21
35,CA,100,21
171,CA,101,22
171,CA,102,22
171,CA,103,22
171,CA,104,22
171,CA,105,22
171,CA,106,22
171,CA,107,22
171,CA,108,22
171,CA,109,22
171,CA,110,22
171,CA,111,22
171,CA,112,22
171,CA,113,22
171,CA,114,22
171,CA,115,22
171,CA,116,22
171,CA,117,22
171,CA,118,22
146,WI,119,23
542,WI,120,24
542,,121,25
434,OH,122,26
434,OH,123,26
434,OH,124,26
193,OK,125,27
193,OK,126,27
193,OK,127,27
69,NC,128,28
69,NC,129,28
69,NC,130,28
541,MI,131,29
541,MI,132,29
513,CO,133,30
426,,134,31
426,TX,135,32
461,CA,136,33
429,CO,137,34
528,NC,138,35
528,,139,36
528,NC,140,35
353,WA,141,37
353,WA,142,37
353,WA,143,37
523,CO,144,38
523,CO,145,38
374,OR,146,39
374,OR,147,39
374,OR,148,39
374,OR,149,39
72,MI,150,40
72,MI,151,40
72,MI,152,40
72,MI,153,40
72,MI,154,40
72,,155,41
413,TX,156,42
413,TX,157,42
413,TX,158,42
413,TX,159,42
413,TX,160,42
37,CO,161,43
37,CO,162,43
37,CO,163,43
37,CO,164,43
37,CO,165,43
37,CO,166,43
360,NC,167,44
360,NC,168,44
360,NC,169,44
360,NC,170,44
360,NC,171,44
360,NC,172,44
235,CT,173,45
235,CT,174,45
235,CT,175,45
235,CT,176,45
235,CT,177,45
286,AL,178,46
286,AL,179,46
483,WA,180,47
483,WA,181,47
34,CA,182,48
34,,183,49
34,CA,184,48
34,CA,185,48
34,CA,186,48
34,CA,187,48
318,MA,188,50
318,MA,189,50
318,MA,190,50
20,IN,191,51
251,AZ,192,52
251,AZ,193,52
116,OR,194,53
116,OR,195,53
116,OR,196,53
116,OR,197,53
116,OR,198,53
258,MN,199,54
258,MN,200,54
258,MN,201,54
258,MN,202,54
292,ME,203,55
292,ME,204,55
292,ME,205,55
292,ME,206,55
292,ME,207,55
292,ME,208,55
292,ME,209,55
292,ME,210,55
292,ME,211,55
306,VA,212,56
103,MA,213,57
103,MA,214,57
103,MA,215,57
103,MA,216,57
76,MI,217,58
76,MI,218,58
76,MI,219,58
76,MI,220,58
76,MI,221,58
76,MI,222,58
53,MN,223,59
53,MN,224,59
53,MN,225,59
75,MN,226,60
75,MN,227,60
75,MN,228,60
75,MN,229,60
75,,230,61
75,MN,231,60
278,MA,232,62
278,MA,233,62
463,TX,234,63
463,TX,235,63
463,TX,236,63
463,TX,237,63
463,TX,238,63
220,CO,239,64
220,CO,240,64
220,CO,241,64
220,CO,242,64
477,MA,243,65
477,MA,244,65
477,MA,245,65
8,MI,246,66
8,MI,247,66
40,IL,248,67
40,IL,249,67
519,TN,250,68
519,TN,251,68
336,MT,252,69
336,MT,253,69
336,MT,254,69
336,MT,255,69
336,MT,256,69
336,MT,257,69
336,MT,258,69
336,MT,259,69
336,MT,260,69
336,MT,261,69
336,MT,262,69
336,MT,263,69
221,FL,264,70
221,FL,265,70
444,MN,266,71
444,MN,267,71
444,MN,268,71
444,MN,269,71
444,MN,270,71
70,NC,271,72
407,MT,272,73
407,MT,273,73
407,MT,274,73
18,IN,275,74
112,CA,276,75
112,CA,277,75
112,CA,278,75
112,CA,279,75
294,CO,280,76
294,CO,281,76
294,CO,282,76
294,CO,283,76
79,WY,284,77
79,WY,285,77
95,MA,286,78
12,MI,287,79
12,MI,288,79
12,MI,289,79
12,MI,290,79
12,MI,291,79
12,MI,292,79
380,NE,293,80
380,NE,294,80
380,NE,295,80
380,NE,296,80
380,NE,297,80
380,NE,298,80
380,NE,299,80
380,NE,300,80
380,NE,301,80
380,NE,302,80
380,NE,303,80
380,NE,304,80
380,NE,305,80
380,NE,306,80
422,OR,307,81
422,OR,308,81
304,,309,82
382,,310,83
382,VA,311,84
382,VA,312,84
382,VA,313,84
414,VA,314,85
77,TX,315,86
77,TX,316,86
77,TX,317,86
77,TX,318,86
489,NY,319,87
489,NY,320,87
489,NY,321,87
489,NY,322,87
364,UT,323,88
364,UT,324,88
364,UT,325,88
364,UT,326,88
364,UT,327,88
378,FL,328,89
378,FL,329,89
378,FL,330,89
281,NJ,331,90
281,NJ,332,90
525,NY,333,91
525,NY,334,91
107,CO,335,92
107,CO,336,92
107,CO,337,92
107,CO,338,92
107,CO,339,92
107,CO,340,92
107,CO,341,92
107,CO,342,92
107,CO,343,92
107,CO,344,92
107,CO,345,92
107,CO,346,92
107,CO,347,92
107,CO,348,92
107,CO,349,92
107,CO,350,92
107,CO,351,92
107,,352,93
107,CO,353,92
231,AZ,354,94
300,MA,355,95
300,MA,356,95
300,MA,357,95
300,MA,358,95
300,MA,359,95
300,MA,360,95
300,MA,361,95
300,MA,362,95
300,MA,363,95
417,CO,364,96
417,CO,365,96
417,CO,366,96
31,MO,367,97
167,PA,368,98
167,PA,369,98
167,PA,370,98
219,MT,371,99
219,MT,372,99
219,MT,373,99
219,MT,374,99
219,MT,375,99
207,TX,376,100
195,OR,377,101
391,CO,378,102
391,CO,379,102
391,CO,380,102
391,,381,103
308,FL,382,104
308,FL,383,104
308,FL,384,104
308,FL,385,104
19,,386,105
85,MI,387,106
10,MI,388,107
10,MI,389,107
10,MI,390,107
10,MI,391,107
10,MI,392,107
10,MI,393,107
10,MI,394,107
10,MI,395,107
10,MI,396,107
10,MI,397,107
10,MI,398,107
10,MI,399,107
10,MI,400,107
10,MI,401,107
10,MI,402,107
10,MI,403,107
10,MI,404,107
10,MI,405,107
10,MI,406,107
10,MI,407,107
10,MI,408,107
10,MI,409,107
10,,410,108
10,MI,411,107
10,MI,412,107
10,MI,413,107
10,MI,414,107
10,MI,415,107
10,MI,416,107
10,MI,417,107
10,MI,418,107
10,MI,419,107
10,MI,420,107
10,MI,421,107
10,MI,422,107
10,MI,423,107
10,MI,424,107
10,MI,425,107
10,MI,426,107
10,MI,427,107
10,MI,428,107
10,MI,429,107
10,MI,430,107
10,MI,431,107
10,MI,432,107
10,MI,433,107
10,MI,434,107
10,MI,435,107
10,MI,436,107
10,MI,437,107
10,MI,438,107
10,MI,439,107
10,MI,440,107
10,MI,441,107
10,MI,442,107
10,MI,443,107
10,MI,444,107
10,MI,445,107
10,MI,446,107
10,MI,447,107
10,MI,448,107
10,MI,449,107
467,FL,450,109
467,,451,110
89,CT,452,111
493,AK,453,112
493,AK,454,112
493,AK,455,112
493,AK,456,112
437,NY,457,113
437,NY,458,113
437,NY,459,113
437,NY,460,113
437,,461,114
437,NY,462,113
530,NV,463,115
530,NV,464,115
530,NV,465,115
530,,466,116
530,NV,467,115
530,NV,468,115
530,NV,469,115
357,OH,470,117
56,IL,471,118
214,,472,119
214,TX,473,120
214,TX,474,120
24,IN,475,121
24,IN,476,121
24,IN,477,121
24,IN,478,121
24,IN,479,121
24,IN,480,121
24,IN,481,121
24,IN,482,121
24,IN,483,121
24,IN,484,121
24,IN,485,121
197,OR,486,122
