beer-name,original_index,unique_index
Pub Beer,0,0
Devil's Cup,1,1
Rise of the Phoenix,2,2
Sinister,3,3
Sex and Candy,4,4
Black Exodus,5,5
Lake Street Express,6,6
Foreman,7,7
Jade,8,8
Cone Crusher,9,9
Sophomoric Saison,10,10
Regional Ring Of Fire,11,11
Garce Selé,12,12
Troll Destroyer,13,13
Bitter Bitch,14,14
Ginja Ninja,15,15
Cherried Away,16,16
Rhubarbarian,17,17
BrightCider,18,18
He Said Baltic-Style Porter,19,19
He Said Belgian-Style Tripel,20,20
Lower De Boom,21,21
Fireside Chat,22,22
Marooned On Hog Island,23,23
Bitter American,24,24
Hell or High Watermelon Wheat (2009),25,25
Hell or High Watermelon Wheat (2009),26,25
21st Amendment Watermelon Wheat Beer (2006),27,26
21st Amendment IPA (2006),28,27
Brew Free! or Die IPA (2008),29,28
Brew Free! or Die IPA (2009),30,29
Special Edition: Allies Win The War!,31,30
Hop Crisis,32,31
Bitter American (2011),33,32
Fireside Chat (2010),34,33
Back in Black,35,34
Monk's Blood,36,35
Brew Free! or Die IPA,37,36
Hell or High Watermelon Wheat,38,37
Bimini Twist,39,38
Beach Blonde,40,39
Rod Bender Red,41,40
Passion Fruit Prussia,42,41
Send Help,43,42
Cast Iron Oatmeal Brown,44,43
Reprise Centennial Red,45,44
Alter Ego,46,45
Divided Sky,47,46
Resurrected,48,47
Contact High,49,48
Galaxyfest,50,49
Citrafest,51,50
Barn Yeti,52,51
Scarecrow,53,52
Ironman,54,53
Honey Kolsch,55,54
Copperhead Amber,56,55
Rude Parrot IPA,57,56
British Pale Ale (2010),58,57
British Pale Ale,59,58
Ballz Deep Double IPA,60,59
Wolfman's Berliner,61,60
Colorado Native,62,61
Colorado Native (2011),63,62
Jockamo IPA,64,63
Purple Haze,65,64
Abita Amber,66,65
Citra Ass Down,67,66
The Brown Note,68,67
Citra Ass Down,69,66
London Balling,70,68
35 K,71,69
A Beer,72,70
Rules are Rules,73,71
Flesh Gourd'n,74,72
Sho'nuff,75,73
Bloody Show,76,74
Rico Sauvin,77,75
Coq de la Marche,78,76
Kamen Knuddeln,79,77
Pile of Face,80,78
The Brown Note,81,67
Maylani's Coconut Stout,82,79
Oatmeal PSA,83,80
Pre Flight Pilsner,84,81
P-Town Pilsner,85,82
Klickitat Pale Ale,86,83
Yellow Wolf Imperial IPA,87,84
Freeride APA,88,85
Alaskan Amber,89,86
Hopalicious,90,87
Kentucky Kölsch,91,88
Kentucky IPA,92,89
Dusty Trail Pale Ale,93,90
Damnesia,94,91
Desolation IPA,95,92
Liberty Ale,96,93
IPA,97,94
Summer Wheat,98,95
California Lager,99,96
Brotherhood Steam,100,97
Blood Orange Gose,101,98
Keebarlin' Pale Ale,102,99
"the Kimmie, the Yink and the Holy Gose",103,100
Fall Hornin',104,101
Barney Flats Oatmeal Stout,105,102
Summer Solstice,106,103
Hop Ottin' IPA,107,104
Boont Amber Ale,108,105
Barney Flats Oatmeal Stout,109,102
El Steinber Dark Lager,110,106
Boont Amber Ale (2010),111,107
Summer Solstice Cerveza Crema (2009),112,108
Barney Flats Oatmeal Stout (2012),113,109
Winter Solstice,114,110
Hop Ottin' IPA (2011),115,111
Boont Amber Ale (2011),116,112
Summer Solstice (2011),117,113
Poleeko Gold Pale Ale (2009),118,114
Charlie's Rye IPA,119,115
River Pig Pale Ale,120,116
Oaky's Oatmeal Stout,121,117
Angry Orchard Apple Ginger,122,118
Angry Orchard Crisp Apple,123,119
Angry Orchard Crisp Apple,124,119
Golden One,125,120
Arjuna,126,121
Uroboros,127,122
Long Leaf,128,123
Honey Badger Blonde,129,124
Porter (a/k/a Black Gold Porter),130,125
Sky High Rye,131,126
Whitsun,132,127
On-On Ale (2008),133,128
Quakertown Stout,134,129
Greenbelt Farmhouse Ale,135,130
Mo's Gose,136,131
Green Bullet Organic India Pale Ale,137,132
Rocket Girl,138,133
Ninja Porter,139,134
Shiva IPA,140,135
Aslan Kölsch,141,136
Aslan IPA,142,137
Aslan Amber,143,138
This Season's Blonde,144,139
Independence Pass Ale,145,140
Trolley Stop Stout,146,141
Bitter Bitch Imperial IPA,147,142
Poop Deck Porter,148,143
Old Red Beard Amber Ale,149,144
Hop A-Peel,150,145
Vanilla Java Porter,151,146
Michelada,152,147
Dirty Blonde Ale,153,148
Grand Circus IPA,154,149
Atwater's Lager,155,150
Heavy Machinery IPA Series #1: Heavy Fist,156,151
Fire Eagle IPA,157,152
Peacemaker,158,153
Pearl-Snap,159,154
Black Thunder,160,155
Raja,161,156
Perzik Saison,162,157
Avery Joe’s Premium American Pilsner,163,158
White Rascal,164,159
Avery India Pale Ale,165,160
Ellie’s Brown Ale,166,161
Pumpkin Beast,167,162
OktoberBeast,168,163
Mad Beach,169,164
Hog Wild India Pale Ale,170,165
Devils Tramping Ground Tripel,171,166
Hot Rod Red,172,167
Palate Mallet,173,168
Back East Porter,174,169
Back East Golden Ale,175,170
Misty Mountain IPA,176,171
Back East Ale,177,172
Truck Stop Honey Brown Ale,178,173
Naked Pig Pale Ale,179,174
Topcutter India Pale Ale,180,175
Field 41 Pale Ale,181,176
Grapefruit Sculpin,182,177
Even Keel,183,178
Ballast Point Pale Ale,184,179
Big Eye India Pale Ale,185,180
Longfin Lager,186,181
Sculpin IPA,187,182
All Nighter Ale,188,183
Banner American Rye,189,184
Banner American Ale,190,185
Thai.p.a,191,186
Barrio Blanco,192,187
Barrio Tucson Blonde,193,188
Hop in the ‘Pool Helles,194,189
Ultra Gnar Gnar IPA,195,190
In-Tents India Pale Lager,196,191
Lost Meridian Wit,197,192
Celestial Meridian Cascadian Dark Lager,198,193
Wagon Party,199,194
Sky-Five,200,195
Stargrazer,201,196
Wonderstuff,202,197
Tarnation California-Style Lager,203,198
On the Count of 3 (2015),204,199
Summer Swelter,205,200
Phantom Punch Winter Stout,206,201
Hayride Autumn Ale,207,202
Celsius Summer Ale (2012),208,203
Amber Road,209,204
Pamola Xtra Pale Ale,210,205
Stowaway IPA,211,206
Hoptopus Double IPA,212,207
Watermelon Ale,213,208
Fenway American Pale Ale,214,209
Back Bay IPA,215,210
Bunker Hill Blueberry Ale,216,211
Oberon,217,212
Smitten,218,213
Winter White,219,214
Oberon,220,212
Two Hearted,221,215
Best Brown,222,216
Moar,223,217
Uber Lupin Schwarz IPA,224,218
Nordic Blonde,225,219
Cold Press,226,220
Harness the Winter,227,221
14° ESB,228,222
Bent Hop Golden IPA,229,223
Bent Paddle Black Ale,230,224
Venture Pils,231,225
Lost Sailor IPA,232,226
Steel Rail Extra Pale Ale,233,227
La Frontera Premium IPA,234,228
Tejas Lager,235,229
Number 22 Porter,236,230
Big Bend Hefeweizen,237,231
Terlingua Gold,238,232
Aprè Shred,239,233
Hemlock Double IPA,240,234
West Portal Colorado Common Summer Ale,241,235
Disconnected Red,242,236
Big Elm IPA,243,237
Gerry Dog Stout,244,238
413 Farmhouse Ale,245,239
Dark Star,246,240
Ryecoe,247,241
Blueberry Blonde,248,242
Galaxy IPA,249,243
Big River Pilsner,250,244
House Brand IPA,251,245
Big Sky IPA,252,246
Scape Goat Pale Ale,253,247
Montana Trout Slayer Ale,254,248
Moose Drool Brown Ale,255,249
Powder Hound Winter Ale,256,250
Moose Drool Brown Ale (2011),257,251
Montana Trout Slayer Ale (2012),258,252
Big Sky IPA (2012),259,253
Summer Honey,260,254
Scape Goat Pale Ale (2010),261,255
Montana Trout Slayer Ale (2009),262,256
Moose Drool Brown Ale (2009),263,257
Arcus IPA,264,258
Wavemaker,265,259
Jack Pine Savage,266,260
Forest Fire Imperial Smoked Rye,267,261
Bad Axe Imperial IPA,268,262
Morning Wood,269,263
Bark Bite IPA,270,264
Jalapeno Pale Ale,271,265
Blown Out Brown,272,266
Single Hop Ale,273,267
Sawtooth Ale,274,268
Saucy Intruder,275,269
Deception,276,270
Blackmarket Rye IPA,277,271
Black Market Hefeweizen,278,272
Aftermath Pale Ale,279,273
American India Red Ale,280,274
American Red Porter,281,275
American Red Saison,282,276
Colorado Red Ale,283,277
Saddle Bronc Brown Ale,284,278
Bomber Mountain Amber Ale,285,279
Flying Sailor,286,280
Nordskye,287,281
North Third Stout,288,282
Honey Lav,289,283
Coconut Brown Ale,290,284
51K IPA,291,285
Grand Rabbits,292,286
1800 Big Log Wheat (2012),293,287
Double Play Pilsner,294,288
Brewerhood Brown Ale,295,289
Last Call Imperial Amber Ale,296,290
Pernicious Double IPA,297,291
6-4-3 Double Play Pilsner,298,292
N Street Drive-In 50th Anniversary IPA,299,293
467 Ethan's Stout,300,294
1335 Wicked Snout,301,295
543 Skull Creek Fresh Hopped Pale Ale,302,296
1327 Pod's ESB,303,297
1327 Pod's ESB,304,297
1327 Pod's ESB,305,297
834 Happy As Ale,306,298
Yellow Collar,307,299
Green Collar,308,300
Quarter Mile Double IPA,309,301
Full Nelson Pale Ale,310,302
Steel Wheels ESB,311,303
Blue Mountain Classic Lager,312,304
Full Nelson Pale Ale (2010),313,305
Kölsch 151,314,306
Professor Black,315,307
Little Boss,316,308
Van Dayum!,317,309
Spirit Animal,318,310
Toxic Sludge,319,311
Blue Point White IPA,320,312
Blue Point Summer Ale,321,313
Toasted Lager,322,314
Bohemian Export Lager,323,315
Altus Bohemes Altbier,324,316
Cherny Bock,325,317
Czech Pilsner,326,318
Viennese Lager,327,319
Mad Manatee IPA,328,320
Killer Whale Cream Ale,329,321
Duke's Cold Nose Brown Ale,330,322
Longhop IPA,331,323
Lucky Buck,332,324
Bomb Lager (New Recipe),333,325
Bomb Lager (Old Recipe),334,326
Firestarter India Pale Ale,335,327
Kilt Dropper Scotch Ale,336,328
Wood Splitter Pilsner,337,329
Gyptoberfest,338,330
Farmer Wirtz India Pale Ale,339,331
Slow & Steady Golden Ale,340,332
Pink-I Raspberry IPA,341,333
Moe's Original Bar B Que 'Bama Brew Golden Ale,342,334
Live Local Golden Ale,343,335
Screaming Eagle Special Ale ESB,344,336
Dirtbag Dunkel,345,337
Kindler Pale Ale,346,338
Mistress Winter Wheat,347,339
Tent Pole Vanilla Porter,348,340
Awry Rye Pale Ale,349,341
Demshitz Brown Ale,350,342
Wood Splitter Pilsner (2012),351,343
Brush Creek Blonde,352,344
Firestarter India Pale Ale,353,327
Noche Dulce,354,345
Porch Rocker,355,346
Rebel IPA,356,347
Cold Snap,357,348
Samuel Adams Winter Lager,358,349
Boston Lager,359,350
Boston Lager,360,350
Samuel Adams Octoberfest,361,351
Samuel Adams Summer Ale,362,352
Boston Lager,363,350
Hazed & Infused,364,353
Hoopla Pale Ale,365,354
Hazed & Infused (2010),366,355
Heavy Lifting,367,356
1492,368,357
Mango Ginger,369,358
Passenger,370,359
Plum St. Porter,371,360
Plum St. Porter,372,360
Bozone HopZone IPA,373,361
Bozone Hefe Weizen,374,362
Bozone Select Amber Ale,375,363
Evil Owl,376,364
Post Time Kölsch,377,365
Agave Wheat,378,366
SummerBright Ale,379,367
Lucky U IPA,380,368
Avalanche Ale,381,369
"You're My Boy, Blue",382,370
Last Stop IPA,383,371
Rollin Dirty Red Ale,384,372
Are Wheat There Yet?,385,373
Insert Hop Reference,386,374
Manitou Amber,387,375
Belfort,388,376
Star Runner,389,377
Tart Side of the Barrel,390,378
Linnaeus Mango IPA,391,379
Beasts A'Burnin',392,380
Verdun,393,381
Barrel Aged Triomphe,394,382
Cherry Doppelbock,395,383
Tropical Saison,396,384
Beach Patrol,397,385
Nuit Serpent,398,386
Paris,399,387
The Grand Army,400,388
Acidulated Trip,401,389
Root Stock,402,390
Mind Games,403,391
Sous Chef,404,392
Dubbelicious,405,393
Psychopomp,406,394
Fat Paczki,407,395
Earth-Like Planets,408,396
Ski Patrol,409,397
Viking Ice Hole,410,398
Rye Porter,411,399
Wizard Burial Ground,412,400
Smoky Wheat,413,401
BRIPA,414,402
Mela,415,403
W.I.P.A Snappa,416,404
Pepper in the Rye,417,405
Moe Lasses',418,406
Pumpkin Tart,419,407
Undertaker,420,408
Undertaker (2014),421,409
Coq D'Or,422,410
North French,423,411
Agent a Deux,424,412
Belgian Wit,425,413
Pothole Stout,426,414
Tree Bucket,427,415
Le Flaneur Ale,428,416
Maize & Blueberry,429,417
Trebuchet Double IPA,430,418
Contemplation,431,419
Black Rabbit,432,420
Zaison,433,421
Vivant Tripel,434,422
Tart Side of the Moon,435,423
Big Red Coq,436,424
Hubris Quadrupel Anniversary Ale,437,425
Plow Horse Belgian Style Imperial Stout,438,426
Escoffier Bretta Ale,439,427
Contemplation (2012),440,428
Vivant Belgian Style Imperial Stout (2012),441,429
Big Red Coq (2012),442,430
Zaison (2012),443,431
Vivant Tripel (2012),444,432
Trebuchet Double IPA (2012),445,433
Kludde,446,434
Farm Hand,447,435
Solitude,448,436
Triomphe,449,437
Tampa Pale Ale,450,438
Orange Grove Wheat Ale,451,439
Broad Brook Ale,452,440
Northern Lights Amber Ale,453,441
Polar Pale Ale,454,442
Chugach Session Ale,455,443
Fairweather IPA,456,444
East India Pale Ale,457,445
Brooklyn Summer Ale,458,446
