brewery-name,original_index,unique_index
10 Barrel Brewing Company,0,0
18th Street Brewery,1,1
18th Street Brewery,2,1
18th Street Brewery,3,1
18th Street Brewery,4,1
18th Street Brewery,5,1
18th Street Brewery,6,1
18th Street Brewery,7,1
18th Street Brewery,8,1
18th Street Brewery,9,1
18th Street Brewery,10,1
18th Street Brewery,11,1
18th Street Brewery,12,1
18th Street Brewery,13,1
18th Street Brewery,14,1
2 Towns Ciderhouse,15,2
2 Towns Ciderhouse,16,2
2 Towns Ciderhouse,17,2
2 Towns Ciderhouse,18,2
21st Amendment Brewery,19,3
21st Amendment Brewery,20,3
21st Amendment Brewery,21,3
21st Amendment Brewery,22,3
21st Amendment Brewery,23,3
21st Amendment Brewery,24,3
21st Amendment Brewery,25,3
21st Amendment Brewery,26,3
21st Amendment Brewery,27,3
21st Amendment Brewery,28,3
21st Amendment Brewery,29,3
21st Amendment Brewery,30,3
21st Amendment Brewery,31,3
21st Amendment Brewery,32,3
21st Amendment Brewery,33,3
21st Amendment Brewery,34,3
21st Amendment Brewery,35,3
21st Amendment Brewery,36,3
21st Amendment Brewery,37,3
21st Amendment Brewery,38,3
3 Daughters Brewing,39,4
3 Daughters Brewing,40,4
3 Daughters Brewing,41,4
4 Hands Brewing Company,42,5
4 Hands Brewing Company,43,5
4 Hands Brewing Company,44,5
4 Hands Brewing Company,45,5
4 Hands Brewing Company,46,5
4 Hands Brewing Company,47,5
4 Hands Brewing Company,48,5
4 Hands Brewing Company,49,5
450 North Brewing Company,50,6
450 North Brewing Company,51,6
450 North Brewing Company,52,6
450 North Brewing Company,53,6
450 North Brewing Company,54,6
450 North Brewing Company,55,6
450 North Brewing Company,56,6
7 Seas Brewing Company,57,7
7 Seas Brewing Company,58,7
7 Seas Brewing Company,59,7
7 Seas Brewing Company,60,7
7venth Sun,61,8
AC Golden Brewing Company,62,9
AC Golden Brewing Company,63,9
Abita Brewing Company,64,10
Abita Brewing Company,65,10
Abita Brewing Company,66,10
Against The Grain Brewery,67,11
Against The Grain Brewery,68,11
Against the Grain Brewery,69,12
Against the Grain Brewery,70,12
Against the Grain Brewery,71,12
Against the Grain Brewery,72,12
Against the Grain Brewery,73,12
Against the Grain Brewery,74,12
Against the Grain Brewery,75,12
Against the Grain Brewery,76,12
Against the Grain Brewery,77,12
Against the Grain Brewery,78,12
Against the Grain Brewery,79,12
Against the Grain Brewery,80,12
Against the Grain Brewery,81,12
Airways Brewing Company,82,13
Airways Brewing Company,83,13
Airways Brewing Company,84,13
Alameda Brewing,85,14
Alameda Brewing,86,14
Alameda Brewing,87,14
Alaskan Brewing Company,88,15
Alaskan Brewing Company,89,15
Ale Asylum,90,16
Alltech's Lexington Brewing Company,91,17
Alltech's Lexington Brewing Company,92,17
Amnesia Brewing Company,93,18
Amnesia Brewing Company,94,18
Amnesia Brewing Company,95,18
Anchor Brewing Company,96,19
Anchor Brewing Company,97,19
Anchor Brewing Company,98,19
Anchor Brewing Company,99,19
Anchor Brewing Company,100,19
Anderson Valley Brewing Company,101,20
Anderson Valley Brewing Company,102,20
Anderson Valley Brewing Company,103,20
Anderson Valley Brewing Company,104,20
Anderson Valley Brewing Company,105,20
Anderson Valley Brewing Company,106,20
Anderson Valley Brewing Company,107,20
Anderson Valley Brewing Company,108,20
Anderson Valley Brewing Company,109,20
Anderson Valley Brewing Company,110,20
Anderson Valley Brewing Company,111,20
Anderson Valley Brewing Company,112,20
Anderson Valley Brewing Company,113,20
Anderson Valley Brewing Company,114,20
Anderson Valley Brewing Company,115,20
Anderson Valley Brewing Company,116,20
Anderson Valley Brewing Company,117,20
Anderson Valley Brewing Company,118,20
Angry Minnow,119,21
Angry Minnow Brewing Company,120,22
Angry Minnow Brewing Company,121,22
Angry Orchard Cider Company,122,23
Angry Orchard Cider Company,123,23
Angry Orchard Cider Company,124,23
Anthem Brewing Company,125,24
Anthem Brewing Company,126,24
Anthem Brewing Company,127,24
Appalachian Mountain Brewery,128,25
Appalachian Mountain Brewery,129,25
Appalachian Mountain Brewery,130,25
Arcadia Brewing Company,131,26
Arcadia Brewing Company,132,26
Arctic Craft Brewery,133,27
Armadillo Ale Works,134,28
Armadillo Ale Works,135,28
Armstrong Brewing Company,136,29
Asher Brewing Company,137,30
Asheville Brewing Company,138,31
Asheville Brewing Company,139,31
