id,original_index,unique_index
1436,0,0
2265,1,1
2264,2,2
2263,3,3
2262,4,4
2261,5,5
2260,6,6
2259,7,7
2258,8,8
2131,9,9
2099,10,10
2098,11,11
2097,12,12
1980,13,13
1979,14,14
2318,15,15
2170,16,16
2169,17,17
1502,18,18
1593,19,19
1592,20,20
1036,21,21
1024,22,22
976,23,23
876,24,24
802,25,25
801,26,26
800,27,27
799,28,28
797,29,29
796,30,30
531,31,31
432,32,32
353,33,33
321,34,34
173,35,35
11,36,36
10,37,37
9,38,38
2519,39,39
2518,40,40
2517,41,41
2545,42,42
2544,43,43
2324,44,44
2288,45,45
2287,46,46
2286,47,47
2285,48,48
1870,49,49
2603,50,50
2602,51,51
2220,52,52
2219,53,53
2218,54,54
2217,55,55
2216,56,56
972,57,57
866,58,58
48,59,59
47,60,60
1583,61,61
1165,62,62
431,63,63
516,64,64
515,65,65
514,66,66
2540,67,67
2539,68,68
2686,69,69
2685,70,70
2684,71,71
2683,72,72
2682,73,73
2681,74,74
2680,75,75
2679,76,76
2678,77,77
2677,78,78
2676,79,79
2675,80,80
2674,81,81
1594,82,82
1162,83,83
1137,84,84
2403,85,85
2402,86,86
2401,87,87
1921,88,88
1920,89,89
2501,90,90
1535,91,91
1149,92,92
1474,93,93
1473,94,94
837,95,95
2592,96,96
2578,97,97
2577,98,98
2103,99,99
2102,100,100
2291,101,101
1818,102,102
1738,103,103
1563,104,104
1520,105,105
1350,106,106
1327,107,107
1326,108,108
1221,109,109
1217,110,110
811,111,111
753,112,112
572,113,113
523,114,114
367,115,115
78,116,116
77,117,117
76,118,118
2337,119,119
410,120,120
409,121,121
1294,122,122
1293,123,123
1292,124,124
2207,125,125
2040,126,126
2039,127,127
2511,128,128
2510,129,129
2509,130,130
413,131,131
390,132,132
735,133,133
1333,134,134
1332,135,135
1172,136,136
1322,137,137
550,138,138
429,139,139
428,140,140
1640,141,141
1639,142,142
1638,143,143
597,144,144
596,145,145
1580,146,146
980,147,147
979,148,148
978,149,149
2503,150,150
2502,151,151
2495,152,152
534,153,153
528,154,154
527,155,155
1409,156,156
343,157,157
342,158,158
341,159,159
340,160,160
2589,161,161
2546,162,162
146,163,163
108,164,164
107,165,165
106,166,166
1620,167,167
1579,168,168
1228,169,169
705,170,170
704,171,171
702,172,172
2058,173,173
1483,174,174
1426,175,175
1132,176,176
1131,177,177
1876,178,178
1875,179,179
966,180,180
965,181,181
2593,182,182
2105,183,183
1401,184,184
1400,185,185
1019,186,186
1018,187,187
1776,188,188
1644,189,189
1643,190,190
2618,191,191
2005,192,192
1343,193,193
2404,194,194
2323,195,195
2189,196,196
2188,197,197
2187,198,198
1966,199,199
1965,200,200
1964,201,201
1963,202,202
1855,203,203
1778,204,204
1209,205,205
954,206,206
910,207,207
707,208,208
533,209,209
183,210,210
182,211,211
1806,212,212
2435,213,213
2423,214,214
2420,215,215
2419,216,216
2494,217,217
2325,218,218
2022,219,219
1989,220,220
1988,221,221
1955,222,222
2558,223,223
2557,224,224
2556,225,225
2496,226,226
2410,227,227
1902,228,228
1901,229,229
1261,230,230
1253,231,231
1900,232,232
1317,233,233
1158,234,234
1157,235,235
1156,236,236
1155,237,237
1154,238,238
2104,239,239
