ounces,original_index,unique_index
12.0 oz,0,0
12.0 oz.,1,1
12.0 ounce,2,2
12.0 oz,3,0
12.0 OZ.,4,3
12.0 oz,5,0
12.0 oz.,6,1
12.0 ounce,7,2
12.0 oz.,8,1
12.0 ounce,9,2
12.0 oz.,10,1
12.0 oz.,11,1
12.0 OZ.,12,3
12.0 oz.,13,1
12.0 ounce,14,2
12.0 ounce,15,2
12.0 oz.,16,1
12.0 oz. Alumi-Tek,17,4
12.0 ounce,18,2
12.0 oz.,19,1
12.0 oz.,20,1
8.4 ounce,21,5
12.0 OZ.,22,3
12.0 oz.,23,1
12.0 oz,24,0
12.0 ounce,25,2
12.0 oz.,26,1
12.0 oz.,27,1
12.0 oz.,28,1
12.0 OZ.,29,3
12.0 oz.,30,1
12.0 oz.,31,1
12.0 oz.,32,1
12.0 oz,33,0
12.0 ounce,34,2
12.0 ounce,35,2
12.0 OZ.,36,3
12.0 oz.,37,1
12.0 oz.,38,1
12.0 ounce,39,2
12.0 oz.,40,1
12.0 oz.,41,1
12.0 oz,42,0
12.0 oz,43,0
12.0 oz,44,0
12.0 oz.,45,1
12.0 oz.,46,1
12.0 oz,47,0
12.0 oz.,48,1
12.0 oz.,49,1
16.0 ounce,50,6
16.0 ounce,51,6
16.0 oz.,52,7
16.0 oz.,53,7
16.0 oz. Alumi-Tek,54,8
16.0 ounce,55,6
16.0 oz,56,9
16.0 oz,57,9
16.0 oz,58,9
16.0 ounce,59,6
16.0 oz.,60,7
12.0 oz.,61,1
12.0 oz,62,0
12.0 ounce,63,2
12.0 oz.,64,1
12.0 oz,65,0
12.0 oz.,66,1
16.0 ounce,67,6
16.0 ounce,68,6
16.0 ounce,69,6
16.0 oz.,70,7
16.0 OZ.,71,10
16.0 oz.,72,7
16.0 oz,73,9
16.0 ounce,74,6
16.0 oz,75,9
16.0 oz.,76,7
16.0 ounce,77,6
16.0 OZ.,78,10
16.0 ounce,79,6
16.0 oz.,80,7
16.0 oz,81,9
16.0 ounce,82,6
16.0 OZ.,83,10
16.0 oz.,84,7
12.0 OZ.,85,3
12.0 oz. Alumi-Tek,86,4
12.0 oz,87,0
12.0 oz.,88,1
12.0 OZ.,89,3
12.0 OZ.,90,3
16.0 oz,91,9
16.0 OZ.,92,10
16.0 oz. Alumi-Tek,93,8
16.0 oz,94,9
16.0 ounce,95,6
12.0 oz. Alumi-Tek,96,4
12.0 ounce,97,2
12.0 oz,98,0
12.0 oz.,99,1
12.0 ounce,100,2
12.0 oz.,101,1
12.0 oz,102,0
12.0 oz.,103,1
12.0 oz,104,0
12.0 ounce,105,2
12.0 ounce,106,2
12.0 oz,107,0
12.0 oz.,108,1
12.0 oz. Alumi-Tek,109,4
16.0 oz,110,9
12.0 oz.,111,1
12.0 oz,112,0
12.0 oz,113,0
12.0 ounce,114,2
12.0 ounce,115,2
12.0 ounce,116,2
12.0 oz.,117,1
12.0 oz.,118,1
16.0 ounce,119,6
16.0 oz,120,9
16.0 oz.,121,7
16.0 oz.,122,7
16.0 oz.,123,7
12.0 OZ.,124,3
12.0 oz.,125,1
12.0 ounce,126,2
12.0 OZ.,127,3
16.0 oz.,128,7
16.0 oz. Alumi-Tek,129,8
16.0 ounce,130,6
12.0 oz. Silo Can,131,11
12.0 oz.,132,1
12.0 oz,133,0
12.0 ounce,134,2
12.0 oz.,135,1
16.0 oz,136,9
