beer-name,ounces,original_index,unique_index
Pub Beer,12.0 oz,0,0
Devil's Cup,12.0 oz.,1,1
Rise of the Phoenix,12.0 ounce,2,2
Sinister,12.0 oz,3,3
Sex and Candy,12.0 OZ.,4,4
Black Exodus,12.0 oz,5,5
Lake Street Express,12.0 oz.,6,6
Foreman,12.0 ounce,7,7
Jade,12.0 oz.,8,8
Cone Crusher,12.0 ounce,9,9
Sophomoric Saison,12.0 oz.,10,10
Regional Ring Of Fire,12.0 oz.,11,11
Garce Selé,12.0 OZ.,12,12
Troll Destroyer,12.0 oz.,13,13
Bitter Bitch,12.0 ounce,14,14
Ginja Ninja,12.0 ounce,15,15
Cherried Away,12.0 oz.,16,16
Rhubarbarian,12.0 oz. Alumi-Tek,17,17
BrightCider,12.0 ounce,18,18
He Said Baltic-Style Porter,12.0 oz.,19,19
He Said Belgian-Style Tripel,12.0 oz.,20,20
Lower De Boom,8.4 ounce,21,21
Fireside Chat,12.0 OZ.,22,22
Marooned On Hog Island,12.0 oz.,23,23
Bitter American,12.0 oz,24,24
Hell or High Watermelon Wheat (2009),12.0 ounce,25,25
Hell or High Watermelon Wheat (2009),12.0 oz.,26,26
21st Amendment Watermelon Wheat Beer (2006),12.0 oz.,27,27
21st Amendment IPA (2006),12.0 oz.,28,28
Brew Free! or Die IPA (2008),12.0 OZ.,29,29
Brew Free! or Die IPA (2009),12.0 oz.,30,30
Special Edition: Allies Win The War!,12.0 oz.,31,31
Hop Crisis,12.0 oz.,32,32
Bitter American (2011),12.0 oz,33,33
Fireside Chat (2010),12.0 ounce,34,34
Back in Black,12.0 ounce,35,35
Monk's Blood,12.0 OZ.,36,36
Brew Free! or Die IPA,12.0 oz.,37,37
Hell or High Watermelon Wheat,12.0 oz.,38,38
Bimini Twist,12.0 ounce,39,39
Beach Blonde,12.0 oz.,40,40
Rod Bender Red,12.0 oz.,41,41
Passion Fruit Prussia,12.0 oz,42,42
Send Help,12.0 oz,43,43
Cast Iron Oatmeal Brown,12.0 oz,44,44
Reprise Centennial Red,12.0 oz.,45,45
Alter Ego,12.0 oz.,46,46
Divided Sky,12.0 oz,47,47
Resurrected,12.0 oz.,48,48
Contact High,12.0 oz.,49,49
Galaxyfest,16.0 ounce,50,50
Citrafest,16.0 ounce,51,51
Barn Yeti,16.0 oz.,52,52
Scarecrow,16.0 oz.,53,53
Ironman,16.0 oz. Alumi-Tek,54,54
Honey Kolsch,16.0 ounce,55,55
Copperhead Amber,16.0 oz,56,56
Rude Parrot IPA,16.0 oz,57,57
British Pale Ale (2010),16.0 oz,58,58
British Pale Ale,16.0 ounce,59,59
Ballz Deep Double IPA,16.0 oz.,60,60
Wolfman's Berliner,12.0 oz.,61,61
Colorado Native,12.0 oz,62,62
Colorado Native (2011),12.0 ounce,63,63
Jockamo IPA,12.0 oz.,64,64
Purple Haze,12.0 oz,65,65
Abita Amber,12.0 oz.,66,66
Citra Ass Down,16.0 ounce,67,67
The Brown Note,16.0 ounce,68,68
Citra Ass Down,16.0 ounce,69,67
London Balling,16.0 oz.,70,69
35 K,16.0 OZ.,71,70
A Beer,16.0 oz.,72,71
Rules are Rules,16.0 oz,73,72
Flesh Gourd'n,16.0 ounce,74,73
Sho'nuff,16.0 oz,75,74
Bloody Show,16.0 oz.,76,75
Rico Sauvin,16.0 ounce,77,76
Coq de la Marche,16.0 OZ.,78,77
Kamen Knuddeln,16.0 ounce,79,78
Pile of Face,16.0 oz.,80,79
The Brown Note,16.0 oz,81,80
Maylani's Coconut Stout,16.0 ounce,82,81
Oatmeal PSA,16.0 OZ.,83,82
Pre Flight Pilsner,16.0 oz.,84,83
P-Town Pilsner,12.0 OZ.,85,84
Klickitat Pale Ale,12.0 oz. Alumi-Tek,86,85
Yellow Wolf Imperial IPA,12.0 oz,87,86
Freeride APA,12.0 oz.,88,87
Alaskan Amber,12.0 OZ.,89,88
Hopalicious,12.0 OZ.,90,89
Kentucky Kölsch,16.0 oz,91,90
Kentucky IPA,16.0 OZ.,92,91
Dusty Trail Pale Ale,16.0 oz. Alumi-Tek,93,92
Damnesia,16.0 oz,94,93
Desolation IPA,16.0 ounce,95,94
Liberty Ale,12.0 oz. Alumi-Tek,96,95
IPA,12.0 ounce,97,96
Summer Wheat,12.0 oz,98,97
California Lager,12.0 oz.,99,98
Brotherhood Steam,12.0 ounce,100,99
Blood Orange Gose,12.0 oz.,101,100
Keebarlin' Pale Ale,12.0 oz,102,101
"the Kimmie, the Yink and the Holy Gose",12.0 oz.,103,102
Fall Hornin',12.0 oz,104,103
Barney Flats Oatmeal Stout,12.0 ounce,105,104
Summer Solstice,12.0 ounce,106,105
