brewery-id,brewery-name,original_index,unique_index
408,10 Barrel Brewing Company,0,0
177,18th Street Brewery,1,1
177,18th Street Brewery,2,1
177,18th Street Brewery,3,1
177,18th Street Brewery,4,1
177,18th Street Brewery,5,1
177,18th Street Brewery,6,1
177,18th Street Brewery,7,1
177,18th Street Brewery,8,1
177,18th Street Brewery,9,1
177,18th Street Brewery,10,1
177,18th Street Brewery,11,1
177,18th Street Brewery,12,1
177,18th Street Brewery,13,1
177,18th Street Brewery,14,1
154,2 Towns Ciderhouse,15,2
154,2 Towns Ciderhouse,16,2
154,2 Towns Ciderhouse,17,2
154,2 Towns Ciderhouse,18,2
368,21st Amendment Brewery,19,3
368,21st Amendment Brewery,20,3
368,21st Amendment Brewery,21,3
368,21st Amendment Brewery,22,3
368,21st Amendment Brewery,23,3
368,21st Amendment Brewery,24,3
368,21st Amendment Brewery,25,3
368,21st Amendment Brewery,26,3
368,21st Amendment Brewery,27,3
368,21st Amendment Brewery,28,3
368,21st Amendment Brewery,29,3
368,21st Amendment Brewery,30,3
368,21st Amendment Brewery,31,3
368,21st Amendment Brewery,32,3
368,21st Amendment Brewery,33,3
368,21st Amendment Brewery,34,3
368,21st Amendment Brewery,35,3
368,21st Amendment Brewery,36,3
368,21st Amendment Brewery,37,3
368,21st Amendment Brewery,38,3
67,3 Daughters Brewing,39,4
67,3 Daughters Brewing,40,4
67,3 Daughters Brewing,41,4
60,4 Hands Brewing Company,42,5
60,4 Hands Brewing Company,43,5
60,4 Hands Brewing Company,44,5
60,4 Hands Brewing Company,45,5
60,4 Hands Brewing Company,46,5
60,4 Hands Brewing Company,47,5
60,4 Hands Brewing Company,48,5
60,4 Hands Brewing Company,49,5
27,450 North Brewing Company,50,6
27,450 North Brewing Company,51,6
27,450 North Brewing Company,52,6
27,450 North Brewing Company,53,6
27,450 North Brewing Company,54,6
27,450 North Brewing Company,55,6
27,450 North Brewing Company,56,6
481,7 Seas Brewing Company,57,7
481,7 Seas Brewing Company,58,7
481,7 Seas Brewing Company,59,7
481,7 Seas Brewing Company,60,7
373,7venth Sun,61,8
462,AC Golden Brewing Company,62,9
462,AC Golden Brewing Company,63,9
533,Abita Brewing Company,64,10
533,Abita Brewing Company,65,10
533,Abita Brewing Company,66,10
62,Against The Grain Brewery,67,11
62,Against The Grain Brewery,68,11
1,Against the Grain Brewery,69,12
1,Against the Grain Brewery,70,12
1,Against the Grain Brewery,71,12
1,Against the Grain Brewery,72,12
1,Against the Grain Brewery,73,12
1,Against the Grain Brewery,74,12
1,Against the Grain Brewery,75,12
1,Against the Grain Brewery,76,12
1,Against the Grain Brewery,77,12
1,Against the Grain Brewery,78,12
1,Against the Grain Brewery,79,12
1,Against the Grain Brewery,80,12
1,Against the Grain Brewery,81,12
367,Airways Brewing Company,82,13
367,Airways Brewing Company,83,13
