ounces,abv,original_index,unique_index
12.0 oz,0.05,0,0
12.0 oz.,0.066,1,1
12.0 ounce,0.071,2,2
12.0 oz,0.09%,3,3
12.0 OZ.,0.075,4,4
12.0 oz,0.077,5,5
12.0 oz.,0.045%,6,6
12.0 ounce,0.065,7,7
12.0 oz.,0.055,8,8
12.0 ounce,0.086,9,9
12.0 oz.,0.072,10,10
12.0 oz.,0.073,11,11
12.0 OZ.,0.069%,12,12
12.0 oz.,0.085,13,13
12.0 ounce,0.061%,14,14
12.0 ounce,0.06,15,15
12.0 oz.,0.06,16,16
12.0 oz. Alumi-Tek,0.06,17,17
12.0 ounce,0.06,18,15
12.0 oz.,0.082,19,18
12.0 oz.,0.082,20,18
8.4 ounce,0.099,21,19
12.0 OZ.,0.079,22,20
12.0 oz.,0.079,23,21
12.0 oz,0.044,24,22
12.0 ounce,0.049,25,23
12.0 oz.,0.049%,26,24
12.0 oz.,0.049,27,25
12.0 oz.,0.07,28,26
12.0 OZ.,0.07%,29,27
12.0 oz.,0.07%,30,28
12.0 oz.,0.085,31,13
12.0 oz.,0.097,32,29
12.0 oz,0.044,33,22
12.0 ounce,0.079%,34,30
12.0 ounce,0.068%,35,31
12.0 OZ.,0.083,36,32
12.0 oz.,0.07,37,26
12.0 oz.,0.049,38,25
12.0 ounce,0.07,39,33
12.0 oz.,0.05,40,34
12.0 oz.,0.059,41,35
12.0 oz,0.035,42,36
12.0 oz,0.045%,43,37
12.0 oz,0.055%,44,38
12.0 oz.,0.06,45,16
12.0 oz.,0.055%,46,39
12.0 oz,0.065,47,40
12.0 oz.,0.065,48,41
12.0 oz.,0.05,49,34
16.0 ounce,0.065,50,42
16.0 ounce,0.05,51,43
16.0 oz.,0.09,52,44
16.0 oz.,0.069,53,45
16.0 oz. Alumi-Tek,0.09%,54,46
16.0 ounce,0.046%,55,47
16.0 oz,0.052000000000000005%,56,48
16.0 oz,0.059,57,49
16.0 oz,0.054,58,50
16.0 ounce,0.054,59,51
16.0 oz.,0.084,60,52
12.0 oz.,0.038,61,53
12.0 oz,0.055,62,54
12.0 ounce,0.055,63,55
12.0 oz.,0.065,64,41
12.0 oz,0.042,65,56
12.0 oz.,0.045,66,57
16.0 ounce,0.082,67,58
16.0 ounce,0.05,68,43
16.0 ounce,0.08,69,59
16.0 oz.,0.125%,70,60
16.0 OZ.,0.077,71,61
16.0 oz.,0.042,72,62
16.0 oz,0.05,73,63
16.0 ounce,0.066,74,64
16.0 oz,0.04,75,65
16.0 oz.,0.055,76,66
16.0 ounce,0.076,77,67
16.0 OZ.,0.051%,78,68
16.0 ounce,0.065%,79,69
16.0 oz.,0.06,80,70
16.0 oz,0.05,81,63
16.0 ounce,0.053,82,71
16.0 OZ.,0.05,83,72
16.0 oz.,0.052,84,73
12.0 OZ.,0.04,85,74
12.0 oz. Alumi-Tek,0.053,86,75
12.0 oz,0.082,87,76
12.0 oz.,0.053,88,77
12.0 OZ.,0.053,89,78
12.0 OZ.,0.057,90,79
16.0 oz,0.043,91,80
16.0 OZ.,0.065,92,81
16.0 oz. Alumi-Tek,0.054,93,82
16.0 oz,0.062,94,83
16.0 ounce,0.062,95,84
12.0 oz. Alumi-Tek,0.059000000000000004%,96,85
12.0 ounce,0.065%,97,86
12.0 oz,0.045%,98,37
12.0 oz.,0.049,99,25
12.0 ounce,0.055999999999999994%,100,87
12.0 oz.,0.042,101,88
12.0 oz,0.042,102,56
12.0 oz.,0.048%,103,89
12.0 oz,0.06,104,90
12.0 ounce,0.057,105,91
12.0 ounce,0.056,106,92
12.0 oz,0.07,107,93
12.0 oz.,0.057999999999999996%,108,94
12.0 oz. Alumi-Tek,0.057,109,95
16.0 oz,0.055,110,96
12.0 oz.,0.057999999999999996%,111,94
12.0 oz,0.056,112,97
12.0 oz,0.057%,113,98
12.0 ounce,0.069%,114,99
12.0 ounce,0.07,115,33
12.0 ounce,0.058,116,100
12.0 oz.,0.056,117,101
12.0 oz.,0.055,118,8
16.0 ounce,0.06,119,102
16.0 oz,0.054000000000000006%,120,103
16.0 oz.,0.047%,121,104
