city,original_index,unique_index
Bend,0,0
Gary,1,1
Gary,2,1
Gary,3,1
Gary,4,1
Gary,5,1
Gary,6,1
Gary,7,1
Gary,8,1
Gary,9,1
Gary,10,1
Gary,11,1
Gary,12,1
Gary,13,1
Gary,14,1
Corvallis,15,2
Corvallis,16,2
Corvallis,17,2
Corvallis,18,2
San Francisco,19,3
San Francisco CA,20,4
San Francisco,21,3
San Francisco,22,3
San Francisco,23,3
San Francisco,24,3
San Francisco,25,3
San Francisco,26,3
San Francisco,27,3
San Francisco,28,3
San Francisco,29,3
San Francisco,30,3
San Francisco,31,3
San Francisco,32,3
San Francisco,33,3
San Francisco,34,3
San Francisco,35,3
San Francisco,36,3
San Francisco,37,3
San Francisco,38,3
St Petersburg,39,5
St Petersburg,40,5
St Petersburg,41,5
Saint Louis,42,6
Saint Louis,43,6
Saint Louis,44,6
Saint Louis,45,6
Saint Louis,46,6
Saint Louis MO,47,7
Saint Louis,48,6
Saint Louis,49,6
Columbus,50,8
Columbus,51,8
Columbus,52,8
Columbus,53,8
Columbus,54,8
Columbus,55,8
Columbus,56,8
Gig Harbor,57,9
Gig Harbor,58,9
Gig Harbor,59,9
Gig Harbor,60,9
Dunedin,61,10
Golden,62,11
Golden,63,11
Abita Springs,64,12
Abita Springs,65,12
Abita Springs,66,12
Louisville,67,13
Louisville,68,13
Louisville,69,13
Louisville,70,13
Louisville,71,13
Louisville,72,13
Louisville,73,13
Louisville,74,13
Louisville,75,13
Louisville,76,13
Louisville,77,13
Louisville,78,13
Louisville,79,13
Louisville,80,13
Louisville,81,13
Kent,82,14
Kent,83,14
Kent,84,14
Portland,85,15
Portland,86,15
Portland,87,15
Juneau,88,16
Juneau,89,16
Madison WI,90,17
Lexington,91,18
Lexington,92,18
Washougal,93,19
Washougal,94,19
Washougal,95,19
San Francisco,96,3
San Francisco,97,3
San Francisco,98,3
San Francisco,99,3
San Francisco,100,3
Boonville,101,20
Boonville,102,20
Boonville,103,20
Boonville,104,20
Boonville,105,20
Boonville,106,20
Boonville,107,20
Boonville,108,20
Boonville,109,20
Boonville,110,20
Boonville,111,20
Boonville,112,20
Boonville,113,20
Boonville,114,20
Boonville,115,20
Boonville,116,20
Boonville,117,20
Boonville,118,20
Hayward,119,21
Hayward,120,21
Hayward WI,121,22
Cincinnati,122,23
Cincinnati,123,23
Cincinnati,124,23
Oklahoma City,125,24
Oklahoma City,126,24
Oklahoma City,127,24
Boone,128,25
Boone,129,25
Boone,130,25
Battle Creek,131,26
Battle Creek,132,26
Colorado Springs,133,27
Denton TX,134,28
Denton,135,29
South San Francisco,136,30
Boulder,137,31
Asheville,138,32
Asheville NC,139,33
Asheville,140,32
Bellingham,141,34
Bellingham,142,34
Bellingham,143,34
Aspen,144,35
Aspen,145,35
Astoria,146,36
Astoria,147,36
Astoria,148,36
Astoria,149,36
Detroit,150,37
Detroit,151,37
Detroit,152,37
Detroit,153,37
Detroit,154,37
Detroit MI,155,38
Austin,156,39
Austin,157,39
Austin,158,39
Austin,159,39
Austin,160,39
Boulder,161,31
Boulder,162,31
Boulder,163,31
Boulder,164,31
Boulder,165,31
Boulder,166,31
Fuquay-Varina,167,40
Fuquay-Varina,168,40
Fuquay-Varina,169,40
Fuquay-Varina,170,40
Fuquay-Varina,171,40
Fuquay-Varina,172,40
Bloomfield,173,41
Bloomfield,174,41
Bloomfield,175,41
Bloomfield,176,41
Bloomfield,177,41
Gadsden,178,42
Gadsden,179,42
Yakima,180,43
Yakima,181,43
San Diego,182,44
San Diego CA,183,45
San Diego,184,44
San Diego,185,44
San Diego,186,44
San Diego,187,44
Williamsburg,188,46
Williamsburg,189,46
Williamsburg,190,46
Granger,191,47
Tucson,192,48
Tucson,193,48
Portland,194,15
Portland,195,15
Portland,196,15
Portland,197,15
Portland,198,15
Minneapolis,199,49
Minneapolis,200,49
Minneapolis,201,49
Minneapolis,202,49
Lewiston,203,50
Lewiston,204,50
Lewiston,205,50
Lewiston,206,50
Lewiston,207,50
Lewiston,208,50
Lewiston,209,50
Lewiston,210,50
Lewiston,211,50
Virginia Beach,212,51
Lowell,213,52
Lowell,214,52
Lowell,215,52
Lowell,216,52
Kalamazoo,217,53
Kalamazoo,218,53
Kalamazoo,219,53
Kalamazoo,220,53
Kalamazoo,221,53
Kalamazoo,222,53
Roseville,223,54
Roseville,224,54
Roseville,225,54
Duluth,226,55
Duluth,227,55
Duluth,228,55
Duluth,229,55
Duluth MN,230,56
Duluth,231,55
South Deerfield,232,57
South Deerfield,233,57
Alpine,234,58
Alpine,235,58
Alpine,236,58
Alpine,237,58
Alpine,238,58
Broomfield,239,59
Broomfield,240,59
Broomfield,241,59
Broomfield,242,59
Sheffield,243,60
Sheffield,244,60
Sheffield,245,60
Holland,246,61
Holland,247,61
Murphysboro,248,62
Murphysboro,249,62
Chattanooga,250,63
Chattanooga,251,63
Missoula,252,64
Missoula,253,64
Missoula,254,64
Missoula,255,64
Missoula,256,64
Missoula,257,64
Missoula,258,64
Missoula,259,64
Missoula,260,64
Missoula,261,64
Missoula,262,64
Missoula,263,64
Odessa,264,65
Odessa,265,65
Vadnais Heights,266,66
Vadnais Heights,267,66
Vadnais Heights,268,66
Vadnais Heights,269,66
Vadnais Heights,270,66
Charlotte,271,67
Hamilton,272,68
Hamilton,273,68
Hamilton,274,68
Indianapolis,275,69
Temecula,276,70
Temecula,277,70
Temecula,278,70
Temecula,279,70
Denver,280,71
Denver,281,71
Denver,282,71
Denver,283,71
Sheridan,284,72
Sheridan,285,72
Marquette,286,73
Marquette,287,73
Marquette,288,73
Marquette,289,73
Marquette,290,73
Marquette,291,73
Marquette,292,73
Lincoln,293,74
Lincoln,294,74
Lincoln,295,74
Lincoln,296,74
Lincoln,297,74
Lincoln,298,74
Lincoln,299,74
Lincoln,300,74
Lincoln,301,74
Lincoln,302,74
Lincoln,303,74
Lincoln,304,74
