ibu,original_index,unique_index
,0,0
,1,0
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
60.0,14,1
,15,0
,16,0
,17,0
,18,0
,19,0
,20,0
92.0,21,2
45.0,22,3
,23,0
42.0,24,4
17.0,25,5
17.0,26,5
17.0,27,5
70.0,28,6
70.0,29,6
70.0,30,6
52.0,31,7
94.0,32,8
42.0,33,4
45.0,34,3
65.0,35,9
35.0,36,10
65.0,37,9
17.0,38,5
82.0,39,11
,40,0
,41,0
11.0,42,12
18.0,43,13
,44,0
,45,0
,46,0
,47,0
,48,0
28.0,49,14
,50,0
45.0,51,3
,52,0
65.0,53,9
50.0,54,15
15.0,55,16
18.0,56,13
75.0,57,17
30.0,58,18
30.0,59,18
82.0,60,11
,61,0
26.0,62,19
26.0,63,19
52.0,64,7
13.0,65,20
17.0,66,5
68.0,67,21
20.0,68,22
68.0,69,21
80.0,70,23
25.0,71,24
42.0,72,4
25.0,73,24
21.0,74,25
13.0,75,20
17.0,76,5
68.0,77,21
38.0,78,26
,79,0
65.0,80,9
20.0,81,22
35.0,82,10
35.0,83,10
33.0,84,27
20.0,85,22
36.0,86,28
103.0,87,29
40.0,88,30
18.0,89,13
,90,0
,91,0
,92,0
,93,0
,94,0
43.0,95,31
,96,0
,97,0
,98,0
,99,0
,100,0
,101,0
,102,0
,103,0
,104,0
13.0,105,20
4.0,106,32
80.0,107,23
15.0,108,16
13.0,109,20
25.0,110,24
15.0,111,16
4.0,112,32
13.0,113,20
6.0,114,33
80.0,115,23
15.0,116,16
4.0,117,32
28.0,118,14
,119,0
,120,0
,121,0
,122,0
,123,0
,124,0
,125,0
,126,0
,127,0
75.0,128,17
19.0,129,34
23.0,130,35
55.0,131,36
17.0,132,5
,133,0
50.0,134,15
20.0,135,22
10.0,136,37
45.0,137,3
27.0,138,38
26.0,139,19
69.0,140,39
,141,0
,142,0
,143,0
27.0,144,38
67.0,145,40
40.0,146,30
138.0,147,41
35.0,148,10
35.0,149,10
115.0,150,42
12.0,151,43
,152,0
8.0,153,44
62.0,154,45
12.0,155,43
,156,0
,157,0
,158,0
,159,0
,160,0
,161,0
,162,0
42.0,163,4
10.0,164,37
69.0,165,39
17.0,166,5
17.0,167,5
22.0,168,46
23.0,169,35
,170,0
5.0,171,47
41.0,172,48
,173,0
,174,0
,175,0
,176,0
,177,0
,178,0
43.0,179,31
70.0,180,6
38.0,181,26
,182,0
40.0,183,30
23.0,184,35
75.0,185,17
,186,0
70.0,187,6
,188,0
20.0,189,22
45.0,190,3
46.0,191,49
60.0,192,1
,193,0
22.0,194,46
60.0,195,1
62.0,196,45
20.0,197,22
45.0,198,3
55.0,199,36
70.0,200,6
28.0,201,14
48.0,202,50
,203,0
42.0,204,4
,205,0
,206,0
,207,0
,208,0
35.0,209,10
28.0,210,14
69.0,211,39
108.0,212,51
10.0,213,37
45.0,214,3
85.0,215,52
16.0,216,53
,217,0
,218,0
,219,0
,220,0
,221,0
,222,0
44.0,223,54
,224,0
27.0,225,38
,226,0
87.0,227,55
32.0,228,56
68.0,229,21
34.0,230,57
38.0,231,26
40.0,232,30
20.0,233,22
,234,0
,235,0
,236,0
,237,0
,238,0
17.0,239,5
104.0,240,58
,241,0
85.0,242,52
,243,0
,244,0
,245,0
54.0,246,59
,247,0
,248,0
60.0,249,1
32.0,250,56
55.0,251,36
65.0,252,9
40.0,253,30
35.0,254,10
26.0,255,19
60.0,256,1
26.0,257,19
35.0,258,10
65.0,259,9
,260,0
40.0,261,30
35.0,262,10
26.0,263,19
81.0,264,60
38.0,265,26
43.0,266,31
85.0,267,52
76.0,268,61
35.0,269,10
50.0,270,15
45.0,271,3
,272,0
,273,0
,274,0
75.0,275,17
16.0,276,53
35.0,277,10
8.0,278,44
44.0,279,54
83.0,280,62
45.0,281,3
34.0,282,57
44.0,283,54
16.0,284,53
20.0,285,22
,286,0
47.0,287,63
30.0,288,18
,289,0
,290,0
51.0,291,64
,292,0
,293,0
,294,0
,295,0
,296,0
,297,0
,298,0
,299,0
,300,0
,301,0
,302,0
37.0,303,65
37.0,304,65
37.0,305,65
35.0,306,10
,307,0
,308,0
80.0,309,23
60.0,310,1
