brewery-name,city,original_index,unique_index
10 Barrel Brewing Company,Bend,0,0
18th Street Brewery,Gary,1,1
18th Street Brewery,Gary,2,1
18th Street Brewery,Gary,3,1
18th Street Brewery,Gary,4,1
18th Street Brewery,Gary,5,1
18th Street Brewery,Gary,6,1
18th Street Brewery,Gary,7,1
18th Street Brewery,Gary,8,1
18th Street Brewery,Gary,9,1
18th Street Brewery,Gary,10,1
18th Street Brewery,Gary,11,1
18th Street Brewery,Gary,12,1
18th Street Brewery,Gary,13,1
18th Street Brewery,Gary,14,1
2 Towns Ciderhouse,Corvallis,15,2
2 Towns Ciderhouse,Corvallis,16,2
2 Towns Ciderhouse,Corvallis,17,2
2 Towns Ciderhouse,Corvallis,18,2
21st Amendment Brewery,San Francisco,19,3
21st Amendment Brewery,San Francisco CA,20,4
21st Amendment Brewery,San Francisco,21,3
21st Amendment Brewery,San Francisco,22,3
21st Amendment Brewery,San Francisco,23,3
21st Amendment Brewery,San Francisco,24,3
21st Amendment Brewery,San Francisco,25,3
21st Amendment Brewery,San Francisco,26,3
21st Amendment Brewery,San Francisco,27,3
21st Amendment Brewery,San Francisco,28,3
21st Amendment Brewery,San Francisco,29,3
21st Amendment Brewery,San Francisco,30,3
21st Amendment Brewery,San Francisco,31,3
21st Amendment Brewery,San Francisco,32,3
21st Amendment Brewery,San Francisco,33,3
21st Amendment Brewery,San Francisco,34,3
21st Amendment Brewery,San Francisco,35,3
21st Amendment Brewery,San Francisco,36,3
21st Amendment Brewery,San Francisco,37,3
21st Amendment Brewery,San Francisco,38,3
3 Daughters Brewing,St Petersburg,39,5
3 Daughters Brewing,St Petersburg,40,5
3 Daughters Brewing,St Petersburg,41,5
4 Hands Brewing Company,Saint Louis,42,6
4 Hands Brewing Company,Saint Louis,43,6
4 Hands Brewing Company,Saint Louis,44,6
4 Hands Brewing Company,Saint Louis,45,6
4 Hands Brewing Company,Saint Louis,46,6
4 Hands Brewing Company,Saint Louis MO,47,7
4 Hands Brewing Company,Saint Louis,48,6
4 Hands Brewing Company,Saint Louis,49,6
450 North Brewing Company,Columbus,50,8
450 North Brewing Company,Columbus,51,8
450 North Brewing Company,Columbus,52,8
450 North Brewing Company,Columbus,53,8
450 North Brewing Company,Columbus,54,8
450 North Brewing Company,Columbus,55,8
450 North Brewing Company,Columbus,56,8
7 Seas Brewing Company,Gig Harbor,57,9
7 Seas Brewing Company,Gig Harbor,58,9
7 Seas Brewing Company,Gig Harbor,59,9
7 Seas Brewing Company,Gig Harbor,60,9
7venth Sun,Dunedin,61,10
AC Golden Brewing Company,Golden,62,11
AC Golden Brewing Company,Golden,63,11
Abita Brewing Company,Abita Springs,64,12
Abita Brewing Company,Abita Springs,65,12
Abita Brewing Company,Abita Springs,66,12
Against The Grain Brewery,Louisville,67,13
Against The Grain Brewery,Louisville,68,13
Against the Grain Brewery,Louisville,69,14
Against the Grain Brewery,Louisville,70,14
Against the Grain Brewery,Louisville,71,14
Against the Grain Brewery,Louisville,72,14
Against the Grain Brewery,Louisville,73,14
Against the Grain Brewery,Louisville,74,14
Against the Grain Brewery,Louisville,75,14
Against the Grain Brewery,Louisville,76,14
Against the Grain Brewery,Louisville,77,14
Against the Grain Brewery,Louisville,78,14
Against the Grain Brewery,Louisville,79,14
Against the Grain Brewery,Louisville,80,14
Against the Grain Brewery,Louisville,81,14
Airways Brewing Company,Kent,82,15
Airways Brewing Company,Kent,83,15
Airways Brewing Company,Kent,84,15
Alameda Brewing,Portland,85,16
Alameda Brewing,Portland,86,16
Alameda Brewing,Portland,87,16
Alaskan Brewing Company,Juneau,88,17
Alaskan Brewing Company,Juneau,89,17
Ale Asylum,Madison WI,90,18
Alltech's Lexington Brewing Company,Lexington,91,19
Alltech's Lexington Brewing Company,Lexington,92,19
Amnesia Brewing Company,Washougal,93,20
Amnesia Brewing Company,Washougal,94,20
Amnesia Brewing Company,Washougal,95,20
Anchor Brewing Company,San Francisco,96,21
Anchor Brewing Company,San Francisco,97,21
Anchor Brewing Company,San Francisco,98,21
Anchor Brewing Company,San Francisco,99,21
Anchor Brewing Company,San Francisco,100,21
Anderson Valley Brewing Company,Boonville,101,22
Anderson Valley Brewing Company,Boonville,102,22
Anderson Valley Brewing Company,Boonville,103,22
Anderson Valley Brewing Company,Boonville,104,22
Anderson Valley Brewing Company,Boonville,105,22
Anderson Valley Brewing Company,Boonville,106,22
Anderson Valley Brewing Company,Boonville,107,22
Anderson Valley Brewing Company,Boonville,108,22
Anderson Valley Brewing Company,Boonville,109,22
Anderson Valley Brewing Company,Boonville,110,22
Anderson Valley Brewing Company,Boonville,111,22
Anderson Valley Brewing Company,Boonville,112,22
Anderson Valley Brewing Company,Boonville,113,22
Anderson Valley Brewing Company,Boonville,114,22
Anderson Valley Brewing Company,Boonville,115,22
Anderson Valley Brewing Company,Boonville,116,22
Anderson Valley Brewing Company,Boonville,117,22
Anderson Valley Brewing Company,Boonville,118,22
Angry Minnow,Hayward,119,23
Angry Minnow Brewing Company,Hayward,120,24
Angry Minnow Brewing Company,Hayward WI,121,25
Angry Orchard Cider Company,Cincinnati,122,26
Angry Orchard Cider Company,Cincinnati,123,26
Angry Orchard Cider Company,Cincinnati,124,26
Anthem Brewing Company,Oklahoma City,125,27
Anthem Brewing Company,Oklahoma City,126,27
Anthem Brewing Company,Oklahoma City,127,27
Appalachian Mountain Brewery,Boone,128,28
Appalachian Mountain Brewery,Boone,129,28
Appalachian Mountain Brewery,Boone,130,28
Arcadia Brewing Company,Battle Creek,131,29
Arcadia Brewing Company,Battle Creek,132,29
Arctic Craft Brewery,Colorado Springs,133,30
Armadillo Ale Works,Denton TX,134,31
Armadillo Ale Works,Denton,135,32
Armstrong Brewing Company,South San Francisco,136,33
Asher Brewing Company,Boulder,137,34
Asheville Brewing Company,Asheville,138,35
Asheville Brewing Company,Asheville NC,139,36
Asheville Brewing Company,Asheville,140,35
Aslan Brewing Company,Bellingham,141,37
Aslan Brewing Company,Bellingham,142,37
Aslan Brewing Company,Bellingham,143,37
Aspen Brewing Company,Aspen,144,38
Aspen Brewing Company,Aspen,145,38
Astoria Brewing Company,Astoria,146,39
Astoria Brewing Company,Astoria,147,39
Astoria Brewing Company,Astoria,148,39
Astoria Brewing Company,Astoria,149,39
Atwater Brewery,Detroit,150,40
Atwater Brewery,Detroit,151,40
Atwater Brewery,Detroit,152,40
Atwater Brewery,Detroit,153,40
Atwater Brewery,Detroit,154,40
Atwater Brewery,Detroit MI,155,41
Austin Beerworks,Austin,156,42
Austin Beerworks,Austin,157,42
Austin Beerworks,Austin,158,42
Austin Beerworks,Austin,159,42
Austin Beerworks,Austin,160,42
