brewery-name,state,original_index,unique_index
10 Barrel Brewing Company,OR,0,0
18th Street Brewery,IN,1,1
18th Street Brewery,IN,2,1
18th Street Brewery,IN,3,1
18th Street Brewery,IN,4,1
18th Street Brewery,IN,5,1
18th Street Brewery,IN,6,1
18th Street Brewery,IN,7,1
18th Street Brewery,IN,8,1
18th Street Brewery,IN,9,1
18th Street Brewery,IN,10,1
18th Street Brewery,IN,11,1
18th Street Brewery,IN,12,1
18th Street Brewery,IN,13,1
18th Street Brewery,IN,14,1
2 Towns Ciderhouse,OR,15,2
2 Towns Ciderhouse,OR,16,2
2 Towns Ciderhouse,OR,17,2
2 Towns Ciderhouse,OR,18,2
21st Amendment Brewery,CA,19,3
21st Amendment Brewery,,20,4
21st Amendment Brewery,CA,21,3
21st Amendment Brewery,CA,22,3
21st Amendment Brewery,CA,23,3
21st Amendment Brewery,CA,24,3
21st Amendment Brewery,CA,25,3
21st Amendment Brewery,CA,26,3
21st Amendment Brewery,CA,27,3
21st Amendment Brewery,CA,28,3
21st Amendment Brewery,CA,29,3
21st Amendment Brewery,CA,30,3
21st Amendment Brewery,CA,31,3
21st Amendment Brewery,CA,32,3
21st Amendment Brewery,CA,33,3
21st Amendment Brewery,CA,34,3
21st Amendment Brewery,CA,35,3
21st Amendment Brewery,CA,36,3
21st Amendment Brewery,CA,37,3
21st Amendment Brewery,CA,38,3
3 Daughters Brewing,FL,39,5
3 Daughters Brewing,FL,40,5
3 Daughters Brewing,FL,41,5
4 Hands Brewing Company,MO,42,6
4 Hands Brewing Company,MO,43,6
4 Hands Brewing Company,MO,44,6
4 Hands Brewing Company,MO,45,6
4 Hands Brewing Company,MO,46,6
4 Hands Brewing Company,,47,7
4 Hands Brewing Company,MO,48,6
4 Hands Brewing Company,MO,49,6
450 North Brewing Company,IN,50,8
450 North Brewing Company,IN,51,8
450 North Brewing Company,IN,52,8
450 North Brewing Company,IN,53,8
450 North Brewing Company,IN,54,8
450 North Brewing Company,IN,55,8
450 North Brewing Company,IN,56,8
7 Seas Brewing Company,WA,57,9
7 Seas Brewing Company,WA,58,9
7 Seas Brewing Company,WA,59,9
7 Seas Brewing Company,WA,60,9
7venth Sun,FL,61,10
AC Golden Brewing Company,CO,62,11
AC Golden Brewing Company,CO,63,11
Abita Brewing Company,LA,64,12
Abita Brewing Company,LA,65,12
Abita Brewing Company,LA,66,12
Against The Grain Brewery,KY,67,13
Against The Grain Brewery,KY,68,13
Against the Grain Brewery,KY,69,14
Against the Grain Brewery,KY,70,14
Against the Grain Brewery,KY,71,14
Against the Grain Brewery,KY,72,14
Against the Grain Brewery,KY,73,14
Against the Grain Brewery,KY,74,14
Against the Grain Brewery,KY,75,14
Against the Grain Brewery,KY,76,14
Against the Grain Brewery,KY,77,14
Against the Grain Brewery,KY,78,14
Against the Grain Brewery,KY,79,14
Against the Grain Brewery,KY,80,14
Against the Grain Brewery,KY,81,14
Airways Brewing Company,WA,82,15
Airways Brewing Company,WA,83,15
Airways Brewing Company,WA,84,15
Alameda Brewing,OR,85,16
Alameda Brewing,OR,86,16
Alameda Brewing,OR,87,16
Alaskan Brewing Company,AK,88,17
Alaskan Brewing Company,AK,89,17
Ale Asylum,,90,18
Alltech's Lexington Brewing Company,KY,91,19
Alltech's Lexington Brewing Company,KY,92,19
Amnesia Brewing Company,WA,93,20
Amnesia Brewing Company,WA,94,20
Amnesia Brewing Company,WA,95,20
Anchor Brewing Company,CA,96,21
Anchor Brewing Company,CA,97,21
Anchor Brewing Company,CA,98,21
Anchor Brewing Company,CA,99,21
Anchor Brewing Company,CA,100,21
Anderson Valley Brewing Company,CA,101,22
Anderson Valley Brewing Company,CA,102,22
Anderson Valley Brewing Company,CA,103,22
Anderson Valley Brewing Company,CA,104,22
Anderson Valley Brewing Company,CA,105,22
Anderson Valley Brewing Company,CA,106,22
Anderson Valley Brewing Company,CA,107,22
Anderson Valley Brewing Company,CA,108,22
Anderson Valley Brewing Company,CA,109,22
Anderson Valley Brewing Company,CA,110,22
Anderson Valley Brewing Company,CA,111,22
Anderson Valley Brewing Company,CA,112,22
Anderson Valley Brewing Company,CA,113,22
Anderson Valley Brewing Company,CA,114,22
Anderson Valley Brewing Company,CA,115,22
Anderson Valley Brewing Company,CA,116,22
Anderson Valley Brewing Company,CA,117,22
Anderson Valley Brewing Company,CA,118,22
Angry Minnow,WI,119,23
Angry Minnow Brewing Company,WI,120,24
Angry Minnow Brewing Company,,121,25
Angry Orchard Cider Company,OH,122,26
Angry Orchard Cider Company,OH,123,26
Angry Orchard Cider Company,OH,124,26
Anthem Brewing Company,OK,125,27
Anthem Brewing Company,OK,126,27
Anthem Brewing Company,OK,127,27
Appalachian Mountain Brewery,NC,128,28
Appalachian Mountain Brewery,NC,129,28
Appalachian Mountain Brewery,NC,130,28
Arcadia Brewing Company,MI,131,29
Arcadia Brewing Company,MI,132,29
Arctic Craft Brewery,CO,133,30
Armadillo Ale Works,,134,31
Armadillo Ale Works,TX,135,32
Armstrong Brewing Company,CA,136,33
Asher Brewing Company,CO,137,34
Asheville Brewing Company,NC,138,35
Asheville Brewing Company,,139,36
Asheville Brewing Company,NC,140,35
Aslan Brewing Company,WA,141,37
Aslan Brewing Company,WA,142,37
Aslan Brewing Company,WA,143,37
Aspen Brewing Company,CO,144,38
Aspen Brewing Company,CO,145,38
Astoria Brewing Company,OR,146,39
Astoria Brewing Company,OR,147,39
Astoria Brewing Company,OR,148,39
Astoria Brewing Company,OR,149,39
Atwater Brewery,MI,150,40
Atwater Brewery,MI,151,40
Atwater Brewery,MI,152,40
Atwater Brewery,MI,153,40
Atwater Brewery,MI,154,40
Atwater Brewery,,155,41
Austin Beerworks,TX,156,42
Austin Beerworks,TX,157,42
Austin Beerworks,TX,158,42
Austin Beerworks,TX,159,42
Austin Beerworks,TX,160,42
Avery Brewing Company,CO,161,43
Avery Brewing Company,CO,162,43
Avery Brewing Company,CO,163,43
Avery Brewing Company,CO,164,43
Avery Brewing Company,CO,165,43
Avery Brewing Company,CO,166,43
Aviator Brewing Company,NC,167,44
Aviator Brewing Company,NC,168,44
Aviator Brewing Company,NC,169,44
Aviator Brewing Company,NC,170,44
Aviator Brewing Company,NC,171,44
Aviator Brewing Company,NC,172,44
Back East Brewing Company,CT,173,45
Back East Brewing Company,CT,174,45
Back East Brewing Company,CT,175,45
Back East Brewing Company,CT,176,45
Back East Brewing Company,CT,177,45
Back Forty Beer Company,AL,178,46
Back Forty Beer Company,AL,179,46
Bale Breaker Brewing Company,WA,180,47
Bale Breaker Brewing Company,WA,181,47
Ballast Point Brewing Company,CA,182,48
Ballast Point Brewing Company,,183,49
Ballast Point Brewing Company,CA,184,48
Ballast Point Brewing Company,CA,185,48
Ballast Point Brewing Company,CA,186,48
Ballast Point Brewing Company,CA,187,48
Banner Beer Company,MA,188,50
Banner Beer Company,MA,189,50
Banner Beer Company,MA,190,50
Bare Hands Brewery,IN,191,51
Barrio Brewing Company,AZ,192,52
Barrio Brewing Company,AZ,193,52
Base Camp Brewing Co.,OR,194,53
Base Camp Brewing Co.,OR,195,53
Base Camp Brewing Co.,OR,196,53
Base Camp Brewing Co.,OR,197,53
Base Camp Brewing Co.,OR,198,53
Bauhaus Brew Labs,MN,199,54
Bauhaus Brew Labs,MN,200,54
Bauhaus Brew Labs,MN,201,54
Bauhaus Brew Labs,MN,202,54
Baxter Brewing Company,ME,203,55
Baxter Brewing Company,ME,204,55
Baxter Brewing Company,ME,205,55
Baxter Brewing Company,ME,206,55
Baxter Brewing Company,ME,207,55
Baxter Brewing Company,ME,208,55
Baxter Brewing Company,ME,209,55
Baxter Brewing Company,ME,210,55
Baxter Brewing Company,ME,211,55
Beach Brewing Company,VA,212,56
Beer Works Brewery,MA,213,57
Beer Works Brewery,MA,214,57
Beer Works Brewery,MA,215,57
Beer Works Brewery,MA,216,57
Bell's Brewery,MI,217,58
Bell's Brewery,MI,218,58
Bell's Brewery,MI,219,58
Bell's Brewery,MI,220,58
Bell's Brewery,MI,221,58
Bell's Brewery,MI,222,58
Bent Brewstillery,MN,223,59
Bent Brewstillery,MN,224,59
Bent Brewstillery,MN,225,59
Bent Paddle Brewing Company,MN,226,60
Bent Paddle Brewing Company,MN,227,60
Bent Paddle Brewing Company,MN,228,60
Bent Paddle Brewing Company,MN,229,60
Bent Paddle Brewing Company,,230,61
Bent Paddle Brewing Company,MN,231,60
Berkshire Brewing Company,MA,232,62
Berkshire Brewing Company,MA,233,62
Big Bend Brewing Company,TX,234,63
Big Bend Brewing Company,TX,235,63
Big Bend Brewing Company,TX,236,63
Big Bend Brewing Company,TX,237,63
Big Bend Brewing Company,TX,238,63
Big Choice Brewing,CO,239,64
Big Choice Brewing,CO,240,64
Big Choice Brewing,CO,241,64
Big Choice Brewing,CO,242,64
Big Elm Brewing,MA,243,65
Big Elm Brewing,MA,244,65
Big Elm Brewing,MA,245,65
Big Lake Brewing,MI,246,66
Big Lake Brewing,MI,247,66
Big Muddy Brewing,IL,248,67
Big Muddy Brewing,IL,249,67
Big River Brewing Company,TN,250,68
Big River Brewing Company,TN,251,68
Big Sky Brewing Company,MT,252,69
Big Sky Brewing Company,MT,253,69
Big Sky Brewing Company,MT,254,69
Big Sky Brewing Company,MT,255,69
Big Sky Brewing Company,MT,256,69
Big Sky Brewing Company,MT,257,69
Big Sky Brewing Company,MT,258,69
Big Sky Brewing Company,MT,259,69
Big Sky Brewing Company,MT,260,69
Big Sky Brewing Company,MT,261,69
Big Sky Brewing Company,MT,262,69
Big Sky Brewing Company,MT,263,69
Big Storm Brewing Company,FL,264,70
Big Storm Brewing Company,FL,265,70
Big Wood Brewery,MN,266,71
Big Wood Brewery,MN,267,71
Big Wood Brewery,MN,268,71
Big Wood Brewery,MN,269,71
Big Wood Brewery,MN,270,71
Birdsong Brewing Company,NC,271,72
Bitter Root Brewing,MT,272,73
Bitter Root Brewing,MT,273,73
Bitter Root Brewing,MT,274,73
