article_jvolumn,original_index,unique_index,count
64.0,0,0,7.0
,1,1,
54.0,2,2,5.0
84.0,3,3,4.0
33.0,4,4,11.0
10.0,5,5,14.0
29.0,6,6,14.0
164.0,7,7,2.0
25.0,8,8,15.0
79.0,9,9,3.0
14.0,10,10,16.0
8.0,11,11,14.0
92.0,12,12,3.0
8.0,13,11,14.0
35.0,14,13,14.0
140.0,15,14,2.0
7.0,16,15,15.0
0.0,17,16,96.0
139.0,18,17,1.0
39.0,19,18,11.0
6.0,20,19,13.0
40.0,21,20,9.0
37.0,22,21,10.0
27.0,23,22,14.0
47.0,24,23,4.0
6.0,25,19,13.0
69.0,26,24,5.0
35.0,27,13,14.0
8.0,28,11,14.0
9.0,29,25,12.0
52.0,30,26,3.0
28.0,31,27,14.0
0.0,32,16,96.0
904.0,33,28,1.0
24.0,34,29,15.0
3.0,35,30,10.0
88.0,36,31,2.0
64.0,37,0,7.0
8.0,38,11,14.0
15.0,39,32,22.0
90.0,40,33,5.0
34.0,41,34,12.0
34.0,42,34,12.0
27.0,43,22,14.0
42.0,44,35,9.0
71.0,45,36,6.0
0.0,46,16,96.0
10.0,47,5,14.0
71.0,48,36,6.0
21.0,49,37,18.0
70.0,50,38,3.0
76.0,51,39,3.0
91.0,52,40,4.0
13.0,53,41,17.0
90.0,54,33,5.0
71.0,55,36,6.0
18.0,56,42,16.0
7.0,57,15,15.0
0.0,58,16,96.0
22.0,59,43,10.0
6.0,60,19,13.0
12.0,61,44,16.0
26.0,62,45,12.0
116.0,63,46,1.0
28.0,64,27,14.0
2008.0,65,47,1.0
18.0,66,42,16.0
12.0,67,44,16.0
29.0,68,6,14.0
30.0,69,48,8.0
98.0,70,49,2.0
11.0,71,50,10.0
334.0,72,51,1.0
99.0,73,52,2.0
46.0,74,53,8.0
309.0,75,54,1.0
25.0,76,8,15.0
13.0,77,41,17.0
1.0,78,55,6.0
48.0,79,56,7.0
19.0,80,57,13.0
16.0,81,58,16.0
1.0,82,55,6.0
39.0,83,18,11.0
12.0,84,44,16.0
3.0,85,30,10.0
2.0,86,59,8.0
4.0,87,60,12.0
64.0,88,0,7.0
46.0,89,53,8.0
10.0,90,5,14.0
27.0,91,22,14.0
1.0,92,55,6.0
37.0,93,21,10.0
19.0,94,57,13.0
3.0,95,30,10.0
64.0,96,0,7.0
71.0,97,36,6.0
283.0,98,61,1.0
92.0,99,12,3.0
0.0,100,16,96.0
15.0,101,32,22.0
24.0,102,29,15.0
92.0,103,12,3.0
73.0,104,62,4.0
15.0,105,32,22.0
52.0,106,26,3.0
39.0,107,18,11.0
3.0,108,30,10.0
,109,1,
63.0,110,63,6.0
3.0,111,30,10.0
103.0,112,64,3.0
38.0,113,65,3.0
28.0,114,27,14.0
0.0,115,16,96.0
41.0,116,66,7.0
13.0,117,41,17.0
11.0,118,50,10.0
0.0,119,16,96.0
85.0,120,67,4.0
106.0,121,68,3.0
13.0,122,41,17.0
6.0,123,19,13.0
21.0,124,37,18.0
27.0,125,22,14.0
14.0,126,10,16.0
5.0,127,69,7.0
10.0,128,5,14.0
11.0,129,50,10.0
61.0,130,70,6.0
68.0,131,71,3.0
0.0,132,16,96.0
0.0,133,16,96.0
143.0,134,72,3.0
55.0,135,73,6.0
43.0,136,74,9.0
23.0,137,75,17.0
35.0,138,13,14.0
17.0,139,76,10.0
89.0,140,77,4.0
137.0,141,78,4.0
0.0,142,16,96.0
30.0,143,48,8.0
18.0,144,42,16.0
21.0,145,37,18.0
94.0,146,79,2.0
20.0,147,80,18.0
6.0,148,19,13.0
52.0,149,26,3.0
18.0,150,42,16.0
50.0,151,81,5.0
149.0,152,82,1.0
27.0,153,22,14.0
4.0,154,60,12.0
137.0,155,78,4.0
73.0,156,62,4.0
18.0,157,42,16.0
80.0,158,83,5.0
18.0,159,42,16.0
19.0,160,57,13.0
8.0,161,11,14.0
30.0,162,48,8.0
24.0,163,29,15.0
3.0,164,30,10.0
45.0,165,84,7.0
15.0,166,32,22.0
2.0,167,59,8.0
0.0,168,16,96.0
0.0,169,16,96.0
23.0,170,75,17.0
12.0,171,44,16.0
34.0,172,34,12.0
8.0,173,11,14.0
27.0,174,22,14.0
850.0,175,85,1.0
669.0,176,86,1.0
17.0,177,76,10.0
69.0,178,24,5.0
36.0,179,87,5.0
0.0,180,16,96.0
,181,1,
0.0,182,16,96.0
37.0,183,21,10.0
24.0,184,29,15.0
79.0,185,9,3.0
0.0,186,16,96.0
16.0,187,58,16.0
8.0,188,11,14.0
39.0,189,18,11.0
40.0,190,20,9.0
38.0,191,65,3.0
33.0,192,4,11.0
98.0,193,49,2.0
15.0,194,32,22.0
101.0,195,88,2.0
,196,1,
12.0,197,44,16.0
260.0,198,89,1.0
18.0,199,42,16.0
15.0,200,32,22.0
0.0,201,16,96.0
25.0,202,8,15.0
154.0,203,90,2.0
28.0,204,27,14.0
64.0,205,0,7.0
0.0,206,16,96.0
0.0,207,16,96.0
130.0,208,91,1.0
,209,1,
72.0,210,92,6.0
65.0,211,93,6.0
164.0,212,7,2.0
0.0,213,16,96.0
84.0,214,3,4.0
19.0,215,57,13.0
108.0,216,94,5.0
10.0,217,5,14.0
22.0,218,43,10.0
74.0,219,95,3.0
22.0,220,43,10.0
34.0,221,34,12.0
72.0,222,92,6.0
33.0,223,4,11.0
0.0,224,16,96.0
