jounral_abbreviation,original_index,unique_index,count
Proceedings of the Royal Society of Medicine,0,0,1.0
J. Infect. Dis.,1,1,1.0
Indian J Ophthalmol,2,2,1.0
,3,3,
Dermatol Clin,4,4,1.0
,5,3,
British medical bulletin,6,5,1.0
,7,3,
,8,3,
,9,3,
,10,3,
Int J Clin Exp Med,11,6,1.0
Acta obstetricia et gynecologica Scandinavica,12,7,1.0
,13,3,
,14,3,
,15,3,
Clin Interv Aging,16,8,1.0
,17,3,
,18,3,
Med Sci Sports Exerc,19,9,1.0
Cancer Prev Res (Phila),20,10,1.0
,21,3,
Cardiovasc Intervent Radiol,22,11,1.0
J. Clin. Oncol.,23,12,2.0
,24,3,
Glob J Health Sci,25,13,1.0
J Clin Psychiatry,26,14,2.0
,27,3,
PloS one,28,15,6.0
,29,3,
Korean J Gastroenterol,30,16,1.0
,31,3,
,32,3,
,33,3,
J Stroke Cerebrovasc Dis,34,17,2.0
,35,3,
Respiration,36,18,2.0
Neurosurgery,37,19,1.0
Health Facil Manage,38,20,1.0
Eur J Emerg Med,39,21,1.0
,40,3,
J. Cereb. Blood Flow Metab.,41,22,1.0
,42,3,
J Am Board Fam Med,43,23,1.0
,44,3,
Cancer Res.,45,24,1.0
,46,3,
,47,3,
J Clin Psychiatry,48,14,2.0
,49,3,
,50,3,
Ann R Coll Surg Engl,51,25,1.0
Am J Phys Med Rehabil,52,26,1.0
J Sci Med Sport,53,27,1.0
,54,3,
Comput Chem Eng,55,28,1.0
J Clin Anesth,56,29,1.0
,57,3,
,58,3,
Knee Surg Sports Traumatol Arthrosc,59,30,2.0
J Geriatr Oncol,60,31,1.0
Obes Surg,61,32,1.0
,62,3,
,63,3,
,64,3,
Clin Evid (Online),65,33,1.0
,66,3,
,67,3,
Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,68,34,1.0
Ophthalmic Surg Lasers,69,35,1.0
,70,3,
Eur J Cardiovasc Nurs,71,36,1.0
J. Neurol. Sci.,72,37,1.0
Transplantation,73,38,1.0
,74,3,
,75,3,
,76,3,
,77,3,
Nepal Med Coll J,78,39,2.0
,79,3,
European journal of cancer care,80,40,1.0
Stat Methods Med Res,81,41,1.0
,82,3,
Actas Urol Esp,83,42,1.0
"Einstein (Sao Paulo, Brazil)",84,43,1.0
,85,3,
Journal of medical toxicology : official journal of the American College of Medical Toxicology,86,44,1.0
,87,3,
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,88,45,1.0
Rev.Neurol.,89,46,1.0
"Journal of cardiovascular medicine (Hagerstown, Md.)",90,47,1.0
,91,3,
Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,92,48,1.0
,93,3,
The American journal of managed care,94,49,1.0
Expert opinion on drug metabolism & toxicology,95,50,1.0
,96,3,
Journal of dental research,97,51,1.0
American journal of physiology. Endocrinology and metabolism,98,52,1.0
J Am Diet Assoc,99,53,1.0
,100,3,
,101,3,
,102,3,
Fertil. Steril.,103,54,1.0
Cancer Chemother. Pharmacol.,104,55,2.0
Psychooncology,105,56,2.0
,106,3,
,107,3,
Curr Opin Pharmacol,108,57,1.0
Cochrane Database Syst Rev,109,58,1.0
Cancer Immunol. Immunother.,110,59,1.0
,111,3,
,112,3,
,113,3,
J Rheumatol,114,60,1.0
,115,3,
J Appl Physiol,116,61,1.0
,117,3,
,118,3,
,119,3,
,120,3,
Trans. R. Soc. Trop. Med. Hyg.,121,62,1.0
,122,3,
Int J Clin Exp Pathol,123,63,1.0
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,124,64,1.0
Neurologia,125,65,1.0
,126,3,
,127,3,
,128,3,
,129,3,
J.Am.Geriatr.Soc.,130,66,1.0
,131,3,
,132,3,
,133,3,
,134,3,
,135,3,
Skeletal Radiol,136,67,1.0
,137,3,
,138,3,
,139,3,
,140,3,
,141,3,
,142,3,
"Journal of hand surgery (Edinburgh, Scotland)",143,68,1.0
J. Cardiovasc. Electrophysiol.,144,69,1.0
,145,3,
,146,3,
The European journal of general practice,147,70,1.0
Gut,148,71,2.0
Gen Dent,149,72,1.0
,150,3,
Neuropsychologia,151,73,1.0
,152,3,
,153,3,
AM. J. ACUPUNCT.,154,74,1.0
,155,3,
,156,3,
CNS Spectr,157,75,1.0
,158,3,
Hippokratia,159,76,1.0
,160,3,
J.Clin.Diagn.Res.,161,77,1.0
,162,3,
,163,3,
Strabismus,164,78,1.0
,165,3,
,166,3,
,167,3,
,168,3,
,169,3,
Diabetic medicine : a journal of the British Diabetic Association,170,79,1.0
,171,3,
J. Recept. Signal Transduct. Res.,172,80,1.0
,173,3,
Spine,174,81,1.0
Ann. N. Y. Acad. Sci.,175,82,1.0
Annals of the New York Academy of Sciences,176,83,1.0
Obesity (Silver Spring),177,84,2.0
Water Sci. Technol.,178,85,1.0
Orthopedics,179,86,1.0
,180,3,
Scand J Psychol,181,87,1.0
,182,3,
,183,3,
,184,3,
,185,3,
,186,3,
,187,3,
,188,3,
,189,3,
,190,3,
Pediatr Ann,191,88,1.0
,192,3,
J. Natl. Cancer Inst.,193,89,3.0
,194,3,
,195,3,
Eur Arch Otorhinolaryngol,196,90,1.0
,197,3,
Ann Surg,198,91,1.0
J Biomater Appl,199,92,1.0
J Headache Pain,200,93,1.0
,201,3,
J Sports Sci,202,94,1.0
,203,3,
Nephrol. Dial. Transplant.,204,95,2.0
Cytokine,205,96,1.0
,206,3,
