article_jvolumn,article_jissue,original_index,unique_index,count
64.0,12.0,0,0,1.0
,,1,1,
54.0,4.0,2,2,2.0
84.0,0.0,3,3,2.0
33.0,4.0,4,4,1.0
10.0,4.0,5,5,4.0
29.0,2.0,6,6,3.0
164.0,1.0,7,7,1.0
25.0,7.0,8,8,1.0
79.0,938.0,9,9,1.0
14.0,5.0,10,10,2.0
8.0,6.0,11,11,2.0
92.0,6.0,12,12,1.0
8.0,5.0,13,13,2.0
35.0,8.0,14,14,1.0
140.0,5.0,15,15,1.0
7.0,,16,16,
0.0,4.0,17,17,4.0
139.0,3.0,18,18,1.0
39.0,6.0,19,19,2.0
6.0,12.0,20,20,1.0
40.0,0.0,21,21,2.0
37.0,6.0,22,22,1.0
27.0,15.0,23,23,1.0
47.0,7.0,24,24,1.0
6.0,2.0,25,25,3.0
69.0,12.0,26,26,1.0
35.0,11.0,27,27,1.0
8.0,9.0,28,28,1.0
9.0,9.0,29,29,1.0
52.0,6.0,30,30,1.0
28.0,17.0,31,31,1.0
0.0,0.0,32,32,88.0
904.0,,33,33,
24.0,2.0,34,34,5.0
3.0,3.0,35,35,4.0
88.0,2.0,36,36,1.0
64.0,2.0,37,37,2.0
8.0,10.0,38,38,1.0
15.0,3.0,39,39,5.0
90.0,1.0,40,40,1.0
34.0,10.0,41,41,1.0
34.0,7.0,42,42,1.0
27.0,1.0,43,43,3.0
42.0,12.0,44,44,2.0
71.0,10.0,45,45,1.0
0.0,0.0,46,32,88.0
10.0,,47,46,
71.0,11.0,48,47,1.0
21.0,0.0,49,48,5.0
70.0,2.0,50,49,1.0
76.0,5.0,51,50,2.0
91.0,11.0,52,51,1.0
13.0,6.0,53,52,2.0
90.0,3.0,54,53,1.0
71.0,,55,54,
18.0,6.0,56,55,1.0
7.0,0.0,57,56,3.0
0.0,0.0,58,32,88.0
22.0,12.0,59,57,1.0
6.0,1.0,60,58,2.0
12.0,2.0,61,59,5.0
26.0,2.0,62,60,1.0
116.0,1.0,63,61,1.0
28.0,,64,62,
2008.0,,65,63,
18.0,0.0,66,64,1.0
12.0,3.0,67,65,2.0
29.0,3.0,68,66,4.0
30.0,3.0,69,67,2.0
98.0,2.0,70,68,1.0
11.0,2.0,71,69,2.0
334.0,1.0,72,70,1.0
99.0,7.0,73,71,1.0
46.0,3.0,74,72,4.0
309.0,1.0,75,73,1.0
25.0,3.0,76,74,2.0
13.0,10.0,77,75,2.0
1.0,17.0,78,76,1.0
48.0,9.0,79,77,1.0
19.0,2.0,80,78,4.0
16.0,1.0,81,79,4.0
1.0,3.0,82,80,2.0
39.0,4.0,83,81,2.0
12.0,2.0,84,59,5.0
3.0,0.0,85,82,2.0
2.0,4.0,86,83,2.0
4.0,1.0,87,84,1.0
64.0,1.0,88,85,2.0
46.0,3.0,89,72,4.0
10.0,3.0,90,86,2.0
27.0,1.0,91,43,3.0
1.0,4.0,92,87,1.0
37.0,5.0,93,88,2.0
19.0,1.0,94,89,2.0
3.0,3.0,95,35,4.0
64.0,0.0,96,90,2.0
71.0,5.0,97,91,1.0
283.0,3.0,98,92,1.0
92.0,3.0,99,93,1.0
0.0,0.0,100,32,88.0
15.0,3.0,101,39,5.0
24.0,2.0,102,34,5.0
92.0,2.0,103,94,1.0
73.0,4.0,104,95,2.0
15.0,3.0,105,39,5.0
52.0,3.0,106,96,2.0
39.0,2.0,107,97,1.0
3.0,2.0,108,98,2.0
,2.0,109,99,
63.0,9.0,110,100,1.0
3.0,10.0,111,101,1.0
103.0,0.0,112,102,2.0
38.0,4.0,113,103,1.0
28.0,4.0,114,104,3.0
0.0,0.0,115,32,88.0
41.0,1.0,116,105,1.0
13.0,0.0,117,106,2.0
11.0,3.0,118,107,4.0
0.0,0.0,119,32,88.0
85.0,5.0,120,108,1.0
106.0,2.0,121,109,1.0
13.0,,122,110,
6.0,11.0,123,111,3.0
21.0,2.0,124,112,2.0
27.0,4.0,125,113,1.0
14.0,0.0,126,114,3.0
5.0,1.0,127,115,2.0
10.0,4.0,128,5,4.0
11.0,6.0,129,116,1.0
61.0,7.0,130,117,2.0
68.0,6.0,131,118,2.0
0.0,0.0,132,32,88.0
0.0,0.0,133,32,88.0
143.0,1.0,134,119,2.0
55.0,12.0,135,120,2.0
43.0,11.0,136,121,1.0
23.0,3.0,137,122,3.0
35.0,2.0,138,123,2.0
17.0,0.0,139,124,2.0
89.0,5.0,140,125,1.0
137.0,0.0,141,126,1.0
0.0,4.0,142,17,4.0
30.0,6.0,143,127,1.0
18.0,3.0,144,128,4.0
21.0,4.0,145,129,4.0
94.0,5.0,146,130,1.0
20.0,1.0,147,131,3.0
6.0,4.0,148,132,1.0
52.0,3.0,149,96,2.0
18.0,2.0,150,133,4.0
50.0,12.0,151,134,1.0
149.0,22.0,152,135,1.0
27.0,6.0,153,136,4.0
4.0,2.0,154,137,2.0
137.0,25.0,155,138,1.0
73.0,9.0,156,139,1.0
18.0,,157,140,
80.0,4.0,158,141,1.0
18.0,2.0,159,133,4.0
19.0,11.0,160,142,1.0
8.0,5.0,161,13,2.0
30.0,0.0,162,143,2.0
24.0,0.0,163,144,2.0
3.0,3.0,164,35,4.0
45.0,2.0,165,145,1.0
15.0,1.0,166,146,3.0
2.0,8.0,167,147,1.0
0.0,7.0,168,148,1.0
0.0,0.0,169,32,88.0
23.0,7.0,170,149,1.0
12.0,2.0,171,59,5.0
34.0,6.0,172,150,1.0
8.0,4.0,173,151,1.0
27.0,2.0,174,152,1.0
850.0,,175,153,
669.0,0.0,176,154,1.0
17.0,1.0,177,155,1.0
69.0,2.0,178,156,1.0
36.0,10.0,179,157,1.0
0.0,0.0,180,32,88.0
,,181,1,
0.0,0.0,182,32,88.0
37.0,7.0,183,158,1.0
24.0,5.0,184,159,1.0
79.0,6.0,185,160,1.0
0.0,0.0,186,32,88.0
16.0,6.0,187,161,1.0
8.0,2.0,188,162,2.0
39.0,3.0,189,163,1.0
40.0,5.0,190,164,3.0
38.0,1.0,191,165,1.0
33.0,6.0,192,166,1.0
98.0,15.0,193,167,1.0
15.0,3.0,194,39,5.0
101.0,0.0,195,168,1.0
,,196,1,
12.0,,197,169,
260.0,1.0,198,170,1.0
18.0,4.0,199,171,1.0
15.0,,200,172,
0.0,0.0,201,32,88.0
25.0,9.0,202,173,1.0
154.0,5.0,203,174,1.0
28.0,1.0,204,175,4.0
64.0,1.0,205,85,2.0
0.0,0.0,206,32,88.0
0.0,0.0,207,32,88.0
130.0,3.0,208,176,1.0
,,209,1,
72.0,6.0,210,177,1.0
65.0,5.0,211,178,1.0
164.0,27.0,212,179,1.0
0.0,0.0,213,32,88.0
84.0,1.0,214,180,1.0
19.0,4.0,215,181,2.0
108.0,3.0,216,182,1.0
10.0,1.0,217,183,1.0
22.0,0.0,218,184,2.0
74.0,1.0,219,185,2.0
22.0,6.0,220,186,1.0
34.0,4.0,221,187,2.0
72.0,1.0,222,188,1.0
33.0,0.0,223,189,2.0
0.0,0.0,224,32,88.0
0.0,0.0,225,32,88.0
154.0,9.0,226,190,1.0
24.0,3.0,227,191,4.0
2.0,3.0,228,192,2.0
0.0,0.0,229,32,88.0
54.0,4.0,230,2,2.0
87.0,3.0,231,193,1.0
23.0,4.0,232,194,2.0
207.0,5.0,233,195,1.0
35.0,1.0,234,196,1.0
56.0,3.0,235,197,2.0
4.0,4.0,236,198,5.0
45.0,,237,199,
4.0,7.0,238,200,2.0
44.0,9.0,239,201,2.0
8.0,,240,202,
24.0,1.0,241,203,1.0
