article_language,jounral_abbreviation,original_index,unique_index,count
eng,Proceedings of the Royal Society of Medicine,0,0,1.0
ENG,J. Infect. Dis.,1,1,1.0
eng,Indian J Ophthalmol,2,2,1.0
pol,,3,3,
eng,Dermatol Clin,4,4,1.0
eng,,5,5,
eng,British medical bulletin,6,6,1.0
English; ABSTRACT LANGUAGE:English,,7,7,
English,,8,8,
,,9,9,
,,10,9,
English,Int J Clin Exp Med,11,10,1.0
eng,Acta obstetricia et gynecologica Scandinavica,12,11,1.0
,,13,9,
eng,,14,5,
eng,,15,5,
eng,Clin Interv Aging,16,12,1.0
eng,,17,5,
eng,,18,5,
eng,Med Sci Sports Exerc,19,13,1.0
eng,Cancer Prev Res (Phila),20,14,1.0
English,,21,8,
eng,Cardiovasc Intervent Radiol,22,15,1.0
eng,J. Clin. Oncol.,23,16,2.0
,,24,9,
eng,Glob J Health Sci,25,17,1.0
eng,J Clin Psychiatry,26,18,2.0
English,,27,8,
eng,PloS one,28,19,6.0
English,,29,8,
kor,Korean J Gastroenterol,30,20,1.0
eng,,31,5,
English,,32,8,
eng,,33,5,
eng,J Stroke Cerebrovasc Dis,34,21,1.0
,,35,9,
English,Respiration,36,22,1.0
eng,Neurosurgery,37,23,1.0
English,Health Facil Manage,38,24,1.0
eng,Eur J Emerg Med,39,25,1.0
,,40,9,
eng,J. Cereb. Blood Flow Metab.,41,26,1.0
,,42,9,
eng,J Am Board Fam Med,43,27,1.0
,,44,9,
eng,Cancer Res.,45,28,1.0
,,46,9,
eng,,47,5,
eng,J Clin Psychiatry,48,18,2.0
,,49,9,
English,,50,8,
English; ABSTRACT LANGUAGE:English,Ann R Coll Surg Engl,51,29,1.0
eng,Am J Phys Med Rehabil,52,30,1.0
eng,J Sci Med Sport,53,31,1.0
,,54,9,
ENG,Comput Chem Eng,55,32,1.0
eng,J Clin Anesth,56,33,1.0
eng,,57,5,
,,58,9,
eng,Knee Surg Sports Traumatol Arthrosc,59,34,2.0
eng,J Geriatr Oncol,60,35,1.0
eng,Obes Surg,61,36,1.0
English,,62,8,
,,63,9,
eng,,64,5,
eng,Clin Evid (Online),65,37,1.0
,,66,9,
,,67,9,
chi,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,68,38,1.0
eng,Ophthalmic Surg Lasers,69,39,1.0
eng,,70,5,
eng,Eur J Cardiovasc Nurs,71,40,1.0
eng,J. Neurol. Sci.,72,41,1.0
English,Transplantation,73,42,1.0
eng,,74,5,
eng,,75,5,
,,76,9,
,,77,9,
eng,Nepal Med Coll J,78,43,2.0
,,79,9,
eng,European journal of cancer care,80,44,1.0
eng,Stat Methods Med Res,81,45,1.0
,,82,9,
engspa,Actas Urol Esp,83,46,1.0
eng     por,"Einstein (Sao Paulo, Brazil)",84,47,1.0
,,85,9,
eng,Journal of medical toxicology : official journal of the American College of Medical Toxicology,86,48,1.0
eng,,87,5,
eng,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,88,49,1.0
,Rev.Neurol.,89,50,
eng,"Journal of cardiovascular medicine (Hagerstown, Md.)",90,51,1.0
fre,,91,52,
eng,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,92,53,1.0
English,,93,8,
eng,The American journal of managed care,94,54,1.0
eng,Expert opinion on drug metabolism & toxicology,95,55,1.0
,,96,9,
,Journal of dental research,97,56,
eng,American journal of physiology. Endocrinology and metabolism,98,57,1.0
,J Am Diet Assoc,99,58,
,,100,9,
English,,101,8,
English,,102,8,
eng,Fertil. Steril.,103,59,1.0
eng,Cancer Chemother. Pharmacol.,104,60,2.0
eng,Psychooncology,105,61,2.0
,,106,9,
eng,,107,5,
eng,Curr Opin Pharmacol,108,62,1.0
eng,Cochrane Database Syst Rev,109,63,1.0
eng,Cancer Immunol. Immunother.,110,64,1.0
English,,111,8,
eng,,112,5,
,,113,9,
eng,J Rheumatol,114,65,1.0
,,115,9,
,J Appl Physiol,116,66,
,,117,9,
,,118,9,
English,,119,8,
eng,,120,5,
eng,Trans. R. Soc. Trop. Med. Hyg.,121,67,1.0
eng,,122,5,
eng,Int J Clin Exp Pathol,123,68,1.0
eng,International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,124,69,1.0
spa,Neurologia,125,70,1.0
,,126,9,
,,127,9,
eng,,128,5,
,,129,9,
,J.Am.Geriatr.Soc.,130,71,
eng,,131,5,
,,132,9,
,,133,9,
,,134,9,
eng,,135,5,
eng,Skeletal Radiol,136,72,1.0
,,137,9,
,,138,9,
eng,,139,5,
eng,,140,5,
eng,,141,5,
,,142,9,
eng,"Journal of hand surgery (Edinburgh, Scotland)",143,73,1.0
eng,J. Cardiovasc. Electrophysiol.,144,74,1.0
"Chinese     Chinese, English",,145,75,
,,146,9,
eng,The European journal of general practice,147,76,1.0
eng,Gut,148,77,2.0
eng,Gen Dent,149,78,1.0
,,150,9,
eng,Neuropsychologia,151,79,1.0
dut,,152,80,
eng,,153,5,
English,AM. J. ACUPUNCT.,154,81,1.0
eng,,155,5,
,,156,9,
eng,CNS Spectr,157,82,1.0
cze,,158,83,
English,Hippokratia,159,84,1.0
,,160,9,
eng,J.Clin.Diagn.Res.,161,85,1.0
,,162,9,
,,163,9,
eng,Strabismus,164,86,1.0
,,165,9,
,,166,9,
eng,,167,5,
,,168,9,
,,169,9,
eng,Diabetic medicine : a journal of the British Diabetic Association,170,87,1.0
eng,,171,5,
eng,J. Recept. Signal Transduct. Res.,172,88,1.0
English,,173,8,
English; ABSTRACT LANGUAGE:English,Spine,174,89,1.0
eng,Ann. N. Y. Acad. Sci.,175,90,1.0
eng,Annals of the New York Academy of Sciences,176,91,1.0
,Obesity (Silver Spring),177,92,
eng,Water Sci. Technol.,178,93,1.0
eng,Orthopedics,179,94,1.0
English,,180,8,
ENG,Scand J Psychol,181,95,1.0
,,182,9,
Korean,,183,96,
,,184,9,
English,,185,8,
,,186,9,
,,187,9,
,,188,9,
English,,189,8,
,,190,9,
eng,Pediatr Ann,191,97,1.0
,,192,9,
eng,J. Natl. Cancer Inst.,193,98,3.0
,,194,9,
eng,,195,5,
ENG,Eur Arch Otorhinolaryngol,196,99,1.0
eng,,197,5,
eng,Ann Surg,198,100,1.0
eng,J Biomater Appl,199,101,1.0
eng,J Headache Pain,200,102,1.0
,,201,9,
eng,J Sports Sci,202,103,1.0
English,,203,8,
eng,Nephrol. Dial. Transplant.,204,104,2.0
English,Cytokine,205,105,1.0
,,206,9,
,,207,9,
eng,"Archives of surgery (Chicago, Ill. : 1960)",208,106,1.0
ENG,Muscle Nerve,209,107,1.0
eng,Soc Sci Med,210,108,1.0
eng,Int Arch Occup Environ Health,211,109,1.0
dan,Ugeskrift for laeger,212,110,1.0
,,213,9,
eng,Crit. Rev. Oncol. Hematol.,214,111,1.0
eng,,215,5,
,Public Health Rep,216,112,
,Colorectal Dis,217,113,
,,218,9,
,,219,9,
eng,Comput Med Imaging Graph,220,114,1.0
,,221,9,
,,222,9,
eng,International journal of obesity (2005),223,115,1.0
,,224,9,
,,225,9,
eng,Endocrinology,226,116,2.0
eng,,227,5,
,,228,9,
,,229,9,
,College Teaching,230,117,
eng,J. Hosp. Infect.,231,118,1.0
eng,Best Pract Res Clin Gastroenterol,232,119,1.0
eng,American journal of obstetrics and gynecology,233,120,1.0
eng,Med Teach,234,121,1.0
eng,Acta Cytol.,235,122,1.0
eng,Atheroscler Suppl,236,123,1.0
ger,,237,124,
eng,,238,5,
eng,Mycoses,239,125,1.0
eng,BMC musculoskeletal disorders,240,126,1.0
eng,,241,5,
eng,,242,5,
,Physiotherapy,243,127,
eng,Public Health Genomics,244,128,1.0
,,245,9,
eng,J Int Neuropsychol Soc,246,129,1.0
ENGPOR,Rev Bras Ter Intensiva,247,130,1.0
eng,Gene,248,131,1.0
,,249,9,
,,250,9,
,,251,9,
English,Biomed Eng Online,252,132,1.0
,,253,9,
eng,Nature New Biol.,254,133,1.0
eng,Cardiol Young,255,134,3.0
eng,J Huazhong Univ Sci Technolog Med Sci,256,135,1.0
,,257,9,
eng,Crit. Care Med.,258,136,1.0
English,,259,8,
,,260,9,
English,JOHNS HOPKINS MED. J.,261,137,1.0
ger,,262,124,
eng,Preventive medicine,263,138,1.0
English,,264,8,
eng,,265,5,
eng,Arch.Gen.Psychiatry,266,139,1.0
,,267,9,
English,Interact Cardiovasc Thorac Surg,268,140,1.0
,,269,9,
,,270,9,
,,271,9,
,,272,9,
,,273,9,
,,274,9,
,,275,9,
,,276,9,
eng,,277,5,
eng,J Psychiatr Res,278,141,1.0
,,279,9,
eng,Neurology,280,142,1.0
,,281,9,
eng,J. Am. Vet. Med. Assoc.,282,143,1.0
,,283,9,
,,284,9,
,,285,9,
eng,J Med Imaging Radiat Oncol,286,144,1.0
,,287,9,
eng,PloS one,288,19,6.0
English,,289,8,
eng,Eur J Appl Physiol Occup Physiol,290,145,1.0
eng,Nutrients,291,146,1.0
eng,,292,5,
,,293,9,
,,294,9,
eng,Tumour Biol.,295,147,3.0
English,,296,8,
eng,Scand J Infect Dis Suppl,297,148,1.0
English,,298,8,
eng,Appl Nurs Res,299,149,1.0
,,300,9,
English,J Chem Phys,301,150,1.0
eng,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,302,151,2.0
,,303,9,
,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,304,152,
eng,The Journal of the Oklahoma State Medical Association,305,153,1.0
,,306,9,
English,,307,8,
eng,Gut,308,77,2.0
English,,309,8,
,,310,9,
English,,311,8,
ENG,Eur. J. Appl. Physiol.,312,154,1.0
,,313,9,
eng,,314,5,
eng,Radiology,315,155,1.0
English,,316,8,
,,317,9,
eng,Br J Soc Psychol,318,156,1.0
eng,Cardiol Young,319,134,3.0
,,320,9,
eng,Dentomaxillofac Radiol,321,157,1.0
eng,Actas Esp Psiquiatr,322,158,1.0
