article_language,journal_title,original_index,unique_index,count
eng,Proc R Soc Med,0,0,1.0
ENG,The Journal of infectious diseases,1,1,1.0
eng,Indian journal of ophthalmology,2,2,1.0
pol,,3,3,
eng,Dermatologic clinics,4,4,1.0
eng,,5,5,
eng,Br Med Bull,6,6,1.0
English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,7,7,1.0
English,Clinical Neuropsychologist,8,8,1.0
,The British journal of radiology,9,9,
,Transportation Research Part D-Transport and Environment,10,10,
English,International journal of clinical and experimental medicine,11,11,1.0
eng,Acta Obstet Gynecol Scand,12,12,1.0
,Heart Rhythm,13,13,
eng,,14,5,
eng,British Journal of Dermatology.,15,14,1.0
eng,Clinical Interventions In Aging,16,15,1.0
eng,Cochrane Database Syst Rev,17,16,2.0
eng,Acta Neurochirurgica,18,17,1.0
eng,Medicine and science in sports and exercise,19,18,1.0
eng,"Cancer prevention research (Philadelphia, Pa.)",20,19,1.0
English,,21,20,
eng,Cardiovascular and interventional radiology,22,21,1.0
eng,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,23,22,2.0
,Scandinavian Journal of Gastroenterology,24,23,
eng,Global journal of health science,25,24,1.0
eng,The Journal of clinical psychiatry,26,25,2.0
English,Metabolism: Clinical and Experimental,27,26,1.0
eng,PLoS One,28,27,6.0
English,American Journal of Bioethics,29,28,1.0
kor,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,30,29,1.0
eng,Eur. Heart J.,31,30,1.0
English,,32,20,
eng,Neuroprotective Agents,33,31,1.0
eng,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,34,32,1.0
,Vulnerable Children and Youth Studies,35,33,
English,Respiration; international review of thoracic diseases,36,34,1.0
eng,Neurosurgery,37,35,1.0
English,Health Facilities Management,38,36,1.0
eng,European journal of emergency medicine : official journal of the European Society for Emergency Medicine,39,37,1.0
,Int. J. Radiat. Oncol. Biol. Phys.,40,38,
eng,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,41,39,1.0
,Intensivmedizin und Notfallmedizin,42,40,
eng,Journal of the American Board of Family Medicine : JABFM,43,41,1.0
,Energy and Buildings,44,42,
eng,Cancer research,45,43,1.0
,,46,44,
eng,Cochrane Database Syst. Rev.,47,45,3.0
eng,The Journal of clinical psychiatry,48,25,2.0
,Annals of Oncology,49,46,
English,,50,20,
English; ABSTRACT LANGUAGE:English,Annals of the Royal College of Surgeons of England,51,47,1.0
eng,American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,52,48,1.0
eng,Journal of science and medicine in sport / Sports Medicine Australia,53,49,1.0
,,54,44,
ENG,Computers & chemical engineering,55,50,1.0
eng,Journal of clinical anesthesia,56,51,1.0
eng,,57,5,
,Teachers College Press,58,52,
eng,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",59,53,2.0
eng,Journal of geriatric oncology,60,54,1.0
eng,Obesity surgery,61,55,1.0
English,J. Card. Surg.,62,56,1.0
,Journal of Allergy and Clinical Immunology,63,57,
eng,J. Exp. Clin. Cancer Res.,64,58,1.0
eng,Clinical evidence,65,59,1.0
,Paediatrics and Child Health,66,60,
,AIDS Reviews,67,61,
chi,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,68,62,1.0
eng,Ophthalmic surgery and lasers,69,63,1.0
eng,CANCER,70,64,2.0
eng,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,71,65,1.0
eng,Journal of the neurological sciences,72,66,1.0
English,Transplantation,73,67,1.0
eng,Indian Journal of Pathology and Microbiology,74,68,1.0
eng,,75,5,
,,76,44,
,Archives De Pediatrie,77,69,
eng,Nepal Medical College journal : NMCJ,78,70,2.0
,Transfusion,79,71,
eng,Eur J Cancer Care (Engl),80,72,1.0
eng,Statistical methods in medical research,81,73,1.0
,TEACHING Exceptional Children Plus,82,74,
engspa,Actas urologicas espanolas,83,75,1.0
eng     por,Einstein (Sao Paulo),84,76,1.0
,"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",85,77,
eng,J Med Toxicol,86,78,1.0
eng,,87,5,
eng,Int J Gynaecol Obstet,88,79,1.0
,Revista de Neurologia,89,80,
eng,J Cardiovasc Med (Hagerstown),90,81,1.0
fre,Pathologie non allergique et exposition aux moisissures domestiques.,91,82,1.0
eng,Nicotine Tob Res,92,83,1.0
English,Journal of Social Service Research,93,84,1.0
eng,Am J Manag Care,94,85,1.0
eng,Expert Opin Drug Metab Toxicol,95,86,1.0
,Allergy: European Journal of Allergy and Clinical Immunology,96,87,
,J Dent Res,97,88,
eng,Am J Physiol Endocrinol Metab,98,89,1.0
,Journal of the American Dietetic Association,99,90,
,,100,44,
English,Cognitive Processing,101,91,1.0
English,,102,20,
eng,Fertility and sterility,103,92,1.0
eng,Cancer chemotherapy and pharmacology,104,93,2.0
eng,Psycho-oncology,105,94,2.0
,,106,44,
eng,,107,5,
eng,Current opinion in pharmacology,108,95,1.0
eng,The Cochrane Database Of Systematic Reviews,109,96,1.0
eng,"Cancer immunology, immunotherapy : CII",110,97,1.0
English,BMJ Open,111,98,1.0
eng,,112,5,
,Industrial Robot: An International Journal,113,99,
eng,The Journal Of Rheumatology,114,100,1.0
,,115,44,
,Journal of applied physiology,116,101,
,,117,44,
,G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,118,102,
English,,119,20,
eng,Anesthesiology (Hagerstown),120,103,1.0
eng,Transactions of the Royal Society of Tropical Medicine and Hygiene,121,104,1.0
eng,BMC public Health,122,105,1.0
eng,International journal of clinical and experimental pathology,123,106,1.0
eng,Int J Gynecol Cancer,124,107,1.0
spa,"Neurologia (Barcelona, Spain)",125,108,1.0
