article_title,article_jissue,original_index,unique_index,count
Late repair of injuries of the anal sphincter,12.0,0,0,1.0
Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,,1,1,
Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,4.0,2,2,1.0
"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",0.0,3,3,1.0
Diagnosis and Management of Cutaneous B-cell Lymphoma.,4.0,4,4,1.0
"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",4.0,5,5,1.0
Activation and blockade of beta adrenoceptors in common cardiac disorders,2.0,6,6,1.0
Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,1.0,7,7,1.0
Awareness of deficits and on-road driving performance,7.0,8,8,1.0
A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,938.0,9,9,1.0
Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,5.0,10,10,1.0
Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,6.0,11,11,1.0
Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,6.0,12,12,1.0
Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,5.0,13,13,1.0
Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,8.0,14,14,1.0
Latex allergy in atopic children.,5.0,15,15,1.0
"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",,16,16,
"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17",4.0,17,17,1.0
Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,3.0,18,18,1.0
Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,6.0,19,19,1.0
"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.",12.0,20,20,1.0
A performance improvement process to tackle tachysystole,0.0,21,21,1.0
Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,6.0,22,22,1.0
Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,15.0,23,23,1.0
Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,7.0,24,24,1.0
Examining waiting placement in hospital: utilization and the lived experience.,2.0,25,25,1.0
"A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.",12.0,26,26,1.0
Diminished A-cell secretion in the early phase of type I diabetes mellitus,11.0,27,27,1.0
Strong stability and host specific bacterial community in faeces of ponies.,9.0,28,28,1.0
