flight,act_dep_time,original_index,unique_index
AA-3859-IAH-ORD,7:16 a.m.,0,0
AA-1733-ORD-PHX,7:58 p.m.,1,1
AA-1640-MIA-MCO,,2,2
AA-518-MIA-JFK,6:54 a.m.,3,3
AA-3756-ORD-SLC,12:41 p.m.,4,4
AA-204-LAX-MCO,,5,5
AA-3468-CVG-MIA,7:25 a.m.,6,6
AA-484-DFW-MIA,4:29 p.m.,7,7
AA-446-DFW-PHL,12:12 p.m.,8,8
AA-466-IAH-MIA,6:08 a.m.,9,9
AA-1886-BOS-MIA,10:55 a.m.,10,10
AA-2957-DFW-CVG,8:04 a.m.,11,11
AA-1664-MIA-ATL,10:18 a.m.,12,12
AA-3979-CVG-ORD,8:04 a.m.,13,13
AA-1279-DFW-PHX,2:04 p.m.,14,14
AA-616-DFW-DTW,10:10 a.m.,15,15
AA-4344-ORD-DTW,12:13 p.m.,16,16
AA-2525-DFW-MIA,7:39 a.m.,17,17
AA-404-MIA-MCO,6:57 a.m.,18,18
AA-271-MIA-LAX,11:52 a.m.,19,19
AA-2050-ORD-MIA,11:05 a.m.,20,20
AA-4330-CVG-ORD,3:36 p.m.,21,21
AA-1434-DFW-MCO,7:21 a.m.,22,22
AA-4307-ORD-DTW,6:55 p.m.,23,23
AA-3-JFK-LAX,12:11 p.m.,24,24
AA-3842-MSP-ORD,6:56 a.m.,25,25
AA-643-MIA-ORD,7:30 a.m.,26,26
AA-1007-MIA-PHX,5:08 p.m.,27,27
AA-1221-MCO-ORD,8:23 p.m.,28,28
AA-400-DFW-JFK,11:01 a.m.,29,29
AA-4198-ORD-CLE,10:54 a.m.,30,30
AA-1522-SFO-ORD,,31,31
AA-3823-LAX-DEN,,32,32
AA-2312-DFW-DTW,,33,33
AA-1165-JFK-MIA,7:22 a.m.,34,34
AA-431-MIA-SFO,8:51 a.m.,35,35
AA-649-ORD-SNA,,36,36
AA-3063-SLC-LAX,8:39 p.m.,37,37
AA-3804-PHL-ORD,2:44 p.m.,38,38
AA-1917-JFK-MCO,3:27 p.m.,39,39
AA-2268-PHX-ORD,7:22 a.m.,40,40
AA-4277-CVG-JFK,12:10 p.m.,41,41
AA-789-ORD-DEN,1:19 p.m.,42,42
AA-415-BOS-ORD,8:56 a.m.,43,43
AA-85-JFK-SFO,3:36 p.m.,44,44
AA-1544-SAN-ORD,11:40 a.m.,45,45
AA-3786-IAH-ORD,4:12 p.m.,46,46
AA-222-LAX-BOS,7:31 a.m.,47,47
AA-3809-PHX-LAX,6:10 a.m.,48,48
AA-59-JFK-SFO,7:39 a.m.,49,49
AA-3859-IAH-ORD,7:16 a.m.,50,0
CO-1586-IAH-MCO,,51,50
AA-518-MIA-JFK,6:54 a.m.,52,3
UA-397-JFK-SFO,8:48 a.m.,53,51
UA-3925-IAD-ORF,9:00 a.m.,54,52
AA-1733-ORD-PHX,7:59 p.m.,55,53
UA-2830-MCO-CLT,3:50 p.m.,56,54
CO-58-DEN-IAH,,57,55
AA-1544-SAN-ORD,11:41 a.m.,58,56
UA-5487-SFO-MRY,10:53 a.m.,59,57
AA-204-LAX-MCO,11:29 p.m.,60,58
UA-414-LAX-SFO,6:10 a.m.,61,59
CO-1614-LAX-IAH,,62,60
UA-2726-FLL-PHL,4:10 p.m.,63,61
CO-52-IAH-LAX,,64,62
CO-1090-BOS-IAH,,65,63
AA-616-DFW-DTW,10:11 a.m.,66,64
UA-3515-IAD-MSP,8:26 a.m.,67,65
AA-3468-CVG-MIA,7:25 a.m.,68,6
AA-484-DFW-MIA,4:29 p.m.,69,7
AA-1886-BOS-MIA,10:54 a.m.,70,66
CO-62-IAH-EWR,,71,67
CO-1561-PHX-IAH,,72,68
UA-2314-ATL-PHL,3:04 p.m.,73,69
AA-446-DFW-PHL,12:13 p.m.,74,70
CO-1023-IAH-DEN,,75,71
AA-466-IAH-MIA,6:09 a.m.,76,72
UA-3050-PHX-CLT,11:45 a.m.,77,73
CO-89-IAH-EWR,,78,74
CO-1088-CLE-IAH,,79,75
AA-1664-MIA-ATL,10:19 a.m.,80,76
AA-1279-DFW-PHX,2:03 p.m.,81,77
UA-854-SFO-IAH,8:07 a.m.,82,78
UA-382-IAD-LAX,12:56 p.m.,83,79
AA-4344-ORD-DTW,12:14 p.m.,84,80
UA-257-JFK-SFO,2:43 p.m.,85,81
UA-2945-PHL-CLT,12:07 p.m.,86,82
CO-63-EWR-IAH,,87,83
CO-47-IAH-LAX,,88,84
AA-2050-ORD-MIA,11:06 a.m.,89,85
UA-248-PHX-ORD,1:43 p.m.,90,86
AA-4330-CVG-ORD,,91,87
AA-1434-DFW-MCO,7:22 a.m.,92,88
AA-1640-MIA-MCO,6:47 p.m.,93,89
AA-4307-ORD-DTW,6:56 p.m.,94,90
AA-3-JFK-LAX,12:12 p.m.,95,91
CO-1694-LAX-IAH,,96,92
UA-843-LAX-ORD,2:04 p.m.,97,93
CO-1193-EWR-MCO,,98,94
AA-3842-MSP-ORD,6:57 a.m.,99,95
AA-643-MIA-ORD,7:31 a.m.,100,96
AA-1007-MIA-PHX,5:09 p.m.,101,97
AA-2525-DFW-MIA,7:39 a.m.,102,17
UA-2906-PHL-MCO,4:44 p.m.,103,98
UA-938-DEN-ORD,4:37 p.m.,104,99
AA-1221-MCO-ORD,8:23 p.m.,105,28
CO-16-LAX-EWR,,106,100
UA-2515-DFW-CLT,7:30 a.m.,107,101
AA-400-DFW-JFK,11:02 a.m.,108,102
UA-664-ORD-PHL,1:48 p.m.,109,103
AA-3756-ORD-SLC,12:42 p.m.,110,104
UA-37-EWR-MCO,,111,105
AA-1522-SFO-ORD,12:11 a.m.,112,106
UA-233-LAX-JFK,4:28 p.m.,113,107
AA-3823-LAX-DEN,9:06 p.m.,114,108
AA-2312-DFW-DTW,8:29 p.m.,115,109
AA-1165-JFK-MIA,7:23 a.m.,116,110
AA-431-MIA-SFO,8:52 a.m.,117,111
UA-3373-IAD-PHL,8:37 a.m.,118,112
AA-649-ORD-SNA,1:41 p.m.,119,113
CO-1250-MIA-IAH,,120,114
UA-6273-YYC-SFO,7:41 a.m.,121,115
UA-828-SFO-ORD,,122,116
CO-4888-IAH-DAL,5:38 p.m.,123,117
UA-858-PVG-SFO,1:50 p.m. (+8:00),124,118
UA-2704-DTW-PHX,11:47 a.m.,125,119
AA-3063-SLC-LAX,8:40 p.m.,126,120
UA-2708-EWR-CLT,3:04 p.m.,127,121
UA-62-IAH-EWR,,128,122
UA-1500-IAH-GUA,,129,123
AA-3804-PHL-ORD,2:44 p.m.,130,38
AA-1917-JFK-MCO,3:28 p.m.,131,124
AA-2268-PHX-ORD,7:22 a.m.,132,40
AA-4277-CVG-JFK,12:11 p.m.,133,125
AA-2957-DFW-CVG,8:04 a.m.,134,11
UA-37-EDI-EWR,,135,126
AA-789-ORD-DEN,1:20 p.m.,136,127
AA-415-BOS-ORD,8:55 a.m.,137,128
AA-85-JFK-SFO,3:38 p.m.,138,129
AA-3979-CVG-ORD,8:04 a.m.,139,13
AA-3786-IAH-ORD,4:12 p.m.,140,46
AA-271-MIA-LAX,11:52 a.m.,141,19
CO-50-CLE-EWR,,142,130
UA-3099-PHX-PHL,11:55 a.m.,143,131
AA-4198-ORD-CLE,10:55 a.m.,144,132
AA-404-MIA-MCO,6:58 a.m.,145,133
CO-45-EWR-MIA,,146,134
AA-3809-PHX-LAX,6:11 a.m.,147,135
AA-59-JFK-SFO,7:40 a.m.,148,136
AA-222-LAX-BOS,7:32 a.m.,149,137
AA-3859-IAH-ORD,7:16 a.m.,150,0
CO-1586-IAH-MCO,7:42 p.m.,151,138
AA-518-MIA-JFK,6:54 a.m.,152,3
UA-397-JFK-SFO,8:49 a.m.,153,139
UA-3925-IAD-ORF,9:01 a.m.,154,140
AA-1733-ORD-PHX,7:59 p.m.,155,53
AA-3-JFK-LAX,12:12 p.m.,156,91
UA-2830-MCO-CLT,3:50 p.m.,157,54
