act_arr_time,original_index,unique_index
9:32 a.m.,0,0
,1,1
,2,1
9:28 a.m.,3,2
2:50 p.m.,4,3
,5,1
9:45 a.m.,6,4
7:39 p.m.,7,5
4:09 p.m.,8,6
9:05 a.m.,9,7
1:40 p.m.,10,8
11:01 a.m.,11,9
11:56 a.m.,12,10
8:06 a.m.,13,11
3:30 p.m.,14,12
1:27 p.m.,15,13
2:10 p.m.,16,14
11:06 a.m.,17,15
7:40 a.m.,18,16
2:27 p.m.,19,17
2:46 p.m.,20,18
3:33 p.m.,21,19
10:36 a.m.,22,20
8:53 p.m.,23,21
3:16 p.m.,24,22
7:51 a.m.,25,23
9:31 a.m.,26,24
7:55 p.m.,27,25
9:53 p.m.,28,26
3:04 p.m.,29,27
12:50 p.m.,30,28
,31,1
,32,1
,33,1
10:04 a.m.,34,29
11:44 a.m.,35,30
,36,1
,37,1
3:43 p.m.,38,31
5:43 p.m.,39,32
11:06 a.m.,40,15
1:43 p.m.,41,33
3:13 p.m.,42,34
10:16 a.m.,43,35
6:43 p.m.,44,36
4:56 p.m.,45,37
6:15 p.m.,46,38
3:14 p.m.,47,39
6:19 a.m.,48,40
11:12 a.m.,49,41
9:22 a.m.,50,42
,51,1
9:14 a.m.,52,43
11:30 a.m.,53,44
9:29 a.m.,54,45
10:31 p.m.,55,46
5:14 p.m.,56,47
,57,1
4:54 p.m.,58,48
11:11 a.m.,59,49
12/2/11 6:35 a.m.,60,50
7:04 a.m.,61,51
,62,1
6:25 p.m.,63,52
,64,1
,65,1
1:11 p.m.,66,53
9:56 a.m.,67,54
9:29 a.m.,68,45
7:37 p.m.,69,55
1:36 p.m.,70,56
,71,1
,72,1
4:43 p.m.,73,57
4:08 p.m.,74,58
,75,1
8:50 a.m.,76,59
5:00 p.m.,77,60
,78,1
,79,1
11:50 a.m.,80,61
3:13 p.m.,81,34
1:23 p.m.,82,62
3:09 p.m.,83,63
1:55 p.m.,84,64
5:22 p.m.,85,65
1:11 p.m.,86,53
,87,1
,88,1
2:39 p.m.,89,66
5:24 p.m.,90,67
,91,1
10:34 a.m.,92,68
7:25 p.m.,93,69
8:38 p.m.,94,70
3:04 p.m.,95,27
,96,1
7:20 p.m.,97,71
,98,1
7:49 a.m.,99,72
9:26 a.m.,100,73
7:43 p.m.,101,74
10:43 a.m.,102,75
6:28 p.m.,103,76
7:23 p.m.,104,77
9:47 p.m.,105,78
,106,1
10:43 a.m.,107,75
2:58 p.m.,108,79
4:20 p.m.,109,80
2:50 p.m.,110,3
,111,1
5:52 a.m.,112,81
12/2/11 12:01 a.m.,113,82
11:49 p.m.,114,83
11:35 p.m.,115,84
9:45 a.m.,116,4
11:33 a.m.,117,85
9:13 a.m.,118,86
3:29 p.m.,119,87
,120,1
8:33 a.m.,121,88
,122,1
6:19 p.m.,123,89
7:50 a.m.,124,90
1:52 p.m.,125,91
9:12 p.m.,126,92
4:22 p.m.,127,93
,128,1
,129,1
3:36 p.m.,130,94
5:39 p.m.,131,95
11:04 a.m.,132,96
1:42 p.m.,133,97
10:58 a.m.,134,98
,135,1
2:49 p.m.,136,99
10:12 a.m.,137,100
6:30 p.m.,138,101
7:59 a.m.,139,102
6:11 p.m.,140,103
2:21 p.m.,141,104
,142,1
5:34 p.m.,143,105
12:37 p.m.,144,106
7:37 a.m.,145,107
,146,1
6:15 a.m.,147,108
10:52 a.m.,148,109
3:12 p.m.,149,110
9:22 a.m.,150,42
10:23 p.m.,151,111
9:12 a.m.,152,112
11:35 a.m.,153,113
9:40 a.m.,154,114
10:39 p.m.&nbsp(Estimated),155,115
3:10 p.m.,156,116
5:17 p.m.,157,117
3:25 p.m.,158,118
11:18 a.m.,159,119
Not Available,160,120
7:10 a.m.,161,121
5:23 a.m.,162,122
6:25 p.m.,163,52
9:09 a.m.,164,123
1:09 p.m.,165,124
1:18 p.m.,166,125
9:54 a.m.,167,126
9:42 a.m.,168,127
7:35 p.m.,169,128
1:34 p.m.,170,129
6:59 p.m.,171,130
11:26 a.m.,172,131
4:45 p.m.,173,132
4:09 p.m.,174,6
1:12 p.m.,175,133
9:00 a.m.,176,134
5:03 p.m.,177,135
10:18 a.m.,178,136
10:47 a.m.,179,137
11:50 a.m.,180,61
3:19 p.m.,181,138
1:27 p.m.,182,13
3:20 p.m.,183,139
2:01 p.m.,184,140
5:28 p.m.,185,141
1:14 p.m.,186,142
7:55 p.m.,187,25
9:38 p.m.,188,143
2:37 p.m.,189,144
,190,1
3:25 p.m.,191,118
10:29 a.m.,192,145
Not Available,193,120
8:43 p.m.,194,146
Not Available,195,120
7:53 p.m.,196,147
12:03 p.m.,197,148
7:51 a.m.,198,23
9:29 a.m.,199,45
7:53 p.m.,200,147
6:36 p.m.,201,149
7:26 p.m.,202,150
9:49 p.m.,203,151
6:13 p.m.,204,152
10:45 a.m.,205,153
2:56 p.m.,206,154
4:18 p.m.,207,155
2:52 p.m.,208,156
4:06 p.m.,209,157
,210,1
Not Available,211,120
Not Available,212,120
Not Available,213,120
9:58 a.m.,214,158
11:40 a.m.,215,159
9:11 a.m.,216,160
Not Available,217,120
4:55 p.m.,218,161
8:41 a.m.,219,162
,220,1
,221,1
7:58 a.m.,222,163
2:02 p.m.,223,164
9:11 p.m.,224,165
4:24 p.m.,225,166
6:59 p.m.,226,130
12:10 p.m.,227,167
3:36 p.m.,228,94
5:34 p.m.,229,105
11:07 a.m.,230,168
1:40 p.m.,231,8
11:00 a.m.,232,169
12:00 p.m.,233,170
3:01 p.m.,234,171
10:10 a.m.,235,172
6:36 p.m.,236,149
7:57 a.m.,237,173
4:52 p.m.,238,174
6:09 p.m.,239,175
2:18 p.m.,240,176
10:53 a.m.,241,177
5:09 p.m.,242,178
5:35 p.m.,243,179
12:48 p.m.,244,180
7:32 a.m.,245,181
6:33 p.m.,246,182
6:07 a.m.,247,183
11:00 a.m.,248,169
3:09 p.m.,249,63
,250,1
9:09 a.m.,251,123
11:34 a.m.,252,184
,253,1
,254,1
7:35 p.m.,255,128
,256,1
,257,1
,258,1
,259,1
7:02 a.m.,260,185
,261,1
,262,1
,263,1
,264,1
,265,1
,266,1
,267,1
,268,1
,269,1
8:50 a.m.,270,59
,271,1
,272,1
,273,1
,274,1
11:50 a.m.,275,61
,276,1
3:13 p.m.,277,34
,278,1
1:11 p.m.,279,53
,280,1
,281,1
10:52 a.m.,282,109
2:17 p.m.,283,186
2:36 p.m.,284,187
10:34 a.m.,285,68
,286,1
,287,1
3:09 p.m.,288,63
,289,1
,290,1
,291,1
,292,1
9:23 a.m.,293,188
,294,1
,295,1
,296,1
,297,1
,298,1
2:52 p.m.,299,156
,300,1
5:49 a.m.,301,189
11:56 p.m.,302,190
,303,1
11:54 p.m.,304,191
9:56 a.m.,305,54
11:39 a.m.,306,192
