act_dep_time,act_arr_time,original_index,unique_index
7:16 a.m.,9:32 a.m.,0,0
7:58 p.m.,,1,1
,,2,2
6:54 a.m.,9:28 a.m.,3,3
12:41 p.m.,2:50 p.m.,4,4
,,5,2
7:25 a.m.,9:45 a.m.,6,5
4:29 p.m.,7:39 p.m.,7,6
12:12 p.m.,4:09 p.m.,8,7
6:08 a.m.,9:05 a.m.,9,8
10:55 a.m.,1:40 p.m.,10,9
8:04 a.m.,11:01 a.m.,11,10
10:18 a.m.,11:56 a.m.,12,11
8:04 a.m.,8:06 a.m.,13,12
2:04 p.m.,3:30 p.m.,14,13
10:10 a.m.,1:27 p.m.,15,14
12:13 p.m.,2:10 p.m.,16,15
7:39 a.m.,11:06 a.m.,17,16
6:57 a.m.,7:40 a.m.,18,17
11:52 a.m.,2:27 p.m.,19,18
11:05 a.m.,2:46 p.m.,20,19
3:36 p.m.,3:33 p.m.,21,20
7:21 a.m.,10:36 a.m.,22,21
6:55 p.m.,8:53 p.m.,23,22
12:11 p.m.,3:16 p.m.,24,23
6:56 a.m.,7:51 a.m.,25,24
7:30 a.m.,9:31 a.m.,26,25
5:08 p.m.,7:55 p.m.,27,26
8:23 p.m.,9:53 p.m.,28,27
11:01 a.m.,3:04 p.m.,29,28
10:54 a.m.,12:50 p.m.,30,29
,,31,2
,,32,2
,,33,2
7:22 a.m.,10:04 a.m.,34,30
8:51 a.m.,11:44 a.m.,35,31
,,36,2
8:39 p.m.,,37,32
2:44 p.m.,3:43 p.m.,38,33
3:27 p.m.,5:43 p.m.,39,34
7:22 a.m.,11:06 a.m.,40,35
12:10 p.m.,1:43 p.m.,41,36
1:19 p.m.,3:13 p.m.,42,37
8:56 a.m.,10:16 a.m.,43,38
3:36 p.m.,6:43 p.m.,44,39
11:40 a.m.,4:56 p.m.,45,40
4:12 p.m.,6:15 p.m.,46,41
7:31 a.m.,3:14 p.m.,47,42
6:10 a.m.,6:19 a.m.,48,43
7:39 a.m.,11:12 a.m.,49,44
7:16 a.m.,9:22 a.m.,50,45
,,51,2
6:54 a.m.,9:14 a.m.,52,46
8:48 a.m.,11:30 a.m.,53,47
9:00 a.m.,9:29 a.m.,54,48
7:59 p.m.,10:31 p.m.,55,49
3:50 p.m.,5:14 p.m.,56,50
,,57,2
11:41 a.m.,4:54 p.m.,58,51
10:53 a.m.,11:11 a.m.,59,52
11:29 p.m.,12/2/11 6:35 a.m.,60,53
6:10 a.m.,7:04 a.m.,61,54
,,62,2
4:10 p.m.,6:25 p.m.,63,55
,,64,2
,,65,2
10:11 a.m.,1:11 p.m.,66,56
8:26 a.m.,9:56 a.m.,67,57
7:25 a.m.,9:29 a.m.,68,58
4:29 p.m.,7:37 p.m.,69,59
10:54 a.m.,1:36 p.m.,70,60
,,71,2
,,72,2
3:04 p.m.,4:43 p.m.,73,61
12:13 p.m.,4:08 p.m.,74,62
,,75,2
6:09 a.m.,8:50 a.m.,76,63
11:45 a.m.,5:00 p.m.,77,64
,,78,2
,,79,2
10:19 a.m.,11:50 a.m.,80,65
2:03 p.m.,3:13 p.m.,81,66
8:07 a.m.,1:23 p.m.,82,67
12:56 p.m.,3:09 p.m.,83,68
12:14 p.m.,1:55 p.m.,84,69
2:43 p.m.,5:22 p.m.,85,70
12:07 p.m.,1:11 p.m.,86,71
,,87,2
,,88,2
11:06 a.m.,2:39 p.m.,89,72
1:43 p.m.,5:24 p.m.,90,73
,,91,2
7:22 a.m.,10:34 a.m.,92,74
6:47 p.m.,7:25 p.m.,93,75
6:56 p.m.,8:38 p.m.,94,76
12:12 p.m.,3:04 p.m.,95,77
,,96,2
2:04 p.m.,7:20 p.m.,97,78
,,98,2
6:57 a.m.,7:49 a.m.,99,79
7:31 a.m.,9:26 a.m.,100,80
5:09 p.m.,7:43 p.m.,101,81
7:39 a.m.,10:43 a.m.,102,82
4:44 p.m.,6:28 p.m.,103,83
4:37 p.m.,7:23 p.m.,104,84
8:23 p.m.,9:47 p.m.,105,85
,,106,2
7:30 a.m.,10:43 a.m.,107,86
11:02 a.m.,2:58 p.m.,108,87
1:48 p.m.,4:20 p.m.,109,88
12:42 p.m.,2:50 p.m.,110,89
,,111,2
12:11 a.m.,5:52 a.m.,112,90
4:28 p.m.,12/2/11 12:01 a.m.,113,91
9:06 p.m.,11:49 p.m.,114,92
8:29 p.m.,11:35 p.m.,115,93
7:23 a.m.,9:45 a.m.,116,94
8:52 a.m.,11:33 a.m.,117,95
8:37 a.m.,9:13 a.m.,118,96
1:41 p.m.,3:29 p.m.,119,97
,,120,2
7:41 a.m.,8:33 a.m.,121,98
,,122,2
5:38 p.m.,6:19 p.m.,123,99
1:50 p.m. (+8:00),7:50 a.m.,124,100
11:47 a.m.,1:52 p.m.,125,101
8:40 p.m.,9:12 p.m.,126,102
3:04 p.m.,4:22 p.m.,127,103
,,128,2
,,129,2
2:44 p.m.,3:36 p.m.,130,104
3:28 p.m.,5:39 p.m.,131,105
7:22 a.m.,11:04 a.m.,132,106
12:11 p.m.,1:42 p.m.,133,107
8:04 a.m.,10:58 a.m.,134,108
,,135,2
1:20 p.m.,2:49 p.m.,136,109
8:55 a.m.,10:12 a.m.,137,110
3:38 p.m.,6:30 p.m.,138,111
8:04 a.m.,7:59 a.m.,139,112
4:12 p.m.,6:11 p.m.,140,113
11:52 a.m.,2:21 p.m.,141,114
,,142,2
11:55 a.m.,5:34 p.m.,143,115
10:55 a.m.,12:37 p.m.,144,116
6:58 a.m.,7:37 a.m.,145,117
,,146,2
6:11 a.m.,6:15 a.m.,147,118
7:40 a.m.,10:52 a.m.,148,119
7:32 a.m.,3:12 p.m.,149,120
7:16 a.m.,9:22 a.m.,150,45
7:42 p.m.,10:23 p.m.,151,121
6:54 a.m.,9:12 a.m.,152,122
8:49 a.m.,11:35 a.m.,153,123
9:01 a.m.,9:40 a.m.,154,124
7:59 p.m.,10:39 p.m.&nbsp(Estimated),155,125
12:12 p.m.,3:10 p.m.,156,126
3:50 p.m.,5:17 p.m.,157,127
12:37 p.m.,3:25 p.m.,158,128
10:53 a.m.,11:18 a.m.,159,129
Not Available,Not Available,160,130
6:10 a.m.,7:10 a.m.,161,131
12:58 a.m.,5:23 a.m.,162,132
4:10 p.m.,6:25 p.m.,163,55
7:56 a.m.,9:09 a.m.,164,133
10:35 a.m.,1:09 p.m.,165,134
10:11 a.m.,1:18 p.m.,166,135
8:26 a.m.,9:54 a.m.,167,136
7:25 a.m.,9:42 a.m.,168,137
4:30 p.m.,7:35 p.m.,169,138
10:55 a.m.,1:34 p.m.,170,139
2:59 p.m.,6:59 p.m.,171,140
8:18 a.m.,11:26 a.m.,172,141
3:04 p.m.,4:45 p.m.,173,142
12:13 p.m.,4:09 p.m.,174,143
12:06 p.m.,1:12 p.m.,175,144
6:09 a.m.,9:00 a.m.,176,145
11:45 a.m.,5:03 p.m.,177,146
6:17 a.m.,10:18 a.m.,178,147
9:01 a.m.,10:47 a.m.,179,148
10:19 a.m.,11:50 a.m.,180,65
2:04 p.m.,3:19 p.m.,181,149
8:07 a.m.,1:27 p.m.,182,150
12:56 p.m.,3:20 p.m.,183,151
12:14 p.m.,2:01 p.m.,184,152
2:43 p.m.,5:28 p.m.,185,153
12:08 p.m.,1:14 p.m.,186,154
5:38 p.m.,7:55 p.m.,187,155
8:36 p.m.,9:38 p.m.,188,156
11:06 a.m.,2:37 p.m.,189,157
,,190,2
3:36 p.m.,3:25 p.m.,191,158
7:22 a.m.,10:29 a.m.,192,159
Not Available,Not Available,193,130
6:56 p.m.,8:43 p.m.,194,160
Not Available,Not Available,195,130
2:38 p.m.,7:53 p.m.,196,161
9:58 a.m.,12:03 p.m.,197,162
6:57 a.m.,7:51 a.m.,198,163
7:31 a.m.,9:29 a.m.,199,164
5:09 p.m.,7:53 p.m.,200,165
4:46 p.m.,6:36 p.m.,201,166
4:37 p.m.,7:26 p.m.,202,167
8:23 p.m.,9:49 p.m.,203,168
10:37 a.m.,6:13 p.m.,204,169
7:31 a.m.,10:45 a.m.,205,170
11:02 a.m.,2:56 p.m.,206,171
1:48 p.m.,4:18 p.m.,207,172
12:42 p.m.,2:52 p.m.,208,173
2:01 p.m.,4:06 p.m.,209,174
,,210,2
Not Available,Not Available,211,130
Not Available,Not Available,212,130
Not Available,Not Available,213,130
7:23 a.m.,9:58 a.m.,214,175
8:52 a.m.,11:40 a.m.,215,176
8:37 a.m.,9:11 a.m.,216,177
Not Available,Not Available,217,130
3:17 p.m.,4:55 p.m.,218,178
7:41 a.m.,8:41 a.m.,219,179
,,220,2
,,221,2
12:45 a.m.,7:58 a.m.,222,180
11:47 a.m.,2:02 p.m.,223,181
8:40 p.m.,9:11 p.m.,224,182
3:04 p.m.,4:24 p.m.,225,183
2:59 p.m.,6:59 p.m.,226,140
9:43 a.m.,12:10 p.m.,227,184
2:44 p.m.,3:36 p.m.,228,104
3:28 p.m.,5:34 p.m.,229,185
7:23 a.m.,11:07 a.m.,230,186
12:11 p.m.,1:40 p.m.,231,187
8:05 a.m.,11:00 a.m.,232,188
9:05 a.m.,12:00 p.m.,233,189
1:20 p.m.,3:01 p.m.,234,190
8:56 a.m.,10:10 a.m.,235,191
3:38 p.m.,6:36 p.m.,236,192
8:04 a.m.,7:57 a.m.,237,193
11:41 a.m.,4:52 p.m.,238,194
4:12 p.m.,6:09 p.m.,239,195
11:52 a.m.,2:18 p.m.,240,196
7:40 a.m.,10:53 a.m.,241,197
4:02 p.m.,5:09 p.m.,242,198
11:55 a.m.,5:35 p.m.,243,199
10:55 a.m.,12:48 p.m.,244,200
6:58 a.m.,7:32 a.m.,245,201
4:15 p.m.,6:33 p.m.,246,202
6:11 a.m.,6:07 a.m.,247,203
7:40 a.m.,11:00 a.m.,248,204
7:32 a.m.,3:09 p.m.,249,205
,,250,2
6:54 a.m.,9:09 a.m.,251,206
8:49 a.m.,11:34 a.m.,252,207
,,253,2
,,254,2
6:56 p.m.,7:35 p.m.,255,208
,,256,2
,,257,2
,,258,2
,,259,2
11:58 p.m.,7:02 a.m.,260,209
,,261,2
,,262,2
,,263,2
,,264,2
,,265,2
,,266,2
,,267,2
,,268,2
,,269,2
6:09 a.m.,8:50 a.m.,270,63
,,271,2
,,272,2
,,273,2
,,274,2
10:19 a.m.,11:50 a.m.,275,65
,,276,2
2:04 p.m.,3:13 p.m.,277,210
,,278,2
10:11 a.m.,1:11 p.m.,279,56
,,280,2
,,281,2
7:40 a.m.,10:52 a.m.,282,119
11:52 a.m.,2:17 p.m.,283,211
11:06 a.m.,2:36 p.m.,284,212
7:22 a.m.,10:34 a.m.,285,74
,,286,2
,,287,2
12:12 p.m.,3:09 p.m.,288,213
,,289,2
,,290,2
,,291,2
,,292,2
7:31 a.m.,9:23 a.m.,293,214
,,294,2
,,295,2
,,296,2
,,297,2
,,298,2
11:02 a.m.,2:52 p.m.,299,215
,,300,2
12:11 a.m.,5:49 a.m.,301,216
4:30 p.m.,11:56 p.m.,302,217
,,303,2
8:44 p.m.,11:54 p.m.,304,218
7:23 a.m.,9:56 a.m.,305,219
8:52 a.m.,11:39 a.m.,306,220
,,307,2
,,308,2
,,309,2
,,310,2
,,311,2
,,312,2
,,313,2
,,314,2
,,315,2
,,316,2
,,317,2
,,318,2
7:23 a.m.,11:04 a.m.,319,221
,,320,2
,,321,2
,,322,2
,,323,2
1:20 p.m.,2:49 p.m.,324,109
8:07 a.m.,1:23 p.m.,325,67
,,326,2
,,327,2
,,328,2
,,329,2
,,330,2
,,331,2
6:58 a.m.,7:40 a.m.,332,222
,,333,2
,,334,2
7:40 a.m.,10:49 a.m.,335,223
,,336,2
7:16 a.m.,9:22 a.m.,337,45
,,338,2
6:54 a.m.,9:14 a.m.,339,46
8:48 a.m.,11:30 a.m.,340,47
9:00 a.m.,9:29 a.m.,341,48
7:59 p.m.,10:31 p.m.,342,49
3:50 p.m.,5:14 p.m.,343,50
,,344,2
11:41 a.m.,4:54 p.m.,345,51
10:53 a.m.,11:11 a.m.,346,52
11:29 p.m.,12/2/11 6:35 a.m.,347,53
6:10 a.m.,7:04 a.m.,348,54
,,349,2
4:10 p.m.,6:25 p.m.,350,55
,,351,2
,,352,2
10:11 a.m.,1:11 p.m.,353,56
8:26 a.m.,9:56 a.m.,354,57
7:25 a.m.,9:29 a.m.,355,58
4:29 p.m.,7:37 p.m.,356,59
10:54 a.m.,1:36 p.m.,357,60
,,358,2
,,359,2
3:04 p.m.,4:43 p.m.,360,61
12:13 p.m.,4:08 p.m.,361,62
,,362,2
6:09 a.m.,8:50 a.m.,363,63
11:45 a.m.,5:00 p.m.,364,64
,,365,2
,,366,2
10:19 a.m.,11:50 a.m.,367,65
2:03 p.m.,3:13 p.m.,368,66
8:07 a.m.,1:23 p.m.,369,67
12:56 p.m.,3:09 p.m.,370,68
12:14 p.m.,1:55 p.m.,371,69
2:43 p.m.,5:22 p.m.,372,70
12:07 p.m.,1:11 p.m.,373,71
,,374,2
,,375,2
11:06 a.m.,2:39 p.m.,376,72
1:43 p.m.,5:24 p.m.,377,73
,,378,2
7:22 a.m.,10:34 a.m.,379,74
6:47 p.m.,7:25 p.m.,380,75
6:56 p.m.,8:38 p.m.,381,76
12:12 p.m.,3:04 p.m.,382,77
,,383,2
2:04 p.m.,7:20 p.m.,384,78
,,385,2
6:57 a.m.,7:49 a.m.,386,79
7:31 a.m.,9:26 a.m.,387,80
5:09 p.m.,7:43 p.m.,388,81
7:39 a.m.,10:43 a.m.,389,82
