sched_dep_time,sched_arr_time,original_index,unique_index
7:10 a.m.,9:40 a.m.,0,0
7:45 p.m.,10:30 p.m.,1,1
6:30 p.m.,7:25 p.m.,2,2
6:40 a.m.,9:25 a.m.,3,3
12:15 p.m.,2:45 p.m.,4,4
11:25 p.m.,12/02/2011 6:55 a.m.,5,5
7:00 a.m.,9:55 a.m.,6,6
4:15 p.m.,7:55 p.m.,7,7
11:50 a.m.,3:50 p.m.,8,8
6:00 a.m.,9:20 a.m.,9,9
10:45 a.m.,2:20 p.m.,10,10
7:55 a.m.,11:05 a.m.,11,11
10:15 a.m.,12:10 p.m.,12,12
7:30 a.m.,8:00 a.m.,13,13
1:00 p.m.,2:35 p.m.,14,14
9:05 a.m.,12:35 p.m.,15,15
11:45 a.m.,2:00 p.m.,16,16
7:25 a.m.,11:10 a.m.,17,17
6:45 a.m.,7:45 a.m.,18,18
11:35 a.m.,2:25 p.m.,19,19
10:40 a.m.,2:45 p.m.,20,20
3:35 p.m.,4:00 p.m.,21,21
7:15 a.m.,10:35 a.m.,22,22
6:45 p.m.,9:10 p.m.,23,23
12:00 p.m.,3:15 p.m.,24,24
6:00 a.m.,7:30 a.m.,25,25
7:10 a.m.,9:35 a.m.,26,26
4:55 p.m.,8:05 p.m.,27,27
8:00 p.m.,9:45 p.m.,28,28
10:40 a.m.,2:59 p.m.,29,29
10:40 a.m.,12:55 p.m.,30,30
11:55 p.m.,12/02/2011 5:50 a.m.,31,31
9:00 p.m.,12/02/2011 12:15 a.m.,32,32
8:25 p.m.,11:50 p.m.,33,33
6:59 a.m.,10:34 a.m.,34,34
8:35 a.m.,11:50 a.m.,35,35
1:30 p.m.,3:50 p.m.,36,36
8:20 p.m.,9:20 p.m.,37,37
2:35 p.m.,4:05 p.m.,38,38
2:55 p.m.,5:55 p.m.,39,39
7:15 a.m.,11:35 a.m.,40,40
12:10 p.m.,2:15 p.m.,41,41
1:05 p.m.,2:35 p.m.,42,42
8:35 a.m.,10:40 a.m.,43,43
3:05 p.m.,6:30 p.m.,44,44
11:25 a.m.,5:25 p.m.,45,45
4:00 p.m.,6:40 p.m.,46,46
7:10 a.m.,3:30 p.m.,47,47
6:00 a.m.,6:40 a.m.,48,48
7:10 a.m.,10:45 a.m.,49,49
,,50,50
7:00 p.m.,10:15 p.m.,51,51
,,52,50
,,53,50
,,54,50
,,55,50
,,56,50
11:25 a.m.,2:50 p.m.,57,52
,,58,50
,,59,50
,,60,50
,,61,50
12:30 a.m.,5:35 a.m.,62,53
,,63,50
7:35 a.m.,9:21 a.m.,64,54
9:45 a.m.,1:16 p.m.,65,55
,,66,50
,,67,50
,,68,50
,,69,50
,,70,50
2:30 p.m.,7:03 p.m.,71,56
8:05 a.m.,11:35 a.m.,72,57
,,73,50
,,74,50
11:40 a.m.,1:17 p.m.,75,58
,,76,50
,,77,50
6:00 a.m.,10:20 a.m.,78,59
8:40 a.m.,10:54 a.m.,79,60
,,80,50
,,81,50
,,82,50
,,83,50
,,84,50
,,85,50
,,86,50
5:25 p.m.,8:22 p.m.,87,61
7:10 p.m.,8:56 p.m.,88,62
,,89,50
,,90,50
3:35 p.m.,4:00 p.m.,91,21
,,92,50
,,93,50
,,94,50
,,95,50
7:15 p.m.,12/2/11 12:21 a.m.,96,63
,,97,50
9:15 a.m.,12:18 p.m.,98,64
,,99,50
,,100,50
,,101,50
,,102,50
,,103,50
,,104,50
,,105,50
10:25 a.m.,6:44 p.m.,106,65
,,107,50
,,108,50
,,109,50
,,110,50
1:29 p.m.,4:17 p.m.,111,66
,,112,50
,,113,50
,,114,50
,,115,50
,,116,50
,,117,50
,,118,50
,,119,50
2:53 p.m.,4:48 p.m.,120,67
,,121,50
