src,act_dep_time,original_index,unique_index
aa,7:16 a.m.,0,0
aa,7:58 p.m.,1,1
aa,,2,2
aa,6:54 a.m.,3,3
aa,12:41 p.m.,4,4
aa,,5,2
aa,7:25 a.m.,6,5
aa,4:29 p.m.,7,6
aa,12:12 p.m.,8,7
aa,6:08 a.m.,9,8
aa,10:55 a.m.,10,9
aa,8:04 a.m.,11,10
aa,10:18 a.m.,12,11
aa,8:04 a.m.,13,10
aa,2:04 p.m.,14,12
aa,10:10 a.m.,15,13
aa,12:13 p.m.,16,14
aa,7:39 a.m.,17,15
aa,6:57 a.m.,18,16
aa,11:52 a.m.,19,17
aa,11:05 a.m.,20,18
aa,3:36 p.m.,21,19
aa,7:21 a.m.,22,20
aa,6:55 p.m.,23,21
aa,12:11 p.m.,24,22
aa,6:56 a.m.,25,23
aa,7:30 a.m.,26,24
aa,5:08 p.m.,27,25
aa,8:23 p.m.,28,26
aa,11:01 a.m.,29,27
aa,10:54 a.m.,30,28
aa,,31,2
aa,,32,2
aa,,33,2
aa,7:22 a.m.,34,29
aa,8:51 a.m.,35,30
aa,,36,2
aa,8:39 p.m.,37,31
aa,2:44 p.m.,38,32
aa,3:27 p.m.,39,33
aa,7:22 a.m.,40,29
aa,12:10 p.m.,41,34
aa,1:19 p.m.,42,35
aa,8:56 a.m.,43,36
aa,3:36 p.m.,44,19
aa,11:40 a.m.,45,37
aa,4:12 p.m.,46,38
aa,7:31 a.m.,47,39
aa,6:10 a.m.,48,40
aa,7:39 a.m.,49,15
helloflight,7:16 a.m.,50,41
helloflight,,51,42
helloflight,6:54 a.m.,52,43
helloflight,8:48 a.m.,53,44
helloflight,9:00 a.m.,54,45
helloflight,7:59 p.m.,55,46
helloflight,3:50 p.m.,56,47
helloflight,,57,42
helloflight,11:41 a.m.,58,48
helloflight,10:53 a.m.,59,49
helloflight,11:29 p.m.,60,50
helloflight,6:10 a.m.,61,51
helloflight,,62,42
helloflight,4:10 p.m.,63,52
helloflight,,64,42
helloflight,,65,42
helloflight,10:11 a.m.,66,53
helloflight,8:26 a.m.,67,54
helloflight,7:25 a.m.,68,55
helloflight,4:29 p.m.,69,56
helloflight,10:54 a.m.,70,57
helloflight,,71,42
helloflight,,72,42
helloflight,3:04 p.m.,73,58
helloflight,12:13 p.m.,74,59
helloflight,,75,42
helloflight,6:09 a.m.,76,60
helloflight,11:45 a.m.,77,61
helloflight,,78,42
helloflight,,79,42
helloflight,10:19 a.m.,80,62
helloflight,2:03 p.m.,81,63
helloflight,8:07 a.m.,82,64
helloflight,12:56 p.m.,83,65
helloflight,12:14 p.m.,84,66
helloflight,2:43 p.m.,85,67
helloflight,12:07 p.m.,86,68
helloflight,,87,42
helloflight,,88,42
helloflight,11:06 a.m.,89,69
helloflight,1:43 p.m.,90,70
helloflight,,91,42
helloflight,7:22 a.m.,92,71
helloflight,6:47 p.m.,93,72
helloflight,6:56 p.m.,94,73
helloflight,12:12 p.m.,95,74
helloflight,,96,42
helloflight,2:04 p.m.,97,75
helloflight,,98,42
helloflight,6:57 a.m.,99,76
helloflight,7:31 a.m.,100,77
helloflight,5:09 p.m.,101,78
helloflight,7:39 a.m.,102,79
helloflight,4:44 p.m.,103,80
helloflight,4:37 p.m.,104,81
helloflight,8:23 p.m.,105,82
helloflight,,106,42
helloflight,7:30 a.m.,107,83
helloflight,11:02 a.m.,108,84
helloflight,1:48 p.m.,109,85
helloflight,12:42 p.m.,110,86
helloflight,,111,42
helloflight,12:11 a.m.,112,87
helloflight,4:28 p.m.,113,88
helloflight,9:06 p.m.,114,89
helloflight,8:29 p.m.,115,90
helloflight,7:23 a.m.,116,91
helloflight,8:52 a.m.,117,92
helloflight,8:37 a.m.,118,93
helloflight,1:41 p.m.,119,94
helloflight,,120,42
helloflight,7:41 a.m.,121,95
helloflight,,122,42
helloflight,5:38 p.m.,123,96
helloflight,1:50 p.m. (+8:00),124,97
helloflight,11:47 a.m.,125,98
helloflight,8:40 p.m.,126,99
helloflight,3:04 p.m.,127,58
helloflight,,128,42
helloflight,,129,42
helloflight,2:44 p.m.,130,100
helloflight,3:28 p.m.,131,101
helloflight,7:22 a.m.,132,71
helloflight,12:11 p.m.,133,102
helloflight,8:04 a.m.,134,103
helloflight,,135,42
helloflight,1:20 p.m.,136,104
helloflight,8:55 a.m.,137,105
