src,sched_arr_time,original_index,unique_index
aa,9:40 a.m.,0,0
aa,10:30 p.m.,1,1
aa,7:25 p.m.,2,2
aa,9:25 a.m.,3,3
aa,2:45 p.m.,4,4
aa,12/02/2011 6:55 a.m.,5,5
aa,9:55 a.m.,6,6
aa,7:55 p.m.,7,7
aa,3:50 p.m.,8,8
aa,9:20 a.m.,9,9
aa,2:20 p.m.,10,10
aa,11:05 a.m.,11,11
aa,12:10 p.m.,12,12
aa,8:00 a.m.,13,13
aa,2:35 p.m.,14,14
aa,12:35 p.m.,15,15
aa,2:00 p.m.,16,16
aa,11:10 a.m.,17,17
aa,7:45 a.m.,18,18
aa,2:25 p.m.,19,19
aa,2:45 p.m.,20,4
aa,4:00 p.m.,21,20
aa,10:35 a.m.,22,21
aa,9:10 p.m.,23,22
aa,3:15 p.m.,24,23
aa,7:30 a.m.,25,24
aa,9:35 a.m.,26,25
aa,8:05 p.m.,27,26
aa,9:45 p.m.,28,27
aa,2:59 p.m.,29,28
aa,12:55 p.m.,30,29
aa,12/02/2011 5:50 a.m.,31,30
aa,12/02/2011 12:15 a.m.,32,31
aa,11:50 p.m.,33,32
aa,10:34 a.m.,34,33
aa,11:50 a.m.,35,34
aa,3:50 p.m.,36,8
aa,9:20 p.m.,37,35
aa,4:05 p.m.,38,36
aa,5:55 p.m.,39,37
aa,11:35 a.m.,40,38
aa,2:15 p.m.,41,39
aa,2:35 p.m.,42,14
aa,10:40 a.m.,43,40
aa,6:30 p.m.,44,41
aa,5:25 p.m.,45,42
aa,6:40 p.m.,46,43
aa,3:30 p.m.,47,44
aa,6:40 a.m.,48,45
aa,10:45 a.m.,49,46
helloflight,,50,47
helloflight,10:15 p.m.,51,48
helloflight,,52,47
helloflight,,53,47
helloflight,,54,47
helloflight,,55,47
helloflight,,56,47
helloflight,2:50 p.m.,57,49
helloflight,,58,47
helloflight,,59,47
helloflight,,60,47
helloflight,,61,47
helloflight,5:35 a.m.,62,50
helloflight,,63,47
helloflight,9:21 a.m.,64,51
helloflight,1:16 p.m.,65,52
helloflight,,66,47
helloflight,,67,47
