flight,original_index,unique_index
AA-3859-IAH-ORD,0,0
AA-1733-ORD-PHX,1,1
AA-1640-MIA-MCO,2,2
AA-518-MIA-JFK,3,3
AA-3756-ORD-SLC,4,4
AA-204-LAX-MCO,5,5
AA-3468-CVG-MIA,6,6
AA-484-DFW-MIA,7,7
AA-446-DFW-PHL,8,8
AA-466-IAH-MIA,9,9
AA-1886-BOS-MIA,10,10
AA-2957-DFW-CVG,11,11
AA-1664-MIA-ATL,12,12
AA-3979-CVG-ORD,13,13
AA-1279-DFW-PHX,14,14
AA-616-DFW-DTW,15,15
AA-4344-ORD-DTW,16,16
AA-2525-DFW-MIA,17,17
AA-404-MIA-MCO,18,18
AA-271-MIA-LAX,19,19
AA-2050-ORD-MIA,20,20
AA-4330-CVG-ORD,21,21
AA-1434-DFW-MCO,22,22
AA-4307-ORD-DTW,23,23
AA-3-JFK-LAX,24,24
AA-3842-MSP-ORD,25,25
AA-643-MIA-ORD,26,26
AA-1007-MIA-PHX,27,27
AA-1221-MCO-ORD,28,28
AA-400-DFW-JFK,29,29
AA-4198-ORD-CLE,30,30
AA-1522-SFO-ORD,31,31
AA-3823-LAX-DEN,32,32
AA-2312-DFW-DTW,33,33
AA-1165-JFK-MIA,34,34
AA-431-MIA-SFO,35,35
AA-649-ORD-SNA,36,36
AA-3063-SLC-LAX,37,37
AA-3804-PHL-ORD,38,38
AA-1917-JFK-MCO,39,39
AA-2268-PHX-ORD,40,40
AA-4277-CVG-JFK,41,41
AA-789-ORD-DEN,42,42
AA-415-BOS-ORD,43,43
AA-85-JFK-SFO,44,44
AA-1544-SAN-ORD,45,45
AA-3786-IAH-ORD,46,46
AA-222-LAX-BOS,47,47
AA-3809-PHX-LAX,48,48
AA-59-JFK-SFO,49,49
AA-3859-IAH-ORD,50,0
CO-1586-IAH-MCO,51,50
AA-518-MIA-JFK,52,3
UA-397-JFK-SFO,53,51
UA-3925-IAD-ORF,54,52
AA-1733-ORD-PHX,55,1
UA-2830-MCO-CLT,56,53
CO-58-DEN-IAH,57,54
AA-1544-SAN-ORD,58,45
UA-5487-SFO-MRY,59,55
AA-204-LAX-MCO,60,5
