sched_arr_time,original_index,unique_index
9:40 a.m.,0,0
10:30 p.m.,1,1
7:25 p.m.,2,2
9:25 a.m.,3,3
2:45 p.m.,4,4
12/02/2011 6:55 a.m.,5,5
9:55 a.m.,6,6
7:55 p.m.,7,7
3:50 p.m.,8,8
9:20 a.m.,9,9
2:20 p.m.,10,10
11:05 a.m.,11,11
12:10 p.m.,12,12
8:00 a.m.,13,13
2:35 p.m.,14,14
12:35 p.m.,15,15
2:00 p.m.,16,16
11:10 a.m.,17,17
7:45 a.m.,18,18
2:25 p.m.,19,19
2:45 p.m.,20,4
4:00 p.m.,21,20
10:35 a.m.,22,21
9:10 p.m.,23,22
3:15 p.m.,24,23
7:30 a.m.,25,24
9:35 a.m.,26,25
8:05 p.m.,27,26
9:45 p.m.,28,27
2:59 p.m.,29,28
12:55 p.m.,30,29
12/02/2011 5:50 a.m.,31,30
12/02/2011 12:15 a.m.,32,31
11:50 p.m.,33,32
10:34 a.m.,34,33
11:50 a.m.,35,34
3:50 p.m.,36,8
9:20 p.m.,37,35
4:05 p.m.,38,36
5:55 p.m.,39,37
11:35 a.m.,40,38
2:15 p.m.,41,39
2:35 p.m.,42,14
10:40 a.m.,43,40
6:30 p.m.,44,41
5:25 p.m.,45,42
6:40 p.m.,46,43
3:30 p.m.,47,44
6:40 a.m.,48,45
10:45 a.m.,49,46
,50,47
10:15 p.m.,51,48
,52,47
,53,47
,54,47
,55,47
,56,47
2:50 p.m.,57,49
,58,47
,59,47
,60,47
,61,47
5:35 a.m.,62,50
,63,47
9:21 a.m.,64,51
1:16 p.m.,65,52
,66,47
,67,47
,68,47
,69,47
,70,47
7:03 p.m.,71,53
11:35 a.m.,72,38
,73,47
,74,47
1:17 p.m.,75,54
,76,47
,77,47
10:20 a.m.,78,55
10:54 a.m.,79,56
,80,47
,81,47
,82,47
,83,47
,84,47
,85,47
,86,47
8:22 p.m.,87,57
8:56 p.m.,88,58
,89,47
,90,47
4:00 p.m.,91,20
,92,47
,93,47
,94,47
,95,47
12/2/11 12:21 a.m.,96,59
,97,47
12:18 p.m.,98,60
,99,47
,100,47
,101,47
,102,47
,103,47
,104,47
,105,47
6:44 p.m.,106,61
,107,47
,108,47
,109,47
,110,47
4:17 p.m.,111,62
,112,47
,113,47
,114,47
,115,47
,116,47
,117,47
,118,47
,119,47
4:48 p.m.,120,63
,121,47
12/2/11 5:11 a.m.,122,64
,123,47
,124,47
,125,47
,126,47
,127,47
7:03 p.m.,128,53
11:45 a.m.,129,65
,130,47
,131,47
,132,47
,133,47
,134,47
11:53 a.m.,135,66
,136,47
,137,47
,138,47
,139,47
,140,47
,141,47
4:49 p.m.,142,67
,143,47
,144,47
,145,47
7:05 p.m.,146,68
,147,47
,148,47
,149,47
9:40 a.m.,150,0
,151,47
9:25 a.m.,152,3
11:55 a.m.,153,69
,154,47
10:30 p.m.,155,1
3:15 p.m.,156,23
5:05 p.m.,157,70
,158,47
,159,47
6:55 a.m. Dec 02,160,71
,161,47
,162,47
6:46 p.m.,163,72
,164,47
,165,47
12:35 p.m.,166,15
,167,47
9:55 a.m.,168,6
7:55 p.m.,169,7
,170,47
,171,47
,172,47
,173,47
3:50 p.m.,174,8
,175,47
9:20 a.m.,176,9
4:57 p.m.,177,73
,178,47
,179,47
12:10 p.m.,180,12
2:35 p.m.,181,14
,182,47
,183,47
,184,47
6:15 p.m.,185,74
1:45 p.m.,186,75
,187,47
,188,47
2:45 p.m.,189,4
4:52 p.m.,190,76
,191,47
10:35 a.m.,192,21
7:25 p.m.,193,2
9:10 p.m.,194,22
12:21 a.m. Dec 02,195,77
,196,47
12:18 p.m.,197,60
7:30 a.m.,198,24
9:35 a.m.,199,25
,200,47
6:23 p.m.,201,78
,202,47
9:45 p.m.,203,27
,204,47
,205,47
2:59 p.m.,206,28
4:31 p.m.,207,79
2:45 p.m.,208,4
,209,47
5:50 a.m.Dec 02,210,80
12:29 a.m. Dec 02,211,81
12:15 a.m. Dec 02,212,82
11:50 p.m.,213,32
10:34 a.m.,214,33
11:50 a.m.,215,34
,216,47
3:50 p.m.,217,8
,218,47
,219,47
5:11 a.m.Dec 02,220,83
6:09 p.m.,221,84
,222,47
,223,47
,224,47
,225,47
,226,47
,227,47
4:05 p.m.,228,36
5:55 p.m.,229,37
11:35 a.m.,230,38
2:15 p.m.,231,39
11:05 a.m.,232,11
,233,47
2:35 p.m.,234,14
,235,47
6:30 p.m.,236,41
8:00 a.m.,237,13
,238,47
6:40 p.m.,239,43
2:25 p.m.,240,19
11:10 a.m.,241,17
,242,47
6:17 p.m.,243,85
12:55 p.m.,244,29
7:45 a.m.,245,18
7:05 p.m.,246,68
6:40 a.m.,247,45
10:45 a.m.,248,46
3:30 p.m.,249,44
9:40 a.m.,250,0
9:25 a.m.,251,3
11:55 a.m.,252,69
9:54 a.m.,253,86
10:30 p.m.,254,1
7:25 p.m.,255,2
5:05 p.m.,256,70
2:50 p.m.,257,49
5:25 p.m.,258,42
11:19 a.m.,259,87
6:55 a.m.,260,88
7:23 a.m.,261,89
2:45 p.m.,262,4
6:46 p.m.,263,72
1:16 p.m.,264,52
9:55 a.m.,265,6
10:06 a.m.,266,90
7:55 p.m.,267,7
7:03 p.m.,268,53
3:50 p.m.,269,8
9:20 a.m.,270,9
4:57 p.m.,271,73
10:20 a.m.,272,55
10:54 a.m.,273,56
2:20 p.m.,274,10
12:10 p.m.,275,12
8:00 a.m.,276,13
2:35 p.m.,277,14
5:35 a.m.,278,50
12:35 p.m.,279,15
2:00 p.m.,280,16
1:45 p.m.,281,75
11:10 a.m.,282,17
2:25 p.m.,283,19
2:45 p.m.,284,4
10:35 a.m.,285,21
11:35 a.m.,286,38
9:10 p.m.,287,22
3:15 p.m.,288,23
12:21 a.m.,289,91
7:53 p.m.,290,92
12:18 p.m.,291,60
7:30 a.m.,292,24
9:35 a.m.,293,25
6:23 p.m.,294,78
7:35 p.m.,295,93
9:45 p.m.,296,27
6:44 p.m.,297,61
10:31 a.m.,298,94
2:59 p.m.,299,28
4:31 p.m.,300,79
5:50 a.m.,301,95
12:29 a.m.,302,96
12:15 a.m.,303,97
11:50 p.m.,304,32
10:34 a.m.,305,33
11:50 a.m.,306,34
6:15 p.m.,307,74
9:24 a.m.,308,98
3:50 p.m.,309,8
4:48 p.m.,310,63
9:43 a.m.,311,99
8:27 a.m.,312,100
1:40 p.m.,313,101
9:20 p.m.,314,35
4:53 p.m.,315,102
7:03 p.m.,316,53
4:05 p.m.,317,36
5:55 p.m.,318,37
11:35 a.m.,319,38
5:00 p.m.,320,103
2:15 p.m.,321,39
11:05 a.m.,322,11
11:53 a.m.,323,66
2:35 p.m.,324,14
1:39 p.m.,325,104
10:40 a.m.,326,40
6:30 p.m.,327,41
6:40 p.m.,328,43
4:49 p.m.,329,67
6:17 p.m.,330,85
12:55 p.m.,331,29
7:45 a.m.,332,18
7:05 p.m.,333,68
6:40 a.m.,334,45
10:45 a.m.,335,46
3:30 p.m.,336,44
,337,47
10:15 p.m.,338,48
,339,47
,340,47
,341,47
,342,47
,343,47
2:50 p.m.,344,49
,345,47
,346,47
,347,47
,348,47
5:35 a.m.,349,50
,350,47
9:21 a.m.,351,51
1:16 p.m.,352,52
,353,47
,354,47
,355,47
,356,47
,357,47
7:03 p.m.,358,53
11:35 a.m.,359,38
,360,47
,361,47
1:17 p.m.,362,54
,363,47
,364,47
10:20 a.m.,365,55
10:54 a.m.,366,56
,367,47
,368,47
,369,47
,370,47
,371,47
,372,47
,373,47
8:22 p.m.,374,57
8:56 p.m.,375,58
,376,47
,377,47
4:00 p.m.,378,20
,379,47
,380,47
,381,47
,382,47
12/2/11 12:21 a.m.,383,59
,384,47
12:18 p.m.,385,60
,386,47
,387,47
,388,47
,389,47
,390,47
,391,47
,392,47
6:44 p.m.,393,61
,394,47
,395,47
,396,47
,397,47
4:17 p.m.,398,62
,399,47
,400,47
,401,47
,402,47
,403,47
,404,47
,405,47
,406,47
4:48 p.m.,407,63
,408,47
12/2/11 5:11 a.m.,409,64
,410,47
,411,47
,412,47
,413,47
,414,47
7:03 p.m.,415,53
11:45 a.m.,416,65
,417,47
,418,47
,419,47
,420,47
,421,47
11:53 a.m.,422,66
,423,47
,424,47
,425,47
,426,47
,427,47
,428,47
4:49 p.m.,429,67
,430,47
,431,47
,432,47
7:05 p.m.,433,68
,434,47
,435,47
,436,47
9:40 a.m.,437,0
,438,47
9:25 a.m.,439,3
11:55 a.m.,440,69
,441,47
10:30 p.m.,442,1
3:15 p.m.,443,23
5:05 p.m.,444,70
,445,47
,446,47
6:55 a.m. Dec 02,447,71
,448,47
,449,47
6:46 p.m.,450,72
,451,47
,452,47
12:35 p.m.,453,15
,454,47
9:55 a.m.,455,6
7:55 p.m.,456,7
,457,47
,458,47
,459,47
,460,47
3:50 p.m.,461,8
,462,47
9:20 a.m.,463,9
4:57 p.m.,464,73
,465,47
,466,47
12:10 p.m.,467,12
2:35 p.m.,468,14
,469,47
,470,47
,471,47
6:15 p.m.,472,74
1:45 p.m.,473,75
,474,47
,475,47
2:45 p.m.,476,4
,477,47
,478,47
10:35 a.m.,479,21
7:25 p.m.,480,2
9:10 p.m.,481,22
12:21 a.m. Dec 02,482,77
,483,47
12:18 p.m.,484,60
7:30 a.m.,485,24
9:35 a.m.,486,25
,487,47
6:23 p.m.,488,78
,489,47
9:45 p.m.,490,27
,491,47
,492,47
2:59 p.m.,493,28
4:31 p.m.,494,79
2:45 p.m.,495,4
,496,47
5:50 a.m. Dec 02,497,105
12:29 a.m. Dec 02,498,81
12:15 a.m. Dec 02,499,82
11:50 p.m.,500,32
10:34 a.m.,501,33
11:50 a.m.,502,34
,503,47
3:50 p.m.,504,8
,505,47
,506,47
5:11 a.m.Dec 02,507,83
6:40 p.m.,508,43
,509,47
,510,47
,511,47
,512,47
,513,47
,514,47
4:05 p.m.,515,36
5:55 p.m.,516,37
11:35 a.m.,517,38
2:15 p.m.,518,39
11:05 a.m.,519,11
,520,47
2:35 p.m.,521,14
,522,47
6:30 p.m.,523,41
8:00 a.m.,524,13
,525,47
6:40 p.m.,526,43
2:25 p.m.,527,19
11:10 a.m.,528,17
,529,47
6:17 p.m.,530,85
12:55 p.m.,531,29
7:45 a.m.,532,18
7:05 p.m.,533,68
6:40 a.m.,534,45
10:45 a.m.,535,46
3:30 p.m.,536,44
9:40 a.m.,537,0
10:15 p.m.,538,48
9:25 a.m.,539,3
11:55 a.m.,540,69
9:54 a.m.,541,86
10:30 p.m.,542,1
2:00 p.m.,543,16
7:25 p.m.,544,2
5:05 p.m.,545,70
2:50 p.m.,546,49
6:55 a.m.,547,88
7:23 a.m.,548,89
5:35 a.m.,549,50
6:46 p.m.,550,72
9:21 a.m.,551,51
1:16 p.m.,552,52
9:55 a.m.,553,6
10:06 a.m.,554,90
7:55 p.m.,555,7
12:35 p.m.,556,15
7:03 p.m.,557,53
8:22 p.m.,558,57
3:50 p.m.,559,8
1:17 p.m.,560,54
9:20 a.m.,561,9
4:57 p.m.,562,73
10:20 a.m.,563,55
10:54 a.m.,564,56
11:05 a.m.,565,11
12:10 p.m.,566,12
8:00 a.m.,567,13
2:35 p.m.,568,14
7:45 a.m.,569,18
2:45 p.m.,570,4
3:19 p.m.,571,106
1:45 p.m.,572,75
8:56 p.m.,573,58
2:25 p.m.,574,19
2:45 p.m.,575,4
5:15 p.m.,576,107
4:00 p.m.,577,20
10:35 a.m.,578,21
11:35 a.m.,579,38
9:10 p.m.,580,22
3:15 p.m.,581,23
12:21 a.m.,582,91
7:53 p.m.,583,92
12:18 p.m.,584,60
7:30 a.m.,585,24
9:35 a.m.,586,25
8:05 p.m.,587,26
11:10 a.m.,588,17
6:23 p.m.,589,78
7:35 p.m.,590,93
9:45 p.m.,591,27
6:44 p.m.,592,61
10:31 a.m.,593,94
2:59 p.m.,594,28
4:31 p.m.,595,79
4:17 p.m.,596,62
5:50 a.m.,597,95
12:29 a.m.,598,96
12:15 a.m.,599,97
11:50 p.m.,600,32
5:00 p.m.,601,103
10:34 a.m.,602,33
11:50 a.m.,603,34
6:15 p.m.,604,74
9:24 a.m.,605,98
4:48 p.m.,606,63
5:11 a.m.,607,108
6:40 p.m.,608,43
1:40 p.m.,609,101
9:20 p.m.,610,35
4:53 p.m.,611,102
7:03 p.m.,612,53
4:05 p.m.,613,36
5:55 p.m.,614,37
11:35 a.m.,615,38
2:15 p.m.,616,39
2:35 p.m.,617,14
1:39 p.m.,618,104
10:40 a.m.,619,40
6:30 p.m.,620,41
6:40 p.m.,621,43
3:30 p.m.,622,44
4:49 p.m.,623,67
6:17 p.m.,624,85
12:55 p.m.,625,29
7:05 p.m.,626,68
6:40 a.m.,627,45
10:45 a.m.,628,46
9:40 a.m.,629,0
,630,47
9:25 a.m.,631,3
11:55 a.m.,632,69
,633,47
10:30 p.m.,634,1
3:15 p.m.,635,23
5:05 p.m.,636,70
,637,47
,638,47
6:55 a.m. Dec 02,639,71
,640,47
,641,47
6:46 p.m.,642,72
,643,47
,644,47
12:35 p.m.,645,15
,646,47
9:55 a.m.,647,6
7:55 p.m.,648,7
,649,47
,650,47
,651,47
,652,47
3:50 p.m.,653,8
,654,47
9:20 a.m.,655,9
4:57 p.m.,656,73
,657,47
,658,47
12:10 p.m.,659,12
2:35 p.m.,660,14
,661,47
,662,47
,663,47
6:15 p.m.,664,74
1:45 p.m.,665,75
,666,47
,667,47
2:45 p.m.,668,4
,669,47
,670,47
10:35 a.m.,671,21
7:25 p.m.,672,2
9:10 p.m.,673,22
12:21 a.m. Dec 02,674,77
,675,47
12:18 p.m.,676,60
7:30 a.m.,677,24
9:35 a.m.,678,25
,679,47
6:23 p.m.,680,78
,681,47
9:45 p.m.,682,27
,683,47
,684,47
2:59 p.m.,685,28
4:31 p.m.,686,79
2:45 p.m.,687,4
,688,47
5:50 a.m. Dec 02,689,105
12:29 a.m. Dec 02,690,81
12:15 a.m. Dec 02,691,82
11:50 p.m.,692,32
10:34 a.m.,693,33
11:50 a.m.,694,34
,695,47
3:50 p.m.,696,8
,697,47
,698,47
5:11 a.m.Dec 02,699,83
6:40 p.m.,700,43
,701,47
,702,47
,703,47
,704,47
,705,47
,706,47
4:05 p.m.,707,36
5:55 p.m.,708,37
11:35 a.m.,709,38
2:15 p.m.,710,39
11:05 a.m.,711,11
,712,47
2:35 p.m.,713,14
,714,47
6:30 p.m.,715,41
8:00 a.m.,716,13
,717,47
6:40 p.m.,718,43
2:25 p.m.,719,19
11:10 a.m.,720,17
,721,47
6:17 p.m.,722,85
12:55 p.m.,723,29
7:45 a.m.,724,18
7:05 p.m.,725,68
6:40 a.m.,726,45
10:45 a.m.,727,46
3:30 p.m.,728,44
,729,47
,730,47
,731,47
,732,47
,733,47
7:25 p.m.,734,2
,735,47
,736,47
12/2/2011 6:55 a.m.,737,109
,738,47
,739,47
,740,47
,741,47
,742,47
,743,47
,744,47
,745,47
,746,47
,747,47
,748,47
,749,47
,750,47
,751,47
,752,47
,753,47
,754,47
,755,47
4:52 p.m.,756,76
,757,47
,758,47
,759,47
,760,47
,761,47
,762,47
,763,47
,764,47
,765,47
,766,47
,767,47
,768,47
,769,47
,770,47
12/2/2011 5:50 a.m.,771,110
12/2/2011 12:15 a.m.,772,111
11:50 p.m.,773,32
,774,47
,775,47
,776,47
3:50 p.m.,777,8
,778,47
6:40 p.m.,779,43
,780,47
,781,47
,782,47
12/2/2011 12:29 a.m.,783,112
,784,47
,785,47
,786,47
,787,47
,788,47
,789,47
,790,47
,791,47
2:45P 12-01-11,792,113
10:34A 12-01-11,793,114
7:55P 12-01-11,794,115
9:20A 12-01-11,795,116
11:10A 12-01-11,796,117
,797,47
,798,47
,799,47
,800,47
,801,47
,802,47
Thu  22:15,803,118
Thu  17:55,804,119
Thu  19:25,805,120
Thu  7:45,806,121
Thu  6:55,807,122
,808,47
Thu  10:35,809,123
Thu  12:18,810,124
9:40 a.m.,811,0
,812,47
9:25 a.m.,813,3
11:55 a.m.,814,69
,815,47
10:30 p.m.,816,1
3:15 p.m.,817,23
5:05 p.m.,818,70
,819,47
,820,47
6:55 a.m.  Fri 02-Dec-2011,821,125
,822,47
,823,47
6:46 p.m.,824,72
,825,47
,826,47
12:35 p.m.,827,15
,828,47
9:55 a.m.,829,6
7:55 p.m.,830,7
,831,47
,832,47
,833,47
,834,47
3:50 p.m.,835,8
,836,47
9:20 a.m.,837,9
4:57 p.m.,838,73
,839,47
,840,47
12:10 p.m.,841,12
2:35 p.m.,842,14
,843,47
,844,47
,845,47
6:15 p.m.,846,74
1:45 p.m.,847,75
,848,47
,849,47
2:45 p.m.,850,4
,851,47
,852,47
10:35 a.m.,853,21
7:25 p.m.,854,2
9:10 p.m.,855,22
