flight,sched_arr_time,original_index,unique_index
AA-3859-IAH-ORD,9:40 a.m.,0,0
AA-1733-ORD-PHX,10:30 p.m.,1,1
AA-1640-MIA-MCO,7:25 p.m.,2,2
AA-518-MIA-JFK,9:25 a.m.,3,3
AA-3756-ORD-SLC,2:45 p.m.,4,4
AA-204-LAX-MCO,12/02/2011 6:55 a.m.,5,5
AA-3468-CVG-MIA,9:55 a.m.,6,6
AA-484-DFW-MIA,7:55 p.m.,7,7
AA-446-DFW-PHL,3:50 p.m.,8,8
AA-466-IAH-MIA,9:20 a.m.,9,9
AA-1886-BOS-MIA,2:20 p.m.,10,10
AA-2957-DFW-CVG,11:05 a.m.,11,11
AA-1664-MIA-ATL,12:10 p.m.,12,12
AA-3979-CVG-ORD,8:00 a.m.,13,13
AA-1279-DFW-PHX,2:35 p.m.,14,14
AA-616-DFW-DTW,12:35 p.m.,15,15
AA-4344-ORD-DTW,2:00 p.m.,16,16
AA-2525-DFW-MIA,11:10 a.m.,17,17
AA-404-MIA-MCO,7:45 a.m.,18,18
AA-271-MIA-LAX,2:25 p.m.,19,19
AA-2050-ORD-MIA,2:45 p.m.,20,20
AA-4330-CVG-ORD,4:00 p.m.,21,21
AA-1434-DFW-MCO,10:35 a.m.,22,22
AA-4307-ORD-DTW,9:10 p.m.,23,23
AA-3-JFK-LAX,3:15 p.m.,24,24
AA-3842-MSP-ORD,7:30 a.m.,25,25
AA-643-MIA-ORD,9:35 a.m.,26,26
AA-1007-MIA-PHX,8:05 p.m.,27,27
AA-1221-MCO-ORD,9:45 p.m.,28,28
AA-400-DFW-JFK,2:59 p.m.,29,29
AA-4198-ORD-CLE,12:55 p.m.,30,30
AA-1522-SFO-ORD,12/02/2011 5:50 a.m.,31,31
AA-3823-LAX-DEN,12/02/2011 12:15 a.m.,32,32
AA-2312-DFW-DTW,11:50 p.m.,33,33
AA-1165-JFK-MIA,10:34 a.m.,34,34
AA-431-MIA-SFO,11:50 a.m.,35,35
AA-649-ORD-SNA,3:50 p.m.,36,36
AA-3063-SLC-LAX,9:20 p.m.,37,37
AA-3804-PHL-ORD,4:05 p.m.,38,38
AA-1917-JFK-MCO,5:55 p.m.,39,39
AA-2268-PHX-ORD,11:35 a.m.,40,40
AA-4277-CVG-JFK,2:15 p.m.,41,41
AA-789-ORD-DEN,2:35 p.m.,42,42
AA-415-BOS-ORD,10:40 a.m.,43,43
AA-85-JFK-SFO,6:30 p.m.,44,44
AA-1544-SAN-ORD,5:25 p.m.,45,45
AA-3786-IAH-ORD,6:40 p.m.,46,46
AA-222-LAX-BOS,3:30 p.m.,47,47
AA-3809-PHX-LAX,6:40 a.m.,48,48
AA-59-JFK-SFO,10:45 a.m.,49,49
AA-3859-IAH-ORD,,50,50
CO-1586-IAH-MCO,10:15 p.m.,51,51
AA-518-MIA-JFK,,52,52
UA-397-JFK-SFO,,53,53
UA-3925-IAD-ORF,,54,54
AA-1733-ORD-PHX,,55,55
UA-2830-MCO-CLT,,56,56
CO-58-DEN-IAH,2:50 p.m.,57,57
AA-1544-SAN-ORD,,58,58
UA-5487-SFO-MRY,,59,59
AA-204-LAX-MCO,,60,60
UA-414-LAX-SFO,,61,61
CO-1614-LAX-IAH,5:35 a.m.,62,62
UA-2726-FLL-PHL,,63,63
CO-52-IAH-LAX,9:21 a.m.,64,64
CO-1090-BOS-IAH,1:16 p.m.,65,65
AA-616-DFW-DTW,,66,66
UA-3515-IAD-MSP,,67,67
AA-3468-CVG-MIA,,68,68
AA-484-DFW-MIA,,69,69
AA-1886-BOS-MIA,,70,70
CO-62-IAH-EWR,7:03 p.m.,71,71
CO-1561-PHX-IAH,11:35 a.m.,72,72
UA-2314-ATL-PHL,,73,73
AA-446-DFW-PHL,,74,74
CO-1023-IAH-DEN,1:17 p.m.,75,75
AA-466-IAH-MIA,,76,76
UA-3050-PHX-CLT,,77,77
CO-89-IAH-EWR,10:20 a.m.,78,78
CO-1088-CLE-IAH,10:54 a.m.,79,79
AA-1664-MIA-ATL,,80,80
AA-1279-DFW-PHX,,81,81
UA-854-SFO-IAH,,82,82
UA-382-IAD-LAX,,83,83
AA-4344-ORD-DTW,,84,84
UA-257-JFK-SFO,,85,85
UA-2945-PHL-CLT,,86,86
CO-63-EWR-IAH,8:22 p.m.,87,87
CO-47-IAH-LAX,8:56 p.m.,88,88
AA-2050-ORD-MIA,,89,89
UA-248-PHX-ORD,,90,90
AA-4330-CVG-ORD,4:00 p.m.,91,21
AA-1434-DFW-MCO,,92,91
AA-1640-MIA-MCO,,93,92
AA-4307-ORD-DTW,,94,93
AA-3-JFK-LAX,,95,94
CO-1694-LAX-IAH,12/2/11 12:21 a.m.,96,95
UA-843-LAX-ORD,,97,96
CO-1193-EWR-MCO,12:18 p.m.,98,97
AA-3842-MSP-ORD,,99,98
AA-643-MIA-ORD,,100,99
AA-1007-MIA-PHX,,101,100
AA-2525-DFW-MIA,,102,101
UA-2906-PHL-MCO,,103,102
UA-938-DEN-ORD,,104,103
AA-1221-MCO-ORD,,105,104
CO-16-LAX-EWR,6:44 p.m.,106,105
UA-2515-DFW-CLT,,107,106
AA-400-DFW-JFK,,108,107
UA-664-ORD-PHL,,109,108
AA-3756-ORD-SLC,,110,109
UA-37-EWR-MCO,4:17 p.m.,111,110
AA-1522-SFO-ORD,,112,111
UA-233-LAX-JFK,,113,112
AA-3823-LAX-DEN,,114,113
AA-2312-DFW-DTW,,115,114
AA-1165-JFK-MIA,,116,115
AA-431-MIA-SFO,,117,116
UA-3373-IAD-PHL,,118,117
AA-649-ORD-SNA,,119,118
CO-1250-MIA-IAH,4:48 p.m.,120,119
UA-6273-YYC-SFO,,121,120
UA-828-SFO-ORD,12/2/11 5:11 a.m.,122,121
CO-4888-IAH-DAL,,123,122
UA-858-PVG-SFO,,124,123
UA-2704-DTW-PHX,,125,124
AA-3063-SLC-LAX,,126,125
UA-2708-EWR-CLT,,127,126
UA-62-IAH-EWR,7:03 p.m.,128,127
UA-1500-IAH-GUA,11:45 a.m.,129,128
AA-3804-PHL-ORD,,130,129
AA-1917-JFK-MCO,,131,130
AA-2268-PHX-ORD,,132,131
AA-4277-CVG-JFK,,133,132
AA-2957-DFW-CVG,,134,133
UA-37-EDI-EWR,11:53 a.m.,135,134
AA-789-ORD-DEN,,136,135
AA-415-BOS-ORD,,137,136
AA-85-JFK-SFO,,138,137
AA-3979-CVG-ORD,,139,138
AA-3786-IAH-ORD,,140,139
AA-271-MIA-LAX,,141,140
CO-50-CLE-EWR,4:49 p.m.,142,141
UA-3099-PHX-PHL,,143,142
AA-4198-ORD-CLE,,144,143
AA-404-MIA-MCO,,145,144
CO-45-EWR-MIA,7:05 p.m.,146,145
AA-3809-PHX-LAX,,147,146
AA-59-JFK-SFO,,148,147
AA-222-LAX-BOS,,149,148
AA-3859-IAH-ORD,9:40 a.m.,150,0
CO-1586-IAH-MCO,,151,149
AA-518-MIA-JFK,9:25 a.m.,152,3
UA-397-JFK-SFO,11:55 a.m.,153,150
UA-3925-IAD-ORF,,154,54
AA-1733-ORD-PHX,10:30 p.m.,155,1
AA-3-JFK-LAX,3:15 p.m.,156,24
UA-2830-MCO-CLT,5:05 p.m.,157,151
CO-58-DEN-IAH,,158,152
UA-5487-SFO-MRY,,159,59
AA-204-LAX-MCO,6:55 a.m. Dec 02,160,153
UA-414-LAX-SFO,,161,61
CO-1614-LAX-IAH,,162,154
UA-2726-FLL-PHL,6:46 p.m.,163,155
CO-52-IAH-LAX,,164,156
CO-1090-BOS-IAH,,165,157
AA-616-DFW-DTW,12:35 p.m.,166,15
UA-3515-IAD-MSP,,167,67
AA-3468-CVG-MIA,9:55 a.m.,168,6
AA-484-DFW-MIA,7:55 p.m.,169,7
AA-1886-BOS-MIA,,170,70
CO-62-IAH-EWR,,171,158
CO-1561-PHX-IAH,,172,159
UA-2314-ATL-PHL,,173,73
AA-446-DFW-PHL,3:50 p.m.,174,8
CO-1023-IAH-DEN,,175,160
AA-466-IAH-MIA,9:20 a.m.,176,9
UA-3050-PHX-CLT,4:57 p.m.,177,161
CO-89-IAH-EWR,,178,162
CO-1088-CLE-IAH,,179,163
AA-1664-MIA-ATL,12:10 p.m.,180,12
AA-1279-DFW-PHX,2:35 p.m.,181,14
UA-854-SFO-IAH,,182,82
UA-382-IAD-LAX,,183,83
AA-4344-ORD-DTW,,184,84
UA-257-JFK-SFO,6:15 p.m.,185,164
UA-2945-PHL-CLT,1:45 p.m.,186,165
CO-63-EWR-IAH,,187,166
CO-47-IAH-LAX,,188,167
AA-2050-ORD-MIA,2:45 p.m.,189,20
UA-248-PHX-ORD,4:52 p.m.,190,168
AA-4330-CVG-ORD,,191,169
AA-1434-DFW-MCO,10:35 a.m.,192,22
AA-1640-MIA-MCO,7:25 p.m.,193,2
AA-4307-ORD-DTW,9:10 p.m.,194,23
CO-1694-LAX-IAH,12:21 a.m. Dec 02,195,170
UA-843-LAX-ORD,,196,96
CO-1193-EWR-MCO,12:18 p.m.,197,97
AA-3842-MSP-ORD,7:30 a.m.,198,25
AA-643-MIA-ORD,9:35 a.m.,199,26
AA-1007-MIA-PHX,,200,100
UA-2906-PHL-MCO,6:23 p.m.,201,171
UA-938-DEN-ORD,,202,103
AA-1221-MCO-ORD,9:45 p.m.,203,28
CO-16-LAX-EWR,,204,172
UA-2515-DFW-CLT,,205,106
AA-400-DFW-JFK,2:59 p.m.,206,29
UA-664-ORD-PHL,4:31 p.m.,207,173
AA-3756-ORD-SLC,2:45 p.m.,208,4
UA-37-EWR-MCO,,209,174
AA-1522-SFO-ORD,5:50 a.m.Dec 02,210,175
UA-233-LAX-JFK,12:29 a.m. Dec 02,211,176
AA-3823-LAX-DEN,12:15 a.m. Dec 02,212,177
AA-2312-DFW-DTW,11:50 p.m.,213,33
AA-1165-JFK-MIA,10:34 a.m.,214,34
AA-431-MIA-SFO,11:50 a.m.,215,35
UA-3373-IAD-PHL,,216,117
AA-649-ORD-SNA,3:50 p.m.,217,36
CO-1250-MIA-IAH,,218,178
UA-6273-YYC-SFO,,219,120
UA-828-SFO-ORD,5:11 a.m.Dec 02,220,179
CO-4888-IAH-DAL,6:09 p.m.,221,180
UA-858-PVG-SFO,,222,123
UA-2704-DTW-PHX,,223,124
AA-3063-SLC-LAX,,224,125
UA-2708-EWR-CLT,,225,126
UA-62-IAH-EWR,,226,181
UA-1500-IAH-GUA,,227,182
AA-3804-PHL-ORD,4:05 p.m.,228,38
AA-1917-JFK-MCO,5:55 p.m.,229,39
AA-2268-PHX-ORD,11:35 a.m.,230,40
AA-4277-CVG-JFK,2:15 p.m.,231,41
AA-2957-DFW-CVG,11:05 a.m.,232,11
UA-37-EDI-EWR,,233,183
AA-789-ORD-DEN,2:35 p.m.,234,42
AA-415-BOS-ORD,,235,136
AA-85-JFK-SFO,6:30 p.m.,236,44
AA-3979-CVG-ORD,8:00 a.m.,237,13
AA-1544-SAN-ORD,,238,58
AA-3786-IAH-ORD,6:40 p.m.,239,46
AA-271-MIA-LAX,2:25 p.m.,240,19
AA-2525-DFW-MIA,11:10 a.m.,241,17
CO-50-CLE-EWR,,242,184
UA-3099-PHX-PHL,6:17 p.m.,243,185
AA-4198-ORD-CLE,12:55 p.m.,244,30
AA-404-MIA-MCO,7:45 a.m.,245,18
CO-45-EWR-MIA,7:05 p.m.,246,145
AA-3809-PHX-LAX,6:40 a.m.,247,48
AA-59-JFK-SFO,10:45 a.m.,248,49
AA-222-LAX-BOS,3:30 p.m.,249,47
AA-3859-IAH-ORD,9:40 a.m.,250,0
AA-518-MIA-JFK,9:25 a.m.,251,3
UA-397-JFK-SFO,11:55 a.m.,252,150
UA-3925-IAD-ORF,9:54 a.m.,253,186
AA-1733-ORD-PHX,10:30 p.m.,254,1
AA-1640-MIA-MCO,7:25 p.m.,255,2
UA-2830-MCO-CLT,5:05 p.m.,256,151
CO-58-DEN-IAH,2:50 p.m.,257,57
AA-1544-SAN-ORD,5:25 p.m.,258,45
UA-5487-SFO-MRY,11:19 a.m.,259,187
AA-204-LAX-MCO,6:55 a.m.,260,188
UA-414-LAX-SFO,7:23 a.m.,261,189
