sched_dep_time,act_arr_time,original_index,unique_index
7:10 a.m.,9:32 a.m.,0,0
7:45 p.m.,,1,1
6:30 p.m.,,2,2
6:40 a.m.,9:28 a.m.,3,3
12:15 p.m.,2:50 p.m.,4,4
11:25 p.m.,,5,5
7:00 a.m.,9:45 a.m.,6,6
4:15 p.m.,7:39 p.m.,7,7
11:50 a.m.,4:09 p.m.,8,8
6:00 a.m.,9:05 a.m.,9,9
10:45 a.m.,1:40 p.m.,10,10
7:55 a.m.,11:01 a.m.,11,11
10:15 a.m.,11:56 a.m.,12,12
7:30 a.m.,8:06 a.m.,13,13
1:00 p.m.,3:30 p.m.,14,14
9:05 a.m.,1:27 p.m.,15,15
11:45 a.m.,2:10 p.m.,16,16
7:25 a.m.,11:06 a.m.,17,17
6:45 a.m.,7:40 a.m.,18,18
11:35 a.m.,2:27 p.m.,19,19
10:40 a.m.,2:46 p.m.,20,20
3:35 p.m.,3:33 p.m.,21,21
7:15 a.m.,10:36 a.m.,22,22
6:45 p.m.,8:53 p.m.,23,23
12:00 p.m.,3:16 p.m.,24,24
6:00 a.m.,7:51 a.m.,25,25
7:10 a.m.,9:31 a.m.,26,26
4:55 p.m.,7:55 p.m.,27,27
8:00 p.m.,9:53 p.m.,28,28
10:40 a.m.,3:04 p.m.,29,29
10:40 a.m.,12:50 p.m.,30,30
11:55 p.m.,,31,31
9:00 p.m.,,32,32
8:25 p.m.,,33,33
6:59 a.m.,10:04 a.m.,34,34
8:35 a.m.,11:44 a.m.,35,35
1:30 p.m.,,36,36
8:20 p.m.,,37,37
2:35 p.m.,3:43 p.m.,38,38
2:55 p.m.,5:43 p.m.,39,39
7:15 a.m.,11:06 a.m.,40,40
12:10 p.m.,1:43 p.m.,41,41
1:05 p.m.,3:13 p.m.,42,42
8:35 a.m.,10:16 a.m.,43,43
3:05 p.m.,6:43 p.m.,44,44
11:25 a.m.,4:56 p.m.,45,45
4:00 p.m.,6:15 p.m.,46,46
7:10 a.m.,3:14 p.m.,47,47
6:00 a.m.,6:19 a.m.,48,48
7:10 a.m.,11:12 a.m.,49,49
,9:22 a.m.,50,50
7:00 p.m.,,51,51
,9:14 a.m.,52,52
,11:30 a.m.,53,53
,9:29 a.m.,54,54
,10:31 p.m.,55,55
,5:14 p.m.,56,56
