ProviderNumber,original_index,unique_index
10018,0,0
10018,1,0
10018,2,0
10018,3,0
10018,4,0
10018,5,0
10018,6,0
10018,7,0
10019,8,1
10019,9,1
10019,10,1
10019,11,1
10019,12,1
1xx19,13,2
10019,14,1
10019,15,1
10019,16,1
10019,17,1
10019,18,1
10001,19,3
10001,20,3
10001,21,3
10001,22,3
10001,23,3
10001,24,3
10001,25,3
10001,26,3
10001,27,3
10001,28,3
10001,29,3
10001,30,3
10001,31,3
10001,32,3
10001,33,3
10001,34,3
10001,35,3
10001,36,3
10001,37,3
10001,38,3
10001,39,3
10001,40,3
10001,41,3
10001,42,3
10001,43,3
10005,44,4
x0005,45,5
10005,46,4
10005,47,4
10005,48,4
10005,49,4
10005,50,4
10005,51,4
10005,52,4
10005,53,4
10005,54,4
10005,55,4
10005,56,4
10005,57,4
10005,58,4
10005,59,4
10005,60,4
10005,61,4
10005,62,4
10005,63,4
10005,64,4
10005,65,4
10005,66,4
10005,67,4
10005,68,4
10006,69,6
10006,70,6
10006,71,6
10006,72,6
10006,73,6
10006,74,6
10006,75,6
10006,76,6
10006,77,6
10006,78,6
10006,79,6
10006,80,6
1000x,81,7
10006,82,6
10006,83,6
10006,84,6
10006,85,6
10006,86,6
10006,87,6
10006,88,6
10006,89,6
10006,90,6
10006,91,6
10006,92,6
10006,93,6
10007,94,8
10007,95,8
10007,96,8
10007,97,8
10007,98,8
10007,99,8
10007,100,8
10007,101,8
10007,102,8
10007,103,8
10007,104,8
10007,105,8
10007,106,8
10007,107,8
10007,108,8
10007,109,8
10007,110,8
10007,111,8
10007,112,8
10007,113,8
10007,114,8
10007,115,8
10007,116,8
10007,117,8
10007,118,8
10008,119,9
10008,120,9
10008,121,9
10008,122,9
10008,123,9
10008,124,9
10008,125,9
10008,126,9
10008,127,9
10008,128,9
10008,129,9
10008,130,9
10008,131,9
10008,132,9
10008,133,9
10008,134,9
10008,135,9
10008,136,9
10008,137,9
10008,138,9
10008,139,9
10008,140,9
10008,141,9
10008,142,9
10008,143,9
10009,144,10
10009,145,10
10009,146,10
10009,147,10
10009,148,10
10009,149,10
10009,150,10
10009,151,10
10009,152,10
10009,153,10
10009,154,10
10009,155,10
10009,156,10
10009,157,10
10009,158,10
10009,159,10
10009,160,10
10009,161,10
10009,162,10
10009,163,10
10009,164,10
10009,165,10
10009,166,10
10009,167,10
10009,168,10
10010,169,11
10010,170,11
10010,171,11
10010,172,11
10010,173,11
10010,174,11
10010,175,11
10010,176,11
10010,177,11
10010,178,11
10010,179,11
10010,180,11
10010,181,11
10010,182,11
10010,183,11
10010,184,11
10010,185,11
10010,186,11
10010,187,11
10010,188,11
10010,189,11
10010,190,11
10010,191,11
10010,192,11
10010,193,11
10011,194,12
10011,195,12
10011,196,12
10011,197,12
10011,198,12
10011,199,12
10011,200,12
10011,201,12
10011,202,12
10011,203,12
10011,204,12
10011,205,12
10011,206,12
10011,207,12
10011,208,12
10011,209,12
10011,210,12
10011,211,12
10011,212,12
x00xx,213,13
10011,214,12
10011,215,12
10011,216,12
10011,217,12
10011,218,12
10012,219,14
10012,220,14
10012,221,14
10012,222,14
10012,223,14
10012,224,14
10012,225,14
10012,226,14
10012,227,14
10012,228,14
10012,229,14
10012,230,14
10012,231,14
10012,232,14
10012,233,14
10012,234,14
10012,235,14
10012,236,14
10012,237,14
10012,238,14
10012,239,14
10012,240,14
10012,241,14
10012,242,14
10012,243,14
x00x5,244,15
10015,245,16
10015,246,16
10015,247,16
10015,248,16
10015,249,16
10015,250,16
10015,251,16
10015,252,16
1xx15,253,17
10015,254,16
10015,255,16
10015,256,16
10015,257,16
10015,258,16
10015,259,16
10015,260,16
10015,261,16
10015,262,16
10015,263,16
10015,264,16
10015,265,16
10015,266,16
10015,267,16
10015,268,16
10016,269,18
10016,270,18
10016,271,18
10016,272,18
1xx16,273,19
10016,274,18
10016,275,18
10016,276,18
10016,277,18
10016,278,18
10016,279,18
10016,280,18
10016,281,18
10016,282,18
10016,283,18
10016,284,18
10016,285,18
10016,286,18
10016,287,18
10016,288,18
10016,289,18
10016,290,18
10016,291,18
10016,292,18
10016,293,18
10018,294,0
10018,295,0
10018,296,0
10018,297,0
10018,298,0
10018,299,0
10018,300,0
10018,301,0
10018,302,0
10018,303,0
10018,304,0
10018,305,0
10018,306,0
10018,307,0
10018,308,0
10018,309,0
10018,310,0
10038,311,20
10038,312,20
10038,313,20
100x8,314,21
10038,315,20
10038,316,20
10038,317,20
10038,318,20
10038,319,20
10038,320,20
10038,321,20
10038,322,20
10038,323,20
10038,324,20
10038,325,20
10038,326,20
10038,327,20
10038,328,20
10038,329,20
10038,330,20
10055,331,22
10055,332,22
10055,333,22
10055,334,22
10055,335,22
10055,336,22
10055,337,22
10055,338,22
10055,339,22
10055,340,22
10055,341,22
10055,342,22
10055,343,22
10055,344,22
10055,345,22
10055,346,22
10055,347,22
10056,348,23
10056,349,23
10056,350,23
10056,351,23
10056,352,23
10085,353,24
10086,354,25
10086,355,25
10086,356,25
10086,357,25
10086,358,25
10086,359,25
100x6,360,26
10086,361,25
10086,362,25
10086,363,25
10086,364,25
10086,365,25
10086,366,25
10086,367,25
10086,368,25
10086,369,25
10086,370,25
10086,371,25
10086,372,25
10086,373,25
10086,374,25
10086,375,25
10086,376,25
10086,377,25
10086,378,25
10087,379,27
10087,380,27
10087,381,27
10087,382,27
10087,383,27
10087,384,27
10087,385,27
10087,386,27
10087,387,27
10087,388,27
10087,389,27
10087,390,27
10087,391,27
10108,392,28
10108,393,28
10108,394,28
10108,395,28
10108,396,28
10108,397,28
10108,398,28
10108,399,28
10108,400,28
10108,401,28
10108,402,28
10108,403,28
10108,404,28
10108,405,28
10108,406,28
10108,407,28
x0x08,408,29
10108,409,28
10108,410,28
10108,411,28
10158,412,30
10158,413,30
10164,414,31
10164,415,31
10164,416,31
10164,417,31
10164,418,31
10164,419,31
10164,420,31
10164,421,31
10164,422,31
10164,423,31
10164,424,31
10164,425,31
10164,426,31
10164,427,31
10164,428,31
10164,429,31
10164,430,31
10164,431,31
20017,432,32
20017,433,32
20017,434,32
20017,435,32
20017,436,32
20017,437,32
20017,438,32
20017,439,32
20017,440,32
20017,441,32
20017,442,32
20017,443,32
20017,444,32
20017,445,32
20017,446,32
20017,447,32
20017,448,32
20017,449,32
20018,450,33
20018,451,33
10019,452,1
10019,453,1
10019,454,1
10019,455,1
10019,456,1
10019,457,1
10019,458,1
10019,459,1
10019,460,1
10019,461,1
10019,462,1
10019,463,1
10019,464,1
10019,465,1
10021,466,34
10021,467,34
10021,468,34
10021,469,34
10021,470,34
10021,471,34
10021,472,34
10021,473,34
10021,474,34
10021,475,34
10021,476,34
10021,477,34
10021,478,34
10021,479,34
10021,480,34
10021,481,34
10021,482,34
10021,483,34
10021,484,34
10021,485,34
10021,486,34
10021,487,34
10021,488,34
10021,489,34
10021,490,34
10022,491,35
10022,492,35
10022,493,35
10022,494,35
10022,495,35
10022,496,35
10022,497,35
10022,498,35
10022,499,35
10022,500,35
10022,501,35
10022,502,35
10022,503,35
10022,504,35
10022,505,35
10022,506,35
10022,507,35
10022,508,35
10022,509,35
10022,510,35
10022,511,35
10022,512,35
10022,513,35
10022,514,35
10022,515,35
10023,516,36
10023,517,36
10023,518,36
10023,519,36
10023,520,36
10023,521,36
10023,522,36
10023,523,36
10023,524,36
10023,525,36
10023,526,36
10023,527,36
10023,528,36
10023,529,36
10023,530,36
10023,531,36
10023,532,36
10023,533,36
10023,534,36
10023,535,36
10023,536,36
10023,537,36
10023,538,36
10023,539,36
10023,540,36
10024,541,37
10024,542,37
10024,543,37
10024,544,37
10024,545,37
10024,546,37
10024,547,37
10024,548,37
10024,549,37
10024,550,37
10024,551,37
10024,552,37
10024,553,37
10024,554,37
10024,555,37
10024,556,37
10024,557,37
10024,558,37
1xx24,559,38
10024,560,37
10024,561,37
10024,562,37
10024,563,37
10024,564,37
10024,565,37
10025,566,39
10025,567,39
10025,568,39
10025,569,39
10025,570,39
10025,571,39
10025,572,39
10025,573,39
10025,574,39
10025,575,39
10025,576,39
10025,577,39
10025,578,39
10025,579,39
10025,580,39
10025,581,39
10025,582,39
10025,583,39
10025,584,39
10025,585,39
10025,586,39
10025,587,39
10025,588,39
10025,589,39
10025,590,39
10027,591,40
10027,592,40
10027,593,40
10027,594,40
10027,595,40
10027,596,40
10027,597,40
10027,598,40
10027,599,40
10027,600,40
10027,601,40
10027,602,40
10027,603,40
10027,604,40
10027,605,40
10027,606,40
10027,607,40
x0027,608,41
10027,609,40
10027,610,40
10027,611,40
10027,612,40
10027,613,40
10027,614,40
10027,615,40
10029,616,42
10029,617,42
10029,618,42
10029,619,42
10029,620,42
10029,621,42
10029,622,42
10029,623,42
10029,624,42
10029,625,42
10029,626,42
x0029,627,43
10029,628,42
10029,629,42
10029,630,42
10029,631,42
10029,632,42
10029,633,42
10029,634,42
10029,635,42
10029,636,42
10029,637,42
10029,638,42
1xx29,639,44
10029,640,42
10032,641,45
10032,642,45
10032,643,45
10032,644,45
1xx32,645,46
10032,646,45
10032,647,45
10032,648,45
10032,649,45
10032,650,45
10032,651,45
10032,652,45
10032,653,45
10032,654,45
1xx32,655,46
10032,656,45
10032,657,45
10032,658,45
10032,659,45
10032,660,45
10032,661,45
10032,662,45
10032,663,45
10032,664,45
10032,665,45
10033,666,47
10033,667,47
10033,668,47
10033,669,47
10033,670,47
10033,671,47
10033,672,47
10033,673,47
10033,674,47
10033,675,47
10033,676,47
10033,677,47
10033,678,47
10033,679,47
10033,680,47
10033,681,47
10033,682,47
10033,683,47
10033,684,47
10033,685,47
10033,686,47
10033,687,47
10033,688,47
10033,689,47
10033,690,47
10034,691,48
10034,692,48
10034,693,48
10034,694,48
10034,695,48
10034,696,48
10034,697,48
10034,698,48
10034,699,48
10034,700,48
10034,701,48
10034,702,48
10034,703,48
100x4,704,49
10034,705,48
10034,706,48
10034,707,48
10034,708,48
10034,709,48
10034,710,48
10034,711,48
10034,712,48
10034,713,48
10034,714,48
10034,715,48
10035,716,50
10035,717,50
10035,718,50
10035,719,50
10035,720,50
100x5,721,51
10035,722,50
10035,723,50
1xx35,724,52
10035,725,50
10035,726,50
10035,727,50
10035,728,50
10035,729,50
10035,730,50
10035,731,50
10035,732,50
10035,733,50
10035,734,50
10035,735,50
10035,736,50
10035,737,50
10035,738,50
10035,739,50
10035,740,50
10036,741,53
10036,742,53
10036,743,53
10036,744,53
10036,745,53
10036,746,53
10036,747,53
10036,748,53
10036,749,53
10036,750,53
10036,751,53
10036,752,53
10036,753,53
10036,754,53
1xx36,755,54
10036,756,53
10036,757,53
10036,758,53
10036,759,53
10036,760,53
10036,761,53
10036,762,53
10036,763,53
10036,764,53
10036,765,53
10038,766,20
10038,767,20
10038,768,20
10038,769,20
10038,770,20
10038,771,20
10038,772,20
10038,773,20
10039,774,55
10039,775,55
10039,776,55
10039,777,55
10039,778,55
10039,779,55
1003x,780,56
10039,781,55
10039,782,55
10039,783,55
10039,784,55
10039,785,55
10039,786,55
10039,787,55
10039,788,55
1xx39,789,57
10039,790,55
10039,791,55
10039,792,55
100x9,793,58
10039,794,55
10039,795,55
10039,796,55
10039,797,55
10039,798,55
10039,799,55
10039,800,55
10039,801,55
10040,802,59
10040,803,59
10040,804,59
10040,805,59
10040,806,59
10040,807,59
10040,808,59
10040,809,59
10040,810,59
10040,811,59
10040,812,59
10040,813,59
10040,814,59
10040,815,59
10040,816,59
10040,817,59
10040,818,59
10040,819,59
10040,820,59
10040,821,59
10040,822,59
10040,823,59
10040,824,59
10040,825,59
10040,826,59
10043,827,60
10043,828,60
10043,829,60
10043,830,60
10043,831,60
10043,832,60
10043,833,60
10043,834,60
10043,835,60
10043,836,60
10043,837,60
10043,838,60
10043,839,60
10043,840,60
10043,841,60
10043,842,60
10043,843,60
10043,844,60
10043,845,60
10043,846,60
10043,847,60
10043,848,60
10043,849,60
10043,850,60
10043,851,60
10044,852,61
10044,853,61
10044,854,61
10044,855,61
10044,856,61
10044,857,61
10044,858,61
1xx44,859,62
10044,860,61
10044,861,61
10044,862,61
10044,863,61
10044,864,61
10044,865,61
10044,866,61
10044,867,61
10044,868,61
10044,869,61
10044,870,61
10044,871,61
10044,872,61
10044,873,61
10044,874,61
10044,875,61
10044,876,61
10045,877,63
1xx45,878,64
10045,879,63
10045,880,63
10045,881,63
10045,882,63
10045,883,63
10045,884,63
10045,885,63
10045,886,63
10045,887,63
x0045,888,65
10045,889,63
10045,890,63
10045,891,63
10045,892,63
10045,893,63
10045,894,63
10045,895,63
10045,896,63
10045,897,63
10045,898,63
10045,899,63
10045,900,63
10045,901,63
10046,902,66
10046,903,66
10046,904,66
10046,905,66
10046,906,66
10046,907,66
10046,908,66
10046,909,66
10046,910,66
10046,911,66
10046,912,66
10046,913,66
10046,914,66
10046,915,66
10046,916,66
10046,917,66
10046,918,66
10046,919,66
10046,920,66
10046,921,66
10046,922,66
10046,923,66
10046,924,66
10046,925,66
10046,926,66
10046,927,66
10046,928,66
10046,929,66
10047,930,67
10047,931,67
10047,932,67
1xx47,933,68
10047,934,67
10047,935,67
10047,936,67
10047,937,67
10047,938,67
10047,939,67
10047,940,67
10047,941,67
10047,942,67
10047,943,67
10047,944,67
10047,945,67
10047,946,67
10047,947,67
10047,948,67
10047,949,67
10047,950,67
10047,951,67
10047,952,67
10047,953,67
10047,954,67
1004x,955,69
10049,956,70
10049,957,70
10049,958,70
10049,959,70
10049,960,70
10049,961,70
10049,962,70
10049,963,70
10049,964,70
10049,965,70
10049,966,70
10049,967,70
10049,968,70
10049,969,70
10049,970,70
10049,971,70
10049,972,70
10049,973,70
10049,974,70
10049,975,70
10049,976,70
10049,977,70
10049,978,70
10049,979,70
10050,980,71
10050,981,71
10050,982,71
10050,983,71
10050,984,71
10050,985,71
10050,986,71
10050,987,71
10050,988,71
10050,989,71
10050,990,71
10050,991,71
10050,992,71
10050,993,71
10050,994,71
10050,995,71
10050,996,71
10050,997,71
10050,998,71
10050,999,71
