State,original_index,unique_index
al,0,0
al,1,0
al,2,0
al,3,0
al,4,0
al,5,0
al,6,0
al,7,0
al,8,0
al,9,0
al,10,0
al,11,0
al,12,0
al,13,0
al,14,0
al,15,0
al,16,0
al,17,0
al,18,0
al,19,0
al,20,0
al,21,0
al,22,0
al,23,0
al,24,0
al,25,0
al,26,0
al,27,0
al,28,0
al,29,0
al,30,0
al,31,0
al,32,0
al,33,0
al,34,0
al,35,0
al,36,0
al,37,0
al,38,0
al,39,0
al,40,0
al,41,0
xl,42,1
al,43,0
al,44,0
al,45,0
xl,46,1
al,47,0
al,48,0
al,49,0
xl,50,1
al,51,0
al,52,0
al,53,0
al,54,0
al,55,0
al,56,0
al,57,0
al,58,0
al,59,0
al,60,0
al,61,0
al,62,0
al,63,0
al,64,0
al,65,0
al,66,0
al,67,0
al,68,0
al,69,0
al,70,0
al,71,0
al,72,0
al,73,0
al,74,0
al,75,0
al,76,0
al,77,0
al,78,0
al,79,0
al,80,0
al,81,0
al,82,0
xl,83,1
al,84,0
al,85,0
al,86,0
al,87,0
al,88,0
al,89,0
al,90,0
al,91,0
al,92,0
al,93,0
al,94,0
al,95,0
al,96,0
al,97,0
xl,98,1
al,99,0
al,100,0
al,101,0
al,102,0
al,103,0
al,104,0
al,105,0
al,106,0
al,107,0
al,108,0
al,109,0
al,110,0
al,111,0
al,112,0
al,113,0
al,114,0
al,115,0
al,116,0
al,117,0
al,118,0
ax,119,2
al,120,0
al,121,0
al,122,0
al,123,0
al,124,0
al,125,0
al,126,0
al,127,0
al,128,0
al,129,0
al,130,0
al,131,0
al,132,0
al,133,0
al,134,0
al,135,0
al,136,0
al,137,0
al,138,0
al,139,0
ax,140,2
al,141,0
al,142,0
al,143,0
al,144,0
al,145,0
al,146,0
al,147,0
al,148,0
al,149,0
al,150,0
al,151,0
al,152,0
al,153,0
al,154,0
al,155,0
al,156,0
al,157,0
al,158,0
al,159,0
al,160,0
al,161,0
al,162,0
al,163,0
al,164,0
ax,165,2
al,166,0
al,167,0
al,168,0
al,169,0
al,170,0
al,171,0
al,172,0
al,173,0
al,174,0
al,175,0
al,176,0
al,177,0
al,178,0
al,179,0
al,180,0
al,181,0
xl,182,1
al,183,0
al,184,0
al,185,0
al,186,0
al,187,0
al,188,0
al,189,0
al,190,0
al,191,0
al,192,0
al,193,0
al,194,0
al,195,0
al,196,0
al,197,0
al,198,0
al,199,0
al,200,0
al,201,0
al,202,0
al,203,0
al,204,0
al,205,0
al,206,0
al,207,0
al,208,0
al,209,0
al,210,0
al,211,0
al,212,0
al,213,0
al,214,0
al,215,0
al,216,0
al,217,0
al,218,0
al,219,0
al,220,0
al,221,0
al,222,0
al,223,0
al,224,0
al,225,0
al,226,0
al,227,0
ax,228,2
al,229,0
al,230,0
al,231,0
al,232,0
al,233,0
al,234,0
al,235,0
al,236,0
al,237,0
al,238,0
al,239,0
al,240,0
al,241,0
al,242,0
al,243,0
al,244,0
al,245,0
al,246,0
al,247,0
al,248,0
al,249,0
al,250,0
al,251,0
al,252,0
al,253,0
al,254,0
al,255,0
al,256,0
al,257,0
al,258,0
al,259,0
al,260,0
al,261,0
al,262,0
al,263,0
al,264,0
al,265,0
al,266,0
al,267,0
al,268,0
al,269,0
al,270,0
al,271,0
al,272,0
al,273,0
al,274,0
al,275,0
al,276,0
al,277,0
xl,278,1
al,279,0
al,280,0
al,281,0
al,282,0
al,283,0
al,284,0
al,285,0
al,286,0
al,287,0
al,288,0
al,289,0
al,290,0
al,291,0
al,292,0
al,293,0
al,294,0
al,295,0
al,296,0
al,297,0
al,298,0
al,299,0
al,300,0
al,301,0
al,302,0
al,303,0
al,304,0
al,305,0
al,306,0
al,307,0
al,308,0
al,309,0
al,310,0
al,311,0
al,312,0
al,313,0
al,314,0
al,315,0
al,316,0
al,317,0
al,318,0
al,319,0
al,320,0
al,321,0
al,322,0
al,323,0
al,324,0
al,325,0
al,326,0
al,327,0
al,328,0
al,329,0
al,330,0
al,331,0
al,332,0
al,333,0
al,334,0
al,335,0
al,336,0
al,337,0
al,338,0
al,339,0
al,340,0
al,341,0
al,342,0
al,343,0
al,344,0
al,345,0
al,346,0
al,347,0
al,348,0
al,349,0
al,350,0
al,351,0
al,352,0
al,353,0
al,354,0
al,355,0
ax,356,2
al,357,0
al,358,0
al,359,0
al,360,0
al,361,0
al,362,0
al,363,0
al,364,0
al,365,0
al,366,0
al,367,0
al,368,0
al,369,0
al,370,0
al,371,0
al,372,0
al,373,0
al,374,0
al,375,0
al,376,0
al,377,0
al,378,0
al,379,0
al,380,0
al,381,0
al,382,0
al,383,0
al,384,0
al,385,0
xl,386,1
al,387,0
al,388,0
al,389,0
al,390,0
al,391,0
al,392,0
al,393,0
al,394,0
al,395,0
al,396,0
al,397,0
al,398,0
al,399,0
al,400,0
al,401,0
ax,402,2
al,403,0
al,404,0
al,405,0
al,406,0
al,407,0
al,408,0
al,409,0
al,410,0
al,411,0
al,412,0
al,413,0
al,414,0
al,415,0
al,416,0
al,417,0
al,418,0
al,419,0
al,420,0
al,421,0
al,422,0
al,423,0
al,424,0
al,425,0
al,426,0
al,427,0
al,428,0
al,429,0
al,430,0
al,431,0
ak,432,3
ak,433,3
ak,434,3
ak,435,3
ak,436,3
ak,437,3
ak,438,3
ak,439,3
ak,440,3
ak,441,3
ak,442,3
ak,443,3
ak,444,3
ak,445,3
ak,446,3
ak,447,3
ak,448,3
ak,449,3
ak,450,3
ak,451,3
al,452,0
al,453,0
al,454,0
al,455,0
al,456,0
al,457,0
al,458,0
al,459,0
al,460,0
al,461,0
al,462,0
al,463,0
al,464,0
al,465,0
al,466,0
al,467,0
al,468,0
al,469,0
al,470,0
al,471,0
al,472,0
al,473,0
al,474,0
al,475,0
al,476,0
xl,477,1
al,478,0
al,479,0
al,480,0
al,481,0
al,482,0
xl,483,1
al,484,0
al,485,0
al,486,0
al,487,0
al,488,0
al,489,0
al,490,0
al,491,0
al,492,0
al,493,0
al,494,0
al,495,0
al,496,0
al,497,0
al,498,0
al,499,0
al,500,0
al,501,0
al,502,0
al,503,0
ax,504,2
al,505,0
al,506,0
al,507,0
al,508,0
al,509,0
al,510,0
al,511,0
al,512,0
al,513,0
al,514,0
al,515,0
al,516,0
al,517,0
al,518,0
al,519,0
al,520,0
al,521,0
al,522,0
al,523,0
al,524,0
al,525,0
al,526,0
al,527,0
al,528,0
al,529,0
al,530,0
al,531,0
al,532,0
al,533,0
al,534,0
al,535,0
al,536,0
al,537,0
al,538,0
al,539,0
al,540,0
al,541,0
al,542,0
al,543,0
al,544,0
al,545,0
al,546,0
al,547,0
al,548,0
al,549,0
al,550,0
al,551,0
al,552,0
al,553,0
al,554,0
al,555,0
al,556,0
al,557,0
al,558,0
xl,559,1
al,560,0
al,561,0
al,562,0
al,563,0
al,564,0
al,565,0
al,566,0
al,567,0
al,568,0
al,569,0
al,570,0
al,571,0
ax,572,2
al,573,0
al,574,0
al,575,0
al,576,0
al,577,0
al,578,0
al,579,0
al,580,0
al,581,0
al,582,0
al,583,0
al,584,0
al,585,0
al,586,0
al,587,0
al,588,0
al,589,0
al,590,0
al,591,0
ax,592,2
al,593,0
al,594,0
al,595,0
al,596,0
al,597,0
al,598,0
al,599,0
al,600,0
al,601,0
al,602,0
al,603,0
al,604,0
al,605,0
al,606,0
al,607,0
al,608,0
al,609,0
al,610,0
al,611,0
al,612,0
al,613,0
al,614,0
al,615,0
al,616,0
al,617,0
al,618,0
al,619,0
al,620,0
al,621,0
al,622,0
al,623,0
al,624,0
al,625,0
al,626,0
al,627,0
al,628,0
al,629,0
al,630,0
al,631,0
al,632,0
al,633,0
al,634,0
al,635,0
al,636,0
al,637,0
al,638,0
al,639,0
al,640,0
al,641,0
al,642,0
al,643,0
al,644,0
al,645,0
al,646,0
al,647,0
al,648,0
al,649,0
al,650,0
al,651,0
al,652,0
al,653,0
al,654,0
al,655,0
al,656,0
al,657,0
al,658,0
al,659,0
al,660,0
al,661,0
al,662,0
al,663,0
al,664,0
al,665,0
al,666,0
al,667,0
al,668,0
al,669,0
al,670,0
al,671,0
al,672,0
al,673,0
al,674,0
al,675,0
al,676,0
al,677,0
al,678,0
al,679,0
al,680,0
al,681,0
al,682,0
al,683,0
al,684,0
al,685,0
al,686,0
al,687,0
al,688,0
al,689,0
al,690,0
al,691,0
al,692,0
al,693,0
al,694,0
al,695,0
al,696,0
al,697,0
al,698,0
al,699,0
al,700,0
xl,701,1
al,702,0
al,703,0
al,704,0
al,705,0
al,706,0
al,707,0
al,708,0
al,709,0
al,710,0
al,711,0
al,712,0
al,713,0
al,714,0
al,715,0
al,716,0
al,717,0
al,718,0
al,719,0
al,720,0
al,721,0
al,722,0
al,723,0
al,724,0
al,725,0
al,726,0
al,727,0
al,728,0
al,729,0
al,730,0
al,731,0
al,732,0
al,733,0
al,734,0
al,735,0
al,736,0
al,737,0
al,738,0
al,739,0
al,740,0
al,741,0
al,742,0
al,743,0
al,744,0
al,745,0
al,746,0
al,747,0
al,748,0
al,749,0
al,750,0
al,751,0
al,752,0
al,753,0
al,754,0
al,755,0
al,756,0
al,757,0
al,758,0
al,759,0
al,760,0
al,761,0
al,762,0
al,763,0
xl,764,1
al,765,0
al,766,0
al,767,0
al,768,0
al,769,0
al,770,0
al,771,0
al,772,0
al,773,0
al,774,0
al,775,0
al,776,0
al,777,0
al,778,0
al,779,0
al,780,0
al,781,0
al,782,0
al,783,0
al,784,0
al,785,0
al,786,0
al,787,0
al,788,0
al,789,0
al,790,0
xl,791,1
al,792,0
al,793,0
al,794,0
al,795,0
al,796,0
al,797,0
al,798,0
al,799,0
al,800,0
al,801,0
al,802,0
al,803,0
al,804,0
al,805,0
al,806,0
al,807,0
al,808,0
al,809,0
al,810,0
al,811,0
al,812,0
al,813,0
al,814,0
al,815,0
al,816,0
al,817,0
al,818,0
al,819,0
al,820,0
al,821,0
al,822,0
al,823,0
al,824,0
al,825,0
al,826,0
al,827,0
al,828,0
al,829,0
al,830,0
al,831,0
al,832,0
al,833,0
al,834,0
al,835,0
al,836,0
al,837,0
al,838,0
al,839,0
al,840,0
al,841,0
al,842,0
al,843,0
al,844,0
al,845,0
al,846,0
al,847,0
