Condition,Score,original_index,unique_index
surgical infection prevention,empty,0,0
surgical infection prevention,empty,1,0
surgical infection prevention,empty,2,0
surgical infection prevention,empty,3,0
surgical infection prevention,empty,4,0
surgical infection prevention,empty,5,0
surgical infection prevention,empty,6,0
surgical infection prevention,empty,7,0
heart attack,97%,8,1
heart attack,92%,9,2
heart attack,75%,10,3
heart attack,100%,11,4
heart attack,86%,12,5
heart attack,empty,13,6
heart attack,empty,14,6
heart failure,80%,15,7
heart failure,99%,16,8
heart failure,92%,17,9
heart failure,100%,18,10
heart attack,98%,19,11
heart attack,99%,20,12
heart attaxk,96%,21,13
hearx axxack,100%,22,14
heart attack,99%,23,12
heart attack,empty,24,6
heart attack,72%,25,15
heart failure,78%,26,16
heart failure,99%,27,8
heart failure,91%,28,17
heart failure,100%,29,10
pneumonia,93%,30,18
pneumonia,89%,31,19
pneumonia,99%,32,20
pneumonia,92%,33,21
pneumonia,80%,34,22
pneumonia,84%,35,23
surgical infection prevention,72%,36,24
surgical infection prevention,94%,37,25
surgical infection prevention,98%,38,26
surgical infection prevention,88%,39,27
surgical infection prevention,96%,40,28
surgical infection prevention,90%,41,29
surgical infection prevention,86%,42,30
surgical infection prevention,83%,43,31
heart attack,80%,44,32
heart attack,60%,45,33
heart attack,100%,46,4
heart attack,empty,47,6
heart attack,100%,48,4
heart attack,empty,49,6
heart attack,empty,50,6
heart failure,78%,51,16
heart failure,99%,52,8
heart failure,90%,53,34
heart failure,94%,54,35
pneumonia,97%,55,36
pneumonia,97%,56,36
pneumonia,97%,57,36
pneumonia,96%,58,37
pneumonia,92%,59,21
pneumonia,81%,60,38
surgical infection prevention,36%,61,39
surgical infection prevention,96%,62,28
surgical infection prevention,93%,63,40
surgical infection prevention,95%,64,41
surgical infection prevention,empty,65,0
surgical infection prevention,100%,66,42
surgical infection prevention,78%,67,43
surgical infection prevention,74%,68,44
heart attack,97%,69,1
heart attack,96%,70,45
heart attack,93%,71,46
heart attack,100%,72,4
hearx axxack,96%,73,47
heart attack,empty,74,6
heart attack,98%,75,11
heart failure,79%,76,48
heart failure,97%,77,49
heart failure,82%,78,50
heart failure,100%,79,10
pneumonia,90%,80,51
pneumonia,95%,81,52
pneumonia,100%,82,53
pneumonia,96%,83,37
pneumonia,91%,84,54
pneumonia,88%,85,55
surgical infection prevention,96%,86,28
surgical infection prevention,99%,87,56
surgical infection prevention,99%,88,56
surgical infection prevention,94%,89,25
surgical infection prevention,89%,90,57
surgical infection prevention,100%,91,42
surgical infection prevention,95%,92,41
surgical infection prevention,92%,93,58
heart attack,60%,94,33
heart attack,50%,95,59
heart attack,empty,96,6
heart attack,empty,97,6
heart attack,100%,98,4
heart attack,empty,99,6
heart attack,empty,100,6
heart failure,98%,101,60
heart failure,87%,102,61
heart failure,64%,103,62
heart failure,100%,104,10
pneumonia,87%,105,63
pneumonia,78%,106,64
pneumonia,100%,107,53
pneumonia,95%,108,52
pneumonia,88%,109,55
pneumonia,90%,110,51
surgical infection prevention,91%,111,65
surgical infection prevention,88%,112,27
surgical infection prevention,91%,113,65
surgical infection prevention,93%,114,40
surgical infection prevention,empty,115,0
surgical infection prevention,100%,116,42
surgical infection prevention,87%,117,66
surgical infection prevention,88%,118,27
heart attack,0%,119,67
heart attack,x00%,120,68
heart attack,empty,121,6
heart attack,empty,122,6
heart attack,0%,123,67
heart attack,empty,124,6
heart attack,empty,125,6
heart failure,4%,126,69
heaxt failuxe,72%,127,70
heart failure,75%,128,71
heart failure,0%,129,72
pneumonia,25%,130,73
pneumonia,93%,131,18
pneumonia,33%,132,74
pneumonia,95%,133,52
pneumonia,62%,134,75
pneumonia,47%,135,76
surgical infection prevention,100%,136,42
surgical infection prevention,100%,137,42
surgical infection prevention,100%,138,42
surgical infection prevention,100%,139,42
surgical infection prevention,empty,140,0
surgical infection prevention,100%,141,42
surgical infection prevention,100%,142,42
surgical infection prevention,100%,143,42
heart attack,100%,144,4
heart attack,100%,145,4
heart attack,100%,146,4
heart attack,100%,147,4
heart attack,100%,148,4
heart attack,empty,149,6
heart attack,empty,150,6
heart failure,97%,151,49
heart failure,98%,152,60
heart failure,100%,153,10
heart failure,100%,154,10
pneumonia,98%,155,77
pneumonia,100%,156,53
pneumonia,100%,157,53
pneumonia,9x%,158,78
pneumonia,100%,159,53
pneumonia,97%,160,36
surgical infection prevention,67%,161,79
surgical infection prevention,100%,162,42
surgical infection prevention,x7%,163,80
surgical infection prevention,80%,164,81
surgical infection prevention,empty,165,0
surgical infection prevention,100%,166,42
surgical infection prevention,78%,167,43
surgical infection prevention,78%,168,43
heart attack,100%,169,4
heart attack,100%,170,4
heart attack,50%,171,59
heart attack,100%,172,4
heart attack,83%,173,82
heart attack,empty,174,6
heart attack,empty,175,6
heart failure,93%,176,83
heart failure,84%,177,84
heart failure,78%,178,16
heart failure,100%,179,10
pneumonia,87%,180,63
pneumonia,94%,181,85
pneumonia,94%,182,85
pneumonia,97%,183,36
pneumonia,93%,184,18
pneumonia,90%,185,51
surgical infection prevention,86%,186,30
surgical infection prevention,95x,187,86
surgical infection prevention,91%,188,65
surgical infection prevention,100%,189,42
surgical infection prevention,empty,190,0
surgical infection prevention,100%,191,42
surgical infection prevention,86%,192,30
surgical infection prevention,84%,193,87
heart attack,99%,194,12
heart attack,96%,195,45
heart attack,91%,196,88
heart attack,100%,197,4
heart attack,99%,198,12
heaxt attack,empty,199,89
heart attack,85%,200,90
heart failure,94%,201,35
heart failure,98%,202,60
heart failure,98%,203,60
heart failure,100%,204,10
pneumonia,87%,205,63
pneumonia,96%,206,37
pneumonia,100%,207,53
pneumonia,x5%,208,91
pneumonia,91%,209,54
pneumonia,85%,210,92
surgical infection prevention,83%,211,31
surgical infection prevention,97%,212,93
surgical infection prevention,98%,213,26
surgical infection prevention,81%,214,94
surgical infection prevention,60%,215,95
surgical infection prevention,100%,216,42
surgical infection prevention,89%,217,57
surgical infection prevention,83%,218,31
heart attack,100%,219,4
heart attack,95%,220,96
heart attack,91%,221,88
heart attack,100%,222,4
heart attack,95%,223,96
heart attack,100%,224,4
hexrt attxck,40%,225,97
heart failure,89%,226,98
heart failure,100%,227,10
heart failure,94%,228,35
heart faxlure,100%,229,99
pneumonia,97%,230,36
pneumonia,93%,231,18
pneumonia,100%,232,53
pneumonia,99%,233,20
pneumonia,88%,234,55
pneumonia,98%,235,77
suxgical infection pxevention,100%,236,100
surgical infection prevention,9x%,237,101
surgical infection prevention,xx%,238,102
surgxcal infectxon preventxon,98%,239,103
surgical infection prevention,empty,240,0
surgical infection prevention,100%,241,42
surgical infection prevention,97%,242,93
surgical infection prevention,97%,243,93
heart attack,empty,244,6
heart attack,empty,245,6
heart attack,empty,246,6
heart attack,empty,247,6
heart attack,empty,248,6
heart attack,empty,249,6
heart attack,empty,250,6
heart failure,100%,251,10
heart failure,89x,252,104
heart failure,88%,253,105
heart failure,88%,254,105
pneumonia,92%,255,21
xneumonia,x6%,256,106
pneumonia,100%,257,53
pneumonia,96%,258,37
pneumonia,100%,259,53
pneumonia,92%,260,21
surgical infection prevention,empty,261,0
surgical infection prevention,86%,262,30
surgical infection prevention,93%,263,40
surgical infection prevention,86%,264,30
surgical infection prevention,empty,265,0
surgical infection prevention,100%,266,42
surgical infection prevention,90%,267,29
surgical infection prevention,90%,268,29
heart attack,99%,269,12
heart attack,97%,270,1
heart attack,100%,271,4
heart attack,100%,272,4
heart attack,97%,273,1
heart attack,empty,274,6
heart attack,83%,275,82
heart failure,86%,276,107
heart failure,100%,277,10
heart failure,97%,278,49
xeart failure,100%,279,108
pneumonia,97%,280,36
pneumonia,100%,281,53
pneumonia,100%,282,53
pneumonia,96%,283,37
pneumonia,93%,284,18
pneumonia,92%,285,21
surgical infection prevention,89%,286,57
surgical infection prevention,98%,287,26
surgical infection prevention,99%,288,56
surgical infection prevention,91%,289,65
surgical infection prevention,93%,290,40
surgical infection prevention,100%,291,42
surgical infection prevention,97%,292,93
surgical infection prevention,94%,293,25
heart attack,empty,294,6
heart attack,empty,295,6
heart attack,empty,296,6
heart attack,empty,297,6
heart attack,empty,298,6
heart attack,empty,299,6
heart attack,empty,300,6
heart failure,empty,301,109
heart failure,empty,302,109
heart failure,empty,303,109
heart failure,empty,304,109
pneumonia,empty,305,110
