HospitalName,HospitalOwner,original_index,unique_index
callahan eye foundation hospital,voluntary non-profit - private,0,0
callahan eye foundation hospital,voluntary non-profit - private,1,0
callahan eye foundation hospital,voluntary non-profit - private,2,0
callahan eye foundation hospital,voluntary non-profit - private,3,0
callahan eye foundation hospital,voluntary non-profit - private,4,0
callahan eye foundation hospital,voluntary non-profit - private,5,0
callahan eye foundation hospital,voluntary non-profit - private,6,0
callahan eye foundation hospital,voluntary non-profit - private,7,0
helen keller memorial hospital,government - hospital district or authority,8,1
helen keller memorial hospital,government - hospital district or authority,9,1
helen keller memorial hospital,government - hospital district or authority,10,1
helen keller memorial hospital,government - hospital district or authority,11,1
helen keller memorial hospital,government - hospital district or authority,12,1
helen keller memorial hospital,government - hospital district or authority,13,1
helen keller memorial hospital,government - hospital district or authority,14,1
helen keller memorial hospital,government - hospital district or authority,15,1
helen keller memorial hospital,government - hospital district or authority,16,1
helen keller memorial hospital,government - hospital district or authority,17,1
helen keller memorial hospital,government - hospital district or authority,18,1
southeast alabama medical center,government - hospital district or authority,19,2
southeast alabama medical center,government - hospital district or authority,20,2
southeast alabama medical center,government - hospital district or authority,21,2
southeast alabama medical center,government - hospxtal dxstrxct or authorxty,22,3
southeast alabama medical center,government - hospital district or authority,23,2
southeast alabama medical center,government - hospital district or authority,24,2
southeast alabama medical center,government - hospital district or authority,25,2
southeast alabama medxcal center,government - hospital district or authority,26,4
southeast alabama medical center,government - hospital xistrict or authority,27,5
southeast alabama medical center,government - hospital district or authority,28,2
southeast alabama medical center,government - hospital district or authority,29,2
southeast alabama medical center,government - hospital district or authority,30,2
southeast alabama medical center,governmenx - hospixal disxricx or auxhorixy,31,6
southeast alabama medical center,government - hospital district or authority,32,2
southeast alabama medical center,government - hospital district or authority,33,2
southeast alabama medical center,government - hospital district or authority,34,2
southeast alabama medical center,government - hospital district or authority,35,2
southeast alabama medical center,government - hospital district or authority,36,2
southeast alabama medical center,government - hospital district or authority,37,2
southeast alabama medical center,government - hospital district or authority,38,2
southeast alabama medical center,government - hospital district or authority,39,2
southeast alabama medical center,government - hospital district or authority,40,2
southeast alabama medical center,government - hospital district or authority,41,2
southeast alabama medical center,gxvernment - hxspital district xr authxrity,42,7
southeast alabama medical center,government - hospital district or authority,43,2
marshall medical center south,government - hospital district or authority,44,8
marshall medical center south,government - hospital district or authority,45,8
marshall medical center south,government - hospital district or authority,46,8
marshall medical center south,government - hospital district or authority,47,8
marshall medical center south,government - hospital district or authority,48,8
marshall medical center south,government - hospital district or authority,49,8
marshall medical center south,government - hospital district or authority,50,8
marshall medical center south,government - hospital district or authority,51,8
marshall medical center south,government - hospital district or authority,52,8
marshall medical center south,government - hospital district or authority,53,8
marshall medical center south,government - hospital district or authority,54,8
marshall medical center south,government - hospital district or authority,55,8
marshall medical center south,government - hospital district or authority,56,8
marshall medical center south,government - hospital district or authority,57,8
marshall medical center south,government - hospital district or authority,58,8
marshall medical center south,government - hospital district or authority,59,8
marshall medical center south,government - hospital district or authority,60,8
marshall medical center south,government - hospital district or authority,61,8
marshall medical center south,government - hospital district or authority,62,8
marshall medical center south,government - hospital district or authority,63,8
marshall medical center south,government - hospital district or authority,64,8
marshall medical center south,government - hospital district or authority,65,8
marshall medical center south,government - hospital district or authority,66,8
marshall medical center south,government - hospital district or authority,67,8
marshall medical center south,government - hospital district or authority,68,8
eliza coffee memorial hospital,voluntary non-profit - other,69,9
eliza coffee memorial hospital,voluntary non-profit - other,70,9
eliza coffee memorial hospital,voluntary non-profit - other,71,9
eliza coffee memorial hospital,voluntary non-profit - other,72,9
eliza coffee memorial hospital,voluntary non-profit - other,73,9
eliza coffee memorial hospital,voluntary non-profit - other,74,9
eliza coffee memorial hospital,voluntary non-profit - other,75,9
eliza coffee memorial hospital,voluntary non-profit - other,76,9
eliza coffee memorial hospital,voluntary non-profit - other,77,9
eliza coffee memorial hospital,voluntary non-profit - other,78,9
eliza coffee memorial hospital,voluntary non-profit - other,79,9
eliza coffee memorial hospital,voluntary non-profit - other,80,9
eliza coffee memorial hospital,voluntary non-profit - other,81,9
eliza coffee memorial hospital,voluntary non-profit - other,82,9
eliza coffee memorial hospital,voluntary non-profit - other,83,9
eliza coffee memorial hospital,voluntary non-profit - other,84,9
eliza coffee memorial hospital,voluntary non-profit - other,85,9
eliza coffee memorial hospital,voluntary non-profit - other,86,9
eliza coffee memorial hospital,voluntary non-profit - other,87,9
eliza coffee memorial hospital,voluntary non-profit - other,88,9
eliza coffee memorial hospital,voluntary non-profit - other,89,9
eliza coffee memorial hospital,voluntary non-profit - other,90,9
eliza coffee memorial hospital,voluntary non-profit - other,91,9
eliza coffee memorial hospital,voluntary non-profit - other,92,9
eliza coffee memorial hospital,voluntary non-profit - other,93,9
mizell memorial hospital,voluntary non-profit - private,94,10
mizell memorial hospital,voluntary non-profit - private,95,10
mizell memorial hospital,voluntary non-profit - private,96,10
mizell memorial hospital,voluntary non-profit - private,97,10
mizell memorial hospital,voluntary non-profit - private,98,10
mizell memorial hospital,voluntary non-profit - private,99,10
mizell memorial hospital,voluntary non-profit - private,100,10
mizell memorial hospital,voluntary non-profit - private,101,10
mizell memorial hospital,voluntary non-profit - private,102,10
mizell memorial hospital,voluntary non-profit - private,103,10
mizell memorial hospital,voluntary non-profit - private,104,10
mizell memorial hospital,voluntary non-profit - private,105,10
mizell memorial hospital,voluntary non-profit - private,106,10
mizell memorial hospital,voluntary non-profit - private,107,10
mizell memorial hospital,voluntary non-profit - private,108,10
mizell memorial hospital,voluntary non-profit - private,109,10
mizell memorial hospital,voluntary non-profit - private,110,10
mizell memorial hospital,voluntary non-profit - private,111,10
mizell memorial hospital,voluntary non-profit - private,112,10
mizell memorial hospital,volunxary non-profix - privaxe,113,11
mizell memorial hospital,voluntary non-profit - private,114,10
mizell memorial hospital,voluntary non-profit - private,115,10
mizell memorial hospital,voluntary non-profit - private,116,10
mizell memorial hospital,voluntary non-profit - private,117,10
mizell memorial hospital,voluntary non-profit - private,118,10
crenshaw community hospital,government - federal,119,12
crenshaw community hospital,government - federal,120,12
crenshaw community hospital,government - federal,121,12
crenshaw community hospital,government - federal,122,12
crenshaw community hospital,government - federal,123,12
crenshaw community hospital,government - federal,124,12
crenshaw community hospital,government - federal,125,12
crenshaw community hospital,government - federal,126,12
crenshaw community hospital,government - federal,127,12
crenshaw community hospital,government - federal,128,12
crenshaw community hospital,government - federal,129,12
crenshaw community hospital,government - federal,130,12
crenshaw cxmmunity hxspital,government - federal,131,13
crenshaw community hospital,government - federal,132,12
crenshaw community hospital,government - federal,133,12
crenshaw community hospital,government - federal,134,12
crenshaw community hospital,government - federal,135,12
crenshaw community hospital,government - federal,136,12
crenshaw community hospital,government - federal,137,12
crenshaw community hospital,government - federal,138,12
crenshaw community hospital,government - federal,139,12
crenshaw community hospital,government - federal,140,12
crenshaw community hospital,government - federal,141,12
crenshaw community hospital,government - federal,142,12
crenshaw community hospital,government - federal,143,12
hartselle medical center,proprietary,144,14
hartselle medical center,proprietary,145,14
hartselle medical center,proprietary,146,14
hartselle medical center,proprietary,147,14
hartselle medical center,proprietary,148,14
hartselle medical center,proprietary,149,14
hartselle medical center,proprietary,150,14
hartselle medical center,proprietary,151,14
hartselle medical center,proprietary,152,14
hartselle medical center,proprietary,153,14
hartselle medical center,proprietary,154,14
hartselle medical center,proprietary,155,14
hartselle medical center,proprietary,156,14
hartselle medical center,pxopxietaxy,157,15
hartselle medical center,proprietary,158,14
hartselle medical center,proxrietary,159,16
hartselle medical center,proprietary,160,14
hartselle medical center,proprietary,161,14
hartselle medical center,xroprietary,162,17
hartselle medical center,proprietary,163,14
hartselle medical center,pxopxietaxy,164,15
hartselle medical center,proprietary,165,14
hartselle medical center,proprietary,166,14
hartselle medical center,proprietary,167,14
hartselle medical center,proprietary,168,14
marshall medical center north,government - hospital district or authority,169,18
marshall medical center north,government - hospital district or authority,170,18
marshall medical cenxer norxh,government - hospital district or authority,171,19
marshall medical center north,government - hospital district or authority,172,18
marshall medical center north,government - hospital district or authority,173,18
marshall medical center north,government - hospital district or authority,174,18
marshall medical center north,government - hospital district or authority,175,18
marshall medical center north,government - hospital district or authority,176,18
marshall medical center north,government - hospital district or authority,177,18
marshall medical center north,government - hospital district or authority,178,18
marshall medical center north,government - hospital district or authority,179,18
marshall medical center north,government - hospital district or authority,180,18
marshall medical center north,government - hospital district or authority,181,18
marshall medical center north,government - hospital district or authority,182,18
marshall medical center north,government - hospital district or authority,183,18
marshall medical center north,government - hospital district or authority,184,18
marshall medical center north,government - hospital district or authority,185,18
marshall medical center north,government - hospital district or authority,186,18
marshall medical center north,government - hospital district or authority,187,18
marshall medical center north,government - hospital district or authority,188,18
marshall medical center north,government - hospital district or authority,189,18
marshall medical center north,government - hospital district or authority,190,18
marshall medical center north,government - hospital district or authority,191,18
marshall medical center north,government - hospital district or authority,192,18
marshall medical center north,government - hospital district or authority,193,18
