ProviderNumber,CountyName,original_index,unique_index
10018,jefferson,0,0
10018,jefferson,1,0
10018,jefferson,2,0
10018,jefferson,3,0
10018,jefferson,4,0
10018,jefferson,5,0
10018,jefferson,6,0
10018,jefferson,7,0
10019,jefferson,8,1
10019,jefferson,9,1
10019,jefferson,10,1
10019,jefferson,11,1
10019,jefferson,12,1
1xx19,jefferson,13,2
10019,jefferson,14,1
10019,jefferson,15,1
10019,jefferson,16,1
10019,jefferson,17,1
10019,jefferson,18,1
10001,houston,19,3
10001,houston,20,3
10001,houston,21,3
10001,houston,22,3
10001,houston,23,3
10001,houston,24,3
10001,houston,25,3
10001,houston,26,3
10001,houston,27,3
10001,houston,28,3
10001,houston,29,3
10001,houston,30,3
10001,houston,31,3
10001,houston,32,3
10001,houston,33,3
10001,houston,34,3
10001,houston,35,3
10001,houston,36,3
10001,houston,37,3
10001,houston,38,3
10001,houston,39,3
10001,houston,40,3
10001,houston,41,3
10001,houston,42,3
10001,houston,43,3
10005,marshall,44,4
x0005,marshall,45,5
10005,marshall,46,4
10005,marshall,47,4
10005,marshall,48,4
10005,marshall,49,4
10005,marshall,50,4
10005,marshall,51,4
10005,marshall,52,4
10005,marshall,53,4
10005,marshall,54,4
10005,marshall,55,4
10005,marshall,56,4
10005,marshall,57,4
10005,marshall,58,4
10005,marshall,59,4
10005,marshall,60,4
10005,marshall,61,4
10005,marshall,62,4
10005,marshall,63,4
10005,marshall,64,4
10005,marshall,65,4
10005,marshall,66,4
10005,mxrshxll,67,6
10005,marshall,68,4
10006,lauderdale,69,7
10006,lauderdale,70,7
10006,lauderdale,71,7
10006,laudxrdalx,72,8
10006,lauderdale,73,7
10006,lauderdale,74,7
10006,lauderdale,75,7
10006,lauderdale,76,7
10006,laudexdale,77,9
10006,lauderdale,78,7
10006,lauderdale,79,7
10006,lauderdale,80,7
1000x,lauderdale,81,10
10006,lauderdale,82,7
10006,lauderdale,83,7
10006,lauderdale,84,7
10006,lauderdale,85,7
10006,lauderdale,86,7
10006,lauderdale,87,7
10006,lauderdale,88,7
10006,lauderdale,89,7
10006,lauderdale,90,7
10006,lauderdale,91,7
10006,lauderdale,92,7
10006,lauderdale,93,7
10007,covington,94,11
10007,covington,95,11
10007,covington,96,11
10007,covington,97,11
10007,covington,98,11
10007,covington,99,11
10007,covington,100,11
10007,covington,101,11
10007,covington,102,11
10007,covington,103,11
10007,covington,104,11
10007,covington,105,11
10007,covington,106,11
10007,covington,107,11
10007,covington,108,11
10007,covington,109,11
10007,covington,110,11
10007,covington,111,11
10007,covington,112,11
10007,covington,113,11
10007,covington,114,11
10007,covington,115,11
10007,covington,116,11
10007,covington,117,11
10007,covington,118,11
10008,crenshaw,119,12
10008,crenshaw,120,12
10008,crenshaw,121,12
10008,crenshaw,122,12
10008,crenshaw,123,12
10008,crenshaw,124,12
10008,crenshaw,125,12
10008,crenshaw,126,12
10008,crenshaw,127,12
10008,crenshaw,128,12
10008,crenshaw,129,12
10008,crenshaw,130,12
10008,crenshaw,131,12
10008,crenshaw,132,12
10008,crenshaw,133,12
10008,crenshaw,134,12
10008,crenshaw,135,12
10008,crxnshaw,136,13
10008,crenshaw,137,12
10008,crenshaw,138,12
10008,crenshaw,139,12
10008,crenshaw,140,12
10008,crenshaw,141,12
10008,crenshaw,142,12
10008,crenshaw,143,12
10009,morgan,144,14
10009,morgan,145,14
10009,morgan,146,14
10009,morgan,147,14
10009,morgan,148,14
10009,morgan,149,14
10009,morgan,150,14
10009,morgan,151,14
10009,morgan,152,14
10009,morgan,153,14
10009,morgan,154,14
10009,morgan,155,14
10009,morgan,156,14
10009,morgan,157,14
10009,morgan,158,14
10009,morgan,159,14
10009,morgan,160,14
10009,morgan,161,14
10009,morgan,162,14
10009,morgan,163,14
10009,morgan,164,14
10009,morgan,165,14
10009,morgan,166,14
10009,morgan,167,14
10009,morgan,168,14
10010,marshall,169,15
10010,marshall,170,15
10010,marshall,171,15
10010,marshall,172,15
10010,marshall,173,15
10010,marshall,174,15
10010,marshall,175,15
10010,marshall,176,15
10010,marshall,177,15
10010,marshall,178,15
10010,marshall,179,15
10010,marshall,180,15
10010,marshall,181,15
10010,marshall,182,15
10010,marshall,183,15
10010,marshall,184,15
10010,marshall,185,15
10010,marshall,186,15
10010,marshall,187,15
10010,marshall,188,15
10010,marshall,189,15
10010,marshall,190,15
10010,marshall,191,15
10010,marshall,192,15
10010,marshall,193,15
10011,jefferson,194,16
10011,jefferson,195,16
10011,jefferson,196,16
10011,jefferson,197,16
10011,jefferson,198,16
10011,jefferson,199,16
10011,jefferson,200,16
10011,jefferson,201,16
10011,jefferson,202,16
10011,jefferson,203,16
10011,jefferson,204,16
10011,jefferson,205,16
10011,jefferson,206,16
10011,jefferson,207,16
10011,jefferson,208,16
10011,jefferson,209,16
10011,jefferson,210,16
10011,jefferson,211,16
10011,jefferson,212,16
x00xx,jefferson,213,17
10011,jefferson,214,16
10011,jefferson,215,16
10011,jeffersxn,216,18
10011,jefferson,217,16
10011,jefferson,218,16
10012,de kalb,219,19
10012,de kalb,220,19
10012,dx kalb,221,20
10012,de kalb,222,19
10012,xe kalb,223,21
10012,de kalb,224,19
10012,de kalb,225,19
10012,de kalb,226,19
10012,dx kalb,227,20
10012,de kalb,228,19
10012,de kalb,229,19
10012,de kalb,230,19
10012,de kalb,231,19
10012,de kalb,232,19
10012,de kalb,233,19
10012,de kalb,234,19
10012,de kalb,235,19
10012,de kalb,236,19
10012,de kalb,237,19
10012,xe kalb,238,21
10012,de kalb,239,19
10012,de kalb,240,19
10012,de kalb,241,19
10012,de kalb,242,19
10012,de kalb,243,19
x00x5,clarke,244,22
10015,clarke,245,23
10015,clarke,246,23
10015,clarke,247,23
10015,clarke,248,23
10015,clarke,249,23
10015,clarke,250,23
10015,clarke,251,23
10015,xlarke,252,24
1xx15,clarke,253,25
10015,clarke,254,23
10015,clarke,255,23
10015,clarke,256,23
10015,clarke,257,23
10015,clarke,258,23
10015,clarke,259,23
10015,clarke,260,23
10015,clarke,261,23
10015,clarke,262,23
10015,clarke,263,23
10015,clarke,264,23
10015,clarke,265,23
10015,clarke,266,23
10015,clarke,267,23
10015,clarke,268,23
10016,shelby,269,26
10016,shelby,270,26
10016,shelby,271,26
10016,shelby,272,26
1xx16,shelby,273,27
10016,shelby,274,26
10016,shelby,275,26
10016,shelby,276,26
10016,shelby,277,26
10016,shelby,278,26
10016,shelby,279,26
10016,shelby,280,26
10016,shelby,281,26
10016,shelby,282,26
10016,shelby,283,26
10016,shelby,284,26
10016,shelby,285,26
10016,shelby,286,26
10016,shelby,287,26
10016,shelby,288,26
10016,shelby,289,26
10016,shelby,290,26
10016,shelby,291,26
10016,shelby,292,26
10016,shelby,293,26
10018,jefferson,294,0
10018,jefferson,295,0
10018,jefferson,296,0
10018,jefferson,297,0
10018,jefferson,298,0
10018,jefferson,299,0
10018,jefferson,300,0
10018,jefferson,301,0
10018,jefferson,302,0
10018,jefferson,303,0
10018,jefferson,304,0
10018,jefferson,305,0
10018,jefferson,306,0
10018,jefferson,307,0
10018,jefferson,308,0
10018,jefferson,309,0
10018,jefferson,310,0
10038,calhoun,311,28
10038,calhoxn,312,29
10038,calhoun,313,28
100x8,calhoun,314,30
10038,calhoun,315,28
10038,calhoun,316,28
10038,calhoun,317,28
10038,calhoun,318,28
10038,calhoun,319,28
10038,calhoun,320,28
10038,calhoun,321,28
10038,calhoun,322,28
10038,calhoun,323,28
10038,caxhoun,324,31
10038,calhoun,325,28
10038,calhoun,326,28
10038,calhoun,327,28
10038,calhoun,328,28
10038,calhoun,329,28
10038,calhoun,330,28
10055,houston,331,32
10055,houston,332,32
10055,houston,333,32
10055,houston,334,32
10055,houston,335,32
10055,houston,336,32
10055,houston,337,32
10055,houston,338,32
10055,houston,339,32
10055,houston,340,32
10055,houston,341,32
10055,houston,342,32
10055,houston,343,32
10055,houston,344,32
10055,houston,345,32
10055,housxon,346,33
10055,houston,347,32
10056,jefferson,348,34
10056,jefferson,349,34
10056,jefferson,350,34
10056,jefferson,351,34
10056,jefferson,352,34
10085,morgan,353,35
10086,marion,354,36
10086,marion,355,36
10086,marion,356,36
10086,marion,357,36
10086,marion,358,36
10086,marion,359,36
100x6,marion,360,37
10086,marion,361,36
10086,marion,362,36
10086,marion,363,36
10086,marion,364,36
10086,marion,365,36
10086,marion,366,36
10086,marion,367,36
10086,marion,368,36
10086,marion,369,36
10086,marion,370,36
10086,marion,371,36
10086,marion,372,36
10086,marion,373,36
10086,marion,374,36
10086,marion,375,36
10086,marion,376,36
10086,marion,377,36
10086,marion,378,36
10087,mobile,379,38
10087,mobile,380,38
10087,mobile,381,38
10087,mobile,382,38
10087,mobile,383,38
10087,mobile,384,38
10087,mobile,385,38
10087,mobile,386,38
10087,mobile,387,38
10087,mobile,388,38
10087,mobile,389,38
10087,mobile,390,38
10087,mobile,391,38
10108,autauga,392,39
10108,autauga,393,39
10108,autauga,394,39
10108,autauga,395,39
10108,autauga,396,39
10108,autauga,397,39
10108,autauga,398,39
10108,autauga,399,39
10108,autauga,400,39
10108,autauga,401,39
10108,autauga,402,39
10108,autauga,403,39
10108,autauga,404,39
10108,autauga,405,39
10108,autauga,406,39
10108,autauga,407,39
x0x08,autauga,408,40
10108,autauga,409,39
10108,autauga,410,39
10108,autauga,411,39
10158,franklin,412,41
10158,franklin,413,41
10164,talladega,414,42
10164,tallaxega,415,43
10164,talladega,416,42
10164,talladega,417,42
10164,talladega,418,42
10164,talladega,419,42
10164,talladega,420,42
10164,talladega,421,42
10164,talladega,422,42
10164,talladega,423,42
10164,talladega,424,42
10164,talladega,425,42
10164,talladega,426,42
10164,talladega,427,42
10164,talladega,428,42
10164,talladega,429,42
10164,talladega,430,42
10164,talladega,431,42
20017,anchorage,432,44
20017,anchorage,433,44
20017,anchorage,434,44
20017,anchorage,435,44
20017,anchorage,436,44
20017,anchorage,437,44
20017,anchorage,438,44
20017,anchorage,439,44
20017,anchorage,440,44
20017,anchorage,441,44
20017,anchorage,442,44
20017,anchorage,443,44
20017,anchorage,444,44
20017,anchorage,445,44
20017,anchorage,446,44
20017,anchorage,447,44
20017,anchorage,448,44
20017,anchorage,449,44
20018,bethel,450,45
20018,bethel,451,45
10019,jefferson,452,1
10019,jefferson,453,1
10019,jefferson,454,1
10019,jefferson,455,1
10019,jxffxrson,456,46
10019,xefferson,457,47
10019,jefferson,458,1
10019,jefferson,459,1
10019,jefferson,460,1
10019,jefferson,461,1
10019,jefferson,462,1
10019,jefferson,463,1
10019,jefferson,464,1
10019,jexxerson,465,48
10021,dale,466,49
10021,dale,467,49
10021,dale,468,49
10021,dale,469,49
10021,dale,470,49
10021,dale,471,49
10021,dale,472,49
10021,dale,473,49
10021,dale,474,49
10021,dale,475,49
10021,dale,476,49
10021,dale,477,49
10021,dale,478,49
10021,dale,479,49
10021,dale,480,49
10021,dale,481,49
10021,dale,482,49
10021,dale,483,49
10021,dale,484,49
10021,dale,485,49
10021,dale,486,49
10021,dale,487,49
10021,dale,488,49
10021,dale,489,49
10021,dale,490,49
10022,cherokee,491,50
10022,cherokee,492,50
10022,cherokee,493,50
10022,cherokee,494,50
10022,cherokee,495,50
10022,cherokee,496,50
10022,cherokee,497,50
10022,cherokee,498,50
10022,cherokee,499,50
10022,cherokee,500,50
10022,cherokee,501,50
10022,chxrokxx,502,51
10022,cherokee,503,50
10022,cherokee,504,50
10022,cherokee,505,50
10022,cherokee,506,50
10022,cherokee,507,50
10022,cherokee,508,50
10022,cherokee,509,50
10022,cherokee,510,50
10022,cherokee,511,50
10022,cherokee,512,50
10022,chxrokxx,513,51
10022,cherokee,514,50
10022,cherokee,515,50
10023,montgomery,516,52
10023,montgomery,517,52
10023,montgomery,518,52
10023,montgomery,519,52
10023,montgomery,520,52
10023,montgomery,521,52
10023,montgomery,522,52
10023,montgomery,523,52
10023,montgomery,524,52
10023,montgomery,525,52
10023,montgomery,526,52
10023,monxgomery,527,53
10023,montgomery,528,52
10023,montgomery,529,52
