Address1,original_index,unique_index
1720 university blvd,0,0
1720 university blvd,1,0
1720 university blvd,2,0
1720 university blvd,3,0
1720 university blvd,4,0
1720 university blvd,5,0
1720 university blvd,6,0
1720 university blvd,7,0
1300 south montgomery avenue,8,1
1300 south montgomery avenue,9,1
1300 south montgomery avenue,10,1
1300 south montgomery avenue,11,1
1300 south montgomery avenue,12,1
1300 south montgomery avenue,13,1
1300 south montgomery avenue,14,1
1300 south montgomery avenue,15,1
1300 south montgomery avenue,16,1
1300 south montgomery avenue,17,1
1300 south montgomery avenue,18,1
1108 ross clark circle,19,2
1108 ross clark circle,20,2
1108 ross clark circle,21,2
1108 ross clark circle,22,2
1108 ross clark circle,23,2
1108 ross clark circle,24,2
1108 ross clark circle,25,2
1108 ross clark circle,26,2
1108 ross clark circle,27,2
1108 ross clark circle,28,2
1108 ross clark circle,29,2
1108 ross clark circle,30,2
1108 ross clark circle,31,2
1108 ross clark circle,32,2
1108 ross clark circle,33,2
1108 ross clark circle,34,2
1108 ross clark circle,35,2
1108 ross clark circle,36,2
1108 ross clark circle,37,2
1108 ross clark circle,38,2
1108 ross clark circle,39,2
1108 ross clark circle,40,2
1108 ross clark circle,41,2
1108 ross clark circle,42,2
1108 ross clark circle,43,2
2505 u s highway 431 north,44,3
2505 u s highway 431 north,45,3
2505 u s highway 431 north,46,3
2505 u s highway 431 north,47,3
2505 u s highway 431 north,48,3
2505 u s highway 431 north,49,3
2505 u s highway 431 north,50,3
2505 u s highway 431 north,51,3
2505 u s highway 431 north,52,3
2505 u s highway 431 north,53,3
2505 u s highway 431 north,54,3
2505 u s highway 431 north,55,3
2505 u s highway 431 north,56,3
2505xuxsxhighwayx431xnorth,57,4
2505 u s highway 431 north,58,3
2505 u s highway 431 north,59,3
2505 u s highway 431 north,60,3
2505 u s highway 431 north,61,3
2505 u s highway 431 north,62,3
2505 u s highway 431 north,63,3
2505 u s highway 431 north,64,3
2505 u s highway 431 north,65,3
2505 u s highway 431 north,66,3
2505 u s highway 431 north,67,3
2505 u s highway 431 north,68,3
205 marengo street,69,5
205 marengo street,70,5
205 marengo street,71,5
205 marengo street,72,5
205 marengo street,73,5
205 marengo street,74,5
205 marengo street,75,5
205 marengo street,76,5
205 marengo street,77,5
205 marengo street,78,5
205 marengo street,79,5
205 marengo street,80,5
205 marengo street,81,5
205 marengo street,82,5
205 marengo street,83,5
205 marengo street,84,5
205 marengo street,85,5
205 marengo street,86,5
205 marengo street,87,5
205 marengo street,88,5
205 marengo street,89,5
205 marengo street,90,5
205 marengo street,91,5
205 marengo street,92,5
205 marengo street,93,5
702xnxmainxst,94,6
702 n main st,95,7
702 n main st,96,7
702 n main st,97,7
702 n main st,98,7
702 n main st,99,7
702 n main st,100,7
702 n main st,101,7
702 n main st,102,7
702 n main st,103,7
702 n main st,104,7
702 n main st,105,7
702 x maix st,106,8
702 n main st,107,7
702 n main st,108,7
702 n main st,109,7
702 n main st,110,7
702 n main st,111,7
702 n main st,112,7
702 n main st,113,7
702 n main st,114,7
702 n main st,115,7
702 n main st,116,7
702 n main st,117,7
