Condition,original_index,unique_index
surgical infection prevention,0,0
surgical infection prevention,1,0
surgical infection prevention,2,0
surgical infection prevention,3,0
surgical infection prevention,4,0
surgical infection prevention,5,0
surgical infection prevention,6,0
surgical infection prevention,7,0
heart attack,8,1
heart attack,9,1
heart attack,10,1
heart attack,11,1
heart attack,12,1
heart attack,13,1
heart attack,14,1
heart failure,15,2
heart failure,16,2
heart failure,17,2
heart failure,18,2
heart attack,19,1
heart attack,20,1
heart attaxk,21,3
hearx axxack,22,4
heart attack,23,1
heart attack,24,1
heart attack,25,1
heart failure,26,2
heart failure,27,2
heart failure,28,2
heart failure,29,2
pneumonia,30,5
pneumonia,31,5
pneumonia,32,5
pneumonia,33,5
pneumonia,34,5
pneumonia,35,5
surgical infection prevention,36,0
surgical infection prevention,37,0
surgical infection prevention,38,0
surgical infection prevention,39,0
surgical infection prevention,40,0
surgical infection prevention,41,0
surgical infection prevention,42,0
surgical infection prevention,43,0
heart attack,44,1
heart attack,45,1
heart attack,46,1
heart attack,47,1
heart attack,48,1
heart attack,49,1
heart attack,50,1
heart failure,51,2
heart failure,52,2
heart failure,53,2
heart failure,54,2
pneumonia,55,5
pneumonia,56,5
pneumonia,57,5
pneumonia,58,5
pneumonia,59,5
pneumonia,60,5
surgical infection prevention,61,0
surgical infection prevention,62,0
surgical infection prevention,63,0
surgical infection prevention,64,0
surgical infection prevention,65,0
surgical infection prevention,66,0
surgical infection prevention,67,0
surgical infection prevention,68,0
heart attack,69,1
heart attack,70,1
heart attack,71,1
heart attack,72,1
hearx axxack,73,4
heart attack,74,1
heart attack,75,1
heart failure,76,2
heart failure,77,2
heart failure,78,2
heart failure,79,2
pneumonia,80,5
pneumonia,81,5
pneumonia,82,5
pneumonia,83,5
pneumonia,84,5
pneumonia,85,5
surgical infection prevention,86,0
surgical infection prevention,87,0
surgical infection prevention,88,0
surgical infection prevention,89,0
surgical infection prevention,90,0
surgical infection prevention,91,0
surgical infection prevention,92,0
surgical infection prevention,93,0
heart attack,94,1
heart attack,95,1
heart attack,96,1
heart attack,97,1
heart attack,98,1
heart attack,99,1
heart attack,100,1
heart failure,101,2
heart failure,102,2
heart failure,103,2
heart failure,104,2
pneumonia,105,5
