HospitalType,original_index,unique_index
acute care hospitals,0,0
acute care hospitals,1,0
acute care hospitals,2,0
acute care hospitals,3,0
acute care hospitals,4,0
acute care hospitals,5,0
acute care hospitals,6,0
acute care hospitals,7,0
acute care hospitals,8,0
acute care hospitals,9,0
acute care hospitals,10,0
acute care hospitals,11,0
acute care hospitals,12,0
acute care hospitals,13,0
acute care hospitals,14,0
acute care hospitals,15,0
acuxe care hospixals,16,1
acute care hospitals,17,0
acute care hospitals,18,0
acute care hospitals,19,0
acute care hospitals,20,0
acute care hospitals,21,0
acute care hospitals,22,0
acute care hospitals,23,0
acute care hospitals,24,0
acute care hospitals,25,0
acute care hospitals,26,0
acute care hospitals,27,0
acute care hospitals,28,0
acute care hospitals,29,0
acute care hospitals,30,0
acute care hospitals,31,0
acute care hospitals,32,0
acute care hospitals,33,0
acute care hospitals,34,0
acute care hospitals,35,0
acute care hospitals,36,0
acute care hospitals,37,0
acute care hospitals,38,0
acxte care hospitals,39,2
acute care hospitals,40,0
acute care hospitals,41,0
acute care hospitals,42,0
acute care hospitals,43,0
acute care hospitals,44,0
acute care hospitals,45,0
acute care hospitals,46,0
acute care hospitals,47,0
acute care hospitals,48,0
acute care hospitals,49,0
acute care hospitals,50,0
acute care hospitals,51,0
acute care hospitals,52,0
acute care hospitals,53,0
acute care hospitals,54,0
acute care hospitals,55,0
acute care hospitals,56,0
acute care hospitals,57,0
acute care hospitals,58,0
acute care hospitals,59,0
acute care hospitals,60,0
acute care hospitals,61,0
acute care hospitals,62,0
acute care hospitals,63,0
acute care hospitals,64,0
acute care hospitals,65,0
acute care hospitals,66,0
acute care hospitals,67,0
acute care hospitals,68,0
acute care hospitals,69,0
acute care hospitals,70,0
acute care hospitals,71,0
acute care hospitals,72,0
acute care hospitals,73,0
acute care hospitals,74,0
acute care hospitals,75,0
acute care hospitals,76,0
acute care hospitals,77,0
acute care hospitals,78,0
acute care hospitals,79,0
acute care hospitals,80,0
acute care hospitals,81,0
acute care hospitals,82,0
acute care hospitals,83,0
acute care hospitals,84,0
acute care hospitals,85,0
acute care hospitals,86,0
acute care hospitals,87,0
acute care hospitals,88,0
acute care hospitals,89,0
acute care hospitals,90,0
acute care hospitals,91,0
acute care hospitals,92,0
acute care hospitals,93,0
acute care hospitals,94,0
acute care hospitals,95,0
acute care hospitals,96,0
acute care hospitals,97,0
acute care hosxitals,98,3
acute care hospitals,99,0
acute care hospitals,100,0
acute care hospitals,101,0
acute care hospitals,102,0
acute care hospitals,103,0
acute care hospitals,104,0
acute care hospitals,105,0
acute care hospitals,106,0
acute care hospitals,107,0
acute care hospitals,108,0
acute care hospitals,109,0
acute care hospitals,110,0
acute care hospitals,111,0
acute care hospitals,112,0
acute care hospitals,113,0
acute care hospitals,114,0
acute care hospitals,115,0
acute care hospitals,116,0
acute care hospitals,117,0
acute care hospitals,118,0
