Address1,CountyName,original_index,unique_index
1720 university blvd,jefferson,0,0
1720 university blvd,jefferson,1,0
1720 university blvd,jefferson,2,0
1720 university blvd,jefferson,3,0
1720 university blvd,jefferson,4,0
1720 university blvd,jefferson,5,0
1720 university blvd,jefferson,6,0
1720 university blvd,jefferson,7,0
1300 south montgomery avenue,jefferson,8,1
1300 south montgomery avenue,jefferson,9,1
1300 south montgomery avenue,jefferson,10,1
1300 south montgomery avenue,jefferson,11,1
1300 south montgomery avenue,jefferson,12,1
1300 south montgomery avenue,jefferson,13,1
1300 south montgomery avenue,jefferson,14,1
1300 south montgomery avenue,jefferson,15,1
1300 south montgomery avenue,jefferson,16,1
1300 south montgomery avenue,jefferson,17,1
1300 south montgomery avenue,jefferson,18,1
1108 ross clark circle,houston,19,2
1108 ross clark circle,houston,20,2
1108 ross clark circle,houston,21,2
1108 ross clark circle,houston,22,2
1108 ross clark circle,houston,23,2
1108 ross clark circle,houston,24,2
1108 ross clark circle,houston,25,2
1108 ross clark circle,houston,26,2
1108 ross clark circle,houston,27,2
1108 ross clark circle,houston,28,2
1108 ross clark circle,houston,29,2
1108 ross clark circle,houston,30,2
1108 ross clark circle,houston,31,2
1108 ross clark circle,houston,32,2
1108 ross clark circle,houston,33,2
1108 ross clark circle,houston,34,2
1108 ross clark circle,houston,35,2
1108 ross clark circle,houston,36,2
1108 ross clark circle,houston,37,2
1108 ross clark circle,houston,38,2
1108 ross clark circle,houston,39,2
1108 ross clark circle,houston,40,2
1108 ross clark circle,houston,41,2
1108 ross clark circle,houston,42,2
1108 ross clark circle,houston,43,2
2505 u s highway 431 north,marshall,44,3
2505 u s highway 431 north,marshall,45,3
2505 u s highway 431 north,marshall,46,3
2505 u s highway 431 north,marshall,47,3
2505 u s highway 431 north,marshall,48,3
2505 u s highway 431 north,marshall,49,3
2505 u s highway 431 north,marshall,50,3
2505 u s highway 431 north,marshall,51,3
2505 u s highway 431 north,marshall,52,3
2505 u s highway 431 north,marshall,53,3
2505 u s highway 431 north,marshall,54,3
2505 u s highway 431 north,marshall,55,3
2505 u s highway 431 north,marshall,56,3
2505xuxsxhighwayx431xnorth,marshall,57,4
2505 u s highway 431 north,marshall,58,3
2505 u s highway 431 north,marshall,59,3
2505 u s highway 431 north,marshall,60,3
2505 u s highway 431 north,marshall,61,3
2505 u s highway 431 north,marshall,62,3
2505 u s highway 431 north,marshall,63,3
2505 u s highway 431 north,marshall,64,3
2505 u s highway 431 north,marshall,65,3
2505 u s highway 431 north,marshall,66,3
2505 u s highway 431 north,mxrshxll,67,5
2505 u s highway 431 north,marshall,68,3
205 marengo street,lauderdale,69,6
205 marengo street,lauderdale,70,6
205 marengo street,lauderdale,71,6
205 marengo street,laudxrdalx,72,7
205 marengo street,lauderdale,73,6
205 marengo street,lauderdale,74,6
205 marengo street,lauderdale,75,6
205 marengo street,lauderdale,76,6
205 marengo street,laudexdale,77,8
205 marengo street,lauderdale,78,6
205 marengo street,lauderdale,79,6
205 marengo street,lauderdale,80,6
205 marengo street,lauderdale,81,6
205 marengo street,lauderdale,82,6
205 marengo street,lauderdale,83,6
205 marengo street,lauderdale,84,6
205 marengo street,lauderdale,85,6
205 marengo street,lauderdale,86,6
205 marengo street,lauderdale,87,6
205 marengo street,lauderdale,88,6
205 marengo street,lauderdale,89,6
205 marengo street,lauderdale,90,6
205 marengo street,lauderdale,91,6
205 marengo street,lauderdale,92,6
205 marengo street,lauderdale,93,6
702xnxmainxst,covington,94,9
702 n main st,covington,95,10
702 n main st,covington,96,10
702 n main st,covington,97,10
702 n main st,covington,98,10
702 n main st,covington,99,10
702 n main st,covington,100,10
702 n main st,covington,101,10
702 n main st,covington,102,10
702 n main st,covington,103,10
702 n main st,covington,104,10
702 n main st,covington,105,10
702 x maix st,covington,106,11
702 n main st,covington,107,10
702 n main st,covington,108,10
702 n main st,covington,109,10
702 n main st,covington,110,10
702 n main st,covington,111,10
702 n main st,covington,112,10
702 n main st,covington,113,10
702 n main st,covington,114,10
702 n main st,covington,115,10
702 n main st,covington,116,10
702 n main st,covington,117,10
702 n main st,covington,118,10
101 hospital circle,crenshaw,119,12
101 hospital circle,crenshaw,120,12
101 hospital circle,crenshaw,121,12
101 hospital circle,crenshaw,122,12
101 hospital circle,crenshaw,123,12
101 hospital circle,crenshaw,124,12
101 hospital circle,crenshaw,125,12
101 hospital circle,crenshaw,126,12
101 hospital circle,crenshaw,127,12
101 hospital circle,crenshaw,128,12
101 hospital circle,crenshaw,129,12
101 hospital circle,crenshaw,130,12
101 hospital circle,crenshaw,131,12
101 hospital circle,crenshaw,132,12
101 hospital circle,crenshaw,133,12
101 hospital circle,crenshaw,134,12
101 hospital circle,crenshaw,135,12
101 hospital circle,crxnshaw,136,13
101 hospital circle,crenshaw,137,12
101 hospital circle,crenshaw,138,12
101 hospital circle,crenshaw,139,12
101 hospital circle,crenshaw,140,12
101 hospital circle,crenshaw,141,12
101 hospital circle,crenshaw,142,12
101 hospital circle,crenshaw,143,12
201 pine street northwest,morgan,144,14
201 pine street northwest,morgan,145,14
201 pine street northwest,morgan,146,14
201 pine street northwest,morgan,147,14
201 pine street northwest,morgan,148,14
201 pine street northwest,morgan,149,14
201 pine street northwest,morgan,150,14
201 pine street northwest,morgan,151,14
201 pine street northwest,morgan,152,14
201 pine street northwest,morgan,153,14
201 pine street northwest,morgan,154,14
201 pine street northwest,morgan,155,14
201 pine street northwest,morgan,156,14
201 pine street northwest,morgan,157,14
201 pine street northwest,morgan,158,14
201 pine street northwest,morgan,159,14
201 pine street northwest,morgan,160,14
201 pine sxreex norxhwesx,morgan,161,15
201 pine street northwest,morgan,162,14
201 pine street northwest,morgan,163,14
201 pine street northwest,morgan,164,14
201 pine street northwest,morgan,165,14
201 pine street northwest,morgan,166,14
201 pine street northwest,morgan,167,14
201 pine street northwest,morgan,168,14
8000 alabama highway 69,marshall,169,16
8000 alabama highway 69,marshall,170,16
8000 alabama highway 69,marshall,171,16
8000 alabama highway 69,marshall,172,16
8000 alabama highway 69,marshall,173,16
8000 alabama highway 69,marshall,174,16
8000 alabama xigxway 69,marshall,175,17
8000 alabama highway 69,marshall,176,16
8000 alabama highway 69,marshall,177,16
8000 alabama highway 69,marshall,178,16
8000 alabama highway 69,marshall,179,16
8000 alabama highway 69,marshall,180,16
8000 alabama highway 69,marshall,181,16
8000 alabama highway 69,marshall,182,16
8000 alabama highway 69,marshall,183,16
8000 alabama highway 69,marshall,184,16
8000 alabama highway 69,marshall,185,16
8000 alabama highway 69,marshall,186,16
8000 alabama highway 69,marshall,187,16
8000 alabama highway 69,marshall,188,16
8000 alabama highway 69,marshall,189,16
8000 alabama highway 69,marshall,190,16
8000 alabama highway 69,marshall,191,16
8000 alabama highway 69,marshall,192,16
8000 alabama highway 69,marshall,193,16
50 medical park east drive,jefferson,194,18
50 medical park east drive,jefferson,195,18
50 medical park east drive,jefferson,196,18
50 medical park east drive,jefferson,197,18
50 medical park east drive,jefferson,198,18
50 medical park east drive,jefferson,199,18
50 medical park east drive,jefferson,200,18
50 medical park east drive,jefferson,201,18
50 medical park east drive,jefferson,202,18
50 medical park east drive,jefferson,203,18
50 medical park east drive,jefferson,204,18
50 medical park east drive,jefferson,205,18
50 medical park east drive,jefferson,206,18
50 medical park east drive,jefferson,207,18
50 medical park east drive,jefferson,208,18
50 medical park east drive,jefferson,209,18
50 medical park east drive,jefferson,210,18
50 medical park east drive,jefferson,211,18
50 medical park east drive,jefferson,212,18
50 medical park east drive,jefferson,213,18
50 medical park east drive,jefferson,214,18
50 medical park east drive,jefferson,215,18
50 medical park east drive,jeffersxn,216,19
50 medical park east drive,jefferson,217,18
50 medical park east drive,jefferson,218,18
200 med center drive,de kalb,219,20
200 med center drive,de kalb,220,20
200 med center drive,dx kalb,221,21
200 med center drive,de kalb,222,20
200 med center drive,xe kalb,223,22
200 med center drive,de kalb,224,20
200 med center drive,de kalb,225,20
200 med center drive,de kalb,226,20
200 med center drive,dx kalb,227,21
200 med center drive,de kalb,228,20
200 med center drive,de kalb,229,20
200 med center drive,de kalb,230,20
200 med center drive,de kalb,231,20
200 med center drive,de kalb,232,20
200 med center drive,de kalb,233,20
200 med center drive,de kalb,234,20
200 med center drive,de kalb,235,20
200 med center drive,de kalb,236,20
200 med center drive,de kalb,237,20
200 med center drive,xe kalb,238,22
200 med center drive,de kalb,239,20
200 med center drive,de kalb,240,20
200 med center drive,de kalb,241,20
200 med center drive,de kalb,242,20
200 med center drive,de kalb,243,20
33700 highway 43,clarke,244,23
33700 highway 43,clarke,245,23
33700 highway 43,clarke,246,23
33700 highway 43,clarke,247,23
33700 highway 43,clarke,248,23
33700 highway 43,clarke,249,23
33700 highway 43,clarke,250,23
33700 highway 43,clarke,251,23
33700 highway 43,xlarke,252,24
33700 highway 43,clarke,253,23
33700 highway 43,clarke,254,23
33700 highway 43,clarke,255,23
33700 highway 43,clarke,256,23
33700 highway 43,clarke,257,23
33700 highway 43,clarke,258,23
33700 highway 43,clarke,259,23
33700 hxghway 43,clarke,260,25
33700 highway 43,clarke,261,23
33700 highway 43,clarke,262,23
33700 highway 43,clarke,263,23
33700 highway x3,clarke,264,26
33700 highway 43,clarke,265,23
33700 highway 43,clarke,266,23
33700 highway 43,clarke,267,23
33700 highway 43,clarke,268,23
1000 first street north,shelby,269,27
1000 first street north,shelby,270,27
1000 first street north,shelby,271,27
1000 first street north,shelby,272,27
1000 first street north,shelby,273,27
1000 first street north,shelby,274,27
1000 fixst stxeet noxth,shelby,275,28
1000 first street north,shelby,276,27
1000 first street north,shelby,277,27
1000 first street north,shelby,278,27
1000 first street north,shelby,279,27
1000 first street north,shelby,280,27
1000 first street north,shelby,281,27
1000 first street north,shelby,282,27
1000 first street north,shelby,283,27
1000 first street north,shelby,284,27
1000 first street north,shelby,285,27
1000 first street north,shelby,286,27
1000 first street north,shelby,287,27
1000 first street north,shelby,288,27
1000 first street north,shelby,289,27
1000 first street north,shelby,290,27
1000 first street north,shelby,291,27
1000 first street north,shelby,292,27
1000 first street north,shelby,293,27
1720 university blvd,jefferson,294,0
1720 univxrsity blvd,jefferson,295,29
1720 university blvd,jefferson,296,0
1720 university blvd,jefferson,297,0
1720 university blvd,jefferson,298,0
1720 university blvd,jefferson,299,0
1720 university blvd,jefferson,300,0
1720 university blvd,jefferson,301,0
1720 university blvd,jefferson,302,0
1720 university blvd,jefferson,303,0
1720 university blvd,jefferson,304,0
1720 university blvd,jefferson,305,0
1720 university blvd,jefferson,306,0
1720 university blvd,jefferson,307,0
1720 university blvd,jefferson,308,0
1720 university blvd,jefferson,309,0
1720 university blvd,jefferson,310,0
301 east 18th st,calhoun,311,30
301 east 18th st,calhoxn,312,31
301 east 18th st,calhoun,313,30
301 east 18th st,calhoun,314,30
301 east 18th st,calhoun,315,30
301xeastx18thxst,calhoun,316,32
301 east 18th st,calhoun,317,30
301 east 18th st,calhoun,318,30
301 east 18th st,calhoun,319,30
301 east 18th st,calhoun,320,30
301 east 18th st,calhoun,321,30
301 east 18th st,calhoun,322,30
301 east 18th st,calhoun,323,30
301 east 18th st,caxhoun,324,33
301 east 18th st,calhoun,325,30
301 east 18th st,calhoun,326,30
301 east 18th st,calhoun,327,30
301 east 18th st,calhoun,328,30
301 east 18th st,calhoun,329,30
301 east 18th st,calhoun,330,30
4370 west main street,houston,331,34
4370 west main street,houston,332,34
4370 west main street,houston,333,34
4370xwestxmainxstreet,houston,334,35
4370 west main street,houston,335,34
4370 west main street,houston,336,34
4370 west main street,houston,337,34
4370 west main street,houston,338,34
4370 west main street,houston,339,34
4370 west main street,houston,340,34
4370 west main street,houston,341,34
4370 west main street,houston,342,34
4370 west main street,houston,343,34
4370 west main street,houston,344,34
4370 west main street,houston,345,34
4370 west main street,housxon,346,36
4370 west main street,houston,347,34
810 st vincents drive,jefferson,348,37
810 st vincents drive,jefferson,349,37
810 st vxncents drxve,jefferson,350,38
810 st vincents drive,jefferson,351,37
810 st vincents drive,jefferson,352,37
1201 7th street se,morgan,353,39
1530 u s highway 43,marion,354,40
1530 u s highway 43,marion,355,40
1530 u s highway 43,marion,356,40
1530 u s highway 43,marion,357,40
1530 u s highway 43,marion,358,40
1530 u s highway 43,marion,359,40
1530 u s highway 43,marion,360,40
1530 u s highway 43,marion,361,40
1530 u s highway 43,marion,362,40
1530xuxsxhighwayx43,marion,363,41
1530 u s highway 43,marion,364,40
1530 u s highway 43,marion,365,40
1530 u s highway 43,marion,366,40
1530 u s highway 43,marion,367,40
1530 u s highway 43,marion,368,40
1530 u s highway 43,marion,369,40
