Address1,ZipCode,original_index,unique_index
1720 university blvd,35233,0,0
1720 university blvd,35233,1,0
1720 university blvd,35233,2,0
1720 university blvd,35233,3,0
1720 university blvd,35233,4,0
1720 university blvd,35233,5,0
1720 university blvd,35233,6,0
1720 university blvd,35233,7,0
1300 south montgomery avenue,35660,8,1
1300 south montgomery avenue,35660,9,1
1300 south montgomery avenue,35660,10,1
1300 south montgomery avenue,35660,11,1
1300 south montgomery avenue,35660,12,1
1300 south montgomery avenue,35660,13,1
1300 south montgomery avenue,35660,14,1
1300 south montgomery avenue,35660,15,1
1300 south montgomery avenue,35660,16,1
1300 south montgomery avenue,35660,17,1
1300 south montgomery avenue,35660,18,1
1108 ross clark circle,36302,19,2
1108 ross clark circle,36302,20,2
1108 ross clark circle,36302,21,2
1108 ross clark circle,36302,22,2
1108 ross clark circle,36302,23,2
1108 ross clark circle,36302,24,2
1108 ross clark circle,36302,25,2
1108 ross clark circle,36302,26,2
1108 ross clark circle,36302,27,2
1108 ross clark circle,36302,28,2
1108 ross clark circle,36302,29,2
1108 ross clark circle,36302,30,2
1108 ross clark circle,36302,31,2
1108 ross clark circle,36302,32,2
1108 ross clark circle,36302,33,2
1108 ross clark circle,36302,34,2
1108 ross clark circle,36302,35,2
1108 ross clark circle,36302,36,2
1108 ross clark circle,36302,37,2
1108 ross clark circle,36302,38,2
1108 ross clark circle,36302,39,2
1108 ross clark circle,36302,40,2
1108 ross clark circle,36302,41,2
1108 ross clark circle,36302,42,2
1108 ross clark circle,36302,43,2
2505 u s highway 431 north,x5957,44,3
2505 u s highway 431 north,35957,45,4
2505 u s highway 431 north,35957,46,4
2505 u s highway 431 north,35957,47,4
2505 u s highway 431 north,35957,48,4
2505 u s highway 431 north,35957,49,4
2505 u s highway 431 north,35957,50,4
2505 u s highway 431 north,35957,51,4
2505 u s highway 431 north,35957,52,4
2505 u s highway 431 north,35957,53,4
2505 u s highway 431 north,35957,54,4
2505 u s highway 431 north,35957,55,4
2505 u s highway 431 north,35957,56,4
2505xuxsxhighwayx431xnorth,35957,57,5
2505 u s highway 431 north,35957,58,4
2505 u s highway 431 north,35957,59,4
2505 u s highway 431 north,35957,60,4
2505 u s highway 431 north,35957,61,4
2505 u s highway 431 north,35957,62,4
2505 u s highway 431 north,3595x,63,6
2505 u s highway 431 north,35957,64,4
2505 u s highway 431 north,35957,65,4
2505 u s highway 431 north,35957,66,4
2505 u s highway 431 north,35957,67,4
2505 u s highway 431 north,35957,68,4
205 marengo street,35631,69,7
205 marengo street,3563x,70,8
205 marengo street,35631,71,7
205 marengo street,35631,72,7
205 marengo street,35631,73,7
205 marengo street,35631,74,7
205 marengo street,35631,75,7
205 marengo street,35631,76,7
205 marengo street,35631,77,7
205 marengo street,35631,78,7
205 marengo street,35631,79,7
205 marengo street,35631,80,7
205 marengo street,35631,81,7
205 marengo street,35631,82,7
205 marengo street,35631,83,7
205 marengo street,35631,84,7
205 marengo street,35631,85,7
205 marengo street,35631,86,7
205 marengo street,35631,87,7
205 marengo street,35631,88,7
205 marengo street,35631,89,7
205 marengo street,35631,90,7
205 marengo street,35631,91,7
205 marengo street,35631,92,7
205 marengo street,3563x,93,8
702xnxmainxst,36467,94,9
702 n main st,36467,95,10
702 n main st,36467,96,10
702 n main st,36467,97,10
702 n main st,36467,98,10
702 n main st,36467,99,10
702 n main st,36467,100,10
702 n main st,36467,101,10
702 n main st,36467,102,10
702 n main st,36467,103,10
702 n main st,36467,104,10
702 n main st,36467,105,10
702 x maix st,36467,106,11
702 n main st,36467,107,10
702 n main st,36467,108,10
702 n main st,36467,109,10
702 n main st,36467,110,10
702 n main st,36467,111,10
702 n main st,36467,112,10
702 n main st,36467,113,10
702 n main st,36467,114,10
702 n main st,36467,115,10
702 n main st,36467,116,10
702 n main st,36467,117,10
702 n main st,36467,118,10
101 hospital circle,36049,119,12
101 hospital circle,36049,120,12
101 hospital circle,36049,121,12
101 hospital circle,36049,122,12
101 hospital circle,36049,123,12
101 hospital circle,36049,124,12
101 hospital circle,36049,125,12
101 hospital circle,36049,126,12
101 hospital circle,36049,127,12
101 hospital circle,36049,128,12
101 hospital circle,36049,129,12
101 hospital circle,36049,130,12
101 hospital circle,36049,131,12
101 hospital circle,36049,132,12
101 hospital circle,36049,133,12
101 hospital circle,36049,134,12
101 hospital circle,36049,135,12
101 hospital circle,36049,136,12
101 hospital circle,36x49,137,13
101 hospital circle,36049,138,12
101 hospital circle,360x9,139,14
101 hospital circle,36049,140,12
101 hospital circle,36049,141,12
101 hospital circle,36049,142,12
101 hospital circle,36049,143,12
201 pine street northwest,35640,144,15
201 pine street northwest,35640,145,15
201 pine street northwest,35640,146,15
201 pine street northwest,35640,147,15
201 pine street northwest,35640,148,15
201 pine street northwest,3x640,149,16
201 pine street northwest,35640,150,15
201 pine street northwest,35640,151,15
201 pine street northwest,35640,152,15
201 pine street northwest,35640,153,15
201 pine street northwest,35640,154,15
201 pine street northwest,35640,155,15
201 pine street northwest,35640,156,15
201 pine street northwest,3x640,157,16
201 pine street northwest,35640,158,15
201 pine street northwest,35640,159,15
201 pine street northwest,35640,160,15
201 pine sxreex norxhwesx,35640,161,17
201 pine street northwest,35640,162,15
201 pine street northwest,35640,163,15
201 pine street northwest,35640,164,15
201 pine street northwest,35640,165,15
201 pine street northwest,35640,166,15
201 pine street northwest,35640,167,15
201 pine street northwest,35640,168,15
8000 alabama highway 69,35976,169,18
