City,Stateavg,original_index,unique_index
birmingham,al_scip-card-2,0,0
birmingham,al_scip-inf-1,1,1
birmingham,al_scip-inf-2,2,2
birminghxm,al_scip-inf-3,3,3
birmingham,al_scip-inf-4,4,4
birmingham,al_scip-inf-6,5,5
birmingham,al_scip-vte-1,6,6
birmingxam,al_scip-vte-2,7,7
sheffield,al_ami-1,8,8
sheffield,al_ami-2,9,9
sheffxeld,al_ami-3,10,10
sheffield,al_ami-4,11,11
sheffield,al_ami-5,12,12
sheffield,al_ami-7a,13,13
sheffield,al_ami-8a,14,14
sheffield,al_hf-1,15,15
sheffield,al_hf-2,16,16
sheffield,al_hf-3,17,17
sheffield,al_hf-4,18,18
dothan,al_ami-1,19,19
dothan,al_ami-2,20,20
dothan,al_ami-3,21,21
dothan,al_ami-4,22,22
dothan,al_ami-5,23,23
dothan,al_ami-7a,24,24
dothan,al_ami-8a,25,25
dothan,al_hf-1,26,26
dothan,al_hf-2,27,27
dothan,al_hf-3,28,28
dothan,al_hf-4,29,29
dothan,al_pn-2,30,30
dothan,al_pn-3b,31,31
dothan,al_pn-4,32,32
dothan,al_pn-5c,33,33
dothan,al_pn-6,34,34
dothan,al_pn-7,35,35
dothan,al_scip-card-2,36,36
dothan,al_scip-inf-1,37,37
dothan,al_scip-inf-2,38,38
dothan,al_scip-inf-3,39,39
dothan,al_scip-inf-4,40,40
dothan,al_scip-inf-6,41,41
dothan,al_scip-vte-1,42,42
dothan,al_scip-vte-2,43,43
boaz,al_ami-1,44,44
boaz,al_ami-2,45,45
boaz,al_ami-3,46,46
boaz,al_ami-4,47,47
boaz,al_ami-5,48,48
boaz,al_ami-7a,49,49
boaz,al_ami-8a,50,50
boaz,al_hf-1,51,51
boaz,al_hf-2,52,52
boaz,al_hf-3,53,53
boaz,al_hf-4,54,54
boaz,al_pn-2,55,55
boxz,al_pn-xb,56,56
boaz,al_pn-4,57,57
boaz,al_pn-5c,58,58
boaz,al_pn-6,59,59
boaz,al_pn-7,60,60
boaz,al_scip-card-2,61,61
boaz,al_scip-inf-1,62,62
boaz,al_scip-inf-2,63,63
boaz,al_scip-inf-3,64,64
boaz,al_scip-inf-4,65,65
boaz,al_scip-inf-6,66,66
boaz,al_scip-vte-1,67,67
boaz,al_scip-vte-2,68,68
florence,al_amx-1,69,69
florence,al_ami-2,70,70
florence,al_ami-3,71,71
florence,al_ami-4,72,72
florence,al_ami-5,73,73
florence,al_ami-7a,74,74
florence,al_ami-8a,75,75
florence,al_hf-1,76,76
florence,al_hf-2,77,77
florence,al_hf-3,78,78
fxorence,al_hf-4,79,79
florence,al_pn-2,80,80
florence,al_pn-3b,81,81
florence,al_pn-4,82,82
florence,al_pn-5c,83,83
florence,al_pn-6,84,84
florence,al_pn-7,85,85
florence,al_scip-card-2,86,86
florence,al_scip-inf-1,87,87
florxncx,al_scip-inf-2,88,88
florence,al_scip-inf-3,89,89
florence,al_scip-inf-4,90,90
florence,al_scip-inf-6,91,91
florence,al_scip-vte-1,92,92
flxrence,al_scip-vte-2,93,93
opp,al_ami-1,94,94
opp,al_ami-2,95,95
opp,al_ami-3,96,96
opp,al_ami-4,97,97
opp,al_ami-5,98,98
opp,al_ami-7a,99,99
opp,al_ami-8a,100,100
opp,al_hf-1,101,101
opp,al_hf-2,102,102
opp,al_hf-3,103,103
opp,al_hf-4,104,104
opp,al_pn-2,105,105
opp,al_pn-3b,106,106
opp,al_pn-4,107,107
opp,al_pn-5c,108,108
opp,al_pn-6,109,109
opp,al_pn-7,110,110
opp,al_scip-card-2,111,111
opp,al_scip-inf-1,112,112
opp,al_scip-inf-2,113,113
opp,al_scip-inf-3,114,114
opp,al_scip-inf-4,115,115
opp,al_scip-inf-6,116,116
opp,al_scip-vte-1,117,117
opp,al_scip-vte-2,118,118
luverne,al_ami-1,119,119
luverne,al_ami-2,120,120
