City,ZipCode,original_index,unique_index
birmingham,35233,0,0
birmingham,35233,1,0
birmingham,35233,2,0
birminghxm,35233,3,1
birmingham,35233,4,0
birmingham,35233,5,0
birmingham,35233,6,0
birmingxam,35233,7,2
sheffield,35660,8,3
sheffield,35660,9,3
sheffxeld,35660,10,4
sheffield,35660,11,3
sheffield,35660,12,3
sheffield,35660,13,3
sheffield,35660,14,3
sheffield,35660,15,3
sheffield,35660,16,3
sheffield,35660,17,3
sheffield,35660,18,3
dothan,36302,19,5
dothan,36302,20,5
dothan,36302,21,5
dothan,36302,22,5
dothan,36302,23,5
dothan,36302,24,5
dothan,36302,25,5
dothan,36302,26,5
dothan,36302,27,5
dothan,36302,28,5
dothan,36302,29,5
dothan,36302,30,5
dothan,36302,31,5
dothan,36302,32,5
dothan,36302,33,5
dothan,36302,34,5
dothan,36302,35,5
dothan,36302,36,5
dothan,36302,37,5
dothan,36302,38,5
dothan,36302,39,5
dothan,36302,40,5
dothan,36302,41,5
dothan,36302,42,5
dothan,36302,43,5
boaz,x5957,44,6
boaz,35957,45,7
boaz,35957,46,7
boaz,35957,47,7
boaz,35957,48,7
boaz,35957,49,7
boaz,35957,50,7
boaz,35957,51,7
boaz,35957,52,7
boaz,35957,53,7
boaz,35957,54,7
boaz,35957,55,7
boxz,35957,56,8
boaz,35957,57,7
boaz,35957,58,7
boaz,35957,59,7
boaz,35957,60,7
boaz,35957,61,7
boaz,35957,62,7
boaz,3595x,63,9
boaz,35957,64,7
boaz,35957,65,7
boaz,35957,66,7
boaz,35957,67,7
boaz,35957,68,7
florence,35631,69,10
florence,3563x,70,11
florence,35631,71,10
florence,35631,72,10
florence,35631,73,10
florence,35631,74,10
florence,35631,75,10
florence,35631,76,10
florence,35631,77,10
florence,35631,78,10
fxorence,35631,79,12
florence,35631,80,10
florence,35631,81,10
florence,35631,82,10
florence,35631,83,10
florence,35631,84,10
florence,35631,85,10
florence,35631,86,10
florence,35631,87,10
florxncx,35631,88,13
florence,35631,89,10
florence,35631,90,10
florence,35631,91,10
florence,35631,92,10
flxrence,3563x,93,14
opp,36467,94,15
opp,36467,95,15
opp,36467,96,15
opp,36467,97,15
opp,36467,98,15
opp,36467,99,15
opp,36467,100,15
opp,36467,101,15
opp,36467,102,15
opp,36467,103,15
opp,36467,104,15
opp,36467,105,15
opp,36467,106,15
opp,36467,107,15
opp,36467,108,15
opp,36467,109,15
opp,36467,110,15
