HospitalName,Condition,original_index,unique_index
callahan eye foundation hospital,surgical infection prevention,0,0
callahan eye foundation hospital,surgical infection prevention,1,0
callahan eye foundation hospital,surgical infection prevention,2,0
callahan eye foundation hospital,surgical infection prevention,3,0
callahan eye foundation hospital,surgical infection prevention,4,0
callahan eye foundation hospital,surgical infection prevention,5,0
callahan eye foundation hospital,surgical infection prevention,6,0
callahan eye foundation hospital,surgical infection prevention,7,0
helen keller memorial hospital,heart attack,8,1
helen keller memorial hospital,heart attack,9,1
helen keller memorial hospital,heart attack,10,1
helen keller memorial hospital,heart attack,11,1
helen keller memorial hospital,heart attack,12,1
helen keller memorial hospital,heart attack,13,1
helen keller memorial hospital,heart attack,14,1
helen keller memorial hospital,heart failure,15,2
helen keller memorial hospital,heart failure,16,2
helen keller memorial hospital,heart failure,17,2
helen keller memorial hospital,heart failure,18,2
southeast alabama medical center,heart attack,19,3
southeast alabama medical center,heart attack,20,3
southeast alabama medical center,heart attaxk,21,4
southeast alabama medical center,hearx axxack,22,5
southeast alabama medical center,heart attack,23,3
southeast alabama medical center,heart attack,24,3
southeast alabama medical center,heart attack,25,3
southeast alabama medxcal center,heart failure,26,6
southeast alabama medical center,heart failure,27,7
southeast alabama medical center,heart failure,28,7
southeast alabama medical center,heart failure,29,7
southeast alabama medical center,pneumonia,30,8
southeast alabama medical center,pneumonia,31,8
southeast alabama medical center,pneumonia,32,8
southeast alabama medical center,pneumonia,33,8
southeast alabama medical center,pneumonia,34,8
southeast alabama medical center,pneumonia,35,8
southeast alabama medical center,surgical infection prevention,36,9
southeast alabama medical center,surgical infection prevention,37,9
southeast alabama medical center,surgical infection prevention,38,9
southeast alabama medical center,surgical infection prevention,39,9
southeast alabama medical center,surgical infection prevention,40,9
southeast alabama medical center,surgical infection prevention,41,9
southeast alabama medical center,surgical infection prevention,42,9
southeast alabama medical center,surgical infection prevention,43,9
marshall medical center south,heart attack,44,10
marshall medical center south,heart attack,45,10
marshall medical center south,heart attack,46,10
marshall medical center south,heart attack,47,10
marshall medical center south,heart attack,48,10
marshall medical center south,heart attack,49,10
marshall medical center south,heart attack,50,10
marshall medical center south,heart failure,51,11
marshall medical center south,heart failure,52,11
marshall medical center south,heart failure,53,11
marshall medical center south,heart failure,54,11
marshall medical center south,pneumonia,55,12
marshall medical center south,pneumonia,56,12
marshall medical center south,pneumonia,57,12
marshall medical center south,pneumonia,58,12
marshall medical center south,pneumonia,59,12
marshall medical center south,pneumonia,60,12
marshall medical center south,surgical infection prevention,61,13
marshall medical center south,surgical infection prevention,62,13
marshall medical center south,surgical infection prevention,63,13
marshall medical center south,surgical infection prevention,64,13
marshall medical center south,surgical infection prevention,65,13
marshall medical center south,surgical infection prevention,66,13
marshall medical center south,surgical infection prevention,67,13
marshall medical center south,surgical infection prevention,68,13
eliza coffee memorial hospital,heart attack,69,14
eliza coffee memorial hospital,heart attack,70,14
eliza coffee memorial hospital,heart attack,71,14
eliza coffee memorial hospital,heart attack,72,14
eliza coffee memorial hospital,hearx axxack,73,15
eliza coffee memorial hospital,heart attack,74,14
eliza coffee memorial hospital,heart attack,75,14
eliza coffee memorial hospital,heart failure,76,16
eliza coffee memorial hospital,heart failure,77,16
eliza coffee memorial hospital,heart failure,78,16
eliza coffee memorial hospital,heart failure,79,16
eliza coffee memorial hospital,pneumonia,80,17
eliza coffee memorial hospital,pneumonia,81,17
eliza coffee memorial hospital,pneumonia,82,17
eliza coffee memorial hospital,pneumonia,83,17
eliza coffee memorial hospital,pneumonia,84,17
eliza coffee memorial hospital,pneumonia,85,17
eliza coffee memorial hospital,surgical infection prevention,86,18
eliza coffee memorial hospital,surgical infection prevention,87,18
eliza coffee memorial hospital,surgical infection prevention,88,18
eliza coffee memorial hospital,surgical infection prevention,89,18
eliza coffee memorial hospital,surgical infection prevention,90,18
eliza coffee memorial hospital,surgical infection prevention,91,18
eliza coffee memorial hospital,surgical infection prevention,92,18
eliza coffee memorial hospital,surgical infection prevention,93,18
mizell memorial hospital,heart attack,94,19
mizell memorial hospital,heart attack,95,19
mizell memorial hospital,heart attack,96,19
mizell memorial hospital,heart attack,97,19
mizell memorial hospital,heart attack,98,19
mizell memorial hospital,heart attack,99,19
mizell memorial hospital,heart attack,100,19
mizell memorial hospital,heart failure,101,20
mizell memorial hospital,heart failure,102,20
mizell memorial hospital,heart failure,103,20
mizell memorial hospital,heart failure,104,20
mizell memorial hospital,pneumonia,105,21
mizell memorial hospital,pneumonia,106,21
mizell memorial hospital,pneumonia,107,21
mizell memorial hospital,pneumonia,108,21
mizell memorial hospital,pneumonia,109,21
mizell memorial hospital,pneumonia,110,21
mizell memorial hospital,surgical infection prevention,111,22
mizell memorial hospital,surgical infection prevention,112,22
mizell memorial hospital,surgical infection prevention,113,22
mizell memorial hospital,surgical infection prevention,114,22
mizell memorial hospital,surgical infection prevention,115,22
mizell memorial hospital,surgical infection prevention,116,22
mizell memorial hospital,surgical infection prevention,117,22
mizell memorial hospital,surgical infection prevention,118,22
crenshaw community hospital,heart attack,119,23
crenshaw community hospital,heart attack,120,23
crenshaw community hospital,heart attack,121,23
crenshaw community hospital,heart attack,122,23
crenshaw community hospital,heart attack,123,23
crenshaw community hospital,heart attack,124,23
crenshaw community hospital,heart attack,125,23
crenshaw community hospital,heart failure,126,24
crenshaw community hospital,heaxt failuxe,127,25
crenshaw community hospital,heart failure,128,24
crenshaw community hospital,heart failure,129,24
crenshaw community hospital,pneumonia,130,26
crenshaw cxmmunity hxspital,pneumonia,131,27
crenshaw community hospital,pneumonia,132,26
crenshaw community hospital,pneumonia,133,26
crenshaw community hospital,pneumonia,134,26
crenshaw community hospital,pneumonia,135,26
crenshaw community hospital,surgical infection prevention,136,28
crenshaw community hospital,surgical infection prevention,137,28
crenshaw community hospital,surgical infection prevention,138,28
crenshaw community hospital,surgical infection prevention,139,28
crenshaw community hospital,surgical infection prevention,140,28
crenshaw community hospital,surgical infection prevention,141,28
crenshaw community hospital,surgical infection prevention,142,28
crenshaw community hospital,surgical infection prevention,143,28
hartselle medical center,heart attack,144,29
hartselle medical center,heart attack,145,29
hartselle medical center,heart attack,146,29
hartselle medical center,heart attack,147,29
hartselle medical center,heart attack,148,29
hartselle medical center,heart attack,149,29
hartselle medical center,heart attack,150,29
hartselle medical center,heart failure,151,30
hartselle medical center,heart failure,152,30
hartselle medical center,heart failure,153,30
hartselle medical center,heart failure,154,30
hartselle medical center,pneumonia,155,31
hartselle medical center,pneumonia,156,31
hartselle medical center,pneumonia,157,31
hartselle medical center,pneumonia,158,31
hartselle medical center,pneumonia,159,31
hartselle medical center,pneumonia,160,31
hartselle medical center,surgical infection prevention,161,32
hartselle medical center,surgical infection prevention,162,32
hartselle medical center,surgical infection prevention,163,32
hartselle medical center,surgical infection prevention,164,32
hartselle medical center,surgical infection prevention,165,32
hartselle medical center,surgical infection prevention,166,32
hartselle medical center,surgical infection prevention,167,32
hartselle medical center,surgical infection prevention,168,32
marshall medical center north,heart attack,169,33
marshall medical center north,heart attack,170,33
marshall medical cenxer norxh,heart attack,171,34
marshall medical center north,heart attack,172,33
marshall medical center north,heart attack,173,33
marshall medical center north,heart attack,174,33
marshall medical center north,heart attack,175,33
marshall medical center north,heart failure,176,35
marshall medical center north,heart failure,177,35
marshall medical center north,heart failure,178,35
marshall medical center north,heart failure,179,35
marshall medical center north,pneumonia,180,36
marshall medical center north,pneumonia,181,36
marshall medical center north,pneumonia,182,36
marshall medical center north,pneumonia,183,36
marshall medical center north,pneumonia,184,36
marshall medical center north,pneumonia,185,36
