HospitalOwner,MeasureName,original_index,unique_index
voluntary non-profit - private,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,0,0
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,1,1
voluntary non-profit - private,surgery patients who were given the  right kind  of antibiotic to help prevent infection,2,2
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),3,3
voluntary non-profit - private,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,4,4
voluntary non-profit - private,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),5,5
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,6,6
voluntary non-profit - private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,7,7
government - hospital district or authority,heart attack patients given aspirin at arrival,8,8
government - hospital district or authority,heart attack patients given aspirin at discharge,9,9
government - hospital district or authority,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),10,10
government - hospital district or authority,heart attack patients given smoking cessation advice/counseling,11,11
government - hospital district or authority,heart attack patients given beta blocker at discharge,12,12
government - hospital district or authority,heart attack patients given fibrinolytic medication within 30 minutes of arrival,13,13
government - hospital district or authority,heart attack patients given pci within 90 minutes of arrival,14,14
government - hospital district or authority,heart failure patients given discharge instructions,15,15
government - hospital district or authority,heart failure patients given an evaluation of left ventricular systolic (lvs) function,16,16
government - hospital district or authority,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),17,17
government - hospital district or authority,heart failure patients given smoking cessation advice/counseling,18,18
government - hospital district or authority,heart attack patients given aspirin at arrival,19,8
government - hospital district or authority,heart attack patients given aspirin at discharge,20,9
government - hospital district or authority,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),21,10
government - hospxtal dxstrxct or authorxty,heart attack patients given smoking cessation advice/counseling,22,19
